Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu6g08710,57,55,84,177,124,116
Afu1g04490,1118,664,931,505,516,449
Afu3g05760,7373,11110,6033,5743,2703,4080
Afu8g06220,657,444,448,600,462,302
Afu3g00570,11,9,10,10,8,4
Afu1g17580,2,3,0,1,0,1
Afu1g04600,301,164,234,552,530,554
Afu2g16620,127,89,102,154,139,91
Afu2g02870,77,91,62,206,287,180
Afu3g08980,470,407,165,434,425,397
Afu5g07290,323,176,201,212,128,145
Afu4g03290,12,13,13,21,18,14
Afu2g16290,259,263,217,654,897,642
Afu4g01470,10,16,10,39,51,27
Afu4g01490,7,6,10,8,10,12
Afu2g13400,1192,866,1196,618,698,436
Afu2tM(CAU)2,0,0,0,1,0,0
Afu2tS(AGA)4,1,0,0,0,0,0
Afu4g12900,133,96,98,122,154,95
