,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000359,0,0,0,0,1,0,0,1
CADAFUBG00000360,209,152,263,248,1620,1964,1256,1151
CADAFUBG00000361,95,29,18,23,4,2,3,1
CADAFUBG00000362,4,2,1,4,0,0,0,0
CADAFUBG00000363,2,2,6,4,6,10,5,2
CADAFUBG00000364,518,571,683,278,358,180,385,87
CADAFUBG00000365,1,0,0,1,0,0,0,0
CADAFUBG00000366,2,3,2,2,1,1,0,2
CADAFUBG00000367,0,0,2,0,0,0,0,1
CADAFUBG00000368,0,2,0,0,0,0,0,1
CADAFUBG00000369,0,0,0,0,2,0,0,1
CADAFUBG00000370,1,0,0,1,2,0,2,1
CADAFUBG00000371,2,0,0,0,1,0,1,2
CADAFUBG00000372,0,0,0,2,1,3,0,0
CADAFUBG00000373,3,1,0,0,3,2,6,3
CADAFUBG00000374,0,0,0,0,0,0,0,0
CADAFUBG00000375,0,0,0,0,1,0,0,0
CADAFUBG00000376,0,0,0,0,0,0,0,0
CADAFUBG00000377,281,284,107,43,33,20,3,2
CADAFUBG00000378,82,68,28,48,51,17,34,13
CADAFUBG00000379,678,597,582,370,1672,1125,787,673
CADAFUBG00000380,2464,2758,3615,1345,2171,1928,2308,1913
CADAFUBG00000381,17643,18926,22062,10780,5845,3854,2225,2022
CADAFUBG00000382,8443,8112,7459,4639,7570,5755,5397,6372
CADAFUBG00000383,1114,1200,1278,1372,862,648,282,382
CADAFUBG00000384,2160,2264,2530,2821,1134,736,562,708
CADAFUBG00000385,1069,1138,1178,938,2631,2189,1828,2244
CADAFUBG00000386,707,809,541,622,1090,1024,809,1077
CADAFUBG00000387,1115,1071,989,959,1647,1450,1531,1697
CADAFUBG00000388,2114,2084,1514,1227,2512,2087,1203,1546
CADAFUBG00000389,2,0,1,2,0,4,2,1
CADAFUBG00000390,5,6,3,0,4,7,3,7
CADAFUBG00000391,1733,1485,2246,1192,1581,1494,2702,2679
CADAFUBG00000392,4846,5136,4774,5555,6400,6611,3665,4394
CADAFUBG00000393,21527,20760,24442,15839,25163,24734,23995,24524
CADAFUBG00000394,14,10,5,9,9,6,7,3
CADAFUBG00000395,151,82,141,122,154,92,153,192
CADAFUBG00000396,515,532,589,311,666,536,510,465
CADAFUBG00000397,1848,1599,543,477,1231,839,602,740
CADAFUBG00000398,896,819,653,780,798,553,466,683
CADAFUBG00000399,43,40,13,35,197,175,83,71
CADAFUBG00000400,79,39,84,100,78,45,23,28
CADAFUBG00000401,1419,1672,1525,774,1320,1230,915,1043
CADAFUBG00000402,165,69,61,72,124,112,64,76
CADAFUBG00000403,23935,10772,13096,15424,3574,4897,3779,2523
CADAFUBG00000404,1157,1165,1535,1176,1363,980,757,909
CADAFUBG00000405,26818,24008,42519,16751,52188,33369,30157,33893
CADAFUBG00000406,545,607,888,788,938,459,487,336
CADAFUBG00000407,1990,1926,1981,1276,1076,850,953,824
CADAFUBG00000408,2421,2481,3386,4543,657,491,572,522
CADAFUBG00000409,3,1,1,0,1,1,4,0
CADAFUBG00000410,4272,4030,4764,3837,4274,3394,2560,3285
CADAFUBG00000411,618,359,700,896,733,679,237,302
CADAFUBG00000412,227,231,308,119,482,484,386,331
CADAFUBG00000413,4018,3988,3812,3195,5334,4631,2614,3094
CADAFUBG00000414,5990,3915,4440,7338,5173,3112,2563,2989
CADAFUBG00000415,638,503,440,611,911,1011,667,648
CADAFUBG00000416,1524,1753,1402,854,2197,1376,1295,1488
CADAFUBG00000417,402,425,434,338,452,283,192,212
CADAFUBG00000418,1955,2182,2400,837,2338,2626,1624,1886
CADAFUBG00000419,321,330,367,237,350,324,156,110
CADAFUBG00000420,235,236,309,191,244,242,114,101
CADAFUBG00000421,802,675,428,468,1390,1502,387,625
CADAFUBG00000422,638,472,946,334,534,687,2696,1323
CADAFUBG00000423,2159,2128,2107,2252,2451,1566,1210,1346
CADAFUBG00000424,380,506,474,211,707,668,442,592
CADAFUBG00000425,943,967,843,1045,1277,767,576,700
CADAFUBG00000426,2350,2446,2713,2581,2676,2345,1770,1959
CADAFUBG00000427,84,96,99,51,134,133,246,283
CADAFUBG00000428,422,342,396,478,531,522,307,327
CADAFUBG00000429,477,440,1015,578,644,425,1384,1308
CADAFUBG00000430,2247,2342,2486,1505,3039,2805,2779,3867
CADAFUBG00000431,15,30,23,21,40,21,30,47
CADAFUBG00000432,760,667,791,840,1207,1290,1555,1969
CADAFUBG00000433,2242,2571,2505,1435,2400,2108,871,1060
CADAFUBG00000434,996,957,1001,460,803,805,1034,906
CADAFUBG00000435,3562,3177,3020,3246,2778,2123,1607,1873
CADAFUBG00000436,2608,2543,4036,1680,2880,1975,3408,2983
CADAFUBG00000437,3821,3184,3385,3368,6113,5416,4361,5739
CADAFUBG00000438,7941,9715,9073,3483,6135,4491,3718,3243
CADAFUBG00000439,840,766,625,753,726,815,632,664
CADAFUBG00000440,1042,987,1015,1046,1319,992,854,896
CADAFUBG00000441,989,1013,1036,1271,1193,854,810,933
CADAFUBG00000442,58988,59040,68640,56855,24033,17767,10300,11776
CADAFUBG00000443,1144,1214,1047,966,941,427,430,335
CADAFUBG00000444,85640,77225,88403,150821,30811,19204,19249,18571
