,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_005530,614,761,788,4348,4064,6245
gene:AFUB_005540,579,531,618,593,555,741
gene:AFUB_005550,975,935,982,2553,2559,3263
gene:AFUB_005560,15301,19396,21258,15932,14483,18683
gene:AFUB_005570,916,750,845,526,555,637
gene:AFUB_005580,334,290,370,1126,1366,1682
gene:AFUB_005590,1152,1175,1256,3146,3295,4080
gene:AFUB_005600,2169,1967,2210,4774,3883,5183
gene:AFUB_005610,661,552,485,666,619,794
gene:AFUB_005620,55,31,36,69,83,96
gene:AFUB_005630,1977,1748,1760,2238,2288,2766
gene:AFUB_005640,27,28,38,160,93,166
gene:AFUB_005650,1619,1357,1417,707,452,689
gene:AFUB_005660,5350,7686,8089,5012,3482,5220
gene:AFUB_005670,805,1016,1153,1865,1973,2597
gene:AFUB_005680,589,602,564,685,658,757
gene:AFUB_005690,23508,26444,30523,8148,8754,10035
gene:AFUB_005700,22,30,34,172,231,261
gene:AFUB_005710,109,137,123,400,466,482
gene:AFUB_005720,217,252,258,3777,2899,4387
gene:AFUB_005730,243,291,331,3112,3342,4794
gene:AFUB_005740,105405,113228,131526,32439,32695,42221
gene:AFUB_005750,10,0,7,3,3,2
gene:AFUB_005760,3246,4877,5305,4268,3622,4989
gene:AFUB_005770,1563,1389,1436,3952,3731,4629
gene:AFUB_005780,318,439,415,727,661,941
gene:AFUB_005790,895,691,706,1013,1065,1328
gene:AFUB_005800,1093,1189,1448,600,694,783
gene:AFUB_005810,309,200,260,304,365,469
gene:AFUB_005820,406,351,351,1900,1932,2442
gene:AFUB_005830,4356,4091,4260,11622,10462,13367
gene:AFUB_005840,58977,58525,66863,14029,13669,17252
gene:AFUB_005850,571,530,640,1656,1648,1982
gene:AFUB_005860,794,653,737,964,910,1225
gene:AFUB_005870,484,352,447,793,838,973
gene:AFUB_005880,426,327,391,1160,1044,1283
gene:AFUB_005890,342,207,271,106,102,143
gene:AFUB_005900,2109,2550,2609,3587,3830,4510
gene:AFUB_005910,163,197,201,289,315,383
gene:AFUB_005920,1366,824,1035,1410,1378,1729
gene:AFUB_005930,381,468,429,2436,2728,3198
gene:AFUB_005940,1261,1027,1268,2304,2467,3098
gene:AFUB_005950,3,5,7,32,20,41
gene:AFUB_005980,6887,7171,7969,3566,3720,4495
gene:AFUB_005990,7058,8967,9703,4792,4550,5780
gene:AFUB_006000,63803,69866,78039,22797,24696,27820
gene:AFUB_006010,2352,2037,2202,4755,4775,5989
gene:AFUB_006020,1707,2221,2408,1823,1684,2115
gene:AFUB_006029,730,725,701,2635,3048,3600
gene:AFUB_006030,521,536,606,2117,2285,2967
gene:AFUB_006040,76,47,78,94,87,117
gene:AFUB_006050,331,262,287,640,617,774
gene:AFUB_006060,60,271,547,4955,6147,7046
gene:AFUB_006070,348,422,495,375,423,478
gene:AFUB_006080,454,513,522,473,527,667
gene:AFUB_006090,2734,1572,2009,407,415,496
gene:AFUB_006100,710,614,727,930,1072,1228
gene:AFUB_006120,932,867,883,1730,1409,1982
gene:AFUB_006130,149,115,122,276,251,328
gene:AFUB_006140,488,511,498,1010,923,1134
gene:AFUB_006150,70,61,61,56,36,61
gene:AFUB_006160,161,97,143,568,683,798
gene:AFUB_006170,67,45,38,166,171,207
gene:AFUB_006180,16973,13031,14372,799,408,787
gene:AFUB_006190,1739,1613,1696,2839,2702,3506
gene:AFUB_006200,1188,1161,1189,2595,2552,3249
gene:AFUB_006210,2286,2614,2890,1228,1392,1565
gene:AFUB_006220,3178,3666,3441,8137,5230,7906
gene:AFUB_006230,972,1026,1024,1831,1763,2447
gene:AFUB_006240,15,18,41,202,108,190
gene:AFUB_006250,29,34,26,109,69,114
gene:AFUB_006260,540,694,942,5749,6796,8944
gene:AFUB_006270,2,0,5,5,0,7
gene:AFUB_006280,0,0,3,6,6,9
gene:AFUB_006290,2183,3609,3410,5580,5357,7064
gene:AFUB_006300,272,306,288,884,1173,1323
gene:AFUB_006310,1132,854,938,1838,1667,2281
gene:AFUB_006320,3032,2234,2540,4047,3365,4694
gene:AFUB_006330,333,345,427,336,456,487
gene:AFUB_006340,298,149,217,197,164,239
gene:AFUB_006350,721,527,666,1754,1804,2254
gene:AFUB_006360,1201,1023,1142,2342,2274,2975
gene:AFUB_006370,72,57,55,550,584,787
gene:AFUB_006380,58109,66225,77934,17454,18440,21868
gene:AFUB_006390,95,129,159,223,191,206
gene:AFUB_006400,379,317,376,285,243,381
gene:AFUB_006410,3996,4164,4814,4230,4151,5076
gene:AFUB_006420,754,2033,2049,1307,1502,1704
gene:AFUB_006430,864,604,640,2214,2498,2961
gene:AFUB_006440,2635,2212,2208,4623,3819,5219
gene:AFUB_006450,896,836,819,1844,1935,2337
gene:AFUB_006460,1710,1509,1740,3669,3776,5049
gene:AFUB_006470,1342,1235,1305,1378,1166,1579
gene:AFUB_006480,2600,2938,3699,3238,4128,4228
gene:AFUB_006490,1357,1911,2181,2576,3215,3675
gene:AFUB_006500,1,0,0,15,11,12
gene:AFUB_006510,43,23,25,481,417,559
gene:AFUB_006520,12,7,9,279,273,348
gene:AFUB_006530,561,514,522,417,409,509
gene:AFUB_006540,1055,747,848,938,840,1200
gene:AFUB_006550,7305,7819,9064,13511,15177,18687
gene:AFUB_006560,2260,2381,2622,1449,1483,1844
gene:AFUB_006570,5917,6900,7950,4160,3837,4955
gene:AFUB_006580,1052,925,999,629,656,830
gene:AFUB_006590,5124,5122,5642,2908,2962,3446
gene:AFUB_006600,2618,4005,4448,1835,1608,2174
gene:AFUB_006610,2634,3671,4011,1870,1789,2372
gene:AFUB_006620,3451,3790,4344,2476,2820,3211
gene:AFUB_006630,1128,1154,1207,478,409,590
gene:AFUB_006640,806,823,913,2098,1985,2402
gene:AFUB_006650,25,17,22,358,427,455
gene:AFUB_006660,621,362,477,1175,1298,1696
gene:AFUB_006670,1831,2573,2603,2974,2879,3740
gene:AFUB_006680,4014,4578,4885,4185,5144,5633
gene:AFUB_006690,2210,2551,2782,4033,3768,5034
gene:AFUB_006700,2711,2316,2536,2860,3035,3792
gene:AFUB_006710,3922,3705,3694,3767,3945,4550
gene:AFUB_006720,45473,45806,53973,13300,13697,17205
gene:AFUB_006730,2205,2370,3297,9355,9769,13933
gene:AFUB_006740,391,351,419,768,768,1092
gene:AFUB_006750,1366,1444,1499,1385,1354,1722
gene:AFUB_006760,470,488,537,272,294,362
gene:AFUB_006770,334352,394268,445792,229333,256593,317531
gene:AFUB_006780,2527,3433,3853,6043,5176,7003
gene:AFUB_006790,1354,1623,2036,3403,3547,4734
gene:AFUB_006800,824,928,987,2054,2071,2555
gene:AFUB_006810,336,275,378,414,468,536
gene:AFUB_006820,104,158,141,77,56,64
gene:AFUB_006830,177,246,257,62,57,68
gene:AFUB_006840,824,923,957,1388,1532,1874
gene:AFUB_006850,210,207,205,2415,2461,2985
gene:AFUB_006860,41,33,57,3975,4081,5479
gene:AFUB_006870,982,806,832,2343,2190,2676
gene:AFUB_006880,394,322,339,1189,1493,1719
gene:AFUB_006890,438,427,524,1538,1587,1939
gene:AFUB_006900,3686,4139,4797,3850,3189,4300
gene:AFUB_006910,2364,2637,2957,1611,1624,2086
gene:AFUB_006920,323,237,283,511,503,527
gene:AFUB_006930,140,81,121,359,261,354
gene:AFUB_006940,37,27,24,54,19,58
gene:AFUB_006950,3848,4906,5689,1703,1887,2210
gene:AFUB_006960,11872,16149,18640,9004,10581,12747
gene:AFUB_006970,134,121,134,455,404,514
gene:AFUB_006980,3959,4657,5284,4379,3678,5184
gene:AFUB_006990,4215,4738,5056,3412,3897,4737
gene:AFUB_007000,5753,6596,7017,1882,2317,2501
gene:AFUB_007010,1368,1407,1499,1439,1539,1931
gene:AFUB_007020,14,25,23,223,116,213
gene:AFUB_007030,114,91,99,1680,1347,2138
gene:AFUB_007040,47,46,40,117,81,104
gene:AFUB_007050,1783,1347,1644,1795,1963,2361
gene:AFUB_007060,1388,1418,1349,2769,2733,3405
gene:AFUB_007070,1928,1942,2157,3015,3259,4135
gene:AFUB_007080,1453,1604,1791,4632,4463,5718
gene:AFUB_007090,2027,1849,2166,5419,5855,7255
gene:AFUB_007100,9467,11027,13128,6341,6506,7990
gene:AFUB_007110,1053,1032,925,3055,2438,3484
gene:AFUB_007120,194,129,123,364,417,394
gene:AFUB_007130,70,114,154,2403,2864,3639
gene:AFUB_007140,546,589,655,3252,3545,4212
gene:AFUB_007150,32188,36513,44935,11471,12223,14174
gene:AFUB_007160,3391,4118,4501,1687,1648,2049
gene:AFUB_007170,10588,11371,12112,9301,7577,10981
gene:AFUB_007180,115,75,112,626,643,796
gene:AFUB_007190,9198,9368,9806,2338,1566,2569
gene:AFUB_007200,1018,1115,1225,6044,7303,8517
gene:AFUB_007210,21789,22155,26189,5004,5016,7123
gene:AFUB_007220,511,535,597,514,414,584
gene:AFUB_007230,1287,1786,1899,3603,3667,4523
gene:AFUB_007240,1933,2409,2739,3089,3490,4069
gene:AFUB_007250,3,0,2,2,0,4
gene:AFUB_007260,684,716,687,729,657,858
gene:AFUB_007270,1062,839,1019,2067,2281,2835
gene:AFUB_007280,1001,750,894,2392,2284,2864
gene:AFUB_007290,89,51,86,329,299,409
gene:AFUB_007300,1939,1732,1907,3964,4162,5234
gene:AFUB_007310,367,310,323,672,629,767
gene:AFUB_007320,5800,7129,8201,3893,3858,4898
gene:AFUB_007330,2222,2283,2396,1023,1158,1353
gene:AFUB_007340,24162,25567,27407,6989,7918,9531
gene:AFUB_007350,441,476,465,750,663,986
gene:AFUB_007360,4472,6423,7525,2677,2699,3494
gene:AFUB_007370,849,1192,1054,1810,1719,2211
gene:AFUB_007380,2015,2055,2191,2792,3108,3729
gene:AFUB_007390,647,669,792,960,961,1202
gene:AFUB_007400,1,6,14,102,106,134
gene:AFUB_007410,51,108,165,4075,5285,6888
gene:AFUB_007420,1105,959,1116,1861,2022,2292
gene:AFUB_007430,2258,2624,2706,4139,4292,5112
gene:AFUB_007440,1428,1529,1697,1358,1393,1674
gene:AFUB_007450,8247,8130,8489,11721,9133,12567
gene:AFUB_007460,1091,975,1063,2734,2966,3717
gene:AFUB_007470,794,690,757,1507,1588,1970
gene:AFUB_007480,1,1,2,6,6,9
gene:AFUB_007490,2922,2597,2763,747,437,695
gene:AFUB_007500,1629,1839,1900,6233,5459,7380
gene:AFUB_007510,2607,2906,2979,2423,2276,2756
gene:AFUB_007520,2882,2458,2685,3079,2889,3635
gene:AFUB_007530,1779,1420,1569,2701,2540,3258
gene:AFUB_007540,17,14,21,17,17,26
gene:AFUB_007550,806,765,835,757,715,881
gene:AFUB_007560,1006,895,1021,2525,2936,3385
gene:AFUB_007570,400,311,358,1054,1159,1244
gene:AFUB_007580,2573,3251,3671,13398,12954,17286
gene:AFUB_007590,195,165,221,433,468,623
gene:AFUB_007600,700,654,758,3246,4257,4475
gene:AFUB_007610,2804,2686,3080,5276,5449,6571
gene:AFUB_007620,1721,1665,1779,2641,2968,3342
gene:AFUB_007630,158,129,133,133,148,166
gene:AFUB_007640,2926,3710,3855,1743,1730,2277
gene:AFUB_007650,1017,833,955,1245,1574,1843
gene:AFUB_007660,650,734,750,2218,2430,3039
gene:AFUB_007670,2511,2025,2555,3637,2951,4157
gene:AFUB_007680,18,15,11,60,61,88
gene:AFUB_007690,522,558,584,848,639,971
gene:AFUB_007700,111,300,572,5124,6301,6875
gene:AFUB_007710,652,756,831,1732,1748,2358
gene:AFUB_007720,21,14,12,254,91,255
gene:AFUB_007730,16021,9750,10234,14446,11806,16170
gene:AFUB_007740,471,489,526,327,344,430
gene:AFUB_007750,906,938,960,1116,1199,1378
gene:AFUB_007760,3306,3930,4514,3387,3858,4526
gene:AFUB_007770,24423,53569,57710,110529,122339,165230
gene:AFUB_007780,6277,6184,6678,2020,1956,2606
gene:AFUB_007790,1467,1412,1584,10518,12344,14380
gene:AFUB_007800,2636,2726,2997,5628,4852,6687
gene:AFUB_007810,1296,1122,1411,932,961,1177
gene:AFUB_007820,72,109,100,1262,1655,1869
gene:AFUB_007830,762,893,1107,1453,1066,1496
gene:AFUB_007840,1986,1860,2080,3794,4250,5229
gene:AFUB_007850,8278,9431,10838,2965,2803,3580
gene:AFUB_007860,3598,4101,4541,5087,5891,6982
gene:AFUB_007865,202,154,203,374,412,433
gene:AFUB_007870,1,1,1,38,42,55
gene:AFUB_007880,127,123,120,395,508,599
gene:AFUB_007890,738,800,868,382,365,441
gene:AFUB_007900,1003,1025,1285,415,530,519
gene:AFUB_007910,1838,1552,1748,3263,2974,3853
gene:AFUB_007920,1039,814,860,898,809,1002
gene:AFUB_007930,857,879,1014,953,1014,1196
gene:AFUB_007940,1123,1075,1156,1781,1407,1835
gene:AFUB_007950,1276,1115,1076,2659,2757,3156
gene:AFUB_007960,8332,9366,10942,4452,4423,5262
gene:AFUB_007970,1791,2130,2265,4335,4468,5376
gene:AFUB_007980,894,789,881,1119,1170,1396
gene:AFUB_007990,1048,897,889,1387,1279,1696
gene:AFUB_008000,1305,1416,1242,7062,7010,8651
gene:AFUB_008010,1928,2000,1915,5122,5860,6912
gene:AFUB_008020,3135,2592,2429,1866,1714,2294
gene:AFUB_008030,1050,891,1005,1495,1266,1740
gene:AFUB_008040,1726,1518,1381,1454,1394,1648
gene:AFUB_008050,8146,6640,8087,11634,10184,13035
gene:AFUB_008060,394,249,269,2095,1898,2593
gene:AFUB_008070,989,791,888,1389,1579,1892
gene:AFUB_008080,180,294,307,37915,35652,46250
gene:AFUB_008090,2330,2883,3171,2899,3562,3932
gene:AFUB_008100,3373,3962,4104,4468,4898,5703
gene:AFUB_008110,522,485,467,1074,1045,1418
gene:AFUB_008120,505,442,445,1278,1214,1624
gene:AFUB_008130,7607,7364,7795,6914,6922,8027
gene:AFUB_008140,1418,1602,1723,2115,2351,3005
gene:AFUB_008150,1488,1659,1757,1233,1391,1613
gene:AFUB_008160,575,386,494,837,791,1015
gene:AFUB_008170,19650,19326,22199,23287,27992,32725
gene:AFUB_008230,1822,1659,2066,1708,1866,2270
gene:AFUB_008240,1171,1027,1167,1868,2214,2343
gene:AFUB_008250,5761,6063,7343,2857,3494,3747
gene:AFUB_008260,5104,4500,5164,1899,1621,2356
gene:AFUB_008270,1980,2192,2334,986,1021,1296
gene:AFUB_008280,868,936,1098,562,572,669
gene:AFUB_008290,2389,2627,2302,4004,2869,4032
gene:AFUB_008300,3094,2732,3108,1231,1148,1518
gene:AFUB_008310,314,249,255,768,623,875
gene:AFUB_008320,1690,1859,1966,4298,4556,5537
gene:AFUB_008330,934,843,929,2945,3015,3574
gene:AFUB_008340,1247,1213,1218,3456,3518,4173
gene:AFUB_008350,2601,2525,2870,3067,3225,4023
gene:AFUB_008360,1603,1328,1493,2887,2870,3509
gene:AFUB_008370,973,1115,1355,429,473,533
gene:AFUB_008380,1638,1575,1670,2643,3097,3596
gene:AFUB_008390,1099,1042,1173,1479,1339,1978
gene:AFUB_008400,5041,5646,5909,2687,2923,3717
gene:AFUB_008410,532,475,529,1399,1136,1533
gene:AFUB_008420,507,503,571,1250,1243,1401
gene:AFUB_008430,12017,12802,15475,11328,10755,13380
gene:AFUB_008440,2563,3524,3934,3206,3121,4336
gene:AFUB_008450,38,47,57,123,129,172
gene:AFUB_008460,1139,926,917,2863,2653,3403
gene:AFUB_008470,2118,2461,2649,1673,1767,2155
gene:AFUB_008480,801,654,790,2128,1999,2662
gene:AFUB_008490,2273,1940,2273,2640,2494,3101
gene:AFUB_008500,644,500,538,898,766,1062
gene:AFUB_008510,289,314,290,1232,1369,1691
gene:AFUB_008520,53416,59021,72915,18483,19107,21447
gene:AFUB_008530,207,221,260,1337,1487,1796
gene:AFUB_008540,95,105,98,363,307,424
gene:AFUB_008550,1217,1552,1403,628,546,735
gene:AFUB_008560,8,5,7,494,350,508
gene:AFUB_008570,2598,2410,2722,1821,1921,2343
gene:AFUB_008580,317,354,452,1049,1207,1343
gene:AFUB_008590,2078,1594,1758,1687,1459,1997
gene:AFUB_008600,2091,2536,2844,2231,2524,3091
gene:AFUB_008610,386,363,380,2157,2439,2851
gene:AFUB_008620,4601,7275,7594,3911,3640,4938
gene:AFUB_008630,4043,5799,6093,4936,4693,5922
gene:AFUB_008640,575,652,629,1153,1414,1657
gene:AFUB_008650,541,500,564,763,765,1036
gene:AFUB_008660,868,965,976,1306,1474,1661
gene:AFUB_008670,1516,1586,1869,4600,5347,6498
gene:AFUB_008680,67,75,78,167,152,166
gene:AFUB_008690,599,645,608,1235,881,1145
gene:AFUB_008700,5378,5595,6500,6810,7310,8332
gene:AFUB_008710,3084,3286,3503,2708,3032,3717
gene:AFUB_008720,17,30,84,123,108,178
gene:AFUB_008730,714,691,799,417,316,454
gene:AFUB_008740,1534,2371,2783,1555,1595,2007
gene:AFUB_008750,10644,10952,11704,4721,4645,6056
gene:AFUB_008760,18,16,14,135,111,154
gene:AFUB_008800,1683,1669,1624,2438,2956,3345
gene:AFUB_008810,172,151,166,306,368,480
gene:AFUB_008820,2006,2378,2626,2696,2095,3059
gene:AFUB_008830,771,874,953,853,874,1109
gene:AFUB_008840,1070,1045,1142,1253,1290,1685
gene:AFUB_008850,2948,3234,3137,5005,4588,5870
gene:AFUB_008860,2750,3570,4048,2247,2304,2836
gene:AFUB_008870,506,493,509,336,309,404
gene:AFUB_008880,293,249,290,490,541,623
gene:AFUB_008890,62807,66558,78960,19513,20505,23778
gene:AFUB_008900,2281,2968,3237,3118,3353,4168
gene:AFUB_008910,924,850,935,1302,1174,1479
gene:AFUB_008920,3988,4133,4334,3385,3403,4387
gene:AFUB_008930,1700,1524,1711,919,993,1172
gene:AFUB_008940,2324,2603,3088,2177,2407,2925
gene:AFUB_008950,1947,1832,2140,4311,4379,5327
gene:AFUB_008960,1130,784,978,125,122,165
gene:AFUB_008970,100,110,121,189,219,262
gene:AFUB_008980,498,324,351,2161,1920,2559
gene:AFUB_008990,968,1078,1064,686,849,887
gene:AFUB_009000,1694,1697,1796,584,669,713
gene:AFUB_009010,610,573,604,1121,1315,1682
gene:AFUB_009020,831,914,857,2257,2058,2623
gene:AFUB_009030,377,771,785,2830,3318,3729
gene:AFUB_009040,1880,3110,3258,8892,9003,12043
gene:AFUB_009050,3267,3759,4397,2115,2445,2894
gene:AFUB_009060,1303,1494,1518,3383,3061,3884
gene:AFUB_009070,1356,1118,1144,1871,1868,2433
gene:AFUB_009080,3966,3877,4282,5788,5761,7093
gene:AFUB_009090,1054,1135,1165,1991,1514,2261
gene:AFUB_009100,405,302,354,713,973,1040
gene:AFUB_009110,8817,8763,9531,2068,1970,2443
gene:AFUB_009120,1299,1112,1374,6712,7279,9059
gene:AFUB_009130,733,651,649,1255,1378,1692
gene:AFUB_009140,1004,1411,1479,31895,27537,38095
gene:AFUB_009150,1530,1941,2152,9644,9191,12194
gene:AFUB_009160,4,3,2,8,10,4
gene:AFUB_009170,321,272,307,2545,1556,2603
gene:AFUB_009180,1129,964,1161,1405,1464,1756
gene:AFUB_009190,20,38,53,1394,2744,2057
gene:AFUB_009199,140,202,161,2736,2879,3657
gene:AFUB_009200,303,343,393,604,609,743
gene:AFUB_009210,807,631,808,1177,1241,1528
gene:AFUB_009220,4404,5313,6004,4095,2841,4162
gene:AFUB_009230,2676,2766,3246,1629,1839,2172
gene:AFUB_009240,972,805,933,1215,933,1346
gene:AFUB_009250,16877,17823,19389,12195,12746,15977
gene:AFUB_009260,2690,2769,3354,1486,1556,2077
gene:AFUB_009270,1862,1522,1543,2033,1779,2183
gene:AFUB_009280,4518,5463,6164,4531,4979,6063
gene:AFUB_009290,5240,6294,7369,3377,3288,4037
gene:AFUB_009300,1817,2487,2749,495,551,623
gene:AFUB_009310,1862,1979,1870,1882,1579,1964
gene:AFUB_009320,85,98,130,657,799,944
gene:AFUB_009330,202,786,1180,10291,15310,14757
gene:AFUB_009340,258,224,240,802,758,935
gene:AFUB_009350,145,146,159,564,507,648
gene:AFUB_009360,591,671,700,769,981,1022
gene:AFUB_009370,1520,2339,2409,5713,8474,8160
gene:AFUB_009380,2180,2662,2869,13942,14451,18039
gene:AFUB_009390,1832,1641,1857,2208,2444,3084
gene:AFUB_009400,499,427,452,582,534,722
gene:AFUB_009410,12749,15229,17790,7204,7847,9212
gene:AFUB_009420,54,85,117,2171,2859,3502
gene:AFUB_009430,741,496,639,1648,1261,1900
gene:AFUB_009440,17,2,16,35,21,31
gene:AFUB_009450,283,181,207,260,316,364
gene:AFUB_009460,4309,3823,4418,3043,3086,3796
gene:AFUB_009470,3879,3744,4202,13428,11200,15143
gene:AFUB_009480,291,168,204,250,299,342
gene:AFUB_009490,1316,800,903,2678,3415,4124
gene:AFUB_009500,201,247,244,1239,1460,1681
gene:AFUB_009510,376,324,419,208,182,252
gene:AFUB_009520,28,22,20,217,273,245
gene:AFUB_009530,18,11,19,136,127,145
gene:AFUB_009540,44600,41309,49025,11407,10989,14902
gene:AFUB_009550,7,7,7,43,25,55
gene:AFUB_009560,23,25,17,101,119,148
gene:AFUB_009570,3,3,5,80,63,94
gene:AFUB_009580,35,23,27,357,448,446
gene:AFUB_009590,70,28,33,226,58,187
gene:AFUB_009600,1531,1552,1776,4171,3732,5136
gene:AFUB_009610,2494,2787,3237,4141,3647,4889
gene:AFUB_009620,711,304,378,144,105,140
gene:AFUB_009630,471,298,450,1915,2246,3048
gene:AFUB_009640,630,417,460,43,20,53
gene:AFUB_009650,0,0,0,1,2,3
gene:AFUB_009660,20,14,13,30,13,29
gene:AFUB_009670,18,7,9,24,15,27
gene:AFUB_009680,670,901,1015,672,735,884
gene:AFUB_009690,781,852,1021,1775,1802,2410
gene:AFUB_009700,2933,3205,3561,5395,3729,5626
gene:AFUB_009710,12,6,12,36,18,36
gene:AFUB_009720,8867,10570,11349,9713,9676,11742
gene:AFUB_009730,2396,2674,2948,3308,2992,3714
gene:AFUB_009740,1868,1949,2013,2238,2463,2847
gene:AFUB_009750,520,613,684,3800,4798,5631
gene:AFUB_009760,32106,30607,34327,13277,13780,17537
gene:AFUB_009770,1843,1711,2258,1684,2190,2431
gene:AFUB_009780,1745,1963,2228,2083,2083,2426
gene:AFUB_009790,255,787,845,1191,884,1251
gene:AFUB_009800,410,162,289,425,274,432
gene:AFUB_009810,8,4,3,180,164,218
gene:AFUB_009820,2725,3263,3467,2010,1518,2134
gene:AFUB_009830,1395,1263,1535,3210,3059,4036
gene:AFUB_009840,22,20,9,119,114,129
gene:AFUB_009850,1373,1641,2117,1008,1034,1220
gene:AFUB_009860,3741,5466,5822,2724,2385,3116
gene:AFUB_009870,1101,968,1127,1297,1103,1417
gene:AFUB_009880,673,692,838,681,738,903
gene:AFUB_009900,830,1648,1375,4120,3992,5345
gene:AFUB_009910,573,425,536,4003,3217,4458
gene:AFUB_009920,981,1292,1346,1076,1068,1467
gene:AFUB_009930,772,803,719,1832,1958,2406
gene:AFUB_009940,49721,55625,70334,19436,20810,21592
gene:AFUB_009950,1364,1451,1566,1423,1394,1711
gene:AFUB_009960,1324,1291,1418,2630,2559,3465
gene:AFUB_009970,661,616,712,2116,2389,3478
gene:AFUB_009980,5536,7445,8734,6055,5437,7714
gene:AFUB_009990,1246,1286,1528,2486,2814,3386
gene:AFUB_010000,6325,5072,5016,3376,3045,3779
gene:AFUB_010010,30,24,23,528,394,615
gene:AFUB_010020,1110,894,1065,2477,2077,2904
gene:AFUB_010030,3187,1967,2713,10157,9838,13013
gene:AFUB_010040,1234,994,1108,2564,2110,2833
gene:AFUB_010050,45967,42485,50217,11664,11534,14155
gene:AFUB_010060,1623,1968,2098,1048,1123,1370
gene:AFUB_010070,344,361,428,2105,2409,3356
gene:AFUB_010080,1246,967,889,580,468,627
gene:AFUB_010090,823,709,810,1469,1253,1647
gene:AFUB_010100,1584,1909,2029,3213,3670,4341
gene:AFUB_010110,1866,1666,1713,2759,2658,3183
gene:AFUB_010120,883,923,974,911,1021,1236
gene:AFUB_010130,2215,2368,2644,3416,3475,4285
gene:AFUB_010140,1322,1246,1598,1606,1290,1774
gene:AFUB_010150,25,23,37,119,128,123
gene:AFUB_010160,1000,996,1141,851,944,1085
gene:AFUB_010170,845,892,987,867,830,1011
gene:AFUB_010180,4104,5612,6104,4068,3642,4866
gene:AFUB_010190,887,714,802,2565,2718,3277
gene:AFUB_010200,1716,1720,2061,1493,1679,2047
gene:AFUB_010210,177,221,253,387,396,420
gene:AFUB_010220,1319,1857,2042,866,1059,1178
gene:AFUB_010230,1662,1526,1880,2895,3070,3842
gene:AFUB_010240,9284,8649,10264,3233,2892,3931
gene:AFUB_010250,244,227,266,201,208,293
gene:AFUB_010260,570,634,745,4941,7042,8585
gene:AFUB_010270,2283,2472,2869,3316,3912,4841
gene:AFUB_010280,2559,2689,2894,2538,2250,2881
gene:AFUB_010290,3,4,8,199,270,326
gene:AFUB_010300,1074,1090,1178,6612,5880,7759
gene:AFUB_010310,1,0,0,122,57,123
gene:AFUB_010320,1193,1020,1021,1518,1611,1841
gene:AFUB_010330,20726,20766,23494,5942,6127,8405
gene:AFUB_010340,851,741,828,2114,2546,2903
gene:AFUB_010350,69,36,38,98,65,100
gene:AFUB_010360,1363,1104,1227,3026,2320,3225
gene:AFUB_010370,1101,949,1067,2528,2772,3484
gene:AFUB_010380,936,851,994,989,1219,1282
gene:AFUB_010390,7546,8028,8831,4091,3969,4932
gene:AFUB_010400,544,708,778,620,663,750
gene:AFUB_010410,1662,2524,2886,1226,1252,1595
gene:AFUB_010420,385,328,345,1465,1406,1672
gene:AFUB_010430,18,25,31,73,89,86
gene:AFUB_010440,0,2,1,22,7,19
gene:AFUB_010450,20,19,20,21,22,29
gene:AFUB_010460,14,7,11,38,17,31
