,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_2799,1026,838,949,1106,14,33,20,20,37,66,45,72
CDR20291_2800,4888,3504,8780,5666,196,145,187,223,17,8,9,17
CDR20291_2801,6,13,5,2,77,123,267,135,102,141,69,93
CDR20291_2802,140,100,112,169,204,198,269,216,47,103,47,128
CDR20291_2803,46,44,24,34,612,623,786,671,24,29,7,23
CDR20291_2804,185,183,143,153,422,398,520,375,101,243,68,245
CDR20291_2805,113,93,83,98,1536,1740,1995,1527,85,150,26,71
CDR20291_2806,34,43,45,32,546,524,607,499,126,182,80,84
CDR20291_2807,155,207,242,372,703,712,601,568,423,490,335,228
CDR20291_2809,294,265,268,358,964,1004,718,660,303,335,211,144
CDR20291_2810,143,134,197,190,274,287,258,219,1162,1238,1250,590
CDR20291_2811,483,485,615,662,80,89,69,73,335,348,408,214
CDR20291_2812,302,275,350,412,83,84,103,125,455,437,406,266
CDR20291_2813,1108,1232,1481,1596,16,34,47,60,552,523,459,373
CDR20291_2814,302,372,472,468,38,49,54,53,151,215,141,233
CDR20291_2815,406,448,466,507,38,48,79,71,38,50,33,55
CDR20291_2816,476,639,675,695,18,17,40,29,66,98,30,90
CDR20291_2817,176,184,167,239,242,239,446,286,18,29,14,29
CDR20291_2818,44,50,44,71,68,69,109,71,29,38,23,51
CDR20291_2819,210,199,201,228,38,56,142,84,22,45,26,61
CDR20291_2820,56,60,64,78,69,101,215,179,5,13,19,36
CDR20291_2821,85,79,49,71,1280,1532,4225,4506,217,286,362,798
CDR20291_2822,103,70,81,156,470,850,3811,3371,39,49,10,43
CDR20291_2823,38,22,46,82,941,1529,7867,6165,26,34,8,26
CDR20291_2824,429,351,2236,2842,1197,1072,2003,1579,24,39,10,59
CDR20291_2825,187,213,1036,1514,1468,1645,2792,1932,225,284,388,432
CDR20291_2826,196,212,942,1497,987,1234,1864,1451,121,115,329,276
CDR20291_2827,153,168,656,1048,301,381,591,466,309,324,781,726
CDR20291_2828,777,705,2950,2466,2991,2425,485,253,752,904,562,730
CDR20291_2829,475,516,2060,1919,2908,2334,457,250,876,1170,339,437
CDR20291_2830,935,1002,3175,4077,3118,2387,389,172,628,977,245,488
CDR20291_2831,797,770,785,1200,576,468,67,29,101,91,63,107
CDR20291_2832,4468,4290,4477,5974,2162,1802,303,148,87,99,79,64
CDR20291_2834,5114,4832,6125,7487,508,763,1107,732,65,85,93,74
CDR20291_2835,1742,1612,1945,2515,5200,4870,1046,788,72,76,34,33
CDR20291_2836,106,86,158,134,200,254,320,249,14,11,4,2
CDR20291_2837,68,88,111,124,2284,1991,2619,2449,115,111,60,60
CDR20291_2838,61,43,99,98,690,561,1147,1031,679,854,448,668
CDR20291_2839,7,9,6,16,277,217,405,429,315,378,179,230
CDR20291_2840,95,72,137,144,291,318,881,703,166,191,182,179
CDR20291_2841,1276,1041,1443,1723,118,148,396,300,996,1098,2388,1411
CDR20291_2842,291,257,527,445,38,31,89,60,435,415,1459,811
CDR20291_2843,218,255,163,235,38,66,95,87,157,132,563,268
CDR20291_2845,1605,2320,1481,1482,135,128,377,263,152,211,116,154
CDR20291_2846,398,539,684,724,44,53,106,89,67,92,62,61
CDR20291_2847,528,564,668,708,1702,2073,2852,2971,9,30,24,17
CDR20291_2848,172594,204516,240158,256960,566,990,1714,1530,28,33,33,44
CDR20291_2849,55141,59861,74365,83780,103,161,248,221,96,146,106,116
CDR20291_2850,11844,14672,17464,18982,34,24,43,68,54,76,32,74
CDR20291_2851,17847,19457,23847,28851,32,22,37,30,1206,2205,354,1097
CDR20291_2852,53911,54058,68840,96989,19,11,14,21,527,1041,162,270
CDR20291_2853,1564,1512,2183,2647,27,39,38,32,71,127,90,210
CDR20291_2854,12318,12308,7344,8345,37,25,49,38,22,19,18,45
CDR20291_2855,8224,8400,4101,5457,265,370,1575,939,8,12,20,38
CDR20291_2856,271,219,182,345,19,31,79,79,8,9,11,31
CDR20291_2857,84,85,87,102,28,27,82,99,25,38,13,47
CDR20291_2858,46,38,46,41,3145,4725,8480,6921,27,37,21,39
CDR20291_2859,34,50,42,41,37,71,81,72,71,100,125,215
CDR20291_2860,151,147,195,199,1688,1282,690,573,14,15,27,20
CDR20291_2861,124,185,170,204,187,237,449,514,13,7,44,25
CDR20291_2862,3952,2783,2253,3000,1222,1174,1555,1801,3968,5672,2902,5282
CDR20291_2863,77,40,69,90,442,577,1360,980,39,36,28,30
CDR20291_2864,100,64,93,84,1498,1373,921,840,234,313,298,297
CDR20291_2866,14680,11442,13258,16828,1458,1853,5437,5272,140,200,141,306
CDR20291_2867,159,263,120,64,1288,1390,3563,2752,669,798,628,755
CDR20291_2868,2413,3857,828,419,685,810,1518,1405,177,326,109,211
CDR20291_2869,271,301,421,500,4861,4793,6950,7234,1797,2608,2045,3817
CDR20291_2870,1453,1555,2261,2114,595,785,1544,1365,563,568,914,781
CDR20291_2871,22807,20745,15083,19465,504,654,891,854,679,788,2269,1692
CDR20291_2872,1571,1458,1427,1638,167,292,439,347,362,495,1326,1262
CDR20291_2873,1270,1543,2865,3344,59,63,147,112,3138,3807,3360,3889
CDR20291_2874,988,1105,1992,2285,23,39,26,50,542,521,1279,594
CDR20291_2875,718,596,1055,908,13,15,20,20,478,705,226,367
CDR20291_2876,8011,7688,10545,11946,120,101,98,79,130,250,71,143
CDR20291_2877,1203,1229,1656,1751,25,26,21,19,61,64,35,86
CDR20291_2878,3723,3700,3902,4424,8,5,12,6,53,31,19,59
CDR20291_2879,481,412,364,460,33,74,177,80,49,33,13,31
CDR20291_2880,96,110,85,110,27,64,174,111,168,136,79,82
CDR20291_2881,48,22,36,47,55,102,219,143,63,45,5,19
CDR20291_2882,22,15,23,20,122,173,230,166,2,8,13,9
CDR20291_2883,129,94,105,68,34,35,46,45,60,70,31,69
CDR20291_2884,28,38,20,31,20,25,33,42,15,44,20,53
CDR20291_2885,19,44,25,85,19,25,39,30,45,65,34,51
CDR20291_2886,313,336,257,429,10,32,36,17,155,214,105,145
CDR20291_2887,161,140,175,234,47,48,53,78,47,26,25,31
CDR20291_2888,142,139,182,202,31,25,26,26,12,38,32,103
CDR20291_2889,489,427,432,618,214,355,526,411,23,28,4,25
CDR20291_2890,88,91,101,117,37,51,63,53,10,16,4,8
CDR20291_2891,61,88,56,67,301,288,481,634,33,35,38,66
CDR20291_2892,54,53,43,60,101,95,310,298,9,46,21,44
CDR20291_2893,59,35,23,28,972,1395,2172,1955,211,415,45,139
CDR20291_2894,127,140,67,112,2585,2118,3535,3618,16,51,25,54
CDR20291_2895,77,54,54,59,2030,1675,2892,3003,202,220,276,398
CDR20291_2896,1538,1444,1206,1694,3188,2825,4402,4365,104,88,175,125
CDR20291_2897,79,96,61,103,181,245,309,328,660,850,1541,804
CDR20291_2898,427,379,425,424,288,423,606,663,1226,1136,4590,2428
CDR20291_2899,154,125,120,152,80,156,120,84,972,968,3835,1596
CDR20291_2900,2113,2008,1870,2587,2818,5007,2321,2013,1507,1418,5520,1860
CDR20291_2901,959,974,2109,1743,589,605,759,751,206,243,156,118
CDR20291_2902,877,913,2059,1474,1880,2028,2008,1573,316,399,301,463
CDR20291_2903,1416,1413,3067,2042,114,97,138,99,81,180,27,113
CDR20291_2904,331,337,177,258,425,471,576,454,4098,5573,1245,2506
CDR20291_2905,664,595,281,401,380,526,628,479,397,523,267,374
CDR20291_2906,328,276,85,128,29,10,29,34,1722,2048,442,498
CDR20291_2907,3991,3268,467,640,9,5,10,19,86,119,42,39
CDR20291_2908,726,824,748,1009,87,76,134,93,285,397,104,128
CDR20291_2909,3521,3499,3527,3988,22,29,49,19,240,319,124,206
CDR20291_2910,266,261,269,289,34,44,54,50,14,11,17,28
CDR20291_2911,1021,1090,949,1258,7,7,3,12,19,3,8,7
CDR20291_2912,1224,1311,1099,1579,13,22,31,34,63,99,55,110
CDR20291_2914,8,9,28,17,64,96,129,162,11,12,13,17
CDR20291_2915,4,16,2,13,133,139,446,624,27,26,33,57
CDR20291_2916,169,173,119,259,36,71,304,309,0,0,7,5
CDR20291_2917,36,39,49,63,68,56,1130,1436,8,4,5,21
CDR20291_2918,79,67,75,83,2818,2377,40630,52917,2,3,1,9
CDR20291_2920,2,18,9,7,3479,3535,60629,73059,48,59,15,70
CDR20291_2921,10,0,5,5,85,147,982,735,68,104,66,83
CDR20291_2922,75,112,59,110,5957,6281,97284,140174,81,193,42,118
CDR20291_2923,118,113,118,187,235,269,946,1131,45,68,19,42
CDR20291_2924,272,286,238,299,18,11,1,3,55,159,27,128
CDR20291_2925,75,63,58,88,34,23,51,60,1429,5595,1171,3091
CDR20291_2926,54,41,45,91,105,118,117,102,2178,7849,1491,3695
CDR20291_2927,542,370,224,109,22,27,53,27,98,166,40,234
CDR20291_2928,1009,766,400,198,6,4,22,6,3669,12448,6659,23134
CDR20291_2929,332,265,189,272,117,119,153,128,108,140,340,273
CDR20291_2930,4441,4149,2344,1599,46,51,73,48,5,4,4,14
CDR20291_2931,144,120,163,168,99,98,124,132,33,33,41,89
CDR20291_2932,2,1,17,17,20,32,43,53,40,87,30,59
CDR20291_2933,96,92,76,92,207,273,460,408,20,22,14,18
CDR20291_2934,172,165,187,224,90,88,128,108,0,9,3,8
CDR20291_2935,62,45,51,61,68,62,113,74,92,106,51,102
CDR20291_2936,10,20,6,15,54,75,175,58,35,26,23,34
CDR20291_2937,191,163,288,426,300,347,606,424,60,76,62,59
CDR20291_2938,99,87,117,205,7,17,15,32,18,23,34,44
CDR20291_2939,54,42,41,49,57,53,82,96,131,205,68,189
CDR20291_2940,39,60,46,83,56,71,151,103,52,58,33,63
CDR20291_2941,604,609,626,877,542,767,883,655,21,57,15,23
CDR20291_2942,184,217,166,298,23,39,62,50,96,117,79,108
CDR20291_2943,127,189,131,148,19,23,28,31,238,385,209,277
CDR20291_2944,187,174,204,274,7,4,4,3,13,12,20,32
CDR20291_2945,667,545,605,868,107,131,302,229,36,36,39,59
CDR20291_2946,17,15,5,19,233,345,395,333,44,78,44,55
CDR20291_2947,57,56,74,102,92,133,219,175,466,718,155,382
CDR20291_2948,153,171,185,173,19,16,21,30,28,22,17,31
CDR20291_2950,2518,2278,1906,2565,102,136,164,139,21,15,33,38
CDR20291_2951,74,75,72,61,170,219,281,217,4,2,3,9
CDR20291_2952,74,73,60,53,69,97,126,72,76,94,73,112
CDR20291_2953,12,10,7,7,142,208,229,205,397,473,249,358
CDR20291_2954,557,480,398,488,21,29,30,43,184,254,114,158
CDR20291_2955,652,515,410,565,19,9,5,20,12,37,22,17
CDR20291_2956,166,211,168,216,323,453,667,567,70,70,30,53
CDR20291_2957,26,34,34,20,167,273,302,280,91,116,50,56
CDR20291_2958,279,249,315,305,145,179,200,209,108,134,43,96
CDR20291_2959,632,592,565,605,103,113,155,138,158,222,103,126
CDR20291_2960,279,229,197,269,213,204,487,398,16,23,28,30
CDR20291_2961,656,848,568,1126,208,280,441,351,12,10,22,25
CDR20291_2962,48,48,85,60,33,31,63,45,150,266,28,113
CDR20291_2963,31,23,22,25,1052,1120,354,375,237,349,197,268
CDR20291_2964,1090,954,1166,1626,507,593,370,286,99,182,143,134
CDR20291_2965,629,510,505,648,887,1332,454,396,89,131,98,132
CDR20291_2966,189,212,237,235,606,944,216,205,97,132,47,74
CDR20291_2967,184,191,164,229,184,216,220,165,157,192,74,137
CDR20291_2968,817,772,856,969,37,59,95,60,10,20,1,21
CDR20291_2969,847,828,779,982,147,232,263,194,447,662,69,109
CDR20291_2970,163,170,115,216,156,163,130,105,354,458,99,154
CDR20291_2971,383,271,95,98,41,27,36,29,418,590,100,163
CDR20291_2972,433,398,298,424,398,576,2617,1312,394,572,122,194
CDR20291_2973,471,358,124,183,40,66,130,110,121,213,62,99
CDR20291_2974,357,272,100,147,17,31,47,34,71,61,47,42
CDR20291_2975,182,213,159,212,812,1190,2026,1681,214,328,158,226
CDR20291_2976,61,64,23,42,85,101,54,65,97,136,86,77
CDR20291_2977,121,80,90,95,415,509,282,247,33,39,20,24
CDR20291_2978,151,124,91,75,1907,2322,1473,1281,319,511,55,97
CDR20291_2979,66,69,37,34,194,292,189,138,26,53,16,49
CDR20291_2980,8140,7599,6569,6640,525,892,614,481,17,28,15,20
CDR20291_2981,669,763,420,705,817,934,615,739,387,854,195,565
CDR20291_2982,280,243,152,265,2142,2558,2587,2454,172,195,30,47
CDR20291_2983,10911,9399,6354,8675,1916,2643,2800,2202,743,872,188,250
CDR20291_2984,238,238,150,196,38,45,75,49,2595,3276,738,1239
CDR20291_2985,1126,980,740,927,27,33,56,40,213,272,149,203
CDR20291_2986,3228,3622,2199,2744,2949,3753,4163,2761,647,955,528,761
CDR20291_2987,247,402,213,327,1271,1971,2104,1356,728,1219,519,1249
CDR20291_2988,789,949,688,952,1084,1792,1803,1135,1353,1887,891,1275
CDR20291_2989,672,586,704,822,402,721,831,462,1959,2327,1502,1998
CDR20291_2990,4032,4703,4497,5633,423,710,754,428,24,44,9,31
CDR20291_2991,4221,4841,4577,6035,49,64,61,61,26,32,7,24
CDR20291_2992,211,241,220,258,49,57,71,78,2462,2815,771,723
CDR20291_2993,171,146,160,190,4,9,7,24,1086,1229,351,445
CDR20291_2994,2767,3050,2703,3337,3,1,9,1,828,1079,303,639
CDR20291_2995,1134,1308,1334,1541,33,83,188,83,307,559,286,412
CDR20291_2996,1000,1194,1024,1418,14,32,63,35,493,661,449,550
CDR20291_2997,448,585,515,841,136,180,285,195,54,56,17,86
CDR20291_2998,511,537,500,804,751,951,1071,886,31,22,21,39
CDR20291_2999,88,104,89,133,147,200,192,178,2,7,11,19
CDR20291_3000,36,48,57,84,138,169,179,147,0,2,5,9
CDR20291_3001,4,10,12,12,5860,7978,6501,4108,44,60,17,51
CDR20291_3002,1,6,4,7,2605,3465,5678,3605,21,25,7,16
CDR20291_3004,211,233,217,384,5463,6367,5514,4617,133,162,87,88
CDR20291_3005,88,118,82,168,99,132,146,120,514,646,260,304
CDR20291_3006,570,540,468,652,15,24,43,26,182,245,128,228
CDR20291_3007,1826,1825,1759,2165,79,85,75,56,150,237,69,169
CDR20291_3008,232,261,201,271,24,37,33,25,5260,6387,3184,4342
CDR20291_3009,210,157,144,128,162,160,126,94,2839,4504,1726,3033
CDR20291_3010,3672,3853,4326,5001,1859,2325,1992,1503,3744,3885,1781,2067
CDR20291_3011,3359,4320,4759,4040,194,217,198,105,157,194,144,203
CDR20291_3012,7936,7516,8814,10292,235,352,267,145,27,44,36,54
CDR20291_3013,576,682,489,602,3428,3216,3496,3201,96,100,86,108
CDR20291_3014,115,139,101,147,61,77,67,44,38,53,36,37
CDR20291_3015,368,370,310,371,838,1202,1107,559,187,208,109,152
CDR20291_3016,167,156,125,162,2946,2970,4997,3004,1820,1913,1308,1856
CDR20291_3017,278,250,234,313,204,326,371,261,216,309,178,230
CDR20291_3018,4058,3754,3555,4326,23662,23933,47504,60030,232,288,234,189
CDR20291_3019,109,86,98,80,12313,14160,30247,34896,2055,2329,2523,2266
CDR20291_3020,175,177,163,197,5421,7811,14940,15355,73,86,31,28
CDR20291_3021,1871,1558,2475,3198,2706,3695,11540,15938,921,1132,408,1097
CDR20291_3022,143,125,118,197,10296,15531,43482,76623,2671,4065,1199,3920
CDR20291_3023,1910,1935,1904,2433,2327,4528,18420,27222,219,294,127,162
CDR20291_3024,11573,9838,6848,9420,983,1378,1957,1564,12732,22155,25578,17565
CDR20291_3025,325,333,297,466,291,222,135,107,6848,9831,22066,10938
CDR20291_3026,31025,32197,41592,42933,226,165,153,117,3169,4213,10261,5183
CDR20291_3027,11723,13152,16707,16572,405,363,134,131,1355,2710,2176,2604
CDR20291_3028,6269,6763,7915,8213,361,271,189,174,3511,7540,8669,13586
CDR20291_3029,5382,6688,6194,8970,365,264,149,90,1322,2457,2898,4374
CDR20291_3030,5173,5677,5318,7214,1295,992,795,689,1075,1318,1033,1182
CDR20291_3031,3300,3045,2927,3925,960,759,397,388,236,298,60,71
CDR20291_3032,1995,1892,1378,2211,1303,960,280,194,284,319,52,50
CDR20291_3033,134,133,76,110,149,259,331,274,548,511,99,75
CDR20291_3034,154,167,102,108,200,336,476,361,635,641,146,142
CDR20291_3035,253,225,209,229,920,890,878,566,508,576,187,111
CDR20291_3036,268,315,235,258,40,46,35,42,1903,2520,688,812
CDR20291_3037,243,194,161,194,704,872,705,603,1300,1723,568,551
CDR20291_3038,944,1031,802,879,446,461,447,390,1801,2539,244,307
CDR20291_3039,428,465,424,301,1038,1240,1063,895,133,250,78,116
CDR20291_3040,960,373,494,260,2162,2364,2939,2458,385,571,254,291
CDR20291_3041,467,465,289,411,47,44,54,47,2515,3588,1150,1076
CDR20291_3042,544,579,452,738,102,146,133,135,32,39,11,19
CDR20291_3043,581,519,522,659,91,94,122,86,438,628,181,221
CDR20291_3044,94,92,54,108,85,117,132,110,200,266,94,114
CDR20291_3045,834,809,660,889,18,26,52,35,484,759,232,281
CDR20291_3046,609,601,469,575,49,70,121,68,1752,1903,1380,1661
CDR20291_3047,1374,1299,1221,1361,154,175,256,233,25,14,17,22
CDR20291_3048,3365,3174,2904,4391,99,115,120,138,39,65,45,40
CDR20291_3049,48,52,45,67,90,70,104,117,41,87,66,63
CDR20291_3050,153,153,169,210,28,43,59,41,62,121,60,73
CDR20291_3051,202,195,153,238,16,13,20,28,18,17,14,37
CDR20291_3052,214,176,217,242,12,8,8,12,73,64,28,54
CDR20291_3053,22,31,48,34,6,5,3,5,197,232,132,163
CDR20291_3054,312,350,341,420,160,264,363,342,99,130,83,80
CDR20291_3055,1017,963,980,1051,69,100,165,135,107,112,56,42
CDR20291_3056,426,472,401,470,374,498,826,709,51,43,33,42
CDR20291_3057,340,396,402,374,144,243,423,278,24,23,20,44
CDR20291_3058,329,339,270,341,194,438,389,456,8,5,11,17
CDR20291_3059,37,18,30,45,44,122,127,78,2,4,6,7
CDR20291_3060,18,20,28,34,48,92,111,82,100,151,72,137
CDR20291_3061,4,10,6,13,111,102,157,136,69,69,44,65
CDR20291_3062,361,335,401,424,180,276,299,330,512,537,272,478
CDR20291_3063,170,148,160,203,394,500,444,393,161,268,98,175
CDR20291_3064,519,393,452,570,87,88,61,76,386,588,43,176
CDR20291_3065,480,441,396,722,41,46,83,65,69,137,14,91
CDR20291_3066,869,861,595,861,448,454,943,822,204,381,51,191
CDR20291_3067,266,282,146,263,1186,1099,2480,1922,260,497,129,411
CDR20291_3068,257,312,219,236,62,72,94,117,414,602,151,522
CDR20291_3069,479,385,313,334,310,343,328,242,324,426,283,633
CDR20291_3070,1018,954,653,868,334,450,568,658,78,90,51,153
CDR20291_3071,298,322,382,573,88,127,232,213,18,44,15,43
CDR20291_3072,52,42,62,48,11,28,48,45,330,341,885,402
CDR20291_3073,42,64,74,108,2270,2569,4315,4775,958,825,2403,1127
CDR20291_3074,293,222,599,625,435,570,1262,1156,67,71,96,101
CDR20291_3075,755,818,1862,1558,131,209,348,304,522,802,184,482
CDR20291_3076,103,109,134,125,1454,1767,3365,2709,177,268,64,226
CDR20291_3077,667,661,555,779,2032,2168,3431,3072,55,63,25,72
CDR20291_3078,1389,1265,1251,1447,1686,1751,2903,2736,6,11,11,9
CDR20291_3079,356,413,326,495,2623,3025,3892,4033,748,790,871,743
CDR20291_3080,39,52,59,56,5161,4357,3609,2772,281,278,64,184
CDR20291_3081,2782,3032,6238,5563,186,258,313,224,46,88,29,48
CDR20291_3082,5498,5776,6370,7393,43,44,38,21,1202,1242,1315,689
CDR20291_3083,1144,1111,1168,2016,2069,1754,617,470,1276,1252,1821,954
CDR20291_3084,2781,2739,5164,5161,421,632,740,520,1096,1103,1317,725
CDR20291_3085,3174,3037,5489,5605,124,238,615,479,1796,2085,1887,1318
CDR20291_3086,2550,2462,4582,4559,19,24,232,175,3194,3199,3586,3396
CDR20291_3087,4987,4733,7200,7480,1948,1993,19213,18794,151,219,136,187
CDR20291_3088,1394,1499,1523,1920,4043,3149,43055,47545,20,22,46,43
CDR20291_3089,495,554,522,754,779,614,11216,9769,162,128,135,137
CDR20291_3090,175,207,124,169,535,437,6521,6915,558,694,420,694
CDR20291_3092,428,423,23479,30474,787,615,11801,11453,85,119,20,84
CDR20291_3093,808,832,826,1271,1543,1161,16077,18204,15,29,31,36
CDR20291_3094,1628,1271,936,1929,484,344,6582,6555,1431,1895,5247,3325
CDR20291_3095,76,48,36,48,3492,2991,55508,51023,765,1139,9031,6085
CDR20291_3096,1139,1294,1086,1403,832,890,1611,1427,214,240,1832,1048
CDR20291_3097,1930,1861,2297,2722,451,527,10310,10075,133,191,1390,751
CDR20291_3098,631,750,731,899,85,90,491,267,232,274,2147,1217
CDR20291_3099,695,709,702,758,180,189,1550,1005,382,413,3951,2780
CDR20291_3100,950,1004,1067,1068,6495,6134,8498,9193,121,136,1016,719
CDR20291_3101,2337,2451,2890,2888,104,147,359,290,910,958,6741,5098
CDR20291_3102,811,906,983,982,160,211,660,406,344,434,585,683
CDR20291_3103,6012,6368,7563,8402,392,808,1685,977,107,188,484,716
CDR20291_3104,821,794,851,1377,522,1011,1924,962,52,66,53,114
CDR20291_3105,425,422,515,775,2579,2457,5006,4886,34,54,39,50
CDR20291_3106,130,182,241,237,2144,2504,3496,3256,6769,8787,4278,7951
CDR20291_3107,297,416,693,636,8,15,16,12,106,182,139,210
CDR20291_3108,7955,5233,5918,7661,21,11,26,35,100,224,28,90
CDR20291_3109,643,682,562,757,49,93,146,117,888,1152,283,594
CDR20291_3110,1694,1557,1447,2058,30,37,97,91,816,1114,487,763
CDR20291_3111,2052,1831,1179,2405,23,43,115,115,1525,2300,815,671
CDR20291_3112,1846,1956,1415,2084,13,17,18,24,1408,1768,240,290
CDR20291_3113,3045,3143,3576,3817,18,9,32,14,10,7,11,16
CDR20291_3114,8663,8885,9602,10645,12,20,27,39,9,12,15,79
CDR20291_3115,16,19,23,25,19,16,10,21,111,147,78,164
CDR20291_3116,21,17,17,30,139,186,226,232,22,29,48,77
CDR20291_3117,142,159,160,215,101,132,177,162,23,16,45,18
CDR20291_3118,42,45,70,61,70,131,198,179,7,5,22,16
CDR20291_3119,32,26,53,43,127,220,402,273,4,5,26,19
CDR20291_3120,20,20,19,23,102,123,213,131,15,28,8,15
CDR20291_3121,14,8,23,29,1586,1962,2220,2181,8,14,8,10
CDR20291_3122,146,153,177,199,2241,2791,3565,3174,78,131,57,94
CDR20291_3123,19,29,40,24,278,255,334,302,114,138,86,145
CDR20291_3124,369,276,279,310,571,1031,876,664,80,113,17,39
CDR20291_3125,213,181,187,213,240,385,579,338,133,196,61,79
CDR20291_3126,374,342,187,371,64,65,116,82,58,133,30,60
CDR20291_3127,775,835,406,705,1673,2188,3581,2542,1154,1316,516,483
CDR20291_3128,458,420,246,393,398,285,99,101,1524,1939,807,1072
CDR20291_3129,3133,2998,3979,4047,138,112,41,34,268,269,166,223
CDR20291_3130,4760,4753,6264,6861,103,74,17,23,572,853,272,955
CDR20291_3131,420,493,616,708,26,14,12,6,291,394,114,401
CDR20291_3132,992,751,1181,1326,36,19,3,12,25,39,12,14
CDR20291_3133,1289,1178,1341,2073,127,147,179,145,782,1158,196,471
CDR20291_3134,169,159,796,1401,416,398,435,429,261,151,85,94
CDR20291_3135,3730,3789,21403,28900,3954,3948,2713,2423,114,87,33,33
CDR20291_3136,105,99,113,124,348,403,217,189,81,46,20,13
CDR20291_3137,35,35,32,41,617,709,758,699,22,19,5,20
CDR20291_3138,28,24,15,18,2840,3489,4221,5066,15,21,5,21
CDR20291_3139,5,6,4,6,466,801,1061,929,89,122,97,113
CDR20291_3140,6,19,2,7,223,386,681,450,207,238,135,93
CDR20291_3141,317,287,240,326,567,922,1113,660,1834,2062,1808,1237
CDR20291_3142,558,526,518,740,675,915,1236,637,198,222,131,184
CDR20291_3143,1534,1489,1510,1929,229,374,636,397,354,405,306,547
CDR20291_3144,201,202,153,228,16,4,35,26,2023,2430,1644,3132
CDR20291_3145,1177,972,1116,1532,23,17,84,29,448,564,142,263
CDR20291_3146,16687,16936,21675,28783,3,5,16,17,341,453,137,210
CDR20291_3147,6323,5467,3997,6678,12,22,48,14,396,707,285,702
CDR20291_3148,1137,1164,978,1271,66,104,165,119,656,1051,328,643
CDR20291_3149,1756,1544,1398,2072,212,263,351,239,304,507,138,320
CDR20291_3150,2104,2076,1678,2516,299,312,213,244,15,30,15,18
CDR20291_3151,2157,2224,1505,3107,80,60,78,105,22,25,14,26
CDR20291_3152,28,88,60,79,806,885,1014,913,4,10,5,28
CDR20291_3153,77,93,75,90,1546,2245,2464,2037,26,18,11,35
CDR20291_3154,28,102,29,92,1711,2033,1792,1667,103,119,36,111
CDR20291_3155,34,33,37,51,4212,4988,6222,5448,284,378,177,337
CDR20291_3156,189,254,151,213,953,1288,1773,1380,328,442,140,411
CDR20291_3157,410,384,334,426,1135,1311,1900,1726,64,78,35,84
CDR20291_3158,227,173,232,251,22906,23215,30123,32061,760,1031,997,1243
CDR20291_3159,91,89,102,82,6098,6388,10023,9650,1590,2147,716,1127
CDR20291_3160,574,627,513,549,23787,22597,39598,35646,1249,1475,539,655
CDR20291_3160,5333,4834,3876,5131,5495,5339,8234,8199,3570,4087,1925,2040
CDR20291_3161,3668,3317,3708,3742,13952,13723,22208,21945,872,1191,526,539
CDR20291_3162,11610,11079,11331,12519,618,753,1210,1033,749,812,734,624
CDR20291_3163,2709,2710,2344,3026,6673,5386,6832,7476,9131,10141,17936,12298
CDR20291_3164,2713,2421,2618,3094,3052,2738,3344,3534,3088,3043,6419,3262
CDR20291_3165,34919,31608,40951,43445,116,173,162,121,11467,12055,36084,16069
CDR20291_3166,12220,12744,13935,15585,1896,1696,1148,988,2698,2419,10286,4331
CDR20291_3167,46085,45771,52394,57303,3431,3511,2134,1755,7377,6798,26196,13062
CDR20291_3168,2852,2665,5452,4125,782,807,447,365,519,557,457,406
CDR20291_3169,7942,7791,15140,11440,169,157,97,87,2944,2765,8884,3866
CDR20291_3170,1054,1039,1229,1351,2357,2303,1438,1147,1112,1240,2877,1731
CDR20291_3171,2249,2701,5326,3916,6050,6196,3920,3243,165,238,64,69
CDR20291_3172,1243,1202,2165,1621,3523,2804,2251,3069,1246,1313,502,412
CDR20291_3173,124,138,157,142,46,70,107,44,2529,2644,1008,678
CDR20291_3174,570,596,534,620,290,331,200,221,581,583,259,178
CDR20291_3175,1171,1269,1111,1449,458,581,499,378,96,103,70,48
CDR20291_3176,260,274,235,286,7,11,21,14,1329,1902,839,844
CDR20291_3177,50,56,48,68,25,25,75,54,3926,4470,2953,2540
CDR20291_3178,758,712,628,804,9,17,36,21,3129,3703,1908,3039
CDR20291_3179,1795,1865,1839,2287,5,1,19,8,51,60,22,55
CDR20291_3180,3860,2992,4335,4260,24,26,32,15,319,384,184,242
CDR20291_3181,230,213,154,294,20,22,66,34,386,466,259,299
CDR20291_3182,246,233,234,213,36,43,90,72,7,15,4,17
CDR20291_3183,548,503,531,667,158,192,208,155,15,38,18,42
CDR20291_3184,18,48,16,36,664,982,947,831,12,29,12,4
CDR20291_3185,92,122,66,61,149,163,174,134,4,4,4,13
CDR20291_3186,49,66,28,60,28,22,28,25,10,19,5,15
CDR20291_3187,22,26,12,24,4,1,3,8,14,31,4,25
CDR20291_3187A,36,35,35,52,274,314,324,279,36,69,20,38
CDR20291_3188,91,91,44,133,100,106,119,112,110,163,39,126
CDR20291_3189,50,72,70,138,73,104,122,120,362,670,120,367
CDR20291_3190,725,639,592,657,137,179,158,175,137,159,49,110
CDR20291_3191,2782,1328,2123,2604,1189,1327,1712,1578,11,14,50,40
CDR20291_3192,137,128,124,226,341,372,441,391,1,4,4,13
CDR20291_3193,45,47,42,48,509,742,615,633,193,278,131,200
