geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_07760,1402,3292,2301,3253,2074,3114
DLJ98_07765,2692,6441,4879,6125,3657,4954
DLJ98_07785,59080,136797,105236,59844,37750,61257
DLJ98_07790,3692,9123,6683,6975,4365,7057
DLJ98_07795,1587,3546,2728,3096,2014,3306
DLJ98_07800,2784,6503,4982,6520,4021,6758
DLJ98_07805,992,2297,1737,1705,1042,1737
DLJ98_07810,1368,3134,2330,2459,1564,2285
DLJ98_07815,1021,2048,1663,1521,982,1104
DLJ98_07820,8283,17399,13761,14104,8940,12359
DLJ98_07825,11392,26396,19552,16377,10284,15237
DLJ98_07830,14253,33226,25486,23371,14144,21979
DLJ98_07835,20876,48693,37775,35320,21708,34534
DLJ98_07845,19197,47666,35354,40446,24483,36532
DLJ98_07860,2494,5741,4257,5559,3335,5405
DLJ98_07865,2081,4948,3714,4269,2815,4432
DLJ98_07885,3763,9090,6846,7721,4858,7720
DLJ98_07890,3129,7019,5446,6649,4178,6665
DLJ98_07900,666,1611,1227,1831,1159,1848
DLJ98_07910,1643,4022,2921,4033,2292,3676
DLJ98_07915,3584,8631,6784,6883,4118,6506
DLJ98_07920,8255,19389,14940,14338,8833,14455
DLJ98_07925,3322,7730,5837,5946,3908,6195
DLJ98_07935,16766,38154,29659,47510,29875,49118
DLJ98_07940,3520,8407,6321,7875,5211,8155
DLJ98_07945,1961,4932,3514,3777,2273,3974
DLJ98_07950,2826,6907,4968,6557,3805,5951
DLJ98_07965,2025,4996,3555,6573,4135,6723
DLJ98_07975,58,97,71,108,42,48
DLJ98_07985,3871,8665,6594,8482,5382,8513
DLJ98_07990,6578,15245,10695,13828,8330,14010
DLJ98_07995,4462,10372,7946,9261,5758,8741
DLJ98_08000,1101,2604,1873,1973,1273,1937
DLJ98_08005,1999,4849,3633,3664,2385,3807
DLJ98_08015,5985,13717,10602,17830,10441,16047
DLJ98_08020,1794,3873,3036,5619,3468,4867
DLJ98_08035,109059,266343,190913,250884,155308,254716
DLJ98_08045,497,1251,910,1069,620,941
DLJ98_08055,217,528,406,686,486,794
DLJ98_08060,2286,5077,3966,5539,3073,4601
DLJ98_08065,2996,7214,5440,11055,7038,11457
DLJ98_08070,2474,5819,4489,7698,4627,6986
DLJ98_08075,2677,6233,4960,6066,3660,6334
DLJ98_08085,10208,23086,17975,22940,14113,22923
DLJ98_08090,89,220,180,178,140,161
DLJ98_08095,33,65,65,79,35,70
DLJ98_08100,41,108,84,90,55,111
DLJ98_08110,209,587,430,628,377,590
DLJ98_08120,142,291,246,195,100,154
DLJ98_08130,1850,4538,3405,3780,2272,3622
DLJ98_08135,2116,5001,3778,4383,2631,4133
DLJ98_08140,18240,42755,31880,20880,12935,23026
DLJ98_08165,15582,37293,28088,31107,19151,30988
DLJ98_08170,4898,11693,8639,11920,7485,12407
DLJ98_08185,7655,17310,12884,22676,14098,23146
DLJ98_08190,1299,3095,2513,1781,1121,1653
DLJ98_08195,359,856,723,701,379,600
DLJ98_08210,1473,2881,2293,2897,1812,2216
DLJ98_08215,1594,3540,2738,5347,3135,4944
DLJ98_08225,13040,29979,22704,42503,26457,42040
DLJ98_08230,2588,6782,4813,6006,3870,6758
DLJ98_08240,5559,12753,9719,10317,6641,11188
DLJ98_08245,604,1364,1149,1515,884,1333
DLJ98_08250,2503,6314,4590,6169,3764,6224
DLJ98_08255,2768,6584,4900,7240,4484,6498
DLJ98_08270,1513,4083,2905,4666,2690,3509
DLJ98_08275,1084,2750,1966,2718,1752,2365
DLJ98_08280,206,533,373,397,256,395
DLJ98_08285,3784,9523,7292,7854,5228,9519
DLJ98_08305,762,1842,1286,1923,1210,1962
DLJ98_08325,54496,143683,102893,114559,70627,119126
DLJ98_08340,3728,7994,6188,9774,6090,8601
DLJ98_08345,1659,4278,3061,4827,2982,5183
DLJ98_08355,4369,10446,8213,8839,5467,8358
DLJ98_08360,4312,10877,7900,9689,6193,9659
DLJ98_08365,237,583,467,532,326,473
DLJ98_08370,2167,5035,3821,5043,3093,5147
DLJ98_08375,6,26,15,34,19,36
DLJ98_08380,6,22,26,28,15,29
DLJ98_08385,16,29,33,22,18,46
DLJ98_08390,9,20,10,28,21,25
DLJ98_08395,163,400,407,587,376,577
DLJ98_08400,407,1145,1019,1436,828,1575
DLJ98_08405,5,25,7,10,5,18
DLJ98_08410,7,12,16,23,10,22
DLJ98_08415,217,700,488,446,324,501
DLJ98_08425,221,678,494,463,268,530
DLJ98_08435,14,21,24,34,21,44
DLJ98_08440,10,27,21,43,29,45
DLJ98_08445,16,22,29,26,21,33
DLJ98_08450,16,54,40,36,25,41
DLJ98_08455,10,13,10,12,10,16
DLJ98_08460,5,14,23,24,9,24
DLJ98_08465,657,1660,1182,1188,744,1247
DLJ98_08470,2507,6188,4335,6442,4135,6794
DLJ98_08475,550,1216,968,1756,1051,1703
DLJ98_08490,3776,9201,6837,8033,4875,7625
DLJ98_08500,100658,231416,178226,180691,115428,180356
DLJ98_08505,1269,3286,2497,4248,2629,3546
DLJ98_08515,1216,3063,2189,3114,1945,2803
DLJ98_08525,2165,5251,3892,4912,3163,4882
DLJ98_08540,3041,7062,5467,8547,5270,8522
DLJ98_08545,564,1568,1071,1221,836,1218
DLJ98_08550,5491,13737,10576,12264,7889,13124
DLJ98_08555,5100,11579,9097,11996,7230,11668
DLJ98_08560,9121,21348,16368,19527,12106,19469
DLJ98_08565,7456,18902,13893,12810,8030,13235
DLJ98_08590,4382,11038,8082,10012,6379,10117
DLJ98_08600,15405,37895,27328,33628,21031,34040
