,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0607,5167,10260,9761,18572,17751,9789
PG0608,25,40,36,49,48,26
PG0609,22,37,26,33,33,19
PG0610,213,310,300,386,346,326
PG0611,1145,1876,1807,2202,1823,1516
PG0612,117,165,158,175,131,183
PG0613,539,718,662,697,575,904
PG0614,1723,2745,2984,2996,2799,2308
PG0615,1840,2741,2091,3893,3881,3379
PG0616,36742,69707,73422,70755,67458,41868
PG0617,454,528,504,538,431,807
PG0618,5216,4235,3394,4129,2235,30515
PG0619,444,542,473,664,611,1639
PG0620,7448,9837,7738,12970,11214,12455
PG0621,3006,4491,3585,5701,4982,4500
PG0622,4815,6354,5129,8840,7337,8019
PG0623,2787,3374,2898,4081,3690,4597
PG0624,1518,1670,1336,1885,1720,2458
PG0625,2358,3127,2506,3759,3311,3495
PG0626,506,722,710,942,918,829
PG0627,7001,8708,6543,9244,8293,7990
PG0628,273,395,316,566,500,429
PG0629,257,400,349,626,580,607
PG0630,960,1251,997,1687,1480,1431
PG0631,595,858,703,1183,1071,1168
PG0632,261,331,270,394,381,447
PG0633,457,659,581,985,964,881
PG0634,623,750,553,1013,872,1217
PG0635,230,246,227,278,277,340
PG0636,618,995,773,1289,1209,1108
PG0637,439,693,511,789,787,824
PG0638,465,615,487,840,754,874
PG0639,3978,5608,4609,6680,5276,6496
PG0645,531,870,679,1131,1099,1097
PG0646,624,889,721,1360,1120,1225
PG0647,690,978,784,1516,1377,1565
PG0648,1730,2890,2419,5317,4998,4335
PG0649,468,766,659,1201,1085,955
PG0650,1247,2020,1698,2982,2761,2144
PG0651,1627,1807,1346,2563,1759,2832
PGt14,224,341,288,486,366,374
PG0652,1403,1754,1364,1795,1278,2121
PG0653,7811,10235,7841,11399,9344,11668
PG0654,8775,10275,7838,11705,8018,12973
PG0655,209,393,369,540,523,239
PG0656,3943,9457,9454,13279,14029,5866
PG0657,659,1101,915,1629,1319,1291
PG0658,436,733,581,960,844,913
PG0659,566,871,653,1276,1160,1204
PG0660,917,1226,924,1684,1492,1742
PG0661,54,97,81,105,82,64
PG0662,21,32,30,35,23,19
PG0664,242,330,300,413,411,397
PG0665,415,591,526,791,781,675
PG0668,8227,10785,7969,14903,11895,18263
PG0669,14453,22291,17746,23642,22661,23018
PG0670,1156,1228,1013,1652,1409,2121
PG0671,511,681,551,974,880,955
PG0672,542,621,549,912,847,855
PG0674,3443,5240,4344,5687,5025,4675
PG0675,5368,6410,5235,8155,7181,8753
PG0676,328,627,519,812,820,643
PG0677,1344,1888,1548,2288,2174,2184
PG0678,1058,2118,1448,2246,2350,1723
PG0679,64,79,55,123,116,86
PG0680,58,98,106,127,136,74
PG0681,66,112,119,96,81,43
PG0682,51,89,83,66,86,56
PG0683,78,81,85,90,77,81
PG0684,79,136,128,257,239,171
PG0685,68,128,102,151,178,122
PG0686,1459,2242,1971,2827,2789,2946
PG0687,18693,17264,12044,18395,15381,29757
PG0689,33564,40202,29972,52576,44620,47914
PG0690,22383,25148,18903,29714,24995,31464
PG0691,4285,4931,3975,5554,4469,6181
predicted RNA,1007,1551,1398,1674,1539,1280
PG0692,104433,158238,135961,183165,161167,139726
PG0694,132999,233927,195671,278215,249523,180108
PG0695,94358,160927,132233,202716,176567,132989
predicted RNA,507,943,841,1196,1099,722
PG0698,2038,3903,3821,3867,3714,2625
PG0699,2297,3136,2586,3889,3500,3839
PG0700,34,71,67,124,112,70
PG0701,621,1189,1123,1872,1737,1277
PG0702,555,660,600,855,826,980
PG0703,631,783,674,1099,870,1176
PG0704,357,441,419,657,554,607
PG0705,1989,2704,2240,3080,2600,2981
PG0706,2697,5237,5046,5702,5459,3430
PG0707,7415,9161,7200,11550,10015,12502
PG0708,16738,20716,15411,22339,18029,22303
PG0709,7518,9948,7270,11185,9215,13059
PG0710,2111,2962,2369,3674,2815,4349
PG0711,14,37,27,30,27,21
PG0712,1739,3650,3513,3616,3787,2138
PG0713,1675,2660,2284,4218,3918,2552
PG0714,431,603,502,711,566,746
PG0715,1669,2493,2351,3583,3222,2462
PG0717,1146,2108,2105,1435,1325,917
PG0718,242,312,227,202,141,133
PG0719,519,860,812,1145,1060,857
PG0720,479,648,512,818,656,801
PG0721,1278,2423,1964,3297,2886,2513
PG0722,7,16,19,33,27,14
PG0723,130,163,164,179,178,200
PG0724,1873,2272,1938,2330,1995,2887
PG0725,398,465,394,521,447,598
PG0726,26941,58263,55876,56206,47959,33573
PG0727,2776,5684,5430,5433,4651,3445
PG0728,965,1447,1182,1913,1499,1720
PG0729,1280,1600,1380,2117,1847,1890
PG0731,2508,4249,3791,5435,4713,4017
PG0732,39,68,73,86,62,52
PG0733,948,1110,916,1609,1443,1824
PG0734,311,362,324,509,477,544
PG0735,578,786,630,1169,1103,1158
PG0736,136,184,121,215,207,233
PG0737,167,249,174,344,322,336
PG0738,304,464,349,676,656,621
PG0739,504,612,518,718,702,757
PG0740,1667,2314,1964,2307,1938,1953
PG0741,3266,5818,5711,6181,5556,4118
PG0742,8646,12634,10828,13881,11432,11282
PG0744,564,872,719,1191,1183,1000
PG0745,513,865,770,1146,987,784
PG0746,381,559,442,692,602,587
PG0747,558,836,657,941,904,896
PG0749,16,26,21,45,32,22
PGt15,32,49,41,53,49,39
PG0750,1631,3093,2653,3854,3558,2423
PG0751,518,742,624,960,818,960
PG0752,584,1000,815,1231,958,1030
PG0753,486,786,607,1245,1144,981
PG0754,3574,6087,4780,8143,7166,5955
PG0756,382,453,370,546,459,582
PG0757,230,330,241,379,298,334
PG0758,1565,1971,1793,3175,2995,3179
PG0759,1390,2107,1707,2535,2372,2260
