,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_01387,110,109,23,311,195,247
SAOUHSC_01388,11,5,2,34,14,21
SAOUHSC_01389,74,81,20,256,151,222
SAOUHSC_00141,5669,5399,285,32004,19855,20407
SAOUHSC_A01332,41,105,128,80,44,32
SAOUHSC_01390,8,2,7,10,7,1
SAOUHSC_01391,6914,5970,1275,11334,8099,8806
SAOUHSC_01392,8651,10904,1251,11988,9223,12016
SAOUHSC_01394,111944,195213,30682,13362,9816,13270
SAOUHSC_01395,76744,175800,17935,13084,9306,13814
SAOUHSC_01396,48914,112686,10215,10979,7731,10981
SAOUHSC_01397,41079,88474,6522,11167,8265,11138
SAOUHSC_01398,36960,66824,16357,11541,8112,11231
SAOUHSC_01399,22954,38688,3852,2427,1823,1919
SAOUHSC_00142,433,435,114,2278,1951,1437
SAOUHSC_01400,20205,34102,2492,3134,2143,2562
SAOUHSC_01401,25170,45998,3799,8185,5530,6809
SAOUHSC_01402,51,51,20,24,19,20
SAOUHSC_01403,39573,33883,9482,14515,12596,8412
SAOUHSC_01404,53,110,20,24,11,12
SAOUHSC_01405,2868,3588,349,1598,885,643
SAOUHSC_01406,2539,3751,363,1898,1495,874
SAOUHSC_01407,7778,8129,578,5614,4115,2864
SAOUHSC_01408,14148,16176,1221,12143,9292,6048
SAOUHSC_01409,72,11,7,66,38,23
SAOUHSC_00143,2134,2602,347,11820,6204,7043
SAOUHSC_01410,26,13,2,82,69,68
SAOUHSC_01411,2177,2163,223,6902,4206,5362
SAOUHSC_01412,4994,5709,1291,4751,3843,2919
SAOUHSC_01413,2589,3663,296,2187,1857,1345
SAOUHSC_01414,3869,2107,232,6009,3632,3950
SAOUHSC_01415,8313,6066,1700,12441,8818,7254
SAOUHSC_01416,18111,23140,4095,42503,41007,28204
SAOUHSC_01418,41964,47057,7113,63658,63578,40623
SAOUHSC_01419,13863,16379,2019,11840,9500,8609
SAOUHSC_01420,11758,12903,1668,5815,5023,3777
SAOUHSC_00144,60007,68408,14078,133847,77438,76800
SAOUHSC_01421,78,101,5,37,18,51
SAOUHSC_01422,398,569,53,2821,2321,610
