GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
EW031_RS12135,23,32,63,201,18,14,62,3,31,11,20,10
EW031_RS12140,998,814,879,1009,894,927,1577,440,1138,1067,1109,841
EW031_RS12145,451,446,415,718,327,202,829,146,444,372,276,133
glmS,6991,5168,6945,4054,6616,6017,64335,30088,55469,54443,67043,55314
EW031_RS12155,210,286,401,712,152,197,457,489,348,373,405,245
EW031_RS12160,310,312,450,832,188,102,1392,725,1317,1120,940,763
EW031_RS12165,138,103,163,247,108,60,743,302,528,535,419,284
EW031_RS12170,309,226,302,481,213,162,1785,729,1289,1307,1079,913
EW031_RS12175,1071,1263,1826,3719,882,583,2034,432,1456,1127,894,886
EW031_RS12180,5248,4057,3881,3811,3624,3927,4308,1395,3793,3523,3476,2895
EW031_RS12185,2096,1568,1345,1464,1478,1466,1593,547,1474,1411,1522,1601
EW031_RS12190,3242,2039,2153,1938,2497,2490,2244,858,1900,1932,2085,2015
rocF,648,313,315,547,246,205,1220,891,1140,1045,1150,938
EW031_RS12200,20,30,21,33,24,14,11,1,16,14,14,2
EW031_RS12205,24,40,54,129,5,15,43,59,45,28,25,11
EW031_RS12210,345,608,764,366,571,920,133,2253,131,180,73,85
EW031_RS12260,9,5,22,52,1,17,13,1,16,2,6,7
EW031_RS12265,2758,1723,1797,1674,1981,1749,3390,1567,1923,1950,1707,1027
EW031_RS12270,1246,1334,1415,1356,1064,719,1158,613,625,656,482,272
EW031_RS12275,1162,1196,1115,1142,827,579,1268,484,722,624,457,186
EW031_RS12280,2110,2508,2003,1645,1743,1233,2512,693,1392,1050,1244,708
EW031_RS12285,3717,3273,1562,1564,1333,732,3437,1118,1393,1142,1021,920
EW031_RS12290,10400,10571,4721,4438,5600,1853,14432,2838,7072,5016,3692,2686
EW031_RS12295,3960,4891,2717,3142,3109,775,6345,1726,3793,2805,1518,1256
EW031_RS12300,3317,2058,1511,2062,2065,542,6199,5503,9337,9902,18121,13483
EW031_RS12305,12463,20909,15401,13544,4263,6246,4617,2389,2218,2359,1219,937
fecD,546,680,965,491,2440,1610,1444,1051,1372,1638,2247,2356
EW031_RS12315,502,709,832,636,1965,1284,1385,686,1241,1548,1958,1804
EW031_RS12320,2387,2149,2220,1034,8303,5854,8798,4678,12621,15357,30640,28898
EW031_RS12325,8,15,27,54,27,7,46,4,36,40,18,15
EW031_RS12330,414,485,620,603,1366,622,2289,750,2000,2646,1946,2096
EW031_RS12335,734,771,994,1173,2447,848,4140,1383,3742,4894,4320,4326
EW031_RS12340,347,414,477,794,1219,431,1631,624,1452,1982,2337,1620
EW031_RS12345,1959,1935,1814,1949,2360,1550,2323,698,1712,1906,2576,2949
EW031_RS12350,114,166,308,876,43,28,205,38,107,103,31,16
EW031_RS12355,10542,1647,2741,1784,5559,1842,35071,24631,40909,35506,27243,23477
EW031_RS12360,1143,235,409,350,658,177,3703,3218,4476,4092,3264,3031
amaP,5698,875,1397,740,2559,717,13237,12494,16957,15594,12446,11127
EW031_RS12370,697,318,578,989,391,131,3510,5055,2945,2544,2735,1588
EW031_RS12375,497,488,573,687,457,721,636,334,518,612,584,480
EW031_RS12380,1047,674,672,936,668,466,2494,1246,1460,1490,1421,824
EW031_RS12385,632,457,480,1003,228,131,1104,212,567,464,437,258
lacG,337,356,400,692,261,165,696,448,523,754,659,632
EW031_RS12395,203,294,331,752,107,64,766,284,462,620,527,631
