gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_02886,3269,3244,3423,1533,1665,2073,1776,1798,1272
SKAG_02885,0,0,0,0,0,0,0,0,0
SKAG_02884,128,130,133,48,125,167,47,112,59
SKAG_00001,0,1,2,1,1,1,1,1,1
SKAG_00003,17726,9980,10522,6903,7651,8072,8753,12386,6154
SKAG_00002,2142,1950,1863,826,1095,1476,797,1344,694
SKAG_00005,94525,102393,89190,81655,84924,102306,78975,73441,55387
SKAG_00004,10384,6059,6695,4010,4444,4953,5026,7869,4029
SKAG_00007,18849,21487,24011,3346,4593,5593,5311,7543,3674
SKAG_00006,9344,11127,9596,2337,2719,2861,3938,4278,2391
SKAG_00009,18958,18465,19937,8138,10523,12840,10468,13916,9248
SKAG_00008,22727,25211,24134,5070,6210,7585,6683,9946,5619
SKAG_00489,21749,21221,19998,8897,12826,14680,12529,16312,9318
SKAG_00488,3384,3401,2996,1230,1909,2344,1747,2578,1678
SKAG_00485,4036,4467,4777,1372,1839,2215,1904,2051,1326
SKAG_00484,12538,13078,13137,6777,7977,10289,8057,9086,6430
SKAG_00487,4971,5563,4456,1181,2471,2907,2434,3682,1467
SKAG_00486,143206,147226,137168,74790,81656,100722,77561,103332,73676
SKAG_00481,39406,42265,38758,14819,18668,20296,22535,24967,15211
SKAG_00480,55762,58084,54860,29212,31615,38096,29309,32320,24103
SKAG_00483,13696,14571,14808,7771,8775,10467,9188,10491,7242
SKAG_00482,14295,15552,14480,6891,9453,8900,9777,10746,6299
SKAG_00719,25391,23541,25531,11700,14967,17844,13940,19437,14248
SKAG_00718,28974,28545,28305,13636,18120,21185,16412,23730,15967
SKAG_00715,29378,30821,29232,12042,15862,18737,16750,22613,13841
SKAG_00714,36073,37408,39373,19415,23152,27620,20655,24519,17909
SKAG_00717,232,269,265,116,224,199,147,239,180
SKAG_00716,6225,6517,6852,2407,3163,3626,3311,4420,2621
SKAG_00711,31410,30564,29895,9863,13121,17100,13686,19996,12366
SKAG_00710,5412,5685,5431,2319,3566,3736,3820,4975,2562
SKAG_00713,27399,26779,28596,10977,14432,17072,13583,18290,11578
SKAG_00712,44996,42582,45816,18972,25382,29440,23322,32095,20315
SKAG_01442,5884,5817,6063,4102,4697,5688,4250,5205,3841
SKAG_01443,9831,8998,9771,7643,8451,10642,7519,7837,7113
SKAG_01440,20655,22375,22770,7031,7707,9450,8563,11159,7602
SKAG_01441,400,495,455,129,279,228,373,363,173
SKAG_01998,36381,35103,35738,17987,22062,24507,20704,24790,17510
SKAG_01999,30840,30797,33184,15335,16640,19599,15901,19770,14895
SKAG_01444,6759,6299,5936,2067,3438,4984,3049,5573,3863
SKAG_01445,3026,3115,2172,799,1618,2248,2158,2850,1489
SKAG_01994,25431,25266,25526,19094,22884,25253,18912,21212,16180
SKAG_01995,761,1880,264,79,769,162,1572,510,65
SKAG_01996,12902,12168,13476,6324,7595,9184,6543,8020,6206
SKAG_01997,24843,24767,25074,10432,13063,15399,14876,19510,11949
SKAG_01990,166184,170712,166224,66088,76543,90473,73056,93977,67541
SKAG_01991,12117,12674,11798,4981,6695,7597,6630,7534,5180
