,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_02634,151,255,146,277,276,404
HG001_02635,261,487,278,536,815,885
HG001_02636,211,455,239,408,1155,1235
HG001_02637,199,447,142,275,1001,1040
HG001_02638,290,623,214,442,599,562
HG001_02639,1336,1865,1318,1091,2539,2126
HG001_02640,34,86,39,183,2850,2152
HG001_02641,112,164,164,232,450,833
HG001_02642,19,116,25,110,243,339
HG001_02643,5560,6485,4433,4258,622,959
HG001_02644,28728,40561,22781,29909,35150,30943
HG001_02645,1969,2814,1902,3094,102313,96756
HG001_02646,146,229,118,192,13445,16314
HG001_02647,10,35,13,28,1999,2760
HG001_02648,1378,1113,1169,1005,177,158
HG001_02649,1591,1324,1312,1007,262,305
HG001_02650,268,310,183,287,482,366
HG001_02651,66,76,76,102,841,746
HG001_02652,48,162,74,184,372,516
HG001_02653,2778,3876,1716,2346,528,535
HG001_02654,16718,16722,7138,11587,6547,5194
HG001_02655,93,201,103,137,21060,19075
HG001_02656,306,569,242,523,169,140
HG001_02657,950,1761,1393,1310,1884,1975
HG001_02658,14,90,15,99,3158,2876
HG001_02659,221,465,201,386,284,288
HG001_02660,53,135,56,96,1328,1333
HG001_02661,1097,3313,990,2229,432,334
HG001_02662,821,2142,693,1484,3667,3270
HG001_02663,197,559,172,377,2357,2261
HG001_02664,9,7,2,7,1015,894
HG001_02665,246,542,322,431,36,27
HG001_02666,875,1665,1159,1307,2040,1667
HG001_02667,741,1329,885,822,1214,1005
HG001_02668,1348,1972,806,2157,1340,986
HG001_02669,45392,45990,26339,53562,3768,6855
HG001_02670,91629,75914,51166,93065,76187,135417
HG001_02671,123390,99829,74661,122259,87305,161256
HG001_02672,151289,92747,107331,111029,93839,174764
HG001_02673,224527,136925,224052,174036,73965,132559
HG001_02674,157,466,258,642,79021,131305
HG001_02675,60,87,58,55,217,321
HG001_02676,2814,6728,2055,4690,514,403
HG001_02677,33,85,16,73,24266,20982
HG001_02678,47,186,64,254,394,397
HG001_02679,648,759,773,776,685,707
HG001_02680,571,682,543,697,2169,2210
HG001_02681,1127,2573,757,2069,1130,1254
HG001_02682,1004,1686,1281,1849,7398,7612
HG001_02683,11456,6301,10775,6061,4208,4348
HG001_02684,56176,24129,45108,23309,6446,7766
HG001_02685,37940,14677,31284,14748,24343,32529
HG001_02686,57400,23366,50708,23055,8416,11680
HG001_02687,84419,33145,74793,32668,9550,13854
HG001_02688,15146,6834,11789,7178,14730,21689
HG001_02689,19769,9806,14206,9776,5464,8021
HG001_02690,12886,6664,9088,6708,8981,13189
HG001_02691,5047,3683,5025,3494,8983,12622
HG001_02692,465027,275930,521498,261869,5332,6920
HG001_02693,1326,1228,1163,1270,156708,224755
HG001_02694,5,9,4,12,1278,1459
HG001_02695,10,6,8,7,62,73
HG001_02696,759,592,1263,613,49,50
HG001_02697,260,290,240,232,1974,2693
HG001_02698,33,47,17,46,502,535
HG001_02699,9,10,4,10,167,141
HG001_02700,48,69,90,238,92,94
HG001_02701,52,95,131,300,100,278
HG001_02702,2,14,20,40,43,163
HG001_02703,60,181,93,220,20,101
HG001_02704,3,5,17,34,5906,3732
HG001_02705,0,1,4,1,19,17
HG001_02706,2,4,4,5,2,4
HG001_02707,2,10,2,10,10,16
HG001_02708,1591,8206,1024,6983,59,52
HG001_02709,184,127,81,110,28921,29098
HG001_02710,167,123,101,132,115,170
HG001_02711,171,94,73,110,91,118
HG001_02712,36,34,9,20,79,114
HG001_02713,10,18,10,17,29,31
HG001_02714,24,30,22,23,16,25
HG001_02715,13,33,9,39,28,27
HG001_02716,3,8,9,13,26,56
HG001_02717,28,45,13,55,8,10
HG001_02718,177,176,92,183,11,27
HG001_02719,20,33,10,21,424,637
HG001_02720,8,25,10,21,85,88
HG001_02721,32,44,24,46,100,94
HG001_02722,9,13,8,4,165,160
HG001_02723,6,6,5,4,17,23
HG001_02724,17811,4985,7508,3284,7,20
HG001_02725,1051,1630,920,1464,7847,7854
HG001_02726,693,1189,556,938,6013,4477
HG001_02727,9,32,12,30,613,635
HG001_02728,29,101,30,86,139,104
HG001_02729,3,21,9,15,695,609
HG001_02730,144,195,181,216,171,159
HG001_02731,646,1370,391,1116,911,1323
HG001_02732,20,43,13,44,5983,5368
HG001_02733,135,170,161,161,236,275
HG001_02734,250,479,360,566,536,757
HG001_02735,90,87,49,50,1456,2237
HG001_02736,359,420,628,775,440,404
HG001_02737,27,34,15,31,3629,5013
HG001_02738,68,116,66,80,35,41
HG001_02739,1,6,3,9,149,164
HG001_02740,133,282,75,247,16,6
HG001_02741,2,11,3,6,248,300
HG001_02742,14,30,12,21,76,68
HG001_02743,126,940,1358,3724,44,64
HG001_02744,571,773,841,805,19471,35103
HG001_02746,454,703,705,553,1855,1922
HG001_02747,264,383,389,282,1016,1037
HG001_02748,632,1223,652,962,821,794
HG001_02749,504,679,485,666,2790,2744
HG001_02750,1016,1679,768,1371,1074,1306
HG001_02751,376,755,240,548,2515,2839
HG001_02752,67,111,52,79,1351,1462
HG001_02753,4888,6366,4940,5930,235,209
HG001_02754,,,,,6479,7286
