,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_001984,4241,4143,3521,2955,3611,3450,3373,4540,3586,2512,2098,2066
RSAU_001985,18,16,16,15,10,11,8,14,11,16,9,14
RSAU_001986,447,438,526,412,412,388,376,553,506,434,434,360
RSAU_001987,101,89,91,105,71,106,75,124,124,96,129,104
RSAU_001988,158,184,165,163,140,110,110,200,152,73,88,70
RSAU_001989,834,867,802,689,761,757,604,889,753,470,487,393
RSAU_001990,43,118,72,47,64,51,82,87,86,38,54,40
RSAU_001991,4648,8187,4408,3690,5715,3327,4958,6210,5376,2641,2252,1811
RSAU_001992,102,100,77,80,83,83,70,95,97,53,47,46
RSAU_001993,188,306,252,209,226,155,245,333,286,96,143,94
RSAU_001994,151,205,125,121,121,85,159,210,140,89,110,74
RSAU_001995,835,1094,638,577,866,598,786,974,780,373,468,381
RSAU_001996,242,396,329,322,334,223,365,276,249,233,150,94
RSAU_001997,1466,1777,1632,1518,1494,1450,1571,2177,1678,983,974,754
RSAU_001998,834,987,983,838,886,780,830,1134,960,627,578,386
RSAU_001999,792,811,745,567,666,644,606,880,787,511,550,428
