,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0780,8,4,4,5
PA0781,13,12,4,5
PA0782,80,83,31,19
PA0783,14,23,9,7
PA0784,44,39,19,18
PA0785,6,7,0,2
PA0786,0,0,0,0
PA0787,13,16,7,3
PA0788,231,240,47,32
PA0789,19,22,7,2
PA0790,5,4,0,0
PA0791,11,12,5,3
PA0792,13,19,14,2
PA0793,4,14,2,0
PA0794,31,49,16,7
PA0795,27,27,21,6
PA0796,11,11,8,1
PA0797,12,10,2,1
PA0798,14,13,10,9
PA0799,23,28,11,2
PA0800,2,1,0,0
PA0801,16,12,5,2
PA0802,1,1,2,0
PA0803,5,4,5,3
PA0804,20,20,11,8
PA0805,41,59,14,9
PA0806,0,7,0,2
PA0807,41,41,43,28
PA0808,3,15,6,1
PA0809,38,52,10,18
PA0810,16,19,9,2
PA0811,36,35,14,15
PA0812,29,33,10,9
PA0813,32,20,10,3
PA0814,15,5,4,5
PA0815,47,48,13,8
PA0816,14,25,3,8
PA0817,2,7,1,1
PA0818,0,2,2,1
PA0819,0,0,2,1
PA0820,19,19,6,1
PA0821,25,13,11,3
PA0822,5,8,1,0
PA0823,0,2,1,0
PA0824,2,4,4,0
PA0825,0,1,0,0
PA0826,8,12,0,4
PA0826.1,0,0,0,0
PA0827,7,11,2,2
PA0828,10,8,2,0
PA0829,11,11,1,0
PA0830,15,18,2,5
PA0831,9,17,6,4
PA0832,7,8,6,1
PA0833,49,40,33,24
PA0834,10,11,3,2
PA0835,73,85,34,25
PA0836,74,66,29,22
PA0837,41,43,16,17
PA0838,39,29,12,9
PA0839,15,7,0,0
PA0840,13,10,2,1
PA0841,3,9,3,2
PA0842,6,7,2,5
PA0843,2,4,2,3
PA0844,19,11,9,2
PA0845,23,28,8,2
PA0846,4,8,8,5
PA0847,33,26,15,5
PA0848,7,3,1,3
PA0849,152,119,28,18
PA0850,2,2,0,2
PA0851,11,13,6,3
PA0852,64,66,120,68
PA0852.1,5,7,8,7
PA0853,9,9,10,2
PA0854,64,61,40,34
PA0855,10,13,6,3
PA0856,17,6,13,6
PA0857,3,5,3,0
PA0858,33,31,11,7
PA0859,11,19,6,4
PA0860,29,21,14,2
PA0861,64,52,34,14
PA0862,40,70,11,6
PA0863,6,5,2,3
PA0864,7,3,1,0
PA0865,377,426,169,90
PA0866,16,19,5,3
PA0867,3,6,4,1
PA0868,3,5,1,2
PA0869,25,25,13,7
PA0870,100,126,38,30
PA0871,27,22,15,11
PA0872,311,297,116,75
PA0873,23,35,7,5
PA0874,0,0,0,0
PA0875,48,40,11,8
PA0876,34,23,15,12
PA0877,10,7,2,0
PA0878,7,7,0,2
PA0879,12,12,4,2
PA0880,1,0,0,1
PA0881,5,8,3,2
PA0882,6,6,2,0
PA0883,6,4,1,0
PA0884,10,7,1,1
PA0885,6,2,2,0
PA0886,10,8,7,0
PA0887,156,188,69,38
PA0888,42,48,55,25
PA0889,17,13,6,2
PA0890,10,8,5,3
PA0891,25,18,10,7
PA0892,17,23,6,1
PA0893,20,16,9,9
PA0894,3,4,4,0
PA0895,28,30,13,5
PA0896,17,23,4,6
PA0897,8,11,1,3
PA0898,14,14,2,2
PA0899,33,36,12,6
PA0900,4,4,6,4
PA0901,74,93,30,15
PA0902,12,12,1,8
PA0903,37,60,23,10
PA0904,12,20,8,4
PA0905,60,69,9,5
PA0906,4,16,1,4
PA0907,12,21,6,2
PA0908,4,5,5,0
PA0909,2,0,0,1
PA0910,4,8,6,1
PA0911,2,1,11,1
PA0912,4,6,1,1
PA0913,23,38,8,10
PA0914,4,2,0,0
PA0915,1,2,1,1
PA0916,20,10,8,7
PA0917,38,27,23,9
PA0918,21,31,14,17
PA0919,42,30,18,11
PA0920,41,37,15,7
PA0921,6,2,4,1
PA0922,10,5,0,0
PA0923,14,19,4,5
PA0924,27,23,4,4
PA0925,7,5,1,1
PA0926,3,4,0,2
PA0927,10,11,6,6
PA0928,61,49,22,15
PA0929,7,4,3,1
PA0930,14,12,2,1
PA0931,33,21,9,7
PA0932,22,23,19,8
PA0933,38,37,8,4
PA0934,99,96,59,31
PA0935,18,11,5,3
PA0936,20,27,16,11
PA0937,11,13,15,3
PA0938,55,36,26,21
PA0939,5,3,1,1
PA0940,1,3,2,2
PA0941,0,0,0,2
PA0942,37,22,3,1
PA0943,25,33,19,2
PA0944,17,12,7,1
PA0945,22,32,8,10
PA0946,19,16,6,4
PA0947,0,9,3,3
PA0948,5,0,0,1
PA0949,4,10,7,7
PA0950,13,5,8,1
PA0951,14,10,5,5
PA0952,22,21,2,5
PA0953,6,7,1,1
PA0954,0,2,1,0
PA0955,12,17,11,1
PA0956,57,40,26,19
PA0957,11,8,4,3
PA0958,42,70,41,28
PA0959,69,100,15,13
PA0960,3,9,2,1
PA0961,0,0,0,0
PA0962,66,60,68,32
PA0963,44,32,38,17
PA0964,22,20,10,13
PA0965,20,2,7,1
PA0966,7,11,1,0
PA0967,13,12,7,6
PA0968,5,8,0,0
PA0969,9,15,11,3
PA0970,3,4,3,2
PA0971,58,54,15,13
PA0972,51,44,31,10
PA0973,62,69,38,16
PA0974,41,19,5,11
PA0975,9,4,0,0
PA0976,4,7,4,1
PA0977,0,0,0,0
PA0978,6,6,3,0
PA0979,1,0,0,1
PA0980,0,4,0,0
PA0981,8,12,2,1
PA0982,13,6,6,0
PA0983,8,7,0,3
PA0984,7,1,0,1
PA0985,16,18,2,4
PA0986,0,0,0,0
PA0987,4,5,1,0
PA0988,13,5,0,1
PA0989,1,2,0,0
PA0990,3,4,4,0
PA0991,0,1,1,1
PA0992,7,10,4,0
PA0993,3,4,0,0
PA0994,23,12,7,11
PA0995,18,17,1,1
PA0996,24,25,20,12
PA0997,13,8,17,10
PA0998,9,9,10,6
PA0999,7,15,7,5
PA1000,14,21,6,5
PA1001,22,16,5,9
PA1002,8,11,4,3
PA1003,47,43,25,4
PA1004,95,100,11,11
PA1005,28,12,8,10
PA1006,1,4,3,0
PA1007,15,8,1,1
PA1008,6,3,1,3
PA1009,11,19,3,1
PA1010,43,42,22,16
PA1011,26,29,17,6
PA1012,8,11,2,2
PA1013,8,12,6,5
PA1014,17,15,13,3
PA1015,7,11,6,4
PA1016,15,9,1,0
PA1017,20,27,3,3
PA1018,11,7,0,0
PA1019,8,10,1,7
PA1020,13,6,1,1
PA1021,4,11,2,0
PA1022,12,16,1,0
PA1023,10,7,5,1
PA1024,6,8,2,4
PA1025,15,4,2,2
PA1026,2,1,0,2
PA1027,21,19,5,7
PA1028,13,11,2,0
PA1029,11,13,4,2
PA1030,40,53,19,6
PA1031,24,24,20,7
PA1032,39,43,23,6
PA1033,7,10,7,2
PA1034,3,2,2,2
PA1035,7,11,5,4
PA1036,31,42,13,8
PA1037,9,13,6,1
PA1038,0,1,3,0
PA1039,4,4,3,2
PA1040,7,19,3,5
PA1041,340,374,357,213
PA1042,3,0,7,1
PA1043,14,16,12,4
PA1044,1,6,0,2
PA1045,26,32,4,6
PA1046,32,25,12,4
PA1047,11,19,4,5
