,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA5153,7393,1489,2472,1717
PA5154,706,169,161,171
PA5155,232,63,83,76
PA5156,135,173,82,203
PA5157,49,70,49,78
PA5158,126,128,163,148
PA5159,165,124,130,149
PA5160,192,138,145,138
PA5161,1596,1335,715,1674
PA5162,1078,733,320,772
PA5163,1996,1065,717,1278
PA5164,1156,508,411,648
PA5165,676,397,351,506
PA5166,726,294,361,419
PA5167,2079,753,851,797
PA5168,411,158,131,146
PA5169,588,176,147,147
PA5170,22485,18071,1639,14093
PA5171,8380,8925,943,8230
PA5172,4299,6953,957,7198
PA5173,1465,2733,418,2791
PA5174,828,528,568,597
PA5175,547,371,385,491
PA5176,529,484,381,732
PA5177,219,248,133,339
PA5178,2802,271,4352,359
PA5179,186,66,95,85
PA5180,357,83,58,115
PA5181,3940,381,210,459
PA5182,117,75,416,88
PA5183,156,102,122,102
PA5183a,1019,490,186,479
PA5184,166,63,81,80
PA5185,178,53,76,62
PA5186,324,64,95,94
PA5187,702,91,91,115
PA5188,334,69,69,86
PA5189,152,93,75,104
PA5190,193,110,94,139
PA5191,249,43,98,52
PA5192,3195,4972,1139,6773
PA5193,418,542,191,726
PA5194,294,285,128,414
PA5195,209,106,163,151
PA5196,75,41,46,62
PA5197,244,109,158,140
PA5198,660,226,338,291
PA5199,464,209,203,221
PA5200,776,424,331,477
PA5201,1236,1802,292,2334
PA5202,105,86,28,122
PA5203,1687,592,482,724
PA5204,1062,346,251,515
PA5205,381,74,245,112
PA5206,764,215,378,277
PA5207,448,227,85,151
PA5208,1516,720,188,547
PA5209,285,581,224,755
PA5210,1273,968,624,1096
PA5211,32,20,47,21
PA5212,207,59,1023,66
PA5213,756,127,476,139
PA5214,1496,558,513,747
PA5215,830,667,402,819
PA5216,114,69,108,86
PA5217,160,31,89,45
PA5218,165,55,94,69
PA5219,121,97,114,112
PA5220,673,104,106,163
PA5221,719,320,332,393
PA5222,239,108,80,146
PA5223,1522,657,575,872
PA5224,2516,1699,1356,2044
PA5225,278,224,120,306
PA5226,273,145,134,173
PA5227,696,401,488,509
PA5228,561,438,228,535
PA5229,489,256,137,335
PA5230,847,415,160,702
PA5231,3250,1806,326,1868
PA5232,4870,2355,398,2081
PA5233,245,95,82,123
PA5234,2004,283,279,340
PA5235,359,1198,293,1522
PA5236,652,302,194,469
PA5237,1439,710,622,1071
PA5238,202,118,126,156
PA5239,3938,8543,1765,10507
PA5240,2901,2085,3025,2655
PA5241,1920,1250,1002,1553
PA5242,4781,2766,1895,2948
PA5243,1664,1532,701,1435
PA5244,348,386,100,417
PA5245,959,294,668,397
PA5246,157,133,64,161
PA5247,206,176,163,239
PA5248,249,238,199,358
PA5249,163,87,91,105
PA5250,670,482,178,572
PA5251,304,237,155,277
PA5252,791,738,338,971
PA5252a,964,306,357,360
PA5253,13323,2286,8455,3046
PA5254,259,109,162,159
PA5255,3256,855,1870,1090
PA5256,104,87,32,99
PA5257,1713,496,1216,715
PA5258,1032,342,567,452
PA5259,498,346,269,387
PA5260,1519,1207,571,1380
PA5261,1307,339,1043,378
PA5262,445,144,272,197
PA5263,2031,1231,975,1732
PA5264,484,284,285,345
PA5265,453,232,274,302
PA5266,91,50,90,69
PA5267,155,48,75,56
PA5268,501,248,207,315
PA5269,307,156,136,212
PA5270,532,325,192,392
PA5271,920,137,632,154
PA5272,1039,220,400,254
PA5273,226,132,105,173
PA5274,1156,838,286,1061
PA5275,103,134,68,150
PA5276,125,85,70,131
PA5277,1222,1176,544,1477
PA5278,750,523,256,735
PA5279,1233,796,546,1037
PA5280,370,240,188,222
PA5281,253,82,121,115
PA5282,99,55,72,67
PA5283,359,214,208,251
PA5284,79,65,45,68
PA5285,659,476,326,607
PA5286,199,300,59,319
PA5287,527,301,302,387
PA5288,2071,643,1602,802
PA5289,111,63,62,110
PA5290,243,203,164,214
PA5291,989,618,576,1133
PA5292,1373,217,428,297
PA5293,89,57,56,64
PA5294,88,94,86,96
PA5295,826,615,288,809
PA5296,863,1998,325,2289
PA5297,101,77,527,110
PA5298,305,1119,231,1463
PA5299,368,558,392,588
PA5300,1694,1408,1013,1533
PA5301,648,1476,489,1665
PA5302,354,415,254,722
PA5303,475,476,350,752
PA5304,2074,1748,1223,2668
PA5305,576,120,376,161
PA5306,274,91,237,117
PA5307,541,227,384,358
PA5308,521,300,227,380
PA5309,239,647,116,781
PA5310,272,173,197,206
PA5311,106,107,100,136
PA5312,1568,3190,937,3714
PA5313,213,748,331,859
PA5314,72,264,89,312
PA5315,2511,7674,830,9724
PA5316,1387,5389,460,7004
PA5317,1262,299,501,419
PA5318,232,47,93,68
PA5319,270,102,166,145
PA5320,1008,925,457,1093
PA5321,549,441,144,532
PA5322,4594,2457,1856,3094
PA5323,2421,966,839,1213
PA5324,614,226,162,256
PA5325,112,26,55,34
PA5326,70,21,40,25
PA5327,92,30,40,58
PA5328,12,5,14,7
PA5329,395,150,270,196
PA5330,579,413,333,489
PA5331,682,669,339,826
PA5332,1259,1471,637,1954
PA5333,232,234,142,308
PA5334,544,761,241,976
PA5335,278,438,110,523
PA5336,313,370,98,516
PA5337,902,977,408,1242
PA5338,3524,3721,1170,4608
PA5339,1950,785,662,1172
PA5340,986,724,291,1002
PA5341,114,139,47,193
PA5342,217,106,99,142
PA5343,334,182,138,200
PA5344,1452,921,676,1186
PA5345,1864,820,703,1106
PA5346,3402,1338,1093,1486
PA5347,504,218,165,289
PA5348,17798,1254,1844,1659
PA5349,1179,369,332,442
PA5350,109,27,29,31
PA5351,419,130,60,161
PA5352,22,5,22,4
PA5353,67,12,49,19
PA5354,48,12,58,15
PA5355,105,38,59,67
PA5356,272,56,96,62
PA5357,81,106,49,112
PA5358,443,193,348,263
PA5359,405,77,356,91
PA5360,192,136,158,192
PA5361,173,101,131,90
PA5362,1187,921,503,1152
PA5363,900,592,438,658
PA5364,1763,656,529,725
PA5365,300,135,195,160
PA5366,188,144,165,172
PA5367,117,93,97,109
PA5368,146,124,152,175
PA5369,337,163,405,195
PA5370,364,161,115,256
PA5371,451,321,374,392
PA5372,974,222,216,263
PA5373,2568,683,491,651
PA5374,677,366,204,288
PA5375,725,105,113,118
PA5376,3472,94,314,143
PA5377,2381,98,203,117
PA5378,4455,218,501,251
PA5379,483,25,70,31
PA5380,4148,102,216,121
PA5381,334,7,41,17
PA5382,56,30,43,54
PA5383,29,11,54,27
PA5384,23,5,42,12
PA5385,29,8,27,8
PA5386,32,11,41,12
PA5387,26,11,26,18
PA5388,79,24,43,22
PA5389,767,38,114,47
PA5390,1970,32,95,53
PA5391,1664,19,37,9
PA5392,4608,12,33,19
PA5393,8032,23,75,36
PA5394,292,85,107,106
PA5395,79,12,46,23
PA5396,2061,82,75,114
PA5397,902,11,16,16
PA5398,4069,41,93,69
PA5399,1096,34,80,46
PA5400,322,14,55,10
PA5401,249,8,50,14
PA5402,77,57,34,91
PA5403,66,47,54,57
PA5404,32,37,36,63
PA5405,33,24,23,32
PA5406,31,146,17,168
PA5407,63,103,30,111
PA5408,139,38,59,53
PA5409,388,92,99,101
PA5410,4020,29,45,38
PA5411,1012,37,48,50
PA5412,740,211,233,207
PA5413,976,395,535,511
PA5414,380,232,181,274
PA5415,1380,62,66,68
PA5416,2298,28,62,25
PA5417,398,2,9,6
PA5418,4155,54,158,64
PA5419,452,8,28,12
PA5420,1066,37,65,29
PA5421,2779,39,162,31
PA5422,668,276,392,315
PA5423,351,182,226,207
PA5424,287,75,887,72
PA5425,637,568,197,800
PA5426,361,518,97,632
PA5427,5239,2160,652,1974
PA5428,576,389,94,492
PA5429,1288,3657,144,7572
PA5430,363,222,195,270
PA5431,89,54,111,73
PA5432,81,16,62,31
PA5433,137,38,94,66
PA5434,169,166,137,225
PA5435,4811,795,5999,2295
PA5436,1484,790,2512,1681
PA5437,156,274,81,490
PA5440a,51,79,24,106
PA5438,970,1073,316,1183
PA5439,456,200,221,236
PA5440,834,829,110,694
PA5441,2152,670,468,885
PA5442,874,175,183,218
PA5443,1173,1060,626,1415
PA5444,110,72,67,105
PA5445,1306,469,147,1378
PA5446,810,699,100,678
PA5447,2046,470,508,573
PA5448,1271,195,227,198
PA5449,2036,311,417,333
PA5450,2838,501,529,614
PA5451,1235,248,200,312
PA5452,4482,789,654,1058
PA5453,3820,716,884,874
PA5454,2183,894,738,1033
PA5455,1922,834,428,1026
PA5456,2687,655,484,838
PA5457,712,158,147,222
PA5458,418,158,123,215
PA5459,1067,200,208,237
PA5460,442,34,28,40
PA5461,1940,646,1688,891
PA5462,103,129,60,146
PA5463,81,89,55,94
PA5464,461,473,258,590
PA5465,145,55,90,95
PA5466,90,45,97,54
PA5467,79,55,34,54
PA5468,146,70,66,64
PA5469,70,46,29,36
PA5470,77,28,42,42
PA5471,276,147,96,163
PA5472,310,289,108,340
PA5473,472,135,441,161
PA5474,1290,651,379,721
PA5475,2916,1320,444,1250
PA5476,236,112,227,143
PA5477,202,164,131,201
PA5478,263,256,151,312
PA5479,385,1310,135,2108
PA5481,200,30,1504,44
PA5482,46,10,300,9
PA5483,432,224,406,276
PA5484,471,218,357,313
PA5485,207,215,138,275
PA5486,78,78,64,140
PA5487,1491,647,766,918
PA5488,1379,801,701,1027
PA5489,2090,1262,1233,1553
PA5490,2016,2526,1006,2855
PA5491,292,486,174,527
PA5492,1034,1186,280,1310
PA5493,2069,1541,786,1792
PA5494,1274,771,308,750
PA5495,2566,1375,424,1365
PA5496,528,333,176,310
PA5497,1836,1868,602,1529
PA5498,251,124,106,196
PA5499,346,201,86,259
PA5500,331,230,135,299
PA5501,170,141,80,168
PA5502,173,183,154,243
PA5503,353,681,90,949
PA5504,292,605,57,802
PA5505,2863,1826,860,2376
PA5506,62,623,62,643
PA5507,125,630,72,697
PA5508,141,548,142,689
PA5509,84,171,71,256
PA5510,209,256,146,337
PA5511,430,248,153,311
PA5512,234,211,154,262
PA5513,153,161,86,176
PA5514,145,120,83,158
PA5515,182,134,116,144
PA5516,433,241,220,319
PA5517,208,99,94,158
PA5518,282,181,98,212
PA5519,269,142,142,181
PA5520,219,104,142,126
PA5521,704,323,618,439
PA5522,135,232,110,342
PA5523,174,761,207,936
PA5524,224,274,121,339
PA5525,336,256,196,361
PA5526,91,46,95,74
PA5527,271,175,237,211
PA5528,1256,596,491,702
PA5529,465,182,206,229
PA5530,155,112,10103,170
PA5531,133,52,95,101
PA5533,89,58,42,98
PA5534,43,25,34,34
PA5535,66,30,55,59
PA5536,3,6,10,5
PA5537,68,33,40,42
PA5538,40,31,67,42
PA5539,19,17,40,15
PA5540,22,7,12,11
PA5541,378,34,96,46
PA5542,889,45,126,55
PA5543,253,17,41,12
PA5544,1321,120,239,175
PA5545,2931,262,477,333
PA5546,1581,250,1578,296
PA5547,355,149,151,200
PA5548,267,247,148,252
PA5549,1264,815,328,931
PA5550,147,132,57,179
PA5551,307,199,154,260
PA5552,1298,1409,499,1629
PA5553,1397,2582,331,2979
PA5554,12643,22932,3580,25727
PA5555,5474,12575,1072,14531
PA5556,11834,27160,2563,30035
PA5557,3323,9532,704,9628
PA5558,3183,8381,725,9216
PA5559,1853,4132,469,4781
PA5560,1402,3264,451,3861
PA5561,393,843,224,952
PA5562,1788,1751,612,2097
PA5563,1280,1745,506,1917
PA5564,569,952,76,1119
PA5565,1388,2664,418,3421
PA5566,36,18,34,15
PA5567,451,509,224,564
PA5568,2516,6298,679,7749
PA5569,1744,4377,501,5305
PA5570,643,1583,224,1992
