Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
PA2360,188,467,223,196,132,71
PA2361,502,1119,493,497,399,244
aroE,159,123,115,127,135,148
PA0239,98,125,91,211,114,112
PA2362,89,311,87,101,51,64
PA2363,449,1196,508,943,499,269
PA2364,304,908,384,1268,699,504
PA2365,646,1065,719,1691,714,536
PA2366,2925,2655,1745,3609,1423,834
PA2367,786,724,545,1151,534,444
PA2368,51,137,53,41,33,26
PA2369,415,1100,395,364,243,124
PA2370,235,734,230,171,136,76
PA2371,859,2141,961,1077,903,762
PA0240,196,217,195,166,158,159
PA2373,631,992,411,474,415,317
PA2374,118,215,103,82,115,87
PA2375,1679,3655,2722,1936,2361,1770
PA2376,59,229,76,212,150,149
PA2377,138,247,110,190,130,104
PA2378,1318,3578,1288,1147,964,725
PA2379,507,1353,355,428,291,225
PA2380,54,99,59,70,68,54
PA2381,10304,2349,6725,10739,7288,8820
lldA,605,460,487,429,611,505
PA0241,159,207,186,221,193,119
PA2383,451,368,260,314,359,311
PA2384,1668,603,740,498,911,861
pvdQ,1742,908,1058,828,1071,911
pvdA,12989,1440,4482,4205,5187,4805
fpvI,519,282,278,427,525,487
fpvR,1952,1149,1109,2504,1895,2414
pvdR,253,259,162,175,172,132
pvdT,373,759,380,311,423,290
opmQ,200,193,161,134,145,112
pvdP,702,350,322,467,424,379
PA0242,132,200,116,212,98,129
PA2393,1225,383,547,614,779,738
pvdN,848,456,445,470,632,581
pvdO,473,163,215,239,220,224
pvdF,793,486,419,630,433,369
pvdE,2748,2301,2736,3468,2842,2437
fpvA,9272,2009,3557,3744,4026,3787
pvdD,15389,15905,11933,12815,10228,7316
pvdJ,15765,20147,12357,12678,9844,7504
PA2402,37270,40522,33524,32154,23318,18142
PA2403,2484,1094,1181,1299,1567,1506
PA0243,136,127,84,260,209,193
PA2404,1773,306,1106,894,908,824
PA2405,449,174,250,306,216,219
PA2406,306,239,190,99,104,117
PA2407,794,318,222,315,283,294
PA2408,222,279,148,87,158,85
PA2409,225,222,232,142,182,151
PA2410,1146,513,497,537,654,565
PA2411,3389,2184,1619,1235,1859,1311
PA2412,1235,494,375,457,542,341
pvdH,1497,1449,940,915,693,496
PA0244,96,69,57,59,84,70
PA2414,1198,1189,698,853,791,673
PA2415,368,477,290,299,237,199
treA,697,841,488,743,520,433
PA2417,324,662,372,416,354,345
PA2418,241,677,296,808,562,490
PA2419,798,410,349,577,342,272
PA2420,87,486,118,250,182,158
PA2421,147,794,223,725,404,334
PA2422,129,248,117,188,200,123
PA2423,944,4063,2123,3843,2558,1743
aroQ2,81,78,69,65,84,69
pvdL,24764,42466,29043,19091,14699,10333
pvdG,883,339,276,317,477,416
pvdS,1108,818,586,670,668,571
PA2427,804,1194,803,494,633,465
PA2428,76,139,69,95,103,72
PA2429,46,117,41,72,73,47
PA2430,131,232,123,175,151,129
PA2431,259,585,303,358,293,217
bexR,110,189,90,199,132,161
PA2433,6823,5587,5927,13463,6458,5240
PA0246,115,144,111,189,161,119
PA2434,247,585,346,832,476,333
PA2435,894,1206,772,1810,702,660
PA2436,434,215,209,270,277,238
PA2437,90,119,65,55,57,45
PA2438,125,169,81,92,88,50
PA2439,292,671,393,305,319,246
PA2440,49,168,46,136,67,52
PA2441,139,427,110,277,141,106
gcvT2,751,2389,1148,1015,543,373
sdaA,1775,4997,3930,4984,2585,2051
pobA,220,112,48,157,138,113
glyA2,157,142,195,207,189,191
gcvP2,1969,923,1370,1760,1305,991
gcvH2,72,50,41,201,87,77
PA2447,115,74,46,66,57,74
PA2448,2274,596,985,927,909,852
PA2449,1041,543,644,607,665,594
PA2450,116,409,172,200,222,169
PA2451,412,492,412,304,361,242
PA2453,110,531,274,575,523,413
PA2454,203,449,270,321,274,202
PA0248,129,122,61,128,118,81
PA2455,105,211,119,112,105,69
PA2457,215,552,360,725,564,466
PA2458,764,1115,889,631,730,643
PA2459,669,635,859,831,775,961
PA2460,268,605,272,527,449,396
PA2461,1716,2837,3144,6042,6097,8423
PA2462,3379,7138,4588,5850,4504,4009
PA2463,96,151,124,163,131,110
PA2464,70,127,142,95,147,131
PA2465,27,83,40,95,52,49
plcB,773,233,298,454,404,304
PA0249,274,107,84,171,131,82
foxA,467,528,294,525,490,436
foxR,894,395,309,224,450,455
foxI,278,86,89,94,122,125
PA2469,245,505,278,242,273,276
gtdA,177,335,110,192,132,116
PA2471,269,342,152,185,187,127
PA2472,148,499,118,236,109,86
PA2473,81,363,81,136,101,45
PA2474,101,583,122,282,141,114
PA2475,299,1857,655,1708,1178,846
PA0250,1391,598,652,1131,1125,675
dsbG,227,249,199,262,239,213
PA2477,292,370,199,431,233,219
PA2478,255,494,205,381,302,255
PA2479,163,150,93,109,79,100
PA2480,249,529,190,238,182,175
PA2481,603,1299,769,475,574,547
PA2482,536,1282,656,511,517,375
PA2483,4654,5496,3654,4089,3687,3591
PA2484,757,1502,667,812,781,807
PA2485,2617,12448,3424,6815,4144,4417
PA0251,38,48,62,77,51,31
PA2486,1069,4438,822,2037,916,805
PA2487,274,2873,378,511,351,288
PA2488,221,1862,337,594,313,301
PA2489,418,2512,672,831,547,400
PA2490,269,932,348,527,302,214
PA2491,21602,25637,10799,12606,10204,9062
mexT,548,515,515,602,548,489
mexE,5263,7837,3162,3369,2888,2354
mexF,13522,14263,9828,10228,6742,5020
oprN,3501,5098,2683,1737,1938,1196
PA0252,45,72,36,95,39,45
PA2496,112,303,131,119,150,197
PA2497,163,382,168,211,162,172
PA2498,69,289,43,108,81,92
PA2499,34,277,35,50,43,41
PA2500,581,1508,861,703,1063,995
PA2501,651,840,784,1200,1395,1605
PA2502,203,350,202,304,208,210
PA2503,2435,1437,1657,1085,978,794
PA2504,3747,1238,1424,1955,1432,1206
opdT,55,94,46,85,56,55
PA0253,70,71,28,41,44,53
PA2506,1,17,12,38,13,27
catA,110,177,55,139,95,72
catC,21,87,19,98,34,31
catB,54,438,53,919,73,14
catR,173,343,133,129,92,92
PA2511,223,750,395,633,263,153
antA,1365,539,757,973,404,215
antB,742,352,467,761,222,159
antC,627,485,402,489,289,302
xylL,82,88,56,70,20,14
PA0254,198,292,144,184,152,175
xylZ,57,53,43,46,34,32
xylY,55,46,71,100,73,45
xylX,94,91,96,119,82,84
xylS,201,253,130,188,108,83
czcA,377,1988,568,951,915,797
czcB,86,242,67,70,72,68
czcC,22,248,16,49,35,23
PA2523,99,159,64,103,99,125
PA2524,275,454,258,302,344,332
PA2525,174,232,119,139,151,87
PA0255,242,287,131,184,148,193
PA2526,321,436,315,383,323,243
PA2527,700,992,577,822,634,538
PA2528,333,401,305,614,384,485
PA2529,1061,370,385,444,542,443
PA2530,498,256,219,190,166,191
PA2531,310,123,150,153,157,134
tpx,643,123,237,210,287,239
PA2533,573,543,441,540,409,426
PA2534,157,143,76,139,101,96
PA2535,148,4801,127,157,99,108
PA0256,1137,3144,1527,8037,3678,3082
PA2536,215,3716,213,278,228,196
PA2537,146,841,107,273,191,121
PA2538,106,295,104,139,89,73
PA2539,76,210,68,65,49,37
PA2540,248,335,196,174,205,134
PA2541,503,681,379,366,360,363
PA2542,590,798,465,739,613,703
PA2543,362,197,169,242,238,205
PA2544,567,253,213,341,313,231
xthA,315,105,114,199,192,167
PA0257,188,268,192,339,293,271
PA2546,131,138,131,114,110,148
PA2547,155,231,159,258,182,156
PA2548,67,100,69,151,63,63
PA2549,194,195,131,405,227,203
PA2550,297,400,300,10070,3276,1681
PA2551,1165,528,426,1341,793,698
PA2552,1540,609,692,814,697,617
PA2553,4647,781,1753,1977,1472,1388
PA2554,1625,345,600,804,647,559
PA2555,1737,812,847,964,959,818
PA0258,199,291,251,309,201,157
PA2556,128,127,102,157,101,85
PA2557,962,989,788,856,998,831
PA2558,148,223,88,148,102,70
PA2559,687,813,385,928,643,554
PA2559a,143,327,161,390,249,235
PA2560,315,535,236,642,443,306
PA2561,653,1277,593,1445,986,837
PA2562,7065,8089,6069,19423,10223,10224
PA2563,4420,2375,3192,2115,3314,2531
PA2564,8255,1397,3194,2585,4374,3764
PA0027,130,115,143,108,118,97
PA0259,960,1360,903,1560,1213,1078
PA2565,2521,594,1200,878,1589,1188
PA2566,7455,1574,2800,4251,4760,4253
PA2567,4020,6363,3430,3091,2663,1988
PA2568,649,1106,566,351,513,413
PA2569,463,694,399,713,581,625
lecA,4459,2238,2428,6330,3703,2754
PA2571,2547,4669,3809,8625,4496,3663
PA2572,3878,9694,5646,7745,8214,8319
PA2573,8565,21566,24434,25284,29256,34617
PA0260,776,1253,1138,1658,1274,1231
alkB1,983,3375,1778,5908,4103,4086
PA2575,1413,517,404,628,604,709
PA2576,235,678,311,286,332,287
PA2577,161,350,166,561,282,272
PA2578,142,514,198,205,210,163
kynA,538,1125,564,623,618,572
PA2580,233,589,257,538,354,411
PA2581,664,620,395,707,491,451
PA2582,2058,1648,1511,1477,1632,1570
PA0261,90,192,140,255,237,212
PA2583,1089,2151,1506,1734,2018,1841
pgsA,448,319,289,457,531,685
uvrC,555,532,342,599,567,544
gacA,1750,1233,1119,3698,2446,3360
pqsH,2539,535,972,885,1229,1332
PA2588,2854,348,867,1029,1285,1397
PA2589,612,179,222,397,407,341
PA2590,206,297,218,269,215,197
PA2591,3277,2093,2163,1700,2180,2272
PA0262,182,604,435,634,706,725
PA2592,2605,791,1136,1190,1571,1588
qteE,149,186,129,188,206,137
PA2594,297,390,208,286,299,218
PA2595,110,146,102,88,106,103
PA2596,82,150,105,140,109,118
PA2597,97,177,109,216,78,108
PA2598,55,77,46,71,41,37
PA2599,93,104,107,166,106,98
PA2600,77,63,41,95,66,53
PA2601,656,368,389,473,636,662
hcpC,8,42,25,50,24,27
PA2602,85,90,93,135,99,105
PA2603,244,144,127,198,171,135
PA2604,4435,907,663,1686,1596,1781
PA2605,953,1572,1184,1504,3065,2860
PA2606,175,300,138,175,183,159
PA2607,116,143,83,83,83,100
PA2608,159,185,87,98,150,134
PA2609,908,343,209,353,392,314
PA2610,202,269,98,229,167,126
cysG,511,808,394,377,453,303
serS,840,885,499,679,642,542
PA2613,1422,1360,1068,1732,1658,1486
lolA,345,323,279,338,303,307
ftsK,2560,1525,1612,1700,1920,2031
trxB1,7089,2585,4092,5446,3656,3418
aat,279,860,330,409,381,289
PA2618,3534,9372,5429,14909,7556,7876
infA,82,557,98,219,153,99
clpA,51114,96242,79734,146608,50154,38378
gabD,2693,1048,1662,2261,1204,1085
PA2621,148993,124111,213046,286758,189045,192670
cspD,9405,16902,7966,20195,7872,5851
icd,37125,15171,19703,31232,18711,17851
idh,5035,2664,1717,2565,2144,2015
PA2625,114,278,134,145,106,125
trmU,694,654,416,497,400,348
PA2627,152,353,142,172,177,132
PA2628,500,1032,663,1038,699,644
purB,1012,770,731,1286,876,837
PA2630,886,837,806,994,496,470
PA0266,2737,1563,2300,2493,1436,1386
PA2631,1591,1296,1266,2250,1076,998
PA2632,980,2167,1276,3355,3246,3914
PA2633,1298,2247,1324,2984,1627,1913
aceA,9262,8601,8018,12955,5510,5028
PA2635,339,1520,461,612,700,648
PA2636,84,374,76,122,89,75
nuoA,2889,5975,6672,9158,5166,3330
nuoB,2333,2158,1272,2413,1318,1062
nuoD,4736,1645,2161,2418,2120,1802
nuoE,589,356,280,404,233,207
PA0267,150,196,118,146,86,69
nuoF,2688,1414,1336,1418,1223,1023
nuoG,6101,4075,4616,3943,2687,2240
nuoH,1573,1808,1459,1349,1089,760
nuoI,1102,957,784,1033,698,467
nuoJ,315,403,239,267,233,184
nuoK,335,299,186,268,154,157
nuoL,2268,1852,1059,1340,1096,944
nuoM,663,603,340,539,439,476
nuoN,864,661,457,488,478,435
PA2650,129,142,77,145,103,82
PA0268,178,130,75,93,97,100
PA2651,549,1308,514,2218,1070,821
PA2652,1070,9692,2272,11385,3913,1997
PA2653,97,177,84,184,123,121
PA2654,1979,20071,5533,19047,5685,3728
PA2655,149,1268,197,401,124,82
PA2656,465,683,405,744,578,448
PA2657,630,660,497,606,422,388
PA2658,1232,874,735,1540,780,666
PA2659,3038,2137,2178,4292,2254,1975
PA2660,198,153,128,196,158,154
PA0028,75,90,80,80,46,63
PA0269,2219,181,761,1241,1214,1364
PA2661,229,186,182,233,164,141
PA2662,354,356,335,253,262,193
ppyR,47,29,29,64,46,31
fhp,462,404,595,781,587,399
PA2665,425,418,395,322,300,289
PA2666,62,61,53,100,75,91
PA2667,198,100,125,175,165,207
PA2668,343,144,197,248,260,257
PA2669,86,104,72,168,123,157
PA2670,110,101,89,152,104,99
PA0270,1738,277,757,926,716,657
PA2671,108,214,108,250,179,170
PA2672,39,69,15,126,42,27
PA2673,31,106,46,212,76,75
PA2674,41,51,23,90,53,36
PA2675,32,59,30,84,55,44
PA2676,68,116,69,172,96,60
PA2677,217,234,217,268,207,197
PA2678,551,525,598,632,511,471
PA2679,465,480,574,460,295,217
PA2680,107,181,100,100,140,137
PA0271,1294,287,555,755,521,449
PA2681,196,176,138,129,154,167
PA2682,160,158,104,125,91,85
PA2683,295,279,206,205,191,141
PA2684,449,398,316,552,395,353
PA2685,529,441,399,903,685,715
pfeR,469,174,224,197,314,348
pfeS,343,281,302,260,255,332
pfeA,259,265,199,359,212,236
PA2689,154,191,152,156,147,112
PA2690,0,0,1,0,0,0
PA0272,1143,474,857,887,777,756
PA2691,266,216,158,233,178,168
PA2692,136,156,108,50,146,115
PA2693,76,87,40,72,57,78
PA2694,69,116,81,119,106,88
PA2695,270,192,226,191,219,181
PA2696,240,124,129,188,133,146
PA2697,27,19,23,36,51,42
PA2698,243,79,130,179,132,140
PA2699,1488,368,586,714,624,561
opdB,204,186,131,353,240,209
PA0273,123,236,167,245,187,134
PA2701,419,472,339,465,501,462
PA2702,656,294,438,483,496,577
PA2703,29,55,14,46,22,19
PA2704,108,376,171,362,225,150
PA2705,1355,1091,1153,1686,874,589
PA2706,460,413,261,460,433,356
PA2707,2061,981,704,3009,1641,1126
PA2708,377,1004,560,760,643,580
cysK,3019,1712,1240,3256,1636,1514
PA2710,156,139,66,108,91,66
PA0274,50,221,95,437,238,199
PA2711,147,190,260,295,153,124
PA2712,339,342,265,368,329,314
PA2713,505,415,381,366,384,361
PA2714,124,174,106,171,144,96
PA2715,20,33,17,80,30,36
PA2716,240,304,177,311,199,159
cpo,1076,610,784,1829,1125,1123
PA2718,749,351,309,718,604,505
PA2719,300,232,208,185,208,143
PA2720,229,114,118,157,99,144
PA0275,112,166,88,264,166,160
PA2721,258,170,144,607,185,155
PA2722,394,232,204,442,174,120
PA2723,325,332,207,317,227,181
PA2724,47,87,20,25,26,24
PA2725,474,532,442,459,422,314
PA2726,123,144,109,116,101,110
PA2727,462,588,417,554,451,426
PA2729,92,108,113,137,34,45
PA2730,1122,485,592,602,629,638
PA2732,4176,4638,4254,4187,3013,2765
PA0276,207,993,557,393,269,277
PA2733,883,1770,1618,1514,795,619
PA2734,1288,1524,1080,1390,965,778
PA2735,4223,2745,3646,3217,3124,2928
PA2736,152,453,155,332,263,231
PA2737,3313,1765,1400,2637,1935,1850
himA,19382,9586,11601,14786,10615,11338
pheT,6620,4251,6190,5909,5145,5759
pheS,449,333,200,368,303,306
rplT,4494,4062,2284,5829,2474,2395
PA0277,100,395,184,218,159,168
rpmI,8552,6894,4693,9475,3088,2596
infC,35956,47610,43251,46056,24433,19167
thrS,2256,1843,1770,2749,1985,1892
PA2745,96,148,65,106,62,65
PA2746,959,2753,949,2846,1930,1343
PA2746a,7180,5186,3308,12182,8218,7738
PA2747,2913,2278,883,1276,1664,1203
PA2747a,141,780,107,123,130,88
PA2748,190,2207,199,187,300,186
PA0278,73,181,80,105,82,88
endA,226,1193,216,238,265,204
PA2750,197,1522,153,222,198,133
PA2750a,139,508,136,233,156,88
PA2751,385,1694,346,1022,750,680
PA2752,82,610,45,92,113,69
PA2753,1100,360,475,353,540,451
PA2754,1450,1462,753,1988,1846,2262
PA2754a,85,246,67,177,135,148
PA2755a,799,815,458,1296,813,749
eco,1080,823,719,1560,1054,934
PA0029,115,125,66,124,66,62
PA0279,104,129,94,95,82,73
PA2756,505,1052,387,689,499,380
PA2757,50,771,64,156,135,84
PA2758,1046,15176,2092,2397,2413,1813
PA2759,20525,37463,18247,18401,17523,18465
PA2760,3245,1009,1746,1847,2276,2586
PA2761,709,669,563,854,575,545
PA2762,398,129,101,176,96,107
PA2763,20,38,14,29,18,13
PA2763a,269,264,127,223,158,135
PA2764,524,428,354,457,349,320
cysA,145,205,160,187,96,91
PA2765,438,480,261,261,288,249
PA2766,123,280,75,96,124,121
PA2767,107,274,81,189,146,175
PA2768,110,262,116,237,125,133
PA2769,198,942,207,534,281,265
PA2770,366,1509,442,937,564,464
PA2771,696,1318,710,988,1133,1227
PA2772,44,201,40,83,63,66
PA2772a,49,133,17,37,39,14
PA2773,44,293,40,70,53,43
cysW,182,172,157,235,159,134
PA2774,81,598,116,140,154,104
PA2775,100,656,100,165,169,123
PA2776,1490,1235,752,1156,1128,1280
PA2777,1315,3914,1390,4188,1834,2431
PA2778,1052,3286,1530,2357,1622,1158
PA2779,8760,9863,21910,25319,17304,15250
PA2780,345,368,194,366,251,203
PA2781,364,247,103,213,170,128
PA2782,86,149,91,62,81,66
cysT,93,104,60,129,70,95
PA2783,135,271,120,163,108,121
PA2784,62,197,120,229,171,171
PA2785,18,55,17,40,22,29
PA2786,55,124,31,71,59,38
cpg2,1041,2510,779,785,794,590
PA2788,10233,23795,9565,14184,10446,7714
PA2789,94,258,77,139,122,96
PA2790,1927,32744,9157,11666,11967,6736
PA2791,346,15333,2325,3077,3966,2323
PA2792,167,9556,563,735,1269,681
sbp,320,320,431,530,589,594
PA2793,526,21038,1048,1706,2477,1278
PA2795,210,1407,160,211,274,206
tal,3323,2982,2146,2113,2440,2244
PA2797,2468,4618,2862,5536,4176,4310
PA2798,4174,8537,5595,10430,8986,8855
PA2799,824,2855,2210,4625,3168,2880
PA2800,901,3804,2159,4631,3525,3138
PA2801,197,933,383,853,644,488
PA2802,112,509,107,165,184,146
PA2803,93,309,60,109,91,63
PA0284,374,406,509,775,1029,1288
PA2804,35,204,43,57,55,34
PA2805,395,417,300,841,529,494
PA2806,104,288,86,107,156,87
PA2807,67,172,72,140,115,104
ptrA,22,59,21,51,10,13
copR,187,166,104,158,147,119
copS,154,295,100,181,150,130
PA2811,970,607,558,853,707,629
PA2812,1655,711,489,847,774,695
PA2813,3498,3055,1135,1520,1732,1797
PA0285,348,303,291,409,364,346
PA2814,362,286,172,533,394,377
PA2815,6604,3275,3992,5347,3808,3443
PA2816,1749,557,674,1257,789,808
PA2817,924,337,409,625,426,419
arr,705,401,481,474,570,519
PA2820,981,745,596,942,750,562
PA2821,882,540,391,420,544,641
desA,2500,580,640,992,1303,1381
PA2822,366,212,192,179,221,216
PA2823,809,237,224,367,330,289
PA2824,1421,985,921,1443,1432,1482
ospR,164,227,129,272,130,110
PA2826,353,338,309,839,400,355
PA2827,1328,1710,1218,3185,1777,1445
PA2828,452,440,369,493,413,460
PA2829,192,222,176,143,155,140
htpX,1478,537,465,656,551,474
PA2831,140,99,96,133,123,78
gpuP,126,248,117,244,117,97
tpm,321,136,174,196,246,161
PA2833,82,56,39,60,36,41
PA2834,335,213,193,275,297,248
PA2835,122,111,105,172,114,97
PA2836,55,92,61,113,77,68
PA2837,40,64,37,44,40,29
PA2838,102,78,44,70,66,82
PA2839,112,155,100,156,81,120
PA2840,179,148,97,248,205,216
PA2841,142,230,156,263,229,199
gpuA,266,122,152,129,90,68
PA2842,118,149,92,109,111,162
PA2843,434,276,226,349,416,296
PA2844,378,339,198,250,210,173
PA2845,42,72,34,64,17,23
PA2846,211,239,181,131,165,123
PA2847,283,294,321,197,255,169
PA2848,65,72,41,52,64,48
ohrR,427,171,230,274,343,299
ohr,76,114,58,67,55,62
efp,506,239,357,536,428,379
PA0030,60,59,57,89,58,42
gpuR,438,255,183,249,253,204
PA2852,611,588,440,531,516,525
oprI,2569,2781,1680,2849,1665,1194
PA2854,3478,3399,2656,3616,3235,3099
PA2855,138,210,80,153,111,100
tesA,532,651,283,681,486,502
PA2857,172,251,83,176,141,127
PA2858,825,946,473,635,555,590
greB,205,289,128,179,174,167
PA2860,199,191,120,167,168,159
PA0290,734,551,392,475,396,318
ligT,145,280,185,122,161,117
lipA,630,829,305,3412,1489,1969
lipH,76,247,53,99,69,73
PA2864,208,626,312,787,463,429
PA2865,556,736,428,1735,526,561
mttC,288,381,279,515,377,385
PA2867,4590,12452,4432,9214,5724,4649
PA2868,716,1122,715,1729,1478,855
PA2869,320,614,436,1121,865,1230
PA2870,371,1073,504,944,818,787
oprE,4439,1331,1571,2119,1985,2127
PA2871,930,517,330,425,401,386
PA2872,371,551,317,276,273,239
PA2873,411,981,440,543,472,365
PA2874,78,199,47,74,63,40
PA2875,297,568,270,710,471,424
pyrF,81,100,46,57,46,61
PA2877,306,217,179,235,218,197
PA2878,163,302,260,253,226,232
PA2879,207,363,237,254,236,227
PA2880,27,34,27,78,46,41
aguA,1515,641,629,806,588,680
PA2881,79,88,54,46,42,24
PA2882,62,94,34,91,36,43
PA2883,3475,5438,2756,3881,5456,3897
PA2884,291,292,187,331,309,327
atuR,128,205,80,166,138,152
atuA,265,198,202,254,185,193
atuB,172,104,104,128,122,113
atuC,577,307,392,317,367,273
atuD,412,158,150,251,205,204
atuE,167,137,113,60,69,68
aguB,279,333,333,542,554,597
atuF,445,292,378,268,351,262
atuG,199,101,116,131,115,118
atuH,700,699,360,632,640,594
PA2894,267,249,121,240,190,172
PA2895,842,1950,759,1280,1207,1068
PA2896,582,1960,800,1609,1434,1490
PA2897,5410,2086,1834,3024,2502,2360
PA2898,56,41,39,34,39,26
PA2899,340,211,155,204,157,177
PA2900,256,144,114,163,142,136
aguR,279,378,309,326,320,331
PA2901,550,271,308,431,409,365
PA2902,402,211,235,406,342,325
cobJ,131,214,114,427,219,218
cobI,69,93,61,100,84,104
cobH,24,26,16,27,24,29
PA2906,56,101,33,64,49,34
cobL,169,79,67,69,62,78
cbiD,125,138,102,53,64,85
PA2909,77,65,34,28,30,44
PA2910,28,28,20,35,14,42
PA0295,396,298,248,311,342,264
PA2911,279,406,281,308,269,238
PA2912,48,141,47,71,62,34
PA2913,32,100,42,79,73,32
PA2914,816,372,258,304,401,376
PA2915,1099,260,177,300,417,500
PA2916,17,84,22,30,28,16
PA2917,153,352,140,335,187,209
PA2918,1300,6172,1665,3346,1397,1170
PA2919,423,2258,634,1040,355,225
PA2920,5056,30370,11499,29937,15792,10595
spuI,2228,838,766,1233,1188,1059
PA2921,43,41,20,67,29,36
PA2922,55,42,35,38,34,20
hisJ,42,49,26,54,43,35
hisQ,68,82,59,120,63,55
hisM,104,90,67,101,84,96
hisP,60,84,35,108,56,56
PA2927,419,144,138,174,269,183
PA2928,114,136,81,136,109,128
PA2929,45,72,37,36,67,40
PA2930,593,689,520,398,574,541
spuA,1156,2554,1376,4714,2925,2971
cifR,309,399,248,205,183,147
morB,117,130,108,120,96,83
PA2933,111,159,124,183,147,123
cif,94,79,91,115,97,69
PA2935,61,45,63,72,74,54
PA2936,53,31,43,46,28,30
PA2937,34133,25610,65703,36970,56400,54884
PA2938,2097,1943,1086,1338,1347,1072
PA2939,4481,1644,2878,3467,2215,1609
PA2940,295,629,267,463,347,289
spuB,2749,993,2262,2005,1465,1326
PA2941,184,213,103,138,99,108
PA2942,322,304,162,148,170,147
PA2943,132,385,123,110,80,79
cobN,596,699,585,453,452,391
PA2945,410,218,218,262,186,240
PA2946,243,301,250,156,144,111
PA2947,105,77,57,70,64,31
cobM,86,101,75,99,96,83
PA2949,289,273,176,216,211,144
gyrB,5957,4335,4061,6011,3640,3666
betC,274,191,193,252,164,162
spuC,5716,2234,4367,6004,3661,3578
PA2950,958,364,395,632,508,565
etfA,3426,1682,2157,2662,2191,2115
etfB,6728,2114,4476,5264,4972,4900
PA2953,1323,2036,1398,1987,1470,1421
PA2954,133,2020,534,2352,1288,712
PA2955,327,7202,2609,8004,5541,3415
PA2956,310,339,229,250,261,212
PA2957,2399,3764,3098,5297,4967,4916
PA2958,451,1184,661,1056,707,658
spuD,5267,3413,3909,6836,4340,4499
PA2959,318,6544,434,1201,1279,885
pilZ,917,4843,734,1432,1458,1195
holB,466,13180,649,826,1466,553
tmk,448,12466,777,689,1425,554
PA2963,1254,12570,1045,1524,2080,1347
pabC,486,7559,509,503,1039,428
fabF1,744,10226,759,758,1381,639
acpP,1440,1996,1427,3163,2152,1700
fabG,2867,7674,4502,3614,3967,2946
fabD,758,3836,770,996,1280,1000
spuE,1334,717,1343,1347,1274,1394
plsX,155,1898,232,306,392,237
rpmF,245,490,106,325,169,155
PA2971,968,1452,605,1016,700,656
PA2972,100,1181,136,220,285,139
PA2973,877,2046,628,1104,788,661
PA2974,628,813,345,452,404,362
rluC,643,1116,353,531,635,463
rne,7865,7283,4737,7195,5095,5585
murB,295,408,201,231,291,209
ptpA,108,127,55,78,92,71
spuF,1212,432,549,778,602,722
kdsB,254,277,221,241,247,186
PA2980,191,104,81,162,144,132
lpxK,257,262,128,214,201,148
PA2982,122,141,54,82,90,68
PA2983,168,164,71,254,138,142
PA2984,706,718,615,596,644,543
PA2985,122,241,125,192,187,156
PA2986,187,152,125,229,184,186
PA2987,114,120,74,68,116,126
PA2988,234,147,160,295,329,306
spuG,1229,888,821,989,961,879
PA2989,361,347,236,629,537,466
PA2990,973,345,415,443,517,479
sth,1907,1057,919,1008,942,919
PA2992,159,154,102,188,119,80
PA2993,277,380,218,269,239,179
nqrF,772,584,499,559,484,495
nqrE,484,229,420,387,450,449
nqrD,385,160,233,315,272,320
nqrC,446,208,352,363,323,386
nqrB,549,239,296,412,305,343
spuH,443,384,390,376,460,390
nqrA,835,486,381,445,486,473
aroP1,1147,999,986,1860,1341,1287
PA3001,3435,1943,1792,2773,1953,2018
mfd,1537,870,1132,1252,1142,971
PA3003,397,434,381,361,353,305
PA3004,1732,432,1173,1291,1432,1538
nagZ,1364,355,785,865,897,941
psrA,1074,1127,934,1313,1358,1113
lexA,481,335,284,708,404,468
PA3008,236,448,287,273,402,293
PA0305,419,437,285,354,223,256
PA3009,122,388,94,364,286,215
PA3010,1169,642,625,1098,814,838
topA,4037,1421,2502,3070,2584,2288
PA3012,375,512,286,1320,727,685
foaB,2085,775,816,1416,876,676
faoA,4094,1182,2094,3365,2099,1986
PA3015,381,373,283,336,326,289
PA3016,786,536,630,1114,661,635
PA3017,1647,2471,1983,3984,3041,2812
PA3018,388,1831,1345,767,1841,1384
PA0306,277,393,234,387,315,260
PA3019,260,717,334,565,359,366
PA3020,1663,1481,2227,2344,2548,2536
PA3021,967,524,538,933,611,445
PA3022,1472,1186,796,669,833,668
PA3023,908,1083,627,1332,1089,871
PA3024,357,340,206,219,175,166
PA3025,277,370,152,233,130,123
PA3026,274,303,185,264,206,180
PA3027,226,251,105,186,194,154
moeA2,508,421,331,266,286,319
PA0306a,1953,869,1235,1895,1274,1021
moaB2,364,133,76,148,113,152
mobA,86,142,51,79,95,76
PA3031,1373,1932,829,2866,1879,1768
snr1,1476,1333,908,1968,910,724
PA3033,33,43,28,59,34,23
PA3034,214,195,154,200,169,181
PA3035,185,211,163,283,193,189
PA3036,183,239,193,178,179,156
PA3037,576,452,537,448,441,347
PA0307,271,253,171,191,196,161
PA3038,2510,711,825,1269,1113,1001
PA3039,136,319,171,638,221,172
PA3040,7853,8182,7424,10149,7502,7685
PA3041,1280,2112,948,1442,1034,797
PA3042,566,769,409,505,344,288
PA3043,692,316,227,357,362,305
PA3044,169,426,188,414,305,196
PA3045,41,88,35,56,38,32
PA3046,110,125,98,240,133,119
PA3047,1074,674,477,726,603,537
