,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
benD,15,23,13,6,6,11
betA,237,220,225,170,132,180
betB,655,627,625,482,384,465
betC,64,74,65,62,54,49
betI,287,333,275,237,225,315
betT1,56,60,55,26,26,41
bfrA,3561,3678,3997,2753,2301,2871
bfrB,10869,10605,11359,6652,5102,6370
bglX,695,663,670,565,486,721
bioA,1016,959,1131,991,810,1090
bioB,2260,2281,2443,1380,1164,1337
bioD,66,73,55,26,36,27
bioF,484,543,547,253,256,301
birA,698,742,835,848,755,968
bkdA1,11444,11645,11660,840,665,625
bkdA2,6656,6690,7089,712,571,569
bkdB,4685,5117,5026,772,681,747
bkdR,183,180,181,117,91,110
blc,806,794,830,725,546,779
bolA,1226,1154,1348,1127,960,1469
braB,1086,1072,1187,1306,1011,1652
braC,6107,5988,6236,2514,1875,2050
braD,619,677,655,216,196,252
braG,401,432,436,163,134,174
braZ,47,39,40,60,48,52
cafA,1706,1790,1915,1406,1108,1496
capB,1773,1472,1664,1607,1200,1696
carA,5205,5293,5899,6909,5557,8533
carB,16808,16839,17898,16843,13943,18106
cat,330,268,349,295,270,399
catA,30,32,31,15,16,18
catB,23,21,20,14,5,17
catC,15,16,12,6,8,8
catR,80,80,81,66,47,57
cbiD,148,165,137,90,90,136
cbrA,987,1004,1026,972,757,1083
cbrB,3381,3508,3442,1715,1337,1505
cc4,2460,2748,2627,2380,2283,3456
cca,392,382,456,281,231,287
ccmA,239,264,252,223,204,370
ccmB,246,221,238,273,271,387
ccmC,671,709,702,990,771,1205
ccmE,613,652,666,871,655,976
ccmF,2064,2192,2153,2195,1902,2566
ccmG,589,629,551,567,474,598
ccmH,490,554,514,419,375,486
ccoN-2,68,57,67,159,173,190
ccpR,9396,9922,9277,8076,6448,7491
cdsA,1306,1324,1398,1443,1209,1801
cheA,1273,1337,1323,462,335,436
cheB,54,44,50,40,42,55
cheW,334,357,389,120,88,126
cheY,2047,2151,2187,1322,1033,1403
cheZ,5820,5815,6097,4259,3235,4549
chiC,820,862,931,297,278,357
chpA,9991,10851,10230,6444,5807,7751
cioA,764,796,823,1616,1181,1649
cioB,521,545,546,755,556,709
citA,178,193,192,198,137,209
clpA,10686,11271,11195,6309,5171,6738
clpB,58365,61116,60330,19402,16352,16871
clpP,6029,5839,6509,5644,4509,6556
clpS,2584,2734,2902,1994,1648,2081
clpX,28022,27910,29617,20419,16575,22281
cls,365,402,372,279,214,293
cmk,1235,1281,1250,814,708,942
coIII,133,141,156,52,38,57
coaB,128,150,170,122,79,128
coaC,838,889,895,851,730,1161
coaD,705,666,720,622,555,836
coaE,681,692,705,545,481,664
cobA,14,10,12,3,9,9
cobB,382,442,431,237,224,313
cobC,148,201,143,82,84,100
cobD,134,173,141,84,77,101
cobH,155,145,142,121,118,156
cobI,253,324,271,216,193,276
cobJ,288,388,364,189,187,261
cobK,32,28,28,16,20,18
cobL,157,167,184,129,89,147
cobM,308,299,331,206,185,303
cobN,1058,1242,1205,608,553,748
cobO,763,800,851,541,520,623
cobQ,585,713,623,353,314,423
cobS,126,133,120,62,54,67
cobT,216,267,226,69,86,98
cobU,117,191,168,66,55,81
codA,228,237,253,202,186,215
codB,126,147,145,137,137,203
comL,1901,1834,1986,1802,1588,2764
corA,722,775,804,749,626,827
coxA,237,216,278,57,33,48
coxB,645,669,701,198,132,168
cpbD,2718,2916,2852,1316,1055,1538
cpg2,30,48,56,30,17,17
cpo,118,107,121,72,57,67
cpxR,308,374,339,176,155,248
crc,3858,3950,4205,2804,2297,2737
creB,254,275,279,155,163,200
creC,342,352,354,292,266,344
creD,93,116,125,75,81,99
csaA,104,107,142,113,102,147
cspD,1661,1732,1823,1099,845,944
cti,1039,1147,1167,1160,933,1418
cupA1,271,275,326,224,181,261
cupA2,57,55,63,45,48,71
cupA3,53,68,68,75,72,101
cupA4,33,40,41,51,38,59
cupA5,10,16,10,8,4,11
cupB1,81,64,79,58,51,50
cupB2,32,32,35,29,15,25
cupB3,25,25,32,30,16,19
cupB4,4,5,3,4,0,3
cupB5,116,102,120,66,56,72
cupB6,59,58,41,42,29,45
cupC1,61,64,68,55,54,59
cupC2,28,23,25,17,13,22
cupC3,408,438,426,350,322,386
cupD1,175,176,185,125,111,144
cupD2,23,27,33,18,18,30
cupD3,99,110,118,71,53,87
cupD4,47,48,40,50,36,46
cupD5,26,26,47,23,23,19
cvpA,398,366,416,472,421,558
cyaA,1502,1611,1545,1071,902,1238
cyaB,687,654,739,683,542,837
cyaY,310,304,305,166,156,159
cycB,1385,1545,1594,1599,1387,2011
cycH,735,775,728,531,511,720
cynR,254,300,240,87,83,94
cynS,28,22,31,14,10,18
cynT,18,14,16,3,6,6
cyoA,721,656,791,1132,863,1086
cyoB,1308,1219,1357,1715,1353,1495
cyoC,282,287,322,319,232,315
cyoD,110,104,110,128,111,113
cyoE,230,245,252,213,203,220
cyp23,1638,1853,1791,549,501,594
cysA,1090,1165,1127,817,688,901
cysB,2872,2836,2880,2011,1462,1990
cysD,1510,1492,1765,3269,2551,4472
cysE,1247,1213,1405,1093,903,1234
cysG,2078,2242,2206,1542,1329,1802
cysH,416,346,433,664,467,792
cysI,2122,2026,2074,3168,2623,4219
cysK,1789,1855,1993,1360,1091,1322
cysM,1756,1710,1909,1763,1454,2181
cysN,3249,3260,3310,4312,3540,5159
cysP,1877,2004,2111,2651,2072,2740
cysQ,410,529,481,356,288,428
cysS,3787,3857,3983,3495,2792,3727
cysT,512,508,507,678,517,817
cysW,428,403,400,467,361,530
czcB,7,14,14,9,4,4
czcC,12,14,12,5,9,5
dacC,6166,5959,6425,4594,3734,4814
dadA,5946,6178,6375,4689,3955,4809
dadX,2325,2396,2458,1608,1491,2208
dapA,2060,2104,2202,2007,1724,2608
dapB,4938,5152,5053,2877,2481,2976
dapD,2648,2604,2655,2332,1955,2837
dapE,616,630,635,599,548,791
dapF,1222,1283,1295,1216,1059,1444
dbpA,831,924,933,576,453,620
dcd,1262,1189,1287,1112,983,1434
dcd2,2141,2154,2408,2123,1672,2390
dctA,1425,1366,1612,3005,2556,3703
ddl,2591,2916,2809,1933,1727,2288
ddlA,975,1092,957,521,455,609
def,2493,2557,2729,2334,1809,2277
dgkA,227,236,265,290,230,387
dgt,923,952,1079,705,579,690
dhT,254,244,235,113,87,93
dinG,765,808,811,854,739,1116
dinP,315,373,363,218,185,277
dipZ,396,395,436,482,468,739
dkgB,10,11,15,11,6,9
dksA,2125,2144,2335,2242,1796,2782
dnaA,5781,5665,5913,5760,4351,5728
dnaB,2593,2522,2720,2743,2135,3096
dnaE,5907,6159,6446,5760,4919,6417
dnaE2,159,209,176,119,102,151
dnaG,3941,4079,4333,3347,2895,4113
dnaJ,12417,12607,12471,7562,6140,7604
dnaK,111226,114438,118858,57802,49036,57268
dnaN,6388,6295,6659,5667,4654,6009
dnaQ,702,698,732,569,547,793
dnaX,2015,2216,2165,2002,1692,2540
dnr,2887,2577,2935,2279,1861,2317
dppC,1645,1645,1591,336,295,364
dppD,1804,1980,1885,357,314,377
dppF,1784,1831,1866,394,321,399
dsbA,3895,3978,4340,3814,2967,3905
dsbB,270,310,318,266,224,319
dsbC,1868,1990,2151,1999,1661,2340
dsbG,283,269,304,161,143,180
dsbH,417,420,418,448,356,572
dsdA,342,361,343,222,199,241
dtd,2029,2066,2308,2021,1681,2150
dut,1045,978,1100,986,871,1219
dxr,1692,2003,1901,1544,1351,1827
dxs,3888,3883,4052,3660,3076,4090
eco,725,696,844,619,453,674
edd,5905,6582,6591,1714,1554,2010
efp,5718,5680,6206,5813,5066,7207
endA,56,47,64,54,46,58
engA,3608,3708,3958,3311,2854,3997
engB,2316,2470,2361,1812,1425,1682
eno,8086,8420,8806,8398,7264,10220
envZ,790,801,880,609,516,684
epd,861,810,946,933,935,1192
era,2485,2547,2795,2450,1947,2632
estA,2715,2801,2899,1263,959,1246
etfA,10478,11414,10937,6004,4926,6388
etfB,8536,9114,8969,5468,4502,5653
eutB,355,364,414,146,112,99
exaA,22,23,21,19,12,22
exaB,3,7,5,6,3,2
exbB1,21,42,36,14,14,23
exbB2,28,31,27,23,12,27
exbD1,37,29,24,25,11,21
exbD2,15,12,11,5,3,11
exoT,1481,1493,1434,2780,2143,2669
exoU,3882,3782,4045,5916,4262,5587
exoY,351,355,394,680,569,784
exsA,1278,1313,1325,2380,1734,2731
exsB,349,410,405,696,582,927
exsC,953,971,1005,1838,1392,1980
fabA,2895,2757,3101,3692,2843,4144
fabB,7796,7662,7762,7773,6454,9047
fabD,1764,1839,1945,2565,2248,3255
fabF1,6934,7192,7608,8632,7394,10693
fabF2,186,235,230,119,91,110
fabG,10380,11014,10861,8745,7144,8772
fabH2,1029,1159,1068,319,273,382
fabI,778,765,809,389,337,470
fabZ,2135,1949,2119,2332,1989,3046
fadA,10297,10144,9358,5161,3821,4582
fadB,19744,19762,19115,12694,8779,10185
fadD1,4546,4538,5142,4026,3250,4119
fadD2,1042,995,1133,647,511,660
fadE,3739,3839,3877,1779,1432,1736
fadH1,389,419,429,231,192,251
fadH2,17,28,15,3,2,4
fahA,5837,6221,5978,2251,1883,2247
fbp,4366,4332,4690,4503,3728,4835
fda,5666,5624,6200,4941,4334,5759
fdhA,50,60,61,31,25,31
fdhE,493,540,538,396,402,501
fdnG,11675,11779,12834,12179,10342,13928
fdnH,2560,2593,2840,2560,2070,2668
fdnI,1341,1300,1309,1240,991,1293
fdx1,590,540,599,587,437,633
fdx2,834,877,921,743,603,783
fdxA,1039,975,1004,883,742,962
fecA,38,37,49,41,37,45
feoA,158,146,166,186,133,149
feoB,1135,1225,1152,1162,838,1110
fepB,3,7,9,1,8,8
fepC,9,10,11,5,9,7
fepD,1,3,1,1,0,5
fepG,7,3,7,3,1,1
ffh,3000,3115,3326,2779,2361,3354
fhp,224,271,402,224,211,124
fimU,526,472,546,523,373,532
fimV,15020,16116,15627,10363,8108,10615
fis,700,720,723,795,676,999
fklB,600,593,603,542,391,629
fleN,2831,3079,3001,2536,2077,2822
fleQ,5784,5984,6111,4852,3879,5110
fleR,829,851,841,960,839,1175
fleS,1075,1111,1099,1411,1139,1703
flgA,414,383,415,576,497,691
flgB,345,348,298,446,353,548
flgC,250,251,235,361,272,425
flgD,574,553,543,848,617,848
flgE,1506,1504,1554,1728,1493,1945
flgF,249,256,226,372,305,446
flgG,849,882,998,1350,1033,1431
flgH,588,613,605,773,698,907
flgI,525,633,609,709,562,781
flgJ,621,638,690,772,578,858
flgK,2006,1926,2115,2251,1795,2461
flgL,1669,1566,1685,1722,1391,1821
flgM,2238,2518,2466,1315,1117,1264
flgN,2429,2367,2468,1418,1120,1484
flhA,1163,1171,1210,1937,1474,2335
flhB,216,229,243,230,189,286
flhF,1919,2067,1999,2122,1793,2495
fliA,5052,5222,4994,3213,2578,3133
fliC,45553,44007,48138,28249,22743,28037
fliD,12773,12217,13226,9647,7686,10161
fliE,344,282,338,556,415,623
fliF,1511,1429,1370,2143,1791,2522
fliG,1912,1942,2134,2580,2082,2841
fliH,867,918,921,1108,781,1234
fliI,929,991,937,961,820,1163
fliJ,210,197,225,244,198,306
fliL,239,276,266,343,301,410
fliM,1110,1158,1221,1245,1012,1352
fliN,354,370,395,358,269,388
fliO,64,67,59,53,43,72
fliP,463,512,476,515,437,673
fliQ,130,151,145,143,99,119
fliR,149,154,132,146,115,174
fliS,2442,2407,2477,1730,1272,1724
fmt,702,829,740,818,661,1049
folA,148,157,165,127,125,179
folB,237,220,227,243,223,333
folC,2176,2318,2250,2058,1884,2562
folD,752,769,749,653,632,1034
folE,574,592,657,708,570,890
folE1,592,524,622,586,459,605
folK,343,394,340,278,252,365
folP,3154,3235,3368,2637,2266,3169
folX,657,631,669,597,502,610
fpr,2851,2841,3125,2874,2538,4098
fptA,1233,1119,1406,235,130,208
fpvA,111,123,133,83,75,106
fpvB,38,34,36,29,24,26
frr,3110,3238,3276,3062,2636,3593
fruA,137,175,168,66,62,81
fruK,121,131,133,52,43,59
fruR,396,459,438,286,264,322
ftsA,4972,5173,5477,3871,3021,4124
ftsE,1183,1326,1393,1171,1063,1478
ftsH,24818,26018,27221,16277,12997,16181
ftsI,4670,4956,4997,3896,3053,4123
ftsK,4751,5048,5230,4419,3586,4863
ftsL,505,557,562,436,380,486
ftsQ,1815,1870,1925,1471,1198,1681
ftsW,1750,1845,1833,1430,1159,1495
ftsX,1494,1497,1462,1419,1138,1625
ftsY,1634,1861,1831,1490,1283,1773
ftsZ,11479,11916,12241,8331,7040,8916
fumC,117,120,94,90,60,78
fumC2,1950,2062,2215,1122,1001,1285
fur,2422,2564,2624,1915,1493,2049
fusA1,107170,104268,113980,95962,77362,97127
fusA2,1566,1561,1644,995,834,1021
fxsA,1998,2183,2193,688,651,722
gabD,5959,6147,6469,2692,2299,2869
gabP,200,198,235,100,80,111
gabT,7337,7715,7707,3551,2928,3980
gacA,1375,1348,1418,1220,1023,1412
galU,3435,3488,3818,2652,2305,3346
gapA,4066,4275,4531,752,703,816
gatA,3259,3259,3576,3050,2679,3493
gatB,4813,4713,4880,4376,3587,4687
gatC,704,666,793,759,632,901
gbt,1671,1583,1694,1276,1135,1500
gbuA,529,565,596,221,170,191
gbuR,177,194,180,174,132,244
gcd,1058,1129,1064,660,579,684
gcdH,8036,8089,8598,4115,3106,4324
gcl,30,31,32,13,15,22
gcp,774,838,839,697,719,1167
gcvH1,1469,1563,1637,1150,961,1237
gcvH2,589,619,620,302,246,345
gcvP1,582,616,622,322,285,347
gcvP2,3634,4042,4320,1992,1683,1967
gcvT,1088,1243,1134,880,800,1178
gcvT2,736,762,780,336,248,334
gdhA,829,899,1000,1538,1350,2139
gdhB,11009,11157,11279,6269,4834,5558
ggt,1964,1878,1927,685,587,758
gidA,3949,4207,4436,4650,3827,5756
gidB,1639,1598,1763,1748,1504,2097
glcB,5037,5238,5450,3852,3215,4191
glcC,304,401,326,88,107,82
glcD,173,153,158,46,28,43
glcE,35,22,30,5,3,5
glcF,46,58,43,9,8,10
glgA,49,53,56,36,43,48
glgB,61,50,70,68,54,76
glgP,106,110,134,81,60,110
glk,2204,2546,2465,883,799,1136
glmM,10477,10929,11373,8769,7315,9415
glmR,239,265,275,313,254,435
glmS,1483,1425,1527,1177,1004,1243
glmU,2578,2661,2718,2133,1752,2300
glnA,10159,10016,10640,23310,18589,24658
glnD,1998,1922,2187,2273,1802,2484
glnE,3125,3251,3268,2698,2234,3108
glnK,2493,2783,2819,1942,1529,1881
glnS,4954,4922,5472,5966,4787,6205
gloA1,1410,1539,1587,1123,949,1116
gloA2,21,34,28,23,18,22
gloA3,775,718,792,428,327,419
glpD,668,727,560,206,210,217
glpE,383,385,378,316,249,316
glpF,617,621,611,295,222,283
glpK,1514,1562,1453,585,439,483
glpM,91,101,89,96,82,100
glpQ,25,24,22,12,14,13
glpR,358,367,398,256,248,359
glpT,385,406,404,429,357,509
gltA,7094,6923,7462,5783,4845,6763
gltB,3153,3249,3411,4525,3882,5848
gltD,1392,1570,1467,1326,1100,1421
gltK,3161,3258,3408,256,206,303
gltP,1257,1148,1210,1106,917,1404
gltR,1078,1243,1311,393,383,501
gltS,153,149,164,53,55,72
gltX,2777,2855,2835,2874,2510,3110
glyA,1906,1918,2027,1680,1598,2517
glyA1,15,20,19,13,12,15
glyA2,777,820,883,454,381,519
glyQ,1487,1413,1624,2100,1653,2412
glyS,3167,3281,3271,3270,2806,3699
gmd,2527,2758,2785,1063,907,984
gmhA,1381,1372,1485,1352,1093,1539
gmk,946,975,988,1045,877,1366
gnd,643,693,720,508,372,444
gntR,618,654,602,172,124,161
gnuT,364,398,371,29,23,20
gnyA,3401,3809,3566,1392,1315,1948
gnyB,4880,4976,5302,1850,1609,1870
gnyD,10654,10861,11794,3737,2764,3245
gnyH,1440,1572,1666,661,608,782
gnyL,1815,1882,1911,819,768,1062
gnyR,3351,3228,3546,1461,1069,1138
gor,2549,2718,2625,1721,1334,1727
gpsA,1272,1276,1350,974,814,1072
greA,2879,2919,2978,2215,1725,2212
greB,345,386,426,307,236,352
groEL,140034,141321,143744,80512,67803,81717
groES,16965,16889,18078,10873,8807,11291
grpE,11778,11973,12883,6962,5880,7356
grx,303,298,334,322,302,451
gshA,2980,3107,3185,2639,2231,2862
gshB,757,767,847,620,506,691
gtdA,29,26,33,6,5,9
guaA,7059,7547,7867,7312,6393,8626
guaB,7074,7219,7730,7037,5997,8865
gyrA,13010,13233,14158,13694,11254,15582
gyrB,12373,12374,13450,12702,10071,13691
hasAp,13,18,23,14,7,8
hasD,6,7,6,4,0,2
hasE,2,3,5,5,4,2
hasR,24,13,17,16,19,6
hcnA,801,811,895,583,477,640
hcnB,4002,4091,4158,2625,2213,3056
hcnC,4714,5106,4859,2427,2238,2817
hcpA,6,6,2,4,7,6
hcpB,66,61,79,58,55,75
hcpC,6,9,8,12,3,2
hcpD,128,111,121,79,46,56
hemA,962,1012,1021,815,760,1270
hemB,6583,6516,6818,6525,5229,6386
hemC,2078,2190,2209,1727,1354,1875
hemD,571,618,594,453,346,546
hemE,809,795,867,1150,1005,1685
hemF,2960,2753,3438,2875,2382,3068
hemH,1439,1482,1568,1191,1018,1363
hemL,2305,2255,2355,1864,1590,2106
hemN,20488,20350,22196,13355,10608,11884
hepA,3077,3183,3292,3276,2873,4215
hexR,548,553,584,288,253,376
hflC,8136,8455,8751,7170,5866,7807
hflK,11772,12263,12825,10128,8567,11719
hflX,14844,14977,15668,12229,10333,14005
hfq,7967,7946,8829,6528,5407,7280
hisA,901,1000,1022,839,745,1013
hisB,1239,1290,1387,1194,1032,1596
hisC1,1657,1542,1673,1274,1066,1402
hisC2,1818,1826,1926,1773,1453,2075
hisD,2154,2226,2234,2010,1783,2431
hisE,471,448,473,413,342,480
hisF1,959,1047,1040,824,729,919
hisG,1711,1804,1869,1844,1587,2138
hisH,678,740,746,610,534,795
hisI,731,744,739,659,535,741
hisJ,5,5,8,3,2,6
hisM,2,6,4,3,1,3
hisP,6,13,5,6,4,5
hisQ,6,2,6,2,0,2
hisS,5043,5132,5349,4159,3323,4338
hisZ,2754,2912,2888,2731,2360,3456
hitA,930,943,963,862,757,793
hitB,297,269,308,260,250,304
hmgA,8185,8426,8644,3417,2728,2750
hmuV,115,119,136,77,70,86
holA,1024,1065,1148,793,670,955
holB,1012,1113,1145,1110,889,1336
holC,374,397,363,267,259,342
hom,2161,2250,2378,2152,1920,2629
hpaA,70,76,68,54,55,62
hpaC,9,13,4,3,6,5
hpcB,94,114,114,105,99,123
hpcC,74,109,100,84,73,104
hpcD,26,34,33,27,21,31
hpcG,17,24,23,16,19,25
hpd,8622,8330,9563,3135,2441,3417
hprA,216,244,232,181,173,222
hrpA,2099,2270,2269,1891,1626,2092
hscA,3065,3210,3274,2416,2132,2898
hscB,1189,1236,1261,968,859,1170
hslO,767,738,852,761,666,1038
hslU,14156,14403,15043,7021,6232,7156
hslV,5115,5523,5663,2696,2557,2846
htpG,39632,41135,42844,21390,18442,22225
htpX,3942,4214,4156,1910,1552,1988
htrB,267,295,310,373,293,460
hupB,11813,11543,12675,10580,8144,11066
hutC,2931,2853,2891,1232,909,1012
hutG,713,797,754,200,180,189
hutH,1547,1656,1719,371,359,470
hutI,781,861,890,174,172,225
hutU,6269,6426,6637,1283,1057,1297
ibpA,18076,18815,18762,4025,3722,4159
icd,21199,22175,23170,13208,10315,13186
iciA,262,292,252,163,144,171
icmP,1739,1743,1849,1356,1168,1544
icp,1506,1599,1569,829,736,962
idh,9563,9623,10211,10451,8330,11042
ihfA,2959,2970,3133,2028,1576,1822
ihfB,2199,2358,2335,1871,1396,1847
ileS,8919,9032,9514,7780,6418,8529
ilvA1,1645,1844,1846,1573,1423,1931
ilvA2,168,197,197,119,98,123
ilvC,5469,5585,5720,4279,3464,4634
ilvD,3355,3550,3616,2582,2209,2775
ilvE,6485,6337,6930,5600,4560,6382
ilvH,1254,1286,1411,1214,974,1376
ilvI,4807,4730,5076,4884,3931,5493
inaA,352,377,345,312,238,378
infA,673,726,824,1162,1027,1766
infB,25592,26442,27388,23378,19030,24848
infC,14373,14815,16233,15471,13059,18860
ipk,1755,1749,1826,2253,2008,3294
irlR,101,90,102,80,63,64
iscS,3426,3469,3763,3393,2902,3766
ispA,321,381,350,214,214,385
ispB,1030,1052,1114,972,866,1625
ispD,747,756,803,865,714,1096
ispF,567,706,647,518,482,597
ispG,3978,4218,4189,3458,2887,4011
ispH,1951,2016,1975,1492,1285,1770
katA,14576,14428,15649,8328,6198,7679
katB,218,200,214,136,116,166
katE,62,66,73,61,41,70
kdbF,7,2,5,5,3,3
kdgA,279,299,294,273,245,366
kdpA,26,38,42,60,34,39
kdpB,72,56,59,84,68,97
kdpC,14,13,6,17,17,29
kdpD,266,222,249,203,194,237
kdpE,101,116,110,108,76,110
kdsA,3178,3201,3457,4361,3704,5082
kdsB,905,956,919,895,735,1073
kefB,691,689,737,639,569,764
ksgA,536,518,556,551,477,823
kup,555,543,599,583,481,684
kynB,216,261,262,139,145,163
lasA,366,376,417,198,156,224
lasB,4239,4245,4666,2250,1828,2603
lasI,7016,7386,7347,9694,7516,9816
lasR,3327,3259,3276,2687,1876,2323
ldh,581,610,553,170,133,128
ldhA,258,283,277,237,167,267
lecB,1173,1111,1267,756,572,696
lepA,4961,4818,5238,5888,5233,7713
lepB,1780,1711,1785,2165,1685,2432
leuA,4597,4429,4846,3103,2463,2967
leuB,883,891,980,892,756,934
leuC,973,1017,990,716,650,697
leuD,724,775,754,579,499,626
leuS,8996,9307,9926,9096,7496,10100
lexA,981,930,1045,779,598,865
lgt,636,637,678,716,570,754
ligA,3293,3433,3403,2836,2378,3255
ligD,104,115,88,57,58,65
ligT,51,50,50,21,19,22
lipA,102,93,129,33,22,37
lipB,1820,1856,1846,1458,1194,1781
lipC,29,31,19,15,13,17
lipH,27,24,39,4,3,11
lis,3026,3099,3293,2273,1859,2728
livG,598,654,636,254,225,300
livM,837,857,888,341,277,360
lldA,51,70,61,665,533,699
lldD,542,572,585,1462,1358,1728
lldP,1162,1089,1378,2594,2137,3156
lnt,996,1068,1027,987,839,1120
lolA,2094,2053,2161,1782,1619,2086
lolB,718,805,767,622,511,707
lon,28202,28572,29985,18966,15385,19772
lpd3,211,238,218,115,112,125
lpdG,16801,17257,17662,12335,10170,12495
lpdV,5458,6255,5806,1152,1052,1401
lppL,291,322,355,288,269,407
lpxA,3490,3582,3808,3400,2776,4107
lpxB,1371,1396,1388,1316,1185,1732
lpxC,11651,12079,12822,11231,9035,13720
lpxD,3216,3403,3479,2823,2485,3648
lpxK,567,578,599,585,522,761
lpxO1,605,579,637,741,565,948
lpxO2,1863,1921,2038,2168,1775,2272
lrp,449,433,497,409,288,422
lspA,1154,1192,1157,986,691,985
ltaA,1854,1880,1956,1414,1209,1494
lysA,2275,2416,2596,1949,1746,2484
lysC,2196,2375,2399,1914,1539,2111
lysP,1036,963,1010,1376,1100,1509
lysS,3924,3954,4229,4013,3524,4518
maeB,6242,6169,6449,5912,4939,7137
maiA,1848,2148,1996,660,583,779
map,2939,2881,3174,2603,2228,2864
masA,637,726,681,498,444,623
mazG,1134,1115,1212,885,745,1096
mdcA,381,381,403,266,142,229
mdcC,13,10,8,6,2,5
mdcD,62,70,76,29,29,38
mdcE,42,69,66,22,22,26
mdlC,39,40,41,28,19,25
mdoG,5354,5319,5628,5565,4465,5839
mdoH,4041,4309,4530,3915,3418,4691
merA,905,888,992,591,518,660
merD,37,43,53,39,34,27
merE,45,52,40,36,35,37
merP,262,281,281,193,136,199
merR,983,1067,1114,765,599,719
merT,83,73,80,73,42,65
metE,189,225,197,456,464,559
metF,998,998,1078,876,684,981
metG,5464,5710,6145,5406,4704,6194
metH,2459,2564,2670,2172,1795,2434
metK,4537,4586,4992,4213,3606,4845
metN,684,708,726,996,819,1330
metR,788,914,889,697,569,733
metX,616,565,651,628,609,1036
metY,891,1020,1026,788,704,791
metZ,2056,2289,2319,1890,1472,2111
mexA,3280,3328,3647,2402,2161,2875
mexB,10477,10450,11356,9141,7413,9476
mexC,34,46,39,38,19,39
mexD,174,155,174,126,103,130
mexE,113,113,99,94,64,110
mexF,245,255,316,98,80,98
mexG,399,369,450,75,73,58
mexH,361,397,392,65,69,71
mexI,1351,1407,1622,316,284,336
mexR,247,244,217,169,140,192
mexT,516,536,500,351,308,435
mfd,3887,4042,4117,3536,3013,3943
mgtA,299,302,281,193,135,163
mgtE,1297,1376,1426,1114,929,1322
miaA,3350,3508,3640,3531,2786,3885
minC,752,815,915,698,635,985
minD,3815,3768,4119,3705,3208,4836
minE,1251,1182,1356,1231,1085,1406
mltB1,743,801,826,645,546,614
mltD,2630,2588,2958,2803,2458,3711
mmsA,1399,1403,1606,63,71,72
mmsB,317,349,370,16,10,20
mmsR,201,193,223,151,144,155
mnmA,1941,1867,2029,1982,1664,2597
mnmC,217,254,252,250,233,341
mntH1,220,266,250,193,134,203
mntH2,17,21,16,13,7,19
moaA,53,61,50,29,38,38
moaA2,2257,2494,2476,1638,1336,1511
moaB1,91,106,94,177,126,147
moaB2,920,1043,1127,861,702,970
moaC,332,379,381,236,192,239
moaD,78,103,83,47,50,51
moaE,188,206,185,141,103,133
mobA,158,150,147,84,72,117
modA,261,246,263,222,195,185
modB,226,195,214,192,161,197
modC,249,270,293,204,166,223
moeA1,17,17,18,33,25,33
moeA2,1162,1321,1250,903,700,1018
moeB,519,608,496,382,316,447
morA,2090,2262,2255,2281,1946,2633
morB,3965,4525,4227,1830,1837,1898
motA,1363,1319,1346,1282,1064,1518
motB,1221,1365,1340,992,855,1239
motC,1373,1577,1452,1356,1072,1579
motD,1227,1371,1465,1324,1094,1460
mpl,1536,1549,1586,1287,1120,1508
mqoA,781,929,902,1018,784,1031
mqoB,3570,3662,3870,3548,3017,4051
mraW,2915,3072,3123,2273,1968,2752
mraY,2849,2964,2940,2476,1946,2797
mrcB,1876,2064,2138,2078,1925,2732
mreB,3010,3157,3234,2770,2632,4181
mreC,1287,1249,1222,1506,1359,2182
mreD,391,396,436,498,423,601
msbA,2483,2523,2764,3170,2425,3647
mscL,1251,1354,1416,870,648,920
msrA,1217,1218,1214,774,640,775
msuD,5,5,6,3,2,5
msuE,3,2,2,5,0,8
mtgA,104,116,118,126,100,126
mtlD,15,13,10,4,7,5
mtlR,174,153,187,113,98,101
mtlY,6,4,6,4,4,0
mtlZ,14,21,23,15,19,19
mtnA,899,911,979,863,762,1075
mtr,360,389,418,696,668,994
mttC,239,228,231,162,152,177
mucA,4863,5410,5270,2876,2468,3228
mucB,4964,5351,5457,3328,2959,4242
mucC,1184,1263,1250,917,812,1156
mucD,12280,12937,13281,10096,8488,11741
mucK,59,60,42,35,40,37
murA,4876,5045,5340,4705,4146,6153
murB,1055,1028,1017,1135,925,1432
murC,4619,5007,4866,3472,2969,4135
murD,3189,3568,3506,2275,1981,2725
murE,3541,3974,3666,2543,2267,3251
murF,2793,3151,3000,2035,1707,2545
murG,1218,1504,1385,847,746,1029
murI,735,745,757,661,557,820
mutL,2357,2593,2406,1925,1724,2270
mutM,561,666,623,444,399,608
mutS,1355,1388,1474,1390,1293,1711
mutY,1171,1319,1233,927,845,1078
mvaT,8623,8569,9068,6520,5331,6240
mvfR,1307,1303,1344,1220,878,1564
nadA,1174,1186,1169,982,805,1259
nadB,1866,1977,1992,1220,1084,1325
nadC,388,433,436,352,307,447
nadD,496,615,556,479,412,598
nadE,624,684,668,355,285,393
nagZ,708,798,827,677,583,884
napA,1440,1492,1550,734,543,726
napB,79,71,79,37,43,75
napD,124,142,126,49,37,60
napE,145,141,151,47,38,46
napF,47,61,50,8,11,20
napc,230,207,236,231,154,221
narG,643,656,702,555,438,581
narH,277,298,289,237,207,259
narI,107,109,118,82,84,88
