,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_03110,229,212,210,297,275,234
D3C65_03115,613,631,573,737,767,642
D3C65_03120,485,473,492,522,551,499
D3C65_03125,779,837,737,1031,961,888
D3C65_03130,462,500,394,948,882,752
D3C65_03135,2714,2655,2432,3712,3892,3220
D3C65_03140,9985,11461,10472,14887,15833,13182
D3C65_03145,1084,1125,1127,1191,1224,930
D3C65_03150,469,414,378,384,405,382
D3C65_03155,422,523,416,493,531,481
D3C65_03160,228,225,219,195,205,205
D3C65_03165,565,566,552,539,569,462
D3C65_03170,249,260,268,196,232,200
D3C65_03175,555,571,777,278,360,338
D3C65_03180,510,753,156,201,262,233
D3C65_03185,980,1348,202,225,369,347
