,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_03190,188,236,59,54,71,76
D3C65_03195,190,221,51,42,66,64
D3C65_03200,889,917,817,1055,1062,912
D3C65_03205,672,631,610,791,807,778
D3C65_03210,1306,1415,1345,1651,1623,1421
D3C65_03215,285,284,271,264,256,252
D3C65_03220,421,464,449,507,559,434
D3C65_03225,133,168,81,173,203,145
D3C65_03230,195,208,167,282,271,290
D3C65_03235,63,61,48,67,103,77
D3C65_03240,188,146,150,181,237,207
D3C65_03245,174,193,162,231,233,220
D3C65_03250,100,93,77,107,158,142
D3C65_03255,167,174,186,220,268,244
D3C65_03260,167,171,178,228,223,204
D3C65_03265,713,763,705,813,902,826
D3C65_03270,246,224,215,242,302,272
D3C65_03275,896,927,833,1100,1106,1159
D3C65_03280,412,427,346,460,499,486
D3C65_03285,183,155,145,175,192,190
D3C65_03290,501,487,405,571,621,585
D3C65_03295,147,126,95,127,133,118
D3C65_03300,20,20,13,26,30,22
D3C65_03305,139,124,118,133,179,143
D3C65_03310,81,66,57,74,74,85
D3C65_03315,32,24,27,31,40,47
D3C65_03320,15,19,5,13,15,10
D3C65_03325,35,36,30,60,100,68
D3C65_03330,677,710,592,965,1113,1071
D3C65_03335,345,313,284,400,438,478
D3C65_03340,226,236,191,280,308,342
D3C65_03345,437,372,337,517,599,598
D3C65_03350,55,58,44,72,78,83
D3C65_03355,63,99,88,87,100,109
D3C65_03360,103,96,86,107,142,132
D3C65_03365,117,99,89,127,145,169
D3C65_03370,512,572,484,645,693,674
D3C65_03375,78,91,72,144,146,138
D3C65_03380,237,236,224,358,394,316
D3C65_03385,71,84,57,115,118,117
D3C65_03390,102,106,82,121,122,115
D3C65_03395,315,347,263,367,467,408
D3C65_03400,77,73,60,88,97,83
D3C65_03405,110,151,122,117,167,113
D3C65_03410,562,608,528,527,548,495
D3C65_03415,1085,1126,1177,1134,1160,1000
D3C65_03420,721,784,756,814,878,750
D3C65_03425,3387,3691,3476,3522,4187,3346
D3C65_03430,622,727,563,599,714,651
D3C65_03435,2749,3159,1939,2896,2863,2328
D3C65_03440,1461,1381,1493,1266,1247,982
D3C65_03445,60,79,65,86,79,50
D3C65_03450,542,640,615,537,616,474
D3C65_03455,628,630,607,669,711,656
D3C65_03460,2461,3069,2434,3239,2716,2275
D3C65_03465,603,692,682,650,734,578
D3C65_03470,215,240,245,329,348,281
D3C65_03475,1523,1653,1546,1313,1402,1234
D3C65_03480,723,823,661,710,822,690
D3C65_03485,927,1002,846,773,835,717
D3C65_03490,1086,1118,1105,1022,1282,989
D3C65_03495,730,734,723,1023,1077,886
D3C65_03500,2975,3252,2952,3548,3884,2858
D3C65_03505,2560,2853,2776,3375,3870,3235
D3C65_03510,6255,767,2172,4017,13442,7977
D3C65_03515,359,412,403,509,689,636
D3C65_03520,1233,1633,1448,1586,1875,1790
D3C65_03525,13224,2103,5164,11375,30802,16485
D3C65_03530,27,26,18,35,41,33
D3C65_03535,754,751,639,768,976,800
D3C65_03540,457,454,437,487,588,515
D3C65_03545,463,521,403,579,745,548
D3C65_03550,4392,5597,4512,6057,7159,5271
D3C65_03555,736,787,707,893,1191,861
D3C65_03560,3093,3863,2964,4542,4047,3393
D3C65_03565,109989,112155,113127,115896,129673,106091
D3C65_03570,2352,2288,2069,2387,3114,2487
D3C65_03575,5288,5683,4809,6587,7453,5777
D3C65_03580,8362,8263,7389,8944,10784,8200
D3C65_03585,30798,31467,27244,31865,36488,29151
D3C65_03590,39638,38578,35129,38652,45940,37100
D3C65_03595,63916,67551,59362,82828,97863,75585
D3C65_03600,45570,48231,43081,61702,71633,56835
D3C65_03605,69138,69382,64830,82766,91723,75550
D3C65_03610,84890,85973,80367,99788,107933,88761
D3C65_03615,23308,25279,23006,39262,44871,36082
D3C65_03620,26962,27105,26322,38264,47027,37207
D3C65_03625,94892,91204,93399,134627,156880,123598
D3C65_03630,107559,108608,111899,124101,141127,114476
D3C65_03635,21150,22985,20722,22530,31228,23533
D3C65_03640,35457,34462,32421,31809,41141,32374
D3C65_03645,27694,26231,25588,25868,32090,25804
D3C65_03650,9810,9633,9285,10769,13186,10323
D3C65_03655,24657,21707,22295,29002,35965,29744
D3C65_03660,15291,15829,14431,22181,27294,20223
D3C65_03665,10774,10431,9927,14571,17587,14458
D3C65_03670,23662,22609,22105,34553,42789,35003
D3C65_03675,13650,12804,13236,20237,25088,20065
D3C65_03680,2633,2568,2687,4179,5287,4066
D3C65_03685,6935,7368,7031,12669,14667,11594
D3C65_03690,14065,13736,13414,22988,25690,21028
D3C65_03695,11262,10885,11341,18496,22038,16947
D3C65_03700,24091,25383,24903,39516,46368,37074
D3C65_03705,18439,18877,19238,27608,34932,29213
D3C65_03710,24468,25819,25069,30992,41064,31782
D3C65_03715,26494,26054,25360,31051,36661,31279
D3C65_03720,17394,17220,16907,21266,24390,20899
D3C65_03725,23722,23757,23059,32507,37540,29924
D3C65_03730,9589,11019,9497,15685,18025,13929
D3C65_03735,18381,18435,17505,24546,28067,23265
D3C65_03740,37555,36473,35114,53325,63300,51228
D3C65_03745,4756,4594,4739,6700,8225,7178
D3C65_03750,13696,13674,12917,21552,25937,20824
D3C65_03755,18009,18842,16334,33447,34782,28354
D3C65_03760,18354,18367,17651,28350,33070,26330
D3C65_03765,36752,35985,34206,53528,60225,48278
D3C65_03770,26120,31289,25921,45156,53692,41939
D3C65_03775,7334,8350,9330,7061,7013,4771
D3C65_03780,2962,3569,3436,4063,3865,2926
D3C65_03785,5061,5615,5281,5787,5855,4699
D3C65_03790,1321,1434,1216,1447,1797,1415
D3C65_03795,3319,3800,3410,3748,3819,3265
D3C65_03800,1262,1072,939,474,405,461
D3C65_03805,277,249,197,98,107,111
D3C65_03810,229,182,138,124,84,102
D3C65_03815,897,723,629,488,384,470
D3C65_03820,215,182,166,153,169,124
D3C65_03825,3340,2749,2157,1543,1437,1778
D3C65_03830,3583,2946,2339,1106,1016,1344
D3C65_03835,449,390,299,117,116,147
D3C65_03840,555,471,379,171,173,201
D3C65_03845,436,335,306,123,125,152
D3C65_03850,2303,2141,1722,1979,1677,1851
D3C65_03855,137,107,93,96,82,98
D3C65_03860,398,326,226,220,186,261
D3C65_03865,485,415,348,235,261,343
D3C65_03870,143,151,127,207,176,206
D3C65_03875,37,26,30,47,40,45
D3C65_03880,34,32,30,47,34,27
D3C65_03885,72,66,79,86,97,81
D3C65_03890,16,14,19,17,27,17
D3C65_03895,198,187,176,170,215,159
D3C65_03900,53,58,73,123,118,94
D3C65_03905,9,24,28,29,29,25
D3C65_03910,1,4,4,5,10,7
D3C65_03915,126,104,106,122,161,101
D3C65_03920,103,114,66,76,66,65
D3C65_03925,439,400,376,328,326,309
D3C65_03930,302,299,245,285,287,190
D3C65_03935,252,232,226,167,168,91
D3C65_03940,278,296,297,314,322,246
D3C65_03945,107,108,99,102,114,106
D3C65_03950,502,513,485,393,479,342
D3C65_03955,795,831,842,708,773,691
D3C65_03960,192,187,266,161,148,138
D3C65_03965,574,521,721,469,419,360
D3C65_03970,414,405,613,289,277,232
D3C65_03975,521,537,380,480,494,400
D3C65_03980,140,115,114,104,115,122
D3C65_03985,62,51,52,305,190,131
D3C65_03990,24,31,24,44,57,47
D3C65_03995,7,13,9,55,36,29
D3C65_04000,12,23,19,98,58,43
D3C65_04005,21,24,22,156,78,36
D3C65_04010,699,742,736,733,748,663
D3C65_04015,30,47,35,27,24,31
D3C65_04020,35,25,27,27,25,20
D3C65_04025,25,17,26,13,15,16
D3C65_04030,130,111,125,144,140,104
D3C65_04035,218,261,247,236,261,202
D3C65_04040,180,137,183,140,161,141
D3C65_04045,93,98,95,96,98,69
D3C65_04050,169,194,161,175,165,151
D3C65_04055,94,104,89,111,93,60
D3C65_04060,5,6,8,11,8,6
D3C65_04065,603,653,660,824,793,637
D3C65_04070,182,159,188,118,119,135
D3C65_04075,80,93,78,145,154,115
D3C65_04080,32,24,18,27,34,30
D3C65_04085,439,448,474,615,671,602
D3C65_04090,505,528,479,816,976,861
D3C65_04095,88,97,90,66,71,57
D3C65_04100,10,4,7,11,4,9
D3C65_04105,7,3,7,9,5,11
D3C65_04110,22,35,26,24,30,19
D3C65_04115,106,118,131,85,100,93
D3C65_04120,66,57,74,61,84,54
D3C65_04125,29,23,13,28,25,20
D3C65_04130,14,25,16,13,19,23
D3C65_04135,43,39,29,41,47,36
D3C65_04140,195,212,213,242,241,191
D3C65_04145,231,241,219,253,237,196
D3C65_04150,1485,1496,1600,1351,1374,1270
D3C65_04155,106,107,104,93,92,74
D3C65_04160,9,15,7,10,12,10
D3C65_04165,17,9,14,14,9,14
D3C65_04170,20,18,15,13,22,19
D3C65_04175,11,16,14,14,11,13
D3C65_04180,398,447,432,451,439,384
D3C65_04185,47,48,44,46,34,36
D3C65_04190,36,40,31,19,24,16
D3C65_04195,161,180,179,191,220,164
D3C65_04200,48,40,37,41,29,34
D3C65_04205,29,33,28,23,23,21
D3C65_04210,14,25,19,7,15,12
D3C65_04215,24,32,19,19,23,24
D3C65_04220,3,5,1,6,7,4
D3C65_04225,5,6,9,3,6,3
D3C65_04230,220,249,279,197,214,181
D3C65_04235,12,12,12,20,20,16
D3C65_04240,190,186,201,253,252,220
D3C65_04245,25,24,27,47,44,40
D3C65_04250,31,45,48,72,106,82
D3C65_04255,76,85,63,125,105,103
D3C65_04260,549,631,618,949,941,807
D3C65_04265,79,81,78,190,174,173
D3C65_04270,283,300,310,453,489,341
D3C65_04275,1,3,2,3,1,2
D3C65_04280,438,463,377,374,397,323
D3C65_04285,7,11,14,13,18,13
D3C65_04290,104,105,76,83,96,77
D3C65_04295,143,164,147,201,245,175
D3C65_04300,141,152,133,169,217,120
D3C65_04305,1454,1558,1592,1636,1995,1312
D3C65_04310,991,1067,1081,1411,1586,1101
D3C65_04315,1088,1253,1199,1311,1546,1096
D3C65_04320,1730,2129,2141,2320,2647,1683
D3C65_04325,280,350,323,412,424,267
D3C65_04330,15,18,17,10,19,11
D3C65_04335,26,16,25,16,23,22
D3C65_04340,31,21,24,21,29,14
D3C65_04345,16,21,21,29,16,10
D3C65_04350,78,86,77,67,60,67
D3C65_04355,84,87,90,77,73,72
D3C65_04360,38,45,36,36,42,31
D3C65_04365,30,39,22,30,29,18
D3C65_04370,46,55,52,46,46,41
D3C65_04375,338,371,312,359,378,331
D3C65_04380,213,267,213,314,278,284
D3C65_04385,1027,1119,1011,1678,1688,1474
D3C65_04390,199,205,164,205,292,226
D3C65_04395,1908,2134,2019,2535,2433,2080
D3C65_04400,669,864,641,645,695,595
D3C65_04405,484,496,368,370,549,376
D3C65_04410,593,571,531,555,589,535
D3C65_04415,77,88,80,79,89,61
D3C65_04420,118,115,101,133,108,95
D3C65_04425,210,243,214,214,239,208
D3C65_04430,80,80,80,98,84,65
D3C65_04435,232,214,233,145,210,125
D3C65_04440,6,17,12,15,21,17
D3C65_04445,14,20,10,16,21,17
D3C65_04450,20,16,25,16,24,12
D3C65_04455,19,27,17,14,20,17
D3C65_04460,5,11,8,7,2,9
D3C65_04465,80,82,88,103,79,75
D3C65_04470,112,126,102,115,117,89
D3C65_04475,7,7,11,4,4,8
D3C65_04480,51,66,73,53,46,40
D3C65_04485,6,7,7,2,4,6
D3C65_04490,0,1,2,1,4,1
D3C65_04495,2,1,1,1,4,2
D3C65_04500,3,6,8,5,4,5
D3C65_04505,9,5,5,5,2,4
D3C65_04510,174,184,204,181,171,149
D3C65_04515,38,35,42,39,42,24
D3C65_04520,6,6,7,5,9,11
D3C65_04525,60,56,56,76,68,56
D3C65_04530,186,281,241,292,263,231
D3C65_04535,3,7,2,1,3,3
D3C65_04540,7,6,5,8,8,5
D3C65_04545,11,19,18,9,2,8
D3C65_04550,129,123,120,182,189,115
D3C65_04555,15,15,14,31,35,24
D3C65_04560,28,26,24,24,25,25
D3C65_04565,7,7,6,7,2,4
D3C65_04570,83,115,77,116,95,93
D3C65_04575,26,27,41,25,38,28
D3C65_04580,106,95,81,199,223,135
D3C65_04585,909,1008,959,891,892,805
D3C65_04590,59,46,48,45,47,28
D3C65_04595,53,61,51,90,65,70
D3C65_04600,147,169,139,186,209,143
D3C65_04605,259,287,291,291,278,265
D3C65_04610,24,23,28,25,34,21
D3C65_04615,124,147,124,126,102,97
D3C65_04620,46,38,42,57,38,23
D3C65_04625,2,3,1,1,3,4
D3C65_04630,79,64,88,50,56,54
D3C65_04635,1199,1146,1087,1257,1403,1197
D3C65_04640,985,975,961,1408,1426,1134
D3C65_04645,433,423,367,348,434,330
D3C65_04650,45874,56157,52212,43339,48032,36423
D3C65_04655,187,165,127,196,249,171
D3C65_04660,110,116,116,170,164,144
D3C65_04665,128,127,136,169,201,151
D3C65_04670,67,79,73,116,101,82
D3C65_04675,88,74,81,101,102,107
D3C65_04680,1380,1414,1492,1623,1563,1335
D3C65_04685,270,267,250,392,334,299
D3C65_04690,190,177,166,176,188,161
D3C65_04695,1,1,0,4,0,2
D3C65_04700,661,689,650,779,909,725
D3C65_04705,1118,1119,986,1275,1305,1091
D3C65_04710,973,1107,1079,677,727,631
D3C65_04715,1639,1685,1611,1335,1389,1145
D3C65_04720,3279,3572,3293,3700,3931,3246
D3C65_04725,2182,2334,2166,2347,2650,2301
D3C65_04730,1078,1033,884,1198,1236,1131
D3C65_04735,297,236,266,339,347,378
D3C65_04740,271,236,210,351,318,296
D3C65_04745,263,253,262,300,314,260
D3C65_04750,1283,1363,1348,1337,1650,1323
D3C65_04755,474,509,445,563,619,447
D3C65_04760,383,425,382,526,547,503
D3C65_04765,3297,3238,3156,3859,4229,3529
D3C65_04770,598,646,610,799,804,736
D3C65_04775,239,242,218,308,318,263
D3C65_04780,53,61,53,63,66,60
D3C65_04785,81,84,97,96,98,70
D3C65_04790,24,24,38,42,38,41
D3C65_04795,9,6,9,23,10,18
D3C65_04800,17,25,25,26,39,24
D3C65_04805,124,115,99,164,153,160
D3C65_04810,279,284,303,319,319,270
D3C65_04815,67,85,65,76,69,79
D3C65_04820,19,28,27,32,32,18
D3C65_04825,636,683,654,757,655,565
D3C65_04830,6175,7270,6255,7791,8045,6116
D3C65_04835,504,522,504,734,723,613
D3C65_04840,647,663,554,815,910,773
D3C65_04845,65,59,35,54,55,61
D3C65_04850,124,145,125,136,168,116
D3C65_04855,334,322,379,326,341,293
D3C65_04860,64,60,94,73,56,58
D3C65_04865,174,185,228,133,143,116
D3C65_04870,73,76,182,43,72,49
D3C65_04875,264,283,692,244,274,278
D3C65_04880,538,542,677,470,458,382
D3C65_04885,1511,1531,1476,1686,1776,1553
D3C65_04890,333,338,362,398,443,350
D3C65_04895,99,108,72,97,109,110
D3C65_04900,386,423,452,515,509,435
D3C65_04905,546,628,589,708,731,610
D3C65_04910,331,337,421,306,339,250
D3C65_04915,125,121,117,116,142,108
D3C65_04920,353,340,349,343,354,294
D3C65_04925,332,338,315,332,424,319
D3C65_04930,310,264,258,319,317,281
D3C65_04935,322,295,259,323,291,276
D3C65_04940,80,68,77,75,70,72
D3C65_04945,41,35,36,33,38,37
D3C65_04950,2880,3001,2551,2648,3025,2488
D3C65_04955,1374,1383,1281,1302,1421,1292
D3C65_04960,1681,1706,1658,2012,2498,2090
D3C65_04965,685,746,612,802,867,799
D3C65_04970,1522,1440,1308,2282,2244,1849
D3C65_04975,706,811,610,1094,1139,868
D3C65_04980,1862,2093,1806,2477,2565,2173
D3C65_04985,2248,2466,2260,3345,3187,2768
D3C65_04990,5025,5389,5125,6612,7135,5884
D3C65_04995,997,1076,874,1869,1851,1437
D3C65_05000,663,649,645,1051,995,889
D3C65_05005,2071,2212,2453,3029,2938,2606
D3C65_05010,106,130,132,111,116,88
D3C65_05015,27,19,23,18,21,15
D3C65_05020,167,187,170,148,204,152
D3C65_05025,1021,1128,951,1386,1353,1179
D3C65_05030,9,7,12,13,8,3
D3C65_05035,628,623,598,710,1148,980
D3C65_05040,571,529,509,709,700,686
D3C65_05045,2186,2562,2420,2588,2735,2343
D3C65_05050,13075,14228,13980,15878,17152,14552
D3C65_05055,72,68,87,61,67,63
D3C65_05060,195,166,210,196,201,167
D3C65_05065,1078,1082,1042,989,1119,914
D3C65_05070,786,808,833,2193,2164,1754
D3C65_05075,368,362,325,862,738,625
D3C65_05080,1197,1331,1196,2340,2231,1891
D3C65_05085,2361,2617,2234,2730,2889,2387
D3C65_05090,528,592,474,688,740,637
D3C65_05095,796,845,887,965,1026,831
D3C65_05100,2657,2644,2903,3258,3087,2706
D3C65_05105,656,619,539,815,827,752
D3C65_05110,906,810,831,936,949,939
D3C65_05115,1267,1313,1285,1081,1189,931
D3C65_05120,270,258,270,205,194,187
D3C65_05125,643,726,704,536,509,416
D3C65_05130,67,74,61,54,53,58
D3C65_05135,1281,1363,1491,1461,1532,1383
D3C65_05140,250,247,251,284,296,273
D3C65_05145,175,173,204,279,253,206
D3C65_05150,273,259,228,370,383,293
D3C65_05155,837,960,733,879,886,777
D3C65_05160,1380,1676,1469,1711,2007,1521
D3C65_05165,154,143,151,223,241,177
D3C65_05170,11,15,8,14,14,9
D3C65_05175,169,166,141,214,226,152
D3C65_05180,323,373,340,373,360,318
D3C65_05185,920,961,886,1008,1145,1006
D3C65_05190,17,12,26,13,21,24
D3C65_05195,94,97,74,87,89,74
D3C65_05200,511,565,552,585,597,490
D3C65_05205,41,43,51,31,51,32
D3C65_05210,179,194,146,191,197,146
D3C65_05215,131,168,114,180,197,168
D3C65_05220,28,23,30,30,20,19
D3C65_05225,47,45,43,55,62,41
D3C65_05230,179,193,196,160,202,135
D3C65_05235,223,191,247,231,254,209
D3C65_05240,1133,1179,1189,1330,1438,1310
D3C65_05245,481,528,473,546,607,493
D3C65_05250,13,17,13,11,24,16
D3C65_05255,605,558,623,776,736,602
D3C65_05260,90,99,70,117,107,84
D3C65_05265,114,132,106,127,127,109
D3C65_05270,235,282,311,300,316,275
D3C65_05275,182,193,191,214,210,190
D3C65_05280,201,237,262,323,318,314
D3C65_05285,590,627,638,633,583,512
D3C65_05290,195,216,224,224,209,227
D3C65_05295,3432,4039,4159,5241,5527,4653
D3C65_05300,59,54,70,86,95,67
D3C65_05305,29,34,43,61,56,57
D3C65_05310,29,19,19,27,29,12
D3C65_05315,21,20,14,24,23,15
D3C65_05320,28,31,26,41,48,41
D3C65_05325,1538,1444,1708,1267,1501,1298
D3C65_05330,241,238,273,318,353,254
D3C65_05335,39,50,33,87,49,50
D3C65_05340,51,81,70,213,143,123
D3C65_05345,172,193,169,236,257,218
D3C65_05350,199,161,148,157,178,159
D3C65_05355,80,99,64,98,101,80
D3C65_05360,114,133,100,144,132,101
D3C65_05365,64,46,37,45,35,44
D3C65_05370,781,772,880,641,697,547
D3C65_05375,77,75,111,90,79,68
D3C65_05380,3,5,4,5,2,0
D3C65_05385,129,135,267,142,143,100
D3C65_05390,84,92,198,129,103,88
D3C65_05395,322,358,408,325,342,278
D3C65_05400,120,121,94,125,149,147
D3C65_05405,1,4,1,3,2,2
D3C65_05410,212,208,218,306,315,228
D3C65_05415,570,543,513,523,610,476
D3C65_05420,167,114,164,139,131,129
D3C65_05425,249,292,286,290,308,272
D3C65_05430,89,93,93,150,155,105
D3C65_05435,35,49,52,51,39,51
D3C65_05440,1331,1371,1404,1306,1353,1146
D3C65_05445,657,673,802,630,619,640
D3C65_05450,315,346,394,223,256,300
D3C65_05455,71,117,125,44,71,64
D3C65_05460,41,58,56,47,42,33
D3C65_05465,731,819,717,1730,1451,1297
D3C65_05470,586,714,515,1304,1012,1038
D3C65_05475,288,284,238,556,380,406
D3C65_05480,660,620,486,1031,823,844
D3C65_05485,983,1082,798,1247,1196,1044
D3C65_05490,3789,3977,3600,4183,4857,3827
D3C65_05495,336,395,384,398,400,402
D3C65_05500,975,1026,790,1086,1060,1349
D3C65_05505,22,21,28,32,28,18
D3C65_05510,34,26,20,57,33,42
D3C65_05515,116,133,107,153,175,141
D3C65_05520,16,10,15,24,23,16
D3C65_05525,447,500,528,524,537,466
D3C65_05530,261,303,246,306,360,287
D3C65_05535,368,429,303,369,450,304
D3C65_05540,230,229,168,243,313,227
D3C65_05545,15,21,8,22,29,30
D3C65_05550,230,219,179,279,302,229
D3C65_05555,113,137,140,126,180,134
D3C65_05560,39,39,32,50,52,53
D3C65_05565,92,107,82,103,115,91
D3C65_05570,57,82,78,63,59,64
D3C65_05575,2,8,4,5,1,4
D3C65_05580,784,750,724,872,831,728
D3C65_05585,21,26,30,20,27,37
D3C65_05590,189,202,219,175,220,173
D3C65_05595,23,12,17,23,20,31
D3C65_05600,18,23,22,19,41,26
D3C65_05605,249,232,233,229,279,256
D3C65_05610,300,333,322,291,270,263
D3C65_05615,393,402,403,365,318,278
D3C65_05620,832,857,775,835,813,645
D3C65_05625,1546,1598,1566,1201,1250,878
D3C65_05630,1428,1658,1440,1522,1517,1144
D3C65_05635,297,370,582,309,406,249
D3C65_05640,88,121,151,68,87,82
D3C65_05645,164,218,258,94,105,95
D3C65_05650,78,74,110,39,66,50
D3C65_05655,17,15,15,16,16,8
D3C65_05660,12,22,27,11,17,21
D3C65_05665,38,36,42,32,18,17
D3C65_05670,21,22,25,21,18,23
D3C65_05675,32,36,33,31,45,31
D3C65_05680,51,71,64,65,58,63
D3C65_05685,21,29,29,46,44,40
D3C65_05690,726,918,714,1547,1818,1651
D3C65_05695,485,653,572,1081,1314,972
D3C65_05700,313,343,343,373,338,293
D3C65_05705,245,268,238,266,279,266
D3C65_05710,228,243,243,275,316,218
D3C65_05715,392,375,399,336,389,302
D3C65_05720,3038,3048,2944,5331,5203,4529
D3C65_05725,4,5,6,2,9,5
D3C65_05730,161,137,198,102,147,144
D3C65_05735,1010,1121,1132,1007,950,736
D3C65_05740,304,302,334,286,315,230
D3C65_05745,527,494,590,724,727,584
D3C65_05750,207,210,226,273,274,248
D3C65_05755,320,281,269,332,357,292
D3C65_05760,143,150,116,139,174,138
D3C65_05765,391,402,413,406,434,414
D3C65_05770,470,527,527,506,524,433
D3C65_05775,176,174,174,221,217,191
D3C65_05780,1004,1153,919,1615,1202,1096
D3C65_05785,778,828,796,936,1032,820
D3C65_05790,274,314,304,309,340,266
D3C65_05795,100,112,82,97,110,112
D3C65_05800,178,186,229,146,206,125
D3C65_05805,113,126,111,129,125,98
D3C65_05810,101,129,126,126,125,102
D3C65_05815,17,26,28,21,24,23
D3C65_05820,46,62,52,56,61,48
D3C65_05825,5,2,10,10,9,7
D3C65_05830,281,262,382,224,231,222
D3C65_05835,357,413,289,584,490,454
D3C65_05840,1951,2132,2294,2128,2213,1695
D3C65_05845,291,278,415,332,376,291
D3C65_05850,269,272,411,309,352,305
D3C65_05855,1240,1291,1694,1177,1241,1059
D3C65_05860,5,8,6,4,5,6
D3C65_05865,45,43,40,70,68,68
D3C65_05870,6387,6798,6452,7401,7921,6698
D3C65_05875,213,214,238,304,289,283
D3C65_05880,310,317,293,387,383,369
D3C65_05885,6232,6543,6349,5453,5441,4622
D3C65_05890,204,206,211,164,174,133
D3C65_05895,112,116,100,100,104,78
D3C65_05900,2061,2202,1957,2607,2714,2200
D3C65_05905,1398,1416,1367,1643,1901,1565
D3C65_05910,304,303,275,333,383,316
D3C65_05915,148,157,145,129,150,142
D3C65_05920,159,108,134,325,445,371
D3C65_05925,1073,1199,938,1228,1513,1227
D3C65_05930,1934,2061,1842,2468,2725,2289
D3C65_05935,3684,3875,3758,4526,5056,4119
D3C65_05940,5183,5194,5421,8490,8011,7127
D3C65_05945,3309,3300,3615,5099,5122,4108
D3C65_05950,1575,1844,1835,1942,2159,1705
D3C65_05955,3707,4139,3342,4117,4272,3530
D3C65_05960,610,689,583,648,799,688
D3C65_05965,1029,1074,1052,1118,1247,1068
D3C65_05970,1760,1947,1772,1934,2132,1771
D3C65_05975,7597,8409,8157,9403,9902,8403
D3C65_05980,2016,2162,2062,2818,3338,2615
D3C65_05985,1221,1296,1250,1620,2022,1553
D3C65_05990,1387,1549,1426,1997,2058,1772
D3C65_05995,2877,2741,2641,3434,3812,3349
D3C65_06000,784,911,907,1225,1363,1168
D3C65_06005,768,790,815,1062,1105,1011
D3C65_06010,11023,11566,12187,12952,13900,11596
D3C65_06015,7238,7665,7786,7815,8601,7173
D3C65_06020,1755,1877,1746,2067,2203,1802
D3C65_06025,1757,1676,1546,2055,2187,1795
D3C65_06030,2958,3061,2838,4098,4253,3605
D3C65_06035,2663,2694,2688,3945,4129,3491
D3C65_06040,2167,2220,2208,2404,2680,2301
D3C65_06045,4448,4695,4711,5171,5479,4722
D3C65_06050,3477,3654,3231,5316,5640,4612
D3C65_06055,921,951,922,1067,1058,907
D3C65_06060,639,720,705,684,629,518
D3C65_06065,383,373,383,328,377,345
D3C65_06070,381,387,429,439,423,345
D3C65_06075,257,246,239,294,311,289
D3C65_06080,378,404,430,405,450,335
D3C65_06085,2287,2420,2562,2298,2430,1936
D3C65_06090,283,319,302,279,335,259
D3C65_06095,828,875,834,1157,1106,1005
D3C65_06100,271,248,249,274,288,232
D3C65_06105,80,76,77,75,75,72
D3C65_06110,329,317,290,344,366,303
D3C65_06115,273,343,280,325,324,298
D3C65_06120,231,272,237,277,278,245
D3C65_06125,235,226,235,207,238,187
D3C65_06130,41,56,57,61,69,41
D3C65_06135,187,180,183,162,163,131
