,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
cysB,452.3795032,512.9602715,471.3597758,498.2580697,474.6496641,428.5288818
cysC,153.8198993,136.8195502,181.6348019,97.00613489,174.9835701,127.7096062
cysD,887.582895,443.6782122,540.8235584,696.8290708,498.4887342,458.0732512
cysE,268.6624124,285.2217078,263.3573135,322.3221523,299.4651253,301.8222477
cysG,154.1377595,162.8089577,139.1737692,144.6107945,136.8514209,156.1819578
cysH,209.3872316,148.9964145,141.8598301,150.1194703,144.7042303,70.4070683
cysI,140.0357572,88.4548334,97.058018,187.3371546,84.1534909,128.3611858
cysK,124.3180314,119.7931173,172.0291152,120.6960541,167.0554684,176.9409576
cysM,546.1935732,449.2241898,480.8213771,479.4315484,471.1140987,548.1022633
cysN,589.4812018,329.0846676,382.7240805,575.8762836,312.638232,362.8126892
cysP,279.7363111,194.8586743,255.2023511,262.7766945,232.9173197,210.4660884
