,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
PA14_64880,40,30,39,93,100,74
PA14_64890,46,41,39,91,79,69
PA14_64900,366,331,419,552,606,499
PA14_64910,60,53,62,78,87,58
PA14_64920,534,585,637,1173,1439,981
PA14_64930,144,162,171,171,250,170
PA14_64940,40,61,53,32,45,42
pncA,5,7,14,12,8,10
pncB1,105,130,136,142,126,112
nadE,200,195,222,207,196,178
PA14_64990,128,141,151,99,118,121
azu,3949,5145,5488,3524,3865,4076
PA14_65010,59,51,59,74,89,75
PA14_65030,172,157,191,246,251,222
PA14_65040,127,147,181,252,218,188
PA14_65050,69,57,66,104,106,75
PA14_65060,123,137,117,187,203,156
PA14_65080,1092,1016,1184,1748,1504,2026
PA14_65090,311,292,284,473,380,228
alr,148,153,143,250,200,168
dnaB,1069,1291,1570,1628,1435,1580
rplI,4254,4156,6198,4693,3982,4465
PA14_65160,3263,3201,3815,2938,2849,2742
rpsR,3628,3389,5427,4937,3640,5378
rpsF,5833,5833,8006,6839,5826,7264
PA14_65190,517,539,499,731,675,546
rnr,3359,3595,3798,5171,4637,3677
PA14_65210,16,13,11,12,14,16
PA14_65220,9,17,13,19,12,10
purA,5017,5797,6518,5157,5367,5232
hisZ,2203,2582,2710,2417,2264,2095
PA14_65260,339,386,378,437,312,399
hflC,2830,3230,3162,4270,4221,3899
hflK,3070,3484,3357,4554,4044,3906
hflX,2890,3136,3202,5220,4509,4130
hfq,1684,1973,2117,2482,2086,2097
miaA,1441,1557,1575,1709,1569,1408
mutL,736,703,747,1204,1265,979
amiB,805,787,896,1313,1180,1041
PA14_65380,133,131,155,159,145,113
PA14_65390,269,353,289,326,329,257
PA14_65400,284,258,247,418,427,332
orn,382,435,460,598,588,455
PA14_65420,539,597,625,1071,994,879
motB,902,867,967,1695,1695,1394
motA,1200,1277,1412,1883,1696,1583
PA14_65470,162,183,192,238,262,178
rhdA,224,247,260,277,298,302
psd,432,438,487,460,500,514
PA14_65520,577,580,528,979,1027,798
PA14_65540,1252,1165,1249,2227,1877,1805
serB,499,563,561,665,664,571
PA14_65570,587,650,627,791,613,620
PA14_65580,80,62,70,130,143,113
PA14_65590,649,671,702,1063,993,889
parC,789,767,836,1181,1042,912
PA14_65630,96,86,95,139,127,106
PA14_65640,163,173,176,194,191,146
parE,942,984,950,1345,1201,1021
PA14_65670,205,196,200,242,220,206
PA14_65690,105,108,103,166,136,134
PA14_65700,123,146,155,157,176,137
aspP,404,412,460,415,443,392
PA14_65720,325,332,355,531,504,435
thiC,243,221,307,563,474,439
PA14_65750,513,562,590,514,547,553
PA14_65760,96,99,119,159,195,149
aspC,172,147,150,188,217,197
PA14_65795,55,57,63,79,106,78
PA14_65810,65,60,45,103,134,78
PA14_65820,38,36,47,78,85,48
PA14_65840,24,24,33,37,25,30
PA14_65850,57,49,45,81,62,66
PA14_65860,72,93,92,120,138,100
PA14_65870,28,22,27,29,51,25
PA14_65880,108,120,132,113,133,107
PA14_65900,96,102,125,101,95,85
PA14_65920,44,40,44,46,28,37
PA14_65940,150,185,153,156,182,131
PA14_65950,33,46,42,67,96,79
waaA,88,112,81,129,164,109
PA14_65970,26,46,23,27,38,19
qacH,9,7,11,7,14,6
PA14_66000,228,271,271,260,325,230
PA14_66010,136,160,159,162,180,178
PA14_66020,257,338,326,330,359,298
PA14_66040,335,264,278,448,385,318
PA14_66050,174,146,172,326,242,255
rfaE,615,759,708,1000,792,660
msbA,1349,1581,1583,2690,2190,1844
PA14_66090,160,200,172,217,217,186
PA14_66100,208,167,241,545,297,323
PA14_66110,556,500,671,1179,762,828
PA14_66120,376,390,435,649,444,455
PA14_66140,451,483,495,677,587,560
PA14_66150,385,385,405,442,476,358
PA14_66160,723,727,802,830,841,727
PA14_66170,2649,2852,3263,3770,3288,3035
PA14_66190,531,517,553,820,714,545
PA14_66200,318,278,333,532,447,335
PA14_66210,345,343,356,633,483,506
waaP,293,304,358,386,343,331
waaG,654,719,797,870,852,803
waaC,650,705,741,777,830,716
waaF,859,928,974,882,946,853
ilvE,1752,1820,2187,1830,1414,1881
glnE,910,943,1042,985,947,885
aceE,7330,8529,9762,9648,9422,8840
aceF,3172,3645,3444,4389,4322,4167
PA14_66320,1332,1421,1614,2429,2168,1989
msrA,395,496,496,490,504,433
PA14_66340,354,323,344,458,441,359
PA14_66350,1792,1840,2292,1202,1140,807
PA14_66380,132,138,155,150,145,118
PA14_66400,492,479,512,870,731,581
PA14_66410,298,323,335,305,273,210
PA14_66420,52,53,85,86,91,111
metY,120,155,233,184,173,161
PA14_66450,174,221,224,334,344,288
PA14_66460,155,198,202,202,196,164
PA14_66480,588,662,708,840,821,761
PA14_66490,130,165,153,100,111,79
PA14_66510,342,363,402,112,141,121
PA14_66520,39,46,46,19,30,12
PA14_66530,23,30,43,53,57,44
PA14_66540,57,69,66,84,87,78
hemE,160,179,229,191,147,197
gltD,626,624,735,703,548,600
gltB,2823,3080,3397,3856,3322,3197
PA14_66580,982,1125,1086,1252,1236,1131
aroB,500,556,580,737,704,690
aroK,474,502,605,615,661,586
pilQ,2772,3610,3971,3768,3822,4036
pilP,408,427,524,677,530,603
pilO,406,380,506,627,602,555
pilN,336,314,359,492,412,356
pilM,998,1051,1230,1189,1227,1050
ponA,1172,1347,1366,1961,1604,1566
maeB,1801,2070,2572,2331,2373,2533
PA14_66690,405,447,540,749,712,599
PA14_66700,176,181,170,234,191,213
rpmE,413,389,486,574,544,680
priA,198,235,225,331,295,277
argS,810,959,1039,921,907,874
PA14_66760,225,276,252,244,243,268
hslV,446,542,453,752,628,669
hslU,628,665,644,1198,935,1050
PA14_66800,88,108,116,154,133,114
phaC1,584,666,679,655,594,527
phaD,240,227,272,306,318,266
phaC2,376,464,450,804,774,794
PA14_66850,158,168,193,369,362,317
phaF,5454,6064,6642,7826,9001,7524
PA14_66880,782,893,999,616,632,662
PA14_66890,18,19,28,23,18,37
ubiE,493,600,599,604,618,578
PA14_66910,93,125,117,129,126,103
ubiB,303,353,357,381,349,288
hisI,316,347,380,368,320,314
hisE,254,306,283,276,234,244
tatA,325,387,429,403,310,362
tatB,315,360,408,417,325,328
tatC,226,226,243,294,240,252
PA14_66990,123,83,107,167,151,136
PA14_67010,250,258,303,324,337,369
PA14_67020,65,84,80,100,74,95
PA14_67030,242,229,298,308,272,280
PA14_67040,368,353,457,458,428,416
PA14_67050,728,779,921,978,753,970
mdoH,974,1092,1207,1206,1181,1040
mdoG,1616,1599,1774,1863,1769,1709
PA14_67100,95,108,92,86,104,77
PA14_67110,311,341,410,356,375,360
PA14_67120,41,56,63,56,52,50
PA14_67130,155,97,144,124,131,123
PA14_67140,39,49,45,48,41,41
PA14_67150,87,102,86,93,94,74
PA14_67170,100,131,112,154,135,114
PA14_67180,200,179,227,389,222,296
PA14_67190,134,110,182,300,145,154
PA14_67200,255,269,329,416,242,293
PA14_67210,319,304,452,417,214,311
PA14_67220,413,404,464,462,404,419
PA14_67230,503,572,606,698,531,508
hutG,624,642,777,554,494,537
hutI,726,801,902,670,566,597
PA14_67260,710,672,683,531,615,559
PA14_67270,642,552,681,572,550,606
PA14_67280,398,398,434,425,401,445
PA14_67300,444,541,576,396,459,537
PA14_67310,264,413,355,237,347,393
hutH,338,519,417,305,579,535
PA14_67340,82,109,82,114,133,84
hutU,205,258,264,206,256,215
PA14_67370,41,33,40,71,72,57
PA14_67380,11,18,14,51,66,33
PA14_67400,271,292,341,890,939,670
PA14_67410,47,49,48,36,41,40
hutC,123,167,160,170,174,160
PA14_67440,127,173,155,189,187,149
blc,208,241,219,277,278,207
PA14_67460,200,179,198,251,199,215
PA14_67470,156,209,203,234,311,178
fbp,919,1016,1084,1169,1225,1174
gloA3,116,137,164,232,215,200
estA,886,1069,1063,1423,1440,1237
PA14_67520,92,123,152,115,143,106
PA14_67530,327,410,367,376,325,324
PA14_67540,55,100,111,47,40,39
PA14_67550,74,68,103,73,81,86
typA,4195,4142,6033,4421,3693,5127
thiI,620,714,751,996,946,1109
glnA,2925,3363,3883,3229,3163,3210
PA14_67620,35,33,25,31,32,32
PA14_67630,188,166,212,240,197,179
PA14_67640,119,121,137,126,135,114
PA14_67650,58,70,96,92,77,73
ntrB,162,172,204,353,322,300
ntrC,269,240,265,506,478,415
PA14_67700,58,59,47,42,52,53
PA14_67710,97,110,117,103,91,106
secB,962,1040,1235,1022,812,1069
grx,108,126,116,114,116,135
PA14_67750,162,170,187,161,181,186
pgm,644,747,729,574,620,565
PA14_67780,33,35,26,36,35,21
PA14_67790,360,330,426,482,375,437
PA14_67810,709,818,874,829,773,701
PA14_67820,61,67,87,86,110,84
PA14_67830,318,424,418,543,424,438
PA14_67840,91,124,119,166,147,163
PA14_67850,118,123,131,185,142,160
PA14_67860,75,83,68,93,95,106
hisF1,318,294,377,407,394,398
hisA,322,316,361,342,385,360
PA14_67900,104,100,112,129,85,94
hisH,254,277,295,240,262,226
hisB,474,492,552,461,465,502
PA14_67940,7,8,6,5,14,5
PA14_67960,16,18,22,21,19,17
PA14_67970,101,102,76,109,108,96
PA14_67975,673,786,773,775,737,704
mutY,194,225,239,231,275,252
PA14_68000,118,144,149,128,147,172
PA14_68010,128,135,152,185,201,177
PA14_68020,38,58,40,77,90,82
PA14_68030,0,0,0,1,0,1
PA14_68040,289,300,288,359,397,331
PA14_68050,69,74,73,90,93,73
PA14_68060,492,553,710,513,421,427
PA14_68070,814,874,1202,778,715,790
PA14_68080,126,148,159,131,138,106
PA14_68090,72,81,74,84,84,67
PA14_68100,30,58,45,74,80,63
PA14_68110,34,37,36,139,97,97
PA14_68120,70,65,78,206,149,151
PA14_68130,104,91,111,288,196,181
PA14_68140,132,141,139,277,189,186
PA14_68150,0,0,0,0,0,0
rmlB,1414,1679,1895,1483,1432,1370
rmlD,375,457,412,364,352,320
rmlA,784,920,993,723,793,816
rmlC,551,641,806,540,599,646
PA14_68230,209,212,247,326,336,319
PA14_68250,197,210,225,185,223,196
PA14_68260,734,1167,1497,1368,1147,1122
PA14_68280,179,322,344,382,334,289
PA14_68290,222,282,333,445,392,311
arcD,505,808,790,1063,1022,741
arcA,2028,3385,3544,3234,2573,2055
arcB,2566,4101,4415,3272,2359,2277
arcC,2067,3225,3489,2135,1947,1552
PA14_68360,1131,1356,1374,1161,1195,987
cysQ,337,372,376,397,431,341
nudE,572,642,677,782,631,629
PA14_68390,294,323,336,497,465,489
PA14_68400,2162,2520,2615,2808,3438,2956
PA14_68420,49,69,60,94,87,65
PA14_68430,207,294,248,185,191,146
PA14_68440,822,1328,1121,902,1096,900
PA14_68450,208,231,225,241,301,219
PA14_68460,101,134,96,169,162,122
PA14_68470,88,78,93,84,80,90
PA14_68480,49,64,71,67,62,55
PA14_68490,39,56,46,71,89,59
PA14_68500,106,108,128,126,147,102
PA14_68510,280,230,279,314,302,255
PA14_68530,221,229,256,217,235,187
PA14_68550,91,80,105,89,109,73
PA14_68560,67,75,77,75,85,84
PA14_68570,84,70,93,115,137,107
pckA,2473,2660,2870,2936,2405,2842
hslO,201,219,263,211,275,234
PA14_68620,105,86,123,150,132,160
PA14_68630,31,33,41,42,24,41
PA14_68640,39,34,41,50,43,38
rimK,110,129,137,199,180,181
PA14_68670,176,202,177,265,297,238
envZ,424,471,413,448,509,442
ompR,868,1166,1087,840,859,820
PA14_68710,445,448,584,511,466,537
PA14_68720,31,37,38,38,24,51
gshA,545,566,614,579,534,471
argA,278,318,315,370,360,321
PA14_68750,184,182,229,206,224,186
argE,416,461,545,449,520,421
PA14_68780,58,62,64,149,140,92
PA14_68800,142,157,162,219,241,191
PA14_68810,662,763,800,953,791,758
PA14_68820,701,842,848,1049,1089,819
PA14_68830,23,53,38,70,74,57
PA14_68840,115,167,138,131,100,85
gcvP1,609,547,607,1163,1356,938
gcvH1,434,492,559,492,488,478
gcvT,389,479,532,426,496,474
PA14_68890,75,73,61,74,92,61
PA14_68900,336,452,302,187,187,218
PA14_68920,64,73,104,86,106,76
PA14_68930,122,110,127,200,167,123
PA14_68940,421,474,535,558,652,500
PA14_68955,284,325,345,369,478,353
PA14_68970,137,153,165,163,165,169
ubiH,597,637,700,589,693,566
pepP,1161,1411,1428,1266,1382,1250
PA14_69010,158,204,216,142,164,134
PA14_69020,116,115,139,136,113,128
PA14_69030,222,238,281,253,237,219
PA14_69040,454,491,534,660,490,569
PA14_69050,105,142,162,156,165,156
PA14_69060,182,243,242,308,264,259
PA14_69070,268,355,404,406,388,335
PA14_69090,289,301,366,427,382,371
PA14_69100,89,130,136,155,141,156
PA14_69110,507,590,667,418,419,319
glpT,366,388,427,457,445,444
PA14_69140,221,224,206,216,239,180
PA14_69150,941,911,997,1061,933,830
PA14_69170,141,169,170,228,195,198
rho,12090,12811,15563,22323,19600,17054
trxA,1357,1698,1646,1255,1277,1268
ppx,1218,1236,1269,1376,1346,1131
ppk,1722,2123,2295,1927,1814,1672
hemB,852,1122,1121,796,778,686
PA14_69250,139,136,147,202,169,162
PA14_69260,256,312,305,286,301,247
PA14_69270,107,143,113,134,173,149
PA14_69280,97,108,116,110,129,96
PA14_69300,145,147,141,181,257,184
PA14_69310,143,159,143,149,153,111
PA14_69320,512,650,654,1023,756,873
PA14_69330,181,204,193,285,247,224
PA14_69340,591,687,574,909,967,845
PA14_69350,257,260,291,325,359,272
algP,4802,5343,5998,4733,4925,5087
PA14_69380,171,205,223,263,252,241
algQ,501,558,678,427,409,369
dsbH,91,105,86,102,125,93
PA14_69420,532,573,564,609,585,551
PA14_69430,522,609,622,635,617,503
hemD,189,251,243,245,273,235
hemC,573,689,658,796,824,615
algR,960,1183,1088,1506,1567,1256
algZ,300,314,321,391,439,339
argH,832,932,969,992,963,911
PA14_69510,313,345,422,721,446,578
PA14_69520,396,469,450,615,573,534
PA14_69540,19,40,43,38,39,39
PA14_69550,168,141,250,207,167,117
hcpB,195,210,329,271,192,189
corA,264,274,271,358,225,277
PA14_69580,130,157,154,120,116,126
PA14_69590,150,159,190,230,204,194
PA14_69600,242,282,308,452,429,412
cyaA,421,445,449,796,813,631
PA14_69620,248,235,258,309,280,283
rnk,665,686,875,657,571,589
cyaY,160,179,156,106,115,90
lppL,38,42,40,48,31,38
lysA,904,981,983,800,944,799
dapF,372,416,456,379,432,369
PA14_69700,270,314,355,260,268,239
xerC,102,114,122,109,103,91
PA14_69720,103,132,129,104,107,102
PA14_69740,62,63,82,112,92,84
PA14_69750,256,272,267,444,434,369
PA14_69760,63,53,71,167,146,139
PA14_69770,140,125,175,313,228,309
PA14_69780,35,39,48,63,62,68
amtB,299,332,350,422,400,362
glnK,737,968,1049,819,862,823
PA14_69820,50,57,58,41,46,45
PA14_69840,196,231,250,299,280,254
PA14_69850,931,1062,1062,1368,1260,1165
pchP,235,242,261,366,361,321
PA14_69880,60,78,89,111,115,77
PA14_69890,52,46,57,65,52,43
PA14_69900,227,278,236,230,244,217
rep,665,754,773,1200,973,952
poxB,91,96,112,183,155,153
xpt,209,239,273,321,321,338
PA14_69950,372,395,402,597,610,588
cycB,530,565,615,578,613,594
PA14_69980,438,617,616,591,559,528
dadX,25,42,44,53,87,47
PA14_70010,11,23,26,18,33,23
dadA,72,67,72,85,82,57
PA14_70050,153,173,162,155,169,123
PA14_70060,75,87,106,97,80,82
PA14_70070,181,186,164,187,204,151
lrp,174,189,207,168,129,151
PA14_70100,223,258,261,264,223,192
PA14_70110,112,136,107,225,222,211
PA14_70120,104,146,95,148,158,128
PA14_70140,2329,3046,2750,2017,1760,1421
PA14_70160,427,499,482,442,414,344
PA14_70170,147,136,164,185,186,203
rpmG,931,955,1315,1210,665,1511
rpmB,1438,1404,1868,1816,776,2178
PA14_70200,546,622,643,713,713,653
PA14_70220,43,45,40,70,47,70
radC,115,144,155,220,232,192
coaC,585,653,749,727,699,688
dut,243,264,286,336,320,319
algC,2144,2407,2528,2964,2799,2718
argB,1211,1198,1314,1613,1488,1426
PA14_70290,218,198,206,356,285,250
PA14_70300,23,38,39,82,51,79
PA14_70310,23,25,21,42,39,35
PA14_70330,27,26,33,64,57,43
PA14_70340,5,4,2,12,4,5
PA14_70350,140,118,138,204,180,204
PA14_70360,326,367,340,438,505,361
pyrE,388,434,408,408,431,380
crc,663,759,739,764,817,717
PA14_70400,238,322,295,339,352,317
rph,293,381,359,305,332,381
PA14_70430,332,359,343,339,360,320
gmk,199,211,227,290,221,245
rpoZ,589,638,679,557,595,589
spoT,2061,2246,2485,2425,2299,2206
PA14_70480,202,218,245,282,213,235
PA14_70490,251,319,322,339,318,297
PA14_70510,32,42,54,61,56,55
PA14_70530,50,70,68,87,109,81
PA14_70550,178,218,214,198,216,191
PA14_70560,214,204,235,298,187,235
recG,363,390,428,554,580,526
PA14_70580,644,828,874,993,1080,795
PA14_70590,243,304,363,432,420,347
PA14_70600,1540,1480,2287,1750,1615,1404
PA14_70620,373,418,441,469,467,473
rubA2,23,23,27,33,21,25
rubA1,44,31,53,37,23,52
PA14_70650,10,22,18,3,4,6
glcF,16,43,32,6,10,10
glcE,14,37,29,7,8,8
glcD,66,96,76,45,44,28
glcC,70,98,79,124,119,94
ubiC,92,94,105,253,277,222
ubiA,671,665,718,1616,1775,1286
PA14_70740,471,525,542,907,1101,772
phoB,295,420,415,365,317,397
phoR,124,139,133,221,188,188
PA14_70770,764,618,682,1045,903,734
PA14_70780,326,378,390,671,720,546
PA14_70790,613,660,674,899,782,687
phoU,280,282,313,414,344,275
pstB,359,345,381,579,381,409
pstA,662,705,671,773,637,687
pstC,1023,1247,1051,1222,909,1009
PA14_70860,2612,3210,3238,2772,2164,2455
PA14_70870,6,12,7,3,2,2
PA14_70880,35335,43617,91486,16121,13313,8385
PA14_70890,1,0,0,0,0,0
PA14_70900,0,0,0,0,0,0
PA14_70910,8021,11557,17394,3885,2283,1459
PA14_70920,153,175,173,256,219,183
PA14_70930,174,228,246,174,179,178
betA,210,203,230,263,314,230
betB,186,211,208,212,190,184
betI,82,86,100,85,87,85
betT1,50,49,62,124,123,101
PA14_71000,255,269,291,424,456,375
PA14_71020,165,161,160,232,267,246
PA14_71030,399,426,491,649,533,561
sdaB,39,35,44,71,85,66
PA14_71070,105,109,122,131,128,127
PA14_71080,15,13,15,15,22,12
PA14_71090,21,26,19,23,16,17
PA14_71100,228,278,201,46,49,69
PA14_71110,40,37,31,10,14,14
PA14_71120,5,2,3,4,4,3
PA14_71140,11,6,6,2,9,12
PA14_71150,5,9,4,7,8,9
PA14_71160,14,16,9,7,18,18
PA14_71170,41,36,35,32,32,29
PA14_71180,31,42,37,36,41,30
PA14_71190,2,2,6,5,3,3
PA14_71200,1,3,2,7,9,5
PA14_71210,20,29,33,29,34,28
cls,76,69,70,73,83,64
PA14_71230,22,90,18,27,37,30
PA14_71240,100,150,106,176,148,131
PA14_71250,26,38,24,39,37,32
PA14_71260,142,111,119,183,170,159
PA14_71280,44,36,53,42,55,49
PA14_71300,11,3,18,18,23,17
PA14_71310,11,25,15,24,29,25
PA14_71320,23,41,36,61,56,62
PA14_71330,18,18,15,27,19,16
PA14_71340,41,39,48,78,59,68
PA14_71350,30,40,44,72,71,47
PA14_71360,33,25,39,42,42,58
PA14_71370,28,38,41,43,41,36
PA14_71380,46,35,44,33,44,26
PA14_71390,154,204,152,155,163,121
PA14_71400,1,2,2,3,2,5
PA14_71410,84,76,95,84,80,84
PA14_71420,53,48,52,62,71,55
PA14_71430,148,144,148,159,134,108
ltaA,312,339,348,476,444,425
PA14_71450,83,89,112,127,116,89
glyA1,49,26,52,40,76,40
soxB,27,24,36,29,58,35
soxD,9,10,8,5,7,16
soxA,155,119,117,141,155,109
soxG,16,11,18,16,17,17
purU2,51,42,45,61,51,56
fdhA,64,73,83,135,101,101
PA14_71570,208,215,216,254,265,208
PA14_71580,251,267,298,521,561,417
PA14_71590,195,231,182,224,233,193
purK,435,470,548,595,496,668
purE,276,392,427,464,320,439
adhA,1101,2106,2384,768,949,858
PA14_71640,124,177,177,161,165,124
aspA,266,274,342,297,315,257
PA14_71670,99,83,96,122,130,131
PA14_71680,22,29,34,37,30,34
PA14_71690,9,9,10,20,18,20
PA14_71700,29,32,32,42,48,33
mtr,90,99,112,117,132,130
PA14_71720,1707,1931,1950,1509,1744,1676
PA14_71740,758,904,968,667,687,657
PA14_71750,333,380,393,492,536,466
PA14_71760,81,89,86,102,131,108
PA14_71780,821,856,861,822,754,657
PA14_71800,202,239,238,275,327,249
PA14_71820,47,41,52,96,92,101
PA14_71830,74,99,107,110,100,82
PA14_71840,568,732,789,617,605,518
PA14_71850,101,94,123,119,135,141
uvrD,542,648,650,602,537,519
PA14_71880,57,56,46,79,92,85
PA14_71890,238,246,270,183,171,167
PA14_71900,173,179,190,235,195,181
wbpZ,488,498,580,795,654,619
wbpY,203,195,198,307,285,216
wbpX,287,321,327,443,388,334
wzt,493,445,508,668,678,574
wzm,259,262,247,403,339,286
wbpW,859,792,897,1329,1210,947
gmd,804,749,790,932,912,703
rmd,695,717,784,1007,846,792
PA14_72010,839,744,872,1080,887,858
PA14_72020,265,261,314,420,330,333
PA14_72030,120,101,91,139,151,123
PA14_72040,101,110,118,135,122,99
PA14_72050,106,114,108,171,168,135
PA14_72060,23,15,23,45,31,31
PA14_72070,350,389,431,307,192,352
PA14_72080,71,66,60,84,74,88
PA14_72090,98,83,74,96,88,87
PA14_72110,308,275,280,415,415,326
PA14_72130,28,34,41,56,62,51
PA14_72140,18,14,12,33,20,23
PA14_72150,47,60,65,62,37,60
PA14_72170,49,40,60,142,119,83
PA14_72180,75,73,54,232,201,148
prfH,39,42,39,87,87,63
PA14_72210,226,230,246,568,539,438
PA14_72220,42,47,48,77,41,69
PA14_72230,237,282,279,346,361,272
PA14_72250,432,716,726,578,633,515
PA14_72260,513,1104,1173,526,644,524
citA,80,77,104,141,145,104
PA14_72300,84,82,91,148,131,115
PA14_72320,145,187,159,192,195,169
gltP,321,289,406,369,374,448
PA14_72350,94,113,107,85,146,113
PA14_72360,2369,2602,3010,1762,2787,2265
PA14_72370,774,807,906,575,863,776
algB,251,318,303,224,224,233
PA14_72390,194,196,208,241,183,189
