,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA0462,1283,1896,825,677
PA5074,1475,399,291,565
PA5075,2061,561,207,534
PA5076,3133,998,719,1305
PA5077,7567,5223,4747,6122
PA0457,237,230,10254,11450
PA5079,571,208,157,237
PA5080,1640,686,742,1146
PA5081,148,80,75,83
PA5082,403,174,149,219
PA5083,71,31,40,38
PA0456,10892,9679,231,168
PA0455,1784,1509,619,820
PA5086,338,170,378,259
PA0454,545,561,363,296
PA5088,390,288,263,199
PA5089,982,395,278,358
PA5090,1518,510,357,425
PA5091,447,253,240,240
PA5092,457,200,162,167
PA5093,408,233,176,194
PA5094,229,127,97,93
PA5095,175,115,100,109
PA5096,137,105,102,112
PA5097,183,145,81,132
PA5098,238,104,147,188
PA0453,149,169,191,158
PA0452,100,134,1285,648
PA5101,180,94,103,79
PA0451,488,724,91,193
PA0450,197,180,478,768
PA5104,170,55,62,59
PA5105,301,199,250,326
PA0448,244,209,391,350
PA5107,1736,1000,1897,1494
PA0444,153,167,680,723
PA5109,1534,869,609,749
PA5110,5093,3840,3610,3834
PA5111,1192,594,617,551
PA5112,5356,1263,680,1404
PA5113,521,146,123,191
PA5114,1246,647,601,1166
PA5115,132,51,62,86
PA0443,75,100,86,111
PA5117,3065,2310,3089,3146
PA5118,1303,958,1232,1254
PA5119,9345,3908,3689,5449
PA5120,143,70,71,120
PA5121,914,580,428,603
PA0441,97,115,374,390
PA0439,63,53,119,156
PA0436,518,794,344,304
PA5125,911,475,438,484
PA5126,190,128,77,124
PA0424,435,446,128,201
PA5128,3119,1315,909,1837
PA5129,504,354,238,355
PA0408,2191,1969,1961,2573
PA5131,3761,2208,2198,3597
PA5132,172,117,96,96
PA0397,487,470,1720,1504
PA0396,1246,1115,2893,3472
PA5135,399,227,159,195
PA5136,876,186,119,230
PA5137,532,119,105,206
PA5138,539,255,197,429
PA5139,113,65,94,104
PA5140,918,368,217,453
PA5141,1206,488,302,747
PA5142,1371,635,378,843
PA5143,1264,703,448,1016
PA5144,83,30,33,39
PA5145,422,240,209,246
PA0386,356,322,3855,4574
PA5147,1473,1011,713,862
PA5148,450,192,142,302
PA5149,777,342,244,418
PA5150,795,539,347,454
PA5151,318,187,155,243
PA5152,1283,539,309,350
PA5153,2169,441,227,498
PA5154,568,103,60,120
PA5155,184,76,49,51
PA5156,112,83,72,77
PA5157,134,65,84,158
PA5158,511,188,143,347
PA5159,328,148,129,206
PA5160,304,231,183,213
PA5161,2850,2138,2305,2625
PA5162,2260,1107,892,1056
PA5163,3521,1876,1658,1708
PA5164,1731,736,590,738
PA5165,882,603,479,613
PA5166,1037,582,461,691
PA5167,2213,680,478,580
PA5168,619,142,125,136
PA5169,1069,225,160,268
PA5170,5903,4030,4149,1371
PA5171,21780,8869,11431,6389
PA5172,23447,9656,12804,8692
PA5173,13336,3690,5550,3495
PA0372,1536,1256,1231,1274
PA5175,1751,1067,1057,1895
PA5176,2043,1386,1298,2659
PA0362,157,297,1072,886
PA5178,8561,4706,9183,8244
PA5179,363,271,271,286
PA0359,342,277,119,125
PA0355,472,519,570,418
PA5182,2330,1193,1105,1286
PA5183,490,263,258,303
PA0354,1405,1138,131,98
PA5184,610,389,277,360
PA5185,417,199,107,172
PA5186,1303,629,349,683
PA5187,2592,883,331,1340
PA5188,1719,547,216,937
PA5189,451,216,153,288
PA5190,370,190,193,282
PA5191,141,98,89,72
PA5192,4751,3166,2611,4220
PA5193,1288,676,470,855
PA5194,451,349,236,338
PA5195,145,106,75,92
PA0351,222,401,111,131
PA0347,117,109,351,299
PA5198,858,563,408,405
PA0342,1459,1194,618,580
PA0340,300,295,2438,2479
PA5201,3659,1863,1054,2184
PA5202,250,113,60,96
PA5203,1524,828,576,918
PA0336,1686,1963,587,1014
PA0329,2936,2381,440,485
PA5206,1489,1023,845,1414
PA0324,115,113,592,249
PA0320,614,502,1442,585
PA0319,1122,923,2448,2370
PA5210,2695,1543,1537,1195
PA5211,167,86,85,86
PA0316,15107,14482,5289,4210
PA5213,4571,2652,5266,2786
PA5214,2383,883,722,1492
PA5215,2738,1195,904,1523
PA0309,822,689,280,273
PA0294,259,233,419,401
PA5218,240,130,130,183
PA5219,288,213,182,224
PA5220,923,176,120,211
PA5221,2657,1134,742,1076
PA5222,900,361,205,336
PA5223,4534,2075,1299,2221
PA5224,7112,4829,4166,6092
PA5225,1353,695,637,1047
PA0289,253,215,368,339
PA5227,625,491,421,587
PA5228,834,646,750,675
PA5229,695,302,273,211
PA5230,1924,893,653,428
PA5231,6053,2616,1826,900
PA0287,101,91,2529,1299
PA5233,345,212,155,134
PA5234,652,343,360,568
PA5235,3086,1643,1373,1715
PA5236,1160,760,465,714
PA0286,2840,6164,1137,1996
PA0285,1017,865,663,522
PA5239,5560,3589,3965,4562
PA0284,56,572,5851,6973
PA5241,5332,3156,1782,2249
PA5242,9218,5943,3913,4744
PA0283,577,1991,3895,4708
PA5244,877,680,386,268
PA5245,1852,987,1524,1891
PA5246,249,178,205,245
PA5247,398,266,263,528
PA5248,784,462,452,1147
PA0282,178,434,606,1017
PA5250,893,419,309,358
PA0281,373,527,304,263
PA5252,1704,1034,760,937
PA0280,576,721,19746,24545
PA0275,220,215,369,392
PA5255,6873,3578,3060,3901
PA5256,372,224,137,144
PA5257,3763,1866,1518,1915
PA5258,2690,1503,1435,1963
PA5259,1119,678,453,543
PA5260,3262,1980,1838,2323
PA5261,4556,3369,4681,4004
PA0258,59,61,2846,2091
PA5263,3054,1781,2153,4357
PA0257,169,296,1017,824
PA5265,1355,1007,1125,1043
PA5266,870,239,237,314
PA5267,498,241,229,234
PA0256,535,951,527,485
PA5269,182,131,107,106
PA0254,195,189,441,369
PA5271,383,245,261,222
PA0253,83,76,881,768
PA5273,528,170,196,273
PA5274,1007,676,416,932
PA0248,179,229,613,1131
PA0246,331,375,447,384
PA5277,2980,1858,1708,2592
PA5278,1440,781,606,961
PA0245,37,38,2637,2431
PA0243,131,262,1494,907
PA0242,121,105,191,180
PA0239,153,134,126,136
PA5283,738,508,249,328
PA5284,136,80,73,71
PA5285,766,332,363,270
PA5286,309,163,134,57
PA5287,972,581,493,680
PA5288,2356,1669,1340,1510
PA0238,51,53,539,441
PA5290,706,373,272,412
PA5291,4093,1694,1088,2546
PA5292,716,374,227,468
PA5293,161,102,91,145
PA5294,239,187,147,174
PA5295,1553,804,405,613
PA5296,1379,1068,1056,1309
PA0237,44,37,473,659
PA5298,638,483,387,462
PA5299,1411,950,1076,1097
PA5300,2474,1508,1402,2431
PA5301,964,723,525,699
PA5302,130,104,183,97
PA5303,68,39,208,61
PA0236,141,125,1437,569
PA5305,578,254,305,532
PA5306,224,108,166,216
PA5307,1699,982,952,1028
PA5308,405,323,279,735
PA5309,598,396,267,424
PA5310,511,350,300,266
PA5311,242,127,156,203
PA5312,4839,2131,2552,7143
PA0234,93,116,546,829
PA0233,297,400,85,152
PA0232,137,121,1276,1143
PA0231,276,250,3615,3917
PA5317,2466,1314,1073,1677
PA5318,407,145,129,185
PA5319,502,218,296,268
PA0230,431,379,1393,1249
PA5321,855,430,260,303
PA5322,7389,5575,5982,8131
PA5323,4314,2809,2847,4249
PA5324,971,600,536,692
PA0229,198,192,141,137
PA5326,148,80,58,70
PA5327,237,162,137,137
PA5328,19,15,27,18
PA5329,513,393,387,474
PA5330,1518,845,891,1743
PA5331,2482,1510,1466,3184
PA5332,2443,1697,4702,7093
PA5333,540,314,523,909
PA5334,1493,1153,1550,2805
PA5335,1156,914,1187,2125
PA5336,644,327,279,397
PA0224,1244,1147,984,1290
PA0223,1422,1919,2683,2850
PA5339,1285,827,514,972
PA5340,931,703,377,690
PA0222,93,85,87,132
PA5342,573,271,172,272
PA5343,1240,582,279,795
PA0220,152,177,1937,2070
PA5345,3300,1805,946,1646
PA5346,4566,3261,2883,3381
PA5347,622,196,217,391
PA5348,6414,1258,628,976
PA5349,3109,1121,756,1626
PA5350,181,65,58,116
PA5351,522,191,108,289
PA5352,3209,881,290,940
PA5353,16096,3593,1311,4815
PA5354,17039,3787,968,4622
PA5355,27545,12581,6015,12265
PA0218,269,240,449,393
PA5357,772,413,239,339
PA5358,2040,1430,1432,1505
PA5359,1688,1024,1000,728
PA0217,173,201,389,515
PA5361,362,288,289,242
PA5362,3379,1712,498,386
PA5363,1077,670,434,510
PA5364,2131,1425,1253,1529
PA5365,327,156,123,256
PA0206,85,87,366,203
PA5367,323,225,193,221
PA0205,61,135,290,303
PA5369,735,564,725,693
PA0204,65,83,440,511
PA5371,733,555,522,680
PA5372,464,371,563,1701
PA0202,196,185,1248,4763
PA0201,235,314,559,1291
PA0200,633,817,209,375
PA5376,2928,1068,1045,3130
PA5377,1657,602,544,1429
PA5378,2305,968,1108,2124
PA5379,286,180,208,377
PA5380,7325,2538,2197,3277
PA5381,668,189,157,466
PA5382,150,75,83,229
PA0199,348,369,925,1503
PA0198,285,272,73,69
PA0197,169,148,28,27
PA5386,99,43,63,80
PA0194,62,69,40,53
PA0192,142,174,129,83
PA5389,192,139,130,182
PA5390,234,181,152,161
PA5391,106,61,20,35
PA5392,77,46,20,28
PA5393,237,136,81,114
PA5394,416,315,248,303
PA5395,130,73,70,69
PA5396,836,327,302,1663
PA5397,344,96,112,630
PA5398,1595,605,653,2956
PA5399,634,191,217,648
PA5400,174,55,62,136
PA5401,135,82,118,192
PA0191,57,87,275,169
PA0189,106,104,32,28
PA5404,26,19,45,39
PA5405,31,17,31,43
PA5406,171,88,120,174
PA5407,198,100,130,175
PA5408,116,68,78,95
PA5409,507,291,382,501
PA5410,1926,312,398,2136
PA5411,365,172,213,665
PA5412,1292,505,480,878
PA0188,74,88,631,946
PA5414,477,229,206,275
PA5415,429,242,259,680
PA5416,615,180,170,768
PA5417,96,36,27,90
PA5418,1759,460,451,1722
PA5419,276,90,97,260
PA5420,446,140,157,391
PA5421,2620,519,767,1104
PA5422,1226,974,1781,2019
PA0187,50,74,1334,1025
PA5424,1726,969,2280,1003
PA5425,1237,571,859,1102
PA5426,866,390,607,1091
PA5427,19457,7071,12932,2345
PA5428,2203,1103,1380,1614
PA0186,81,67,1867,4052
PA5430,855,364,216,333
PA5431,252,121,104,151
PA5432,213,90,80,136
PA5433,439,198,114,181
PA5434,531,350,227,307
PA5435,2658,1592,724,3247
PA5436,1817,1273,650,1126
PA5437,511,347,287,734
PA5438,1812,1372,1131,2693
PA5439,692,479,556,871
PA5440,1325,799,753,475
PA5441,2981,916,838,1416
PA5442,947,413,224,268
PA5443,5285,2962,2219,4185
PA5444,261,143,117,188
PA0185,131,153,1333,3958
PA5446,67,53,77,125
PA5447,1621,1221,980,1301
PA5448,971,433,209,350
PA5449,1118,526,229,470
PA5450,1705,797,280,767
PA5451,1138,533,253,478
PA5452,2400,884,335,1183
PA5453,2552,915,441,883
PA5454,1365,665,401,474
PA5455,2338,1253,682,1167
PA5456,1505,1014,499,882
PA5457,624,264,138,297
PA5458,656,494,352,402
PA5459,598,369,171,422
PA0183,199,3083,23,25
PA5461,1162,513,408,656
PA0182,217,11165,194,271
PA0181,295,280,283,376
PA0179,1546,1495,1284,1580
PA0167,583,635,480,345
PA0166,129,151,153,238
PA5467,155,117,89,83
PA0162,171,142,533,668
PA0160,17,26,690,838
PA5470,708,480,542,787
PA5471,3310,2373,3083,5696
PA5472,514,243,326,460
PA0156,637,688,5687,3748
PA5474,4757,3049,3392,1914
PA5475,6710,4408,4130,1003
PA5476,833,408,332,726
PA5477,502,290,211,245
PA5478,957,555,276,479
PA5479,2228,1711,1103,898
PA0155,247,215,217,70
PA0153,210,174,3481,581
PA0152,199,188,1970,325
PA5483,2016,1155,1281,1471
PA5484,2190,1399,1235,1871
PA5485,619,366,377,537
PA0151,166,191,330,417
PA5487,5369,3509,2767,3070
PA5488,3311,1761,2056,2459
PA5489,5091,2796,4476,7458
PA5490,3987,2458,4610,8325
PA5491,1149,751,802,1466
PA0147,140,135,1991,1973
PA5493,6169,4124,3347,5822
PA5494,1384,763,1347,1268
PA5495,8884,2943,2929,2370
PA5496,27033,5043,3808,2023
PA5497,100220,25765,21207,15295
PA5498,630,384,1295,372
PA5499,1209,916,1736,739
PA5500,981,596,1026,543
PA5501,521,372,561,466
PA5502,676,495,604,829
PA5503,1123,689,710,1159
PA5504,640,363,394,585
PA5505,1641,901,1157,1710
PA5506,131,99,78,95
PA0146,133,108,123,94
PA0143,899,1423,157,185
PA0139,7181,10509,115,163
PA0138,144,138,212,251
PA5511,904,587,596,847
PA0135,2,7,254,358
PA0134,891,744,229,257
PA0132,472,465,309,322
PA5515,470,341,262,240
PA5516,637,435,359,557
PA5517,294,210,166,198
PA5518,834,670,685,821
PA0130,1564,1288,615,755
PA5520,1032,581,502,476
PA5521,1531,984,1072,1153
PA5522,360,227,204,291
PA0127,147,230,431,812
PA0114,866,769,554,694
PA0102,633,691,1532,1337
PA5526,719,531,520,560
PA0060,253,222,783,536
PA0059,678,770,3352,2996
PA0058,85,87,1082,1059
PA0057,156,131,786,251
PA5531,571,367,946,1045
PA5532,262,175,136,173
PA0056,147,127,284,359
PA0055,367,708,118,105
PA0053,155,127,214,180
PA0042,108,110,37,37
PA0038,928,951,141,193
PA0036,1840,2029,365,390
PA5539,95,62,77,92
PA0034,218,326,54,63
PA5541,650,174,124,168
PA5542,1131,182,141,244
PA5543,355,60,42,105
PA5544,2379,556,432,733
PA5545,3451,1208,1069,1461
PA5546,4352,2495,4019,3466
PA0032,231,197,475,524
PA5548,384,249,177,348
PA5549,1776,668,298,1421
PA5550,374,211,158,219
PA5551,655,323,246,370
PA5552,4169,1999,1448,2277
PA5553,1943,567,342,737
PA5554,17283,5728,3162,7355
PA5555,9668,3492,1872,3728
PA5556,21967,6570,3834,9094
PA5557,6362,2859,2151,3527
PA5558,5839,2385,1739,4021
PA5559,3515,1016,605,1976
PA5560,2156,1052,815,2067
PA5561,569,353,268,349
PA5562,2510,869,691,978
PA0031,430,395,1768,1429
PA0014,76,79,962,850
PA5565,3642,2633,3238,4017
PA5566,70,49,34,33
PA5567,678,433,367,725
PA5568,4725,2959,1899,2574
PA5569,3739,2604,1481,1608
PA0012,130,111,973,728
