X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA0084,918,779,780,737,663,835
PA0086,93,95,105,74,118,110
PA0087,29,16,20,19,23,21
PA0088,41,20,33,34,26,22
PA0089,15,21,15,24,23,28
PA0092,210,230,200,240,245,226
PA0093,698,606,660,567,552,693
PA0094,697,670,558,668,718,668
PA0095,1779,1512,1630,1369,1465,1767
PA0096,74,64,78,63,65,78
PA0097,53,53,52,41,49,51
PA0098,80,52,72,58,86,100
PA0099,107,115,131,111,103,113
PA0100,472,494,486,398,442,552
PA0101,276,251,293,196,243,301
PA0102,6368,5961,6047,5233,5495,5974
PA0103,183,157,188,171,159,182
PA0103a,727,686,666,711,567,634
PA0107,1274,1068,1070,875,1082,1297
PA0109,521,513,591,391,501,598
PA0110,2326,1600,1902,1305,1649,2320
PA0111,912,785,861,635,727,959
PA0112,748,569,726,494,618,720
PA0113,1285,997,1023,860,923,1085
PA0115,244,252,248,222,228,231
PA0116,466,503,605,378,453,515
PA0117,295,246,222,184,249,265
PA0118,290,245,244,181,171,247
PA0119,1083,873,966,816,814,976
PA0120,984,899,999,853,789,932
PA0121,444,466,490,403,455,494
PA0122,10582,7420,9078,9030,8556,10236
PA0123,522,572,586,472,604,547
PA0124,380,387,378,384,329,361
PA0125,167,216,184,181,223,219
PA0126,162,131,147,124,124,151
PA0127,662,690,679,626,576,685
PA0128,80,142,144,81,158,138
PA0130,2399,2117,2024,2138,1963,2207
PA0131,77,72,56,85,76,61
PA0132,1049,921,1040,863,886,1048
PA0133,915,770,831,734,699,784
PA0134,2014,1823,1857,1440,1728,1749
PA0135,50,47,78,26,61,65
PA0136,257,231,280,153,213,282
PA0137,53,61,52,40,60,65
PA0138,47,47,70,44,57,58
PA0141,396,415,429,342,385,474
PA0142,802,637,680,536,684,678
PA0144,365,267,279,243,274,330
