,0-1F_mapped_reads(6898436),0-2F_mapped_reads(6572494),0-3F_mapped_reads(6559324),6-1F_mapped_reads(6710899),6-2F_mapped_reads(6573316),6-3F_mapped_reads(6413258)
PA2083,90,114,127,136,131,95
PA0548,3193,2841,2829,3028,3299,3319
PA3608,50,56,64,53,47,48
PA1610,990,1017,1053,1003,735,697
PA0323,86,54,44,70,66,83
PA1275,131,140,162,187,116,154
PA3963,206,196,190,203,211,176
PA3664,771,700,897,843,750,698
PA0665,1266,1133,1203,1350,1539,1243
PA4806,162,176,137,178,182,170
PA4034,109,90,99,97,96,92
PA0326,67,48,73,53,47,47
PA3529,6356,5388,5080,7256,7870,7140
PA2184,211,241,199,217,249,283
PA2548,120,97,93,107,93,81
PA0255,351,403,317,440,388,430
PA1720,77,77,99,106,54,90
PA0083,16,27,20,20,14,31
PA2543,622,585,646,778,834,798
PA0900,278,252,240,229,216,205
PA0412,2675,2468,2397,2924,2284,2036
PA1931,425,521,425,276,291,312
PA4840,338,375,398,233,197,213
PA3325,767,824,742,679,733,754
PA5527,1323,1084,869,810,935,932
PA4494,2966,2766,3680,3200,2582,2209
PA5413,918,731,678,1228,1256,1223
PA0951a,1217,1091,960,871,610,544
PA4986,358,443,333,772,778,895
PA4990,52,45,50,51,64,42
PA0457,331,245,267,283,312,294
PA5175,896,916,909,1078,1058,1122
PA1004,1691,1613,1543,1753,1914,1926
PA0469,669,631,633,636,654,724
PA2606,490,447,340,411,376,392
PA1667,366,449,318,391,362,327
PA3522,204,228,137,174,247,223
PA1320,15,24,16,14,26,23
PA0557,394,348,249,233,318,285
PA4899,262,271,220,226,266,329
PA2435,2740,2438,2803,2597,1674,2082
PA1106,715,593,534,555,541,539
