,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
PA14_59380,12,17,20,20,13,7,12,15,8,13,20,15,20
PA14_59390,20,15,18,32,30,22,5,27,23,13,28,42,69
PA14_59400,22,19,24,28,35,22,27,30,25,24,19,15,20
PA14_59410,3,3,2,4,3,0,2,2,2,0,3,1,3
PA14_59430,0,0,1,1,1,0,0,0,0,0,1,0,2
PA14_59440,2,4,1,4,7,3,1,5,7,4,6,4,9
PA14_59470,1,3,2,4,4,4,2,2,3,3,7,6,5
PA14_59480,5,6,6,5,11,5,6,5,5,5,2,8,4
PA14_59490,2,2,3,6,5,9,4,6,4,1,11,8,5
PA14_59500,1,2,0,5,4,1,3,5,1,3,5,2,2
PA14_59510,0,1,0,2,0,2,2,2,1,0,0,0,1
PA14_59520,1,0,3,3,1,2,2,2,1,2,1,2,2
PA14_59530,4,1,2,3,0,2,2,4,1,0,2,4,2
PA14_59540,5,12,11,11,17,14,12,8,6,9,7,9,7
PA14_59550,105,109,113,134,113,155,168,159,149,151,312,308,349
PA14_59560,3,1,4,2,3,1,5,4,0,1,9,4,5
PA14_59570,4,7,8,4,2,7,9,7,8,4,6,9,4
PA14_59580,37,32,48,39,40,74,75,65,61,53,102,97,92
PA14_59590,11,13,17,16,21,29,31,27,28,24,47,56,59
PA14_59600,7,9,4,4,4,7,8,8,7,9,23,16,24
PA14_59610,28,32,22,33,25,58,46,62,60,60,130,147,172
PA14_59620,46,46,57,69,54,61,65,109,114,80,183,222,282
PA14_59630,39,43,59,109,92,45,52,75,67,55,61,57,62
PA14_59640,1,5,0,4,3,7,4,8,4,2,4,13,6
PA14_59650,5,7,7,5,7,7,3,9,7,5,4,4,6
PA14_59660,3,4,2,2,5,4,6,9,4,7,4,10,7
PA14_59670,0,1,1,2,1,2,1,2,1,2,1,2,3
PA14_59680,0,2,1,1,0,0,1,0,1,2,0,0,2
PA14_59690,8,4,7,13,10,7,15,9,5,11,9,12,13
PA14_59700,7,12,0,0,9,9,3,7,3,2,18,0,13
cupD1,5,11,4,6,9,8,12,10,8,6,10,4,7
cupD2,0,0,1,1,1,1,1,1,2,0,2,1,1
cupD3,10,4,9,19,4,12,8,14,15,13,9,16,8
cupD4,9,3,8,10,8,7,8,5,6,10,10,10,15
cupD5,7,6,4,11,3,10,10,8,9,9,14,21,19
rcsB,10,10,5,6,7,16,13,15,8,4,38,35,44
rcsC,72,65,79,81,85,114,89,93,89,83,130,141,156
pvrR,23,58,47,40,43,63,79,111,71,75,119,105,123
PA14_59800,29,20,24,41,35,34,27,53,28,24,61,72,66
PA14_59820,2,0,8,15,0,3,10,3,6,9,13,14,21
PA14_59830,90,70,93,74,79,91,88,111,82,87,143,130,110
PA14_59840,761,801,795,715,749,570,569,929,789,692,730,857,1050
PA14_59845,12,8,9,19,10,12,15,14,19,8,24,34,28
PA14_59850,3,2,2,2,3,4,2,2,1,1,3,3,7
PA14_59860,1,1,1,0,1,4,1,2,1,0,0,0,1
PA14_59870,0,0,2,3,3,1,2,0,0,0,3,0,1
PA14_59880,1,1,3,3,3,1,3,1,1,3,6,2,3
PA14_59890,1,2,2,4,3,3,2,3,3,6,9,2,2
PA14_59900,4,0,2,8,3,5,5,3,1,9,10,4,9
PA14_59910,5,7,4,8,9,7,8,5,11,5,11,3,8
PA14_59920,7,8,6,4,7,5,5,6,6,6,9,10,18
PA14_59930,1,1,3,0,2,1,2,1,1,3,6,1,3
PA14_59940,19,10,15,25,24,14,17,17,24,16,32,23,15
PA14_59950,1,0,0,2,1,1,1,1,4,1,2,2,0
PA14_59960,28,19,27,19,32,22,19,32,15,22,37,20,34
PA14_59970,12,15,23,13,19,11,17,28,13,7,30,12,26
PA14_59980,0,0,4,1,1,0,2,0,4,0,1,1,2
PA14_59990,1,2,2,4,4,3,2,10,0,1,2,1,0
PA14_60000,7,3,5,9,7,12,8,12,10,7,6,11,7
PA14_60010,2,3,1,3,1,7,1,2,4,5,4,5,7
PA14_60020,135,82,69,72,56,134,130,118,122,120,266,282,337
PA14_60030,71,65,69,84,71,112,90,121,111,87,114,152,198
PA14_60040,13,10,8,17,9,17,20,16,14,19,42,24,38
PA14_60050,15,16,13,22,13,15,20,16,23,23,46,29,32
PA14_60060,1,0,1,4,2,5,3,5,1,4,4,7,2
PA14_60070,68,70,67,104,93,111,92,83,108,101,161,119,127
PA14_60080,56,41,72,76,87,90,89,98,84,84,161,138,149
PA14_60090,38,23,15,16,14,64,49,65,53,49,140,133,154
dtd,44,48,51,33,28,107,83,112,104,85,130,127,170
PA14_60110,63,62,89,74,90,110,102,121,103,108,192,164,173
dcd2,65,63,73,76,88,70,66,70,86,83,129,69,98
PA14_60130,32,43,58,52,43,52,45,57,32,36,48,62,51
PA14_60140,6,2,7,7,11,7,8,10,9,8,9,7,6
PA14_60150,1,3,2,0,1,1,0,1,4,0,1,2,6
PA14_60160,0,2,1,1,1,1,0,0,1,3,0,1,1
PA14_60180,2,1,0,0,1,0,0,0,0,0,0,3,0
clpB,147,101,136,133,128,188,391,277,267,297,235,187,222
PA14_60200,11,5,7,5,3,14,13,11,13,14,11,3,2
rluD,20,17,20,14,23,37,39,28,38,43,35,15,29
comL,39,29,45,34,43,56,65,75,62,71,60,60,61
PA14_60240,1,3,5,2,3,1,4,4,8,0,4,7,5
pilS,6,2,5,10,8,15,17,16,13,18,20,8,13
pilR,8,14,17,11,17,25,29,22,27,30,30,12,24
PA14_60270,25,23,17,24,29,22,40,38,21,20,27,17,26
fimU,8,4,7,7,6,13,11,13,14,6,25,19,23
pilW,37,40,39,46,38,45,52,39,47,48,112,63,89
pilX,24,15,26,21,28,45,35,36,36,41,55,35,46
pilY1,193,178,185,261,234,249,252,255,237,241,595,552,532
pilE,36,35,34,41,28,40,24,47,34,32,87,95,84
ispH,49,38,48,31,36,80,70,66,50,77,75,45,39
PA14_60350,12,8,13,12,13,29,30,29,33,39,16,9,11
lspA,15,13,18,12,6,26,26,32,25,33,15,8,6
ileS,90,75,103,56,83,174,213,163,157,224,125,52,66
ribF,21,10,28,16,10,31,37,36,32,32,18,9,13
PA14_60390,9,20,18,15,11,18,12,18,15,27,19,15,25
rpsT,190,122,146,189,191,292,286,319,365,360,165,193,336
PA14_60410,16,20,23,22,20,26,38,26,30,30,10,9,12
proB,32,39,65,53,33,105,92,77,64,80,21,17,19
obgE,60,74,84,88,111,88,114,100,117,118,46,37,44
rpmA,217,167,254,262,340,528,377,540,593,557,313,248,446
rplU,145,106,158,186,183,309,282,295,347,309,155,137,183
ispB,31,28,30,33,30,53,61,76,89,81,52,48,63
PA14_60480,2,1,5,8,7,27,35,18,48,28,37,93,78
PA14_60490,29,35,41,37,38,68,69,74,58,77,38,52,57
fklB,15,25,50,65,82,23,44,34,34,35,22,15,18
PA14_60520,11,20,37,31,50,14,16,16,26,18,20,15,19
PA14_60530,12,9,11,22,26,23,26,26,27,21,21,26,28
PA14_60540,7,10,19,18,11,12,13,18,10,5,34,19,23
PA14_60550,93,107,117,105,101,92,143,115,97,100,98,89,67
PA14_60560,14,35,45,45,30,31,31,53,22,24,34,42,58
PA14_60570,97,109,142,164,153,94,115,164,122,157,145,77,87
PA14_60580,18,16,21,20,14,18,29,29,18,25,13,11,12
PA14_60590,4,8,11,9,8,19,12,24,12,12,19,9,16
rtcR,6,7,10,10,7,9,13,14,5,12,7,7,13
PA14_60620,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_60630,2,8,7,5,14,14,13,9,16,14,7,2,5
PA14_60650,7,6,5,3,5,5,16,8,9,10,8,4,2
PA14_60660,1,3,11,5,3,6,11,8,6,4,7,7,9
rtcA,1,1,2,4,5,3,7,4,3,3,2,3,2
PA14_60690,2,0,0,0,0,0,2,1,0,0,1,0,0
ccpR,9,27,31,31,23,25,28,25,24,31,75,55,70
gdhA,26,18,14,14,23,32,36,46,26,54,39,35,31
PA14_60730,15,29,43,47,70,33,44,36,35,28,22,10,14
pra,62,96,217,213,296,42,58,80,96,91,51,28,31
PA14_60760,5,3,10,7,4,6,10,15,17,15,19,17,9
PA14_60770,3,3,4,5,3,4,8,17,7,8,4,3,10
PA14_60780,1,0,5,1,2,2,9,4,4,6,5,2,3
PA14_60790,9,15,20,24,29,20,21,10,17,17,10,10,11
PA14_60800,54,75,86,67,93,83,90,72,91,113,93,49,59
PA14_60810,2,2,3,3,3,7,3,4,6,4,15,7,13
oprJ,1,1,1,5,2,0,3,6,2,4,5,2,8
mexD,3,9,8,7,6,8,3,5,7,4,10,2,5
mexC,0,2,3,1,1,0,5,1,3,1,1,1,0
nfxB,6,1,5,4,2,6,4,2,6,5,7,5,5
morA,69,46,33,22,29,49,61,45,50,51,26,15,21
glyA,39,29,43,56,64,50,61,47,62,79,16,16,18
PA14_60900,15,14,8,11,13,8,8,12,8,9,11,5,10
PA14_60920,31,26,38,24,27,25,25,23,20,21,27,13,16
PA14_60930,16,23,18,25,19,16,14,21,18,18,24,18,26
PA14_60950,172,213,249,209,221,146,173,201,176,186,139,97,121
PA14_60960,214,232,442,528,457,210,199,301,337,316,493,317,310
PA14_60970,14,31,44,41,45,31,35,46,38,38,38,48,55
radA,16,20,31,23,29,27,27,31,33,26,35,24,25
PA14_61000,3,8,2,7,6,11,15,6,8,3,14,9,15
PA14_61010,58,123,133,164,147,101,96,132,101,54,148,236,309
PA14_61020,9,19,28,19,19,9,9,1,8,4,3,3,6
katB,122,244,372,279,263,79,118,10,81,36,13,9,11
mscL,173,210,251,317,264,273,265,329,323,335,419,430,496
PA14_61060,14,9,16,18,16,17,22,18,18,22,23,16,21
PA14_61080,4,1,3,1,5,7,1,8,4,5,8,6,5
PA14_61090,8,6,8,6,9,13,21,14,14,13,9,14,15
PA14_61110,7,10,6,0,1,4,12,8,10,8,4,4,9
PA14_61120,24,44,53,33,30,32,37,21,22,26,31,16,18
PA14_61130,24,27,26,14,18,9,14,5,13,6,12,6,14
PA14_61140,9,7,15,7,8,2,2,2,2,4,4,2,3
PA14_61150,96,82,95,57,58,59,76,69,56,68,32,23,33
PA14_61170,4,0,1,2,4,2,3,2,5,6,3,1,1
PA14_61180,3,2,2,4,5,5,5,4,5,1,8,2,8
PA14_61190,189,169,261,132,149,299,279,297,238,236,83,60,62
PA14_61200,1303,1656,2455,1666,1556,1518,1725,1632,1569,1455,268,186,215
hprA,4,10,6,5,11,5,4,15,6,6,2,3,3
PA14_61220,3,6,8,5,13,0,7,6,5,6,1,3,1
lysP,12,6,8,14,11,22,20,13,17,18,17,11,17
PA14_61260,0,6,6,4,6,11,4,6,12,9,4,0,1
PA14_61270,3,7,4,3,4,2,7,3,6,11,8,6,14
PA14_61280,23,20,26,33,29,17,31,33,39,42,26,26,35
PA14_61290,16,21,45,48,58,39,36,52,46,62,43,32,49
PA14_61300,93,127,161,177,178,125,189,126,172,182,285,222,258
PA14_61320,13,10,17,25,13,14,33,15,18,24,13,6,15
PA14_61330,15,30,93,127,149,3,3,5,4,2,2,1,3
PA14_61340,8,11,19,32,34,3,5,3,3,1,1,5,3
PA14_61350,1,1,4,4,2,0,2,2,4,2,4,1,1
PA14_61360,18,9,25,10,14,22,25,17,23,29,24,24,20
PA14_61370,5,10,8,10,7,5,3,6,3,1,7,3,5
PA14_61380,182,181,257,242,272,105,63,160,155,130,224,293,361
PA14_61390,56,53,74,67,56,52,61,76,55,62,51,32,41
mqoB,72,85,103,118,110,103,138,153,129,139,107,72,99
PA14_61410,21,20,23,17,13,13,13,23,15,16,25,33,31
PA14_61430,5,8,3,11,9,11,8,13,12,12,11,7,12
PA14_61440,7,3,4,7,2,6,8,5,13,15,10,6,11
PA14_61450,5,5,12,6,13,6,4,9,5,4,3,4,6
PA14_61460,14,10,13,22,24,10,15,12,27,20,13,13,8
upp,12,12,35,40,31,15,13,24,11,26,38,23,25
uraA,29,33,26,39,33,33,44,47,38,48,56,44,43
PA14_61500,14,9,25,23,50,28,22,32,35,35,79,105,95
PA14_61510,4,7,7,9,9,5,4,5,11,6,19,13,22
PA14_61520,1,3,4,5,3,2,5,6,4,4,7,1,2
PA14_61530,0,3,5,3,7,3,13,7,10,5,11,11,11
PA14_61540,5,3,4,8,9,8,10,7,6,12,10,7,10
PA14_61550,5,7,3,5,7,6,3,6,5,6,6,3,3
PA14_61560,12,10,11,11,8,2,5,2,2,3,3,1,3
hemH,26,28,25,24,15,16,33,30,21,18,29,11,12
PA14_61590,18,34,36,36,39,23,35,18,27,14,48,21,20
PA14_61600,46,36,49,50,60,44,47,49,51,38,75,69,76
PA14_61610,20,17,16,9,8,6,20,8,9,3,63,16,19
PA14_61620,8,7,2,3,1,5,5,9,7,7,18,5,4
phr,28,29,25,20,23,40,42,26,29,33,61,21,12
pagL,342,202,219,260,229,295,325,400,350,277,641,620,541
murI,14,8,2,2,3,7,23,24,12,16,15,9,13
moeB,1,3,6,8,11,14,24,13,16,10,11,6,8
PA14_61680,12,8,6,2,2,10,23,10,18,16,8,3,4
prfA,15,8,12,9,12,31,33,36,24,28,21,16,14
hemA,24,16,12,18,15,30,27,38,38,25,25,14,20
PA14_61720,47,41,37,29,28,79,81,70,67,61,64,52,41
lolB,9,8,9,3,7,9,14,13,12,13,12,9,14
ipk,39,39,74,114,104,58,68,74,89,90,55,71,93
PA14_61760,1,1,1,1,0,0,2,0,0,0,0,1,3
prs,175,129,124,144,141,280,357,267,324,469,243,183,218
PA14_61780,180,169,235,222,267,619,663,658,773,875,412,288,369
pth,9,11,21,11,16,40,50,37,53,65,18,8,18
PA14_61820,45,22,48,39,44,148,147,143,148,184,88,43,63
PA14_61830,0,0,0,0,0,0,0,0,0,1,0,0,0
PA14_61840,21,20,25,46,41,27,29,36,38,38,46,49,50
PA14_61850,14,16,22,27,16,35,39,31,33,41,38,18,29
PA14_61860,20,20,38,41,34,22,43,27,28,44,35,20,21
PA14_61870,24,19,17,20,14,26,31,33,23,28,33,26,28
rimI,5,6,3,7,4,10,13,11,7,13,17,8,14
PA14_61890,13,2,11,12,9,14,14,6,18,14,4,2,11
PA14_61910,1,3,2,3,9,2,2,7,4,2,4,2,2
PA14_61920,5,6,11,18,12,12,13,10,7,17,9,8,5
PA14_61940,7,6,17,24,26,17,15,15,21,25,19,13,19
PA14_61950,2,3,5,8,8,19,16,22,17,16,35,30,24
PA14_61960,5,5,8,3,4,9,10,12,9,9,8,1,6
PA14_61980,2,0,5,1,2,6,4,7,14,4,4,2,2
PA14_61990,10,21,13,26,23,38,53,37,41,57,14,20,22
hitA,13,20,30,21,23,16,27,18,22,20,61,46,35
hitB,11,7,5,10,6,13,16,13,9,15,9,6,12
PA14_62020,57,37,42,34,34,92,76,83,77,79,96,68,64
PA14_62030,15,6,12,11,11,16,21,16,16,19,32,11,21
PA14_62040,25,19,30,29,17,28,28,31,42,37,45,51,75
PA14_62050,17,22,0,0,0,0,3,3,3,1,0,9,3
PA14_62060,1893,4912,1357,342,294,549,1701,80,887,540,3726,9280,564
PA14_62070,1,0,0,1,0,0,0,0,0,0,0,0,0
PA14_62080,0,0,0,1,0,0,0,0,0,0,0,0,0
PA14_62090,2090,2200,1032,375,542,419,880,177,591,445,1424,4546,210
PA14_62100,11,21,21,12,13,21,29,23,19,20,30,11,9
PA14_62110,45,25,28,26,25,44,97,52,42,60,49,31,37
pssA,48,27,56,35,41,68,83,64,74,88,112,91,85
ilvC,86,103,134,134,108,155,166,106,128,166,171,77,75
ilvH,14,16,12,17,28,16,19,22,20,27,24,9,14
ilvI,93,93,236,221,196,156,139,166,162,180,109,73,102
PA14_62170,13,5,5,5,4,9,11,16,13,13,31,8,10
PA14_62180,12,7,9,8,5,15,17,23,23,14,10,8,12
PA14_62190,13,12,14,12,10,29,38,44,25,23,13,15,22
mrcB,28,16,19,22,18,62,73,70,67,68,68,59,66
PA14_62230,38,28,57,53,64,38,48,47,60,62,38,25,34
PA14_62240,14,11,17,29,28,17,12,21,13,11,30,19,38
PA14_62250,21,19,21,33,27,23,17,29,22,24,40,69,54
PA14_62260,13,26,16,29,27,22,22,23,23,21,55,40,42
PA14_62270,7,8,12,6,6,10,21,15,15,21,18,11,11
hmuV,4,0,1,1,1,2,10,4,10,8,6,2,4
PA14_62290,1,1,1,4,1,13,14,10,5,14,6,7,0
PA14_62300,5,9,10,5,9,26,35,13,27,17,17,4,10
PA14_62330,7,7,10,7,8,20,38,19,33,15,15,21,26
PA14_62350,16,15,15,24,19,50,65,34,59,41,40,27,51
PA14_62360,0,3,0,0,2,7,1,6,8,4,4,7,5
PA14_62370,9,8,10,16,15,13,25,27,25,30,10,21,22
PA14_62380,20,12,17,26,24,44,34,47,32,34,25,29,25
PA14_62390,39,45,19,43,45,81,92,99,87,98,95,89,97
PA14_62400,49,31,53,47,31,110,182,115,122,132,87,51,45
PA14_62410,14,16,14,9,14,25,23,28,28,15,9,9,13
PA14_62420,39,45,60,83,85,57,69,49,56,52,46,59,52
PA14_62430,8,10,17,22,5,16,13,10,15,11,11,6,5
PA14_62440,16,22,36,27,44,22,34,36,33,45,28,14,20
trmA,14,19,32,28,14,25,57,31,53,49,21,16,15
PA14_62470,6,7,5,5,6,10,9,3,7,9,5,1,4
PA14_62480,27,30,39,41,34,29,30,41,36,36,27,35,51
dksA,106,106,165,168,163,193,138,204,223,202,139,208,259
PA14_62510,6,5,6,4,5,5,11,7,10,8,6,4,5
PA14_62520,0,0,2,1,0,1,0,0,6,2,0,1,3
cbrA,31,29,24,26,27,32,42,37,39,25,41,31,32
cbrB,91,82,116,110,62,93,121,92,74,88,74,69,75
pcnB,62,34,46,30,37,87,105,85,96,98,91,67,90
folK,9,6,4,4,2,11,19,16,15,14,11,11,7
panB_2,24,21,26,21,30,40,28,33,27,33,33,20,14
panC,9,11,16,13,16,14,18,11,15,20,15,7,5
panD,5,8,7,14,22,6,13,13,9,11,16,5,18
pgi,41,56,81,64,66,73,80,59,72,65,96,58,56
acsB,61,84,83,76,82,63,56,61,53,42,45,50,60
PA14_62640,11,22,25,15,18,20,17,32,27,22,16,12,22
PA14_62650,114,97,100,105,89,222,269,217,208,205,258,226,227
PA14_62660,17,14,15,9,9,28,25,26,19,20,26,21,11
PA14_62670,9,5,5,1,6,18,14,9,15,15,24,17,15
PA14_62680,569,524,486,652,373,394,391,511,425,250,1381,1889,1259
PA14_62690,588,496,466,595,409,304,377,516,520,241,1655,2208,1226
pnp,308,262,405,270,326,677,801,558,624,779,270,123,133
rpsO,458,369,479,407,446,942,662,971,809,740,493,392,553
truB,74,71,113,83,94,162,207,157,150,170,64,39,46
rbfA,25,20,28,22,18,50,38,43,47,33,16,11,22
infB,522,544,895,642,813,1552,1785,1233,1471,1688,456,236,296
nusA,300,324,530,520,569,869,941,661,817,962,533,318,363
PA14_62780,72,96,104,102,123,131,154,141,151,154,131,116,135
PA14_62790,1,2,6,2,3,4,5,3,7,7,3,12,22
PA14_62800,38,32,44,42,34,71,59,67,64,47,32,53,95
secG,123,129,187,199,182,289,257,292,292,246,167,167,225
tpiA,103,94,146,192,218,261,294,238,316,271,123,96,125
glmM,98,68,66,54,54,193,215,132,145,167,169,83,84
folP,52,23,31,20,10,53,85,83,60,63,49,31,39
ftsH,475,514,585,575,519,711,790,675,626,681,587,413,498
rrmJ,31,29,44,37,43,76,84,90,62,93,73,45,71
PA14_62880,45,35,34,28,35,79,88,62,73,76,36,45,55
PA14_62890,31,20,34,14,21,51,64,79,51,82,20,10,12
greA,69,55,90,53,63,109,149,99,111,133,39,25,36
carB,311,276,397,255,277,615,773,469,562,661,327,166,154
PA14_62920,31,33,31,33,24,42,65,38,42,53,34,27,25
carA,152,146,163,127,138,207,261,206,206,234,232,130,125
dapB,29,23,20,15,25,37,66,49,29,57,33,26,16
dnaJ,52,26,34,34,34,41,96,55,59,84,31,21,13
dnaK,302,162,189,206,212,477,978,595,562,735,571,288,310
grpE,25,22,24,17,25,55,106,84,73,99,110,78,85
recN,52,30,54,61,52,49,43,27,60,42,46,21,27
fur,121,155,187,231,177,269,227,303,267,218,242,315,345
omlA,71,55,58,49,56,106,111,97,113,78,85,94,107
PA14_63040,6,6,3,6,8,3,9,4,3,4,4,5,4
PA14_63050,13,23,27,26,37,25,23,31,30,39,45,35,40
smpB,14,10,18,18,32,28,37,36,39,31,35,18,25
PA14_63070,14,17,15,25,24,15,21,30,24,22,15,6,7
lldP,71,108,186,199,169,78,69,146,71,127,20,14,10
lldD,17,25,53,42,53,14,22,42,14,29,4,3,7
PA14_63100,19,27,76,59,58,29,29,40,22,25,6,8,1
PA14_63110,40,17,17,16,3,2,4,1,3,2,4,8,7
PA14_63120,22,14,13,5,3,3,8,3,4,3,4,2,2
PA14_63130,13,12,9,11,5,1,8,4,5,5,10,5,5
pmrA,12,13,14,12,10,7,8,5,7,5,7,6,7
pmrB,10,3,6,3,9,5,4,4,13,8,8,6,5
PA14_63170,57,61,79,71,74,71,58,74,73,66,66,49,54
PA14_63190,6,8,7,4,5,6,5,6,4,9,8,6,3
PA14_63200,23,19,25,26,20,26,28,23,40,21,29,11,36
PA14_63210,18,37,44,50,63,32,36,45,46,27,60,43,51
PA14_63220,26,22,11,13,5,9,2,6,4,1,9,9,12
PA14_63230,2,4,1,3,1,1,2,0,4,1,5,1,0
PA14_63240,5,6,9,9,11,8,4,7,13,13,12,4,7
PA14_63250,16,32,46,19,27,28,43,23,18,33,22,10,10
fabG_4,27,23,31,25,27,17,35,13,22,14,17,11,10
PA14_63280,32,23,48,24,26,26,30,31,30,22,26,22,26
phaJ3,2,4,5,8,8,7,7,6,0,7,3,2,0
PA14_63300,2,3,2,1,4,5,3,6,4,5,3,3,2
PA14_63310,3,3,6,5,4,4,6,5,6,6,0,0,0
PA14_63320,3,8,12,7,10,7,5,6,7,8,6,3,5
PA14_63330,5,13,11,16,10,8,11,7,10,7,4,4,7
PA14_63340,23,32,23,24,27,20,28,33,27,30,18,10,14
PA14_63350,5,7,12,10,9,13,8,12,12,6,5,4,5
PA14_63360,5,1,3,2,4,1,3,3,1,2,1,1,1
PA14_63370,8,3,6,6,4,4,4,6,5,6,6,2,3
PA14_63380,2,3,3,4,1,5,5,2,5,4,3,3,6
PA14_63390,1,4,3,1,4,3,5,4,3,2,2,0,2
PA14_63410,2,0,4,4,2,2,8,6,6,9,6,2,2
PA14_63420,0,0,0,0,0,0,1,0,2,0,0,0,0
PA14_63430,3,3,8,4,9,10,5,8,4,7,6,0,4
PA14_63440,2,0,0,0,0,3,3,3,3,2,3,3,3
PA14_63450,5,1,2,4,8,4,8,7,7,10,10,7,7
PA14_63460,0,0,0,0,0,0,1,0,0,0,0,0,1
PA14_63470,4,11,12,13,15,4,9,10,10,16,17,7,11
PA14_63480,2,4,4,12,5,4,7,5,3,4,3,4,4
PA14_63500,3,6,5,3,6,3,5,5,4,2,7,3,3
PA14_63520,3,2,2,1,3,4,6,7,5,4,7,2,2
selB,26,19,30,17,16,15,16,19,18,12,8,4,5
selA,19,19,17,10,22,13,13,18,17,17,8,3,8
fdhE,16,16,19,8,13,10,15,16,10,8,3,8,5
fdnI,38,40,48,36,43,16,23,18,23,23,13,10,10
fdnH,93,120,162,102,90,33,58,46,41,48,27,24,22
fdnG,426,540,696,588,586,298,327,364,308,360,279,216,227
lipC,9,9,16,31,28,3,4,5,6,6,2,1,6
fadH2,2,4,5,3,3,3,3,3,1,3,2,2,0
PA14_63650,6,3,1,1,2,4,5,3,0,4,0,1,1
PA14_63660,7,14,11,15,8,8,12,7,7,5,4,13,4
PA14_63680,0,0,0,0,0,3,1,0,0,2,0,1,0
PA14_63700,0,0,0,0,3,0,0,0,2,0,0,2,1
PA14_63710,1,1,0,0,1,0,0,1,2,0,0,0,0
PA14_63720,1,0,2,0,0,3,0,0,1,0,2,0,1
PA14_63730,1,2,8,10,9,2,3,6,3,2,2,3,1
PA14_63740,0,1,4,3,2,0,0,1,0,0,0,0,0
PA14_63750,15,14,49,34,66,2,4,10,4,3,1,4,3
PA14_63770,3,0,1,2,2,0,0,0,0,0,0,0,0
PA14_63780,7,9,54,32,44,1,0,2,0,2,0,0,1
mgtA,85,137,487,440,560,18,8,10,13,13,7,4,9
PA14_63820,10,27,71,74,88,6,5,0,5,3,1,2,1
PA14_63830,12,11,12,17,16,9,12,16,22,11,10,9,10
PA14_63840,3,1,2,5,9,0,3,2,6,6,2,2,2
lpd3,8,13,30,32,22,28,17,15,32,28,3,6,14
PA14_63860,1,2,2,3,0,1,1,0,1,2,2,0,0
PA14_63880,5,4,3,5,8,4,9,4,3,2,4,4,5
PA14_63890,0,1,2,3,0,2,4,0,5,2,1,2,3
PA14_63900,12,14,12,10,12,12,11,15,15,15,13,18,18
PA14_63910,3,1,3,4,5,3,6,4,4,1,1,3,3
PA14_63920,0,4,9,4,4,3,2,3,2,3,4,5,1
PA14_63940,4,2,2,4,1,5,3,2,3,1,3,4,4
PA14_63960,14,3,11,5,9,7,9,5,6,7,7,17,21
PA14_63970,7,1,6,2,3,3,6,4,8,7,8,2,1
speA,39,39,62,56,86,58,86,71,93,92,54,27,41
PA14_64000,8,8,10,20,17,0,11,12,9,21,7,4,7
PA14_64010,25,12,25,19,9,26,21,21,17,30,9,11,11
PA14_64030,118,108,107,90,102,114,133,96,110,117,106,68,69
PA14_64050,56,36,16,19,17,37,33,35,16,20,24,17,10
PA14_64060,2,5,2,4,8,1,8,7,8,6,1,2,3
dipZ,6,8,7,3,7,10,13,10,11,15,8,15,16
aroQ1,45,49,33,38,41,50,42,40,45,52,69,70,87
accB,63,77,101,156,131,79,73,55,79,58,65,42,41
accC,279,243,295,346,393,351,318,204,321,243,216,121,150
PA14_64120,1,1,1,1,2,2,4,2,7,1,2,2,3
prmA,33,25,39,22,33,28,38,32,45,39,26,15,19
PA14_64170,14,16,17,11,16,37,40,39,32,35,25,26,25
PA14_64180,55,74,94,109,117,114,112,108,113,104,37,26,29
fis,6,19,22,15,43,20,17,21,19,16,10,2,11
purH,29,33,37,32,44,61,70,60,58,73,17,15,12
purD,13,13,29,9,14,29,37,33,29,51,6,5,5
retS,29,22,30,24,37,41,67,71,35,56,39,28,51
PA14_64240,5,3,5,5,5,1,4,5,5,8,3,3,3
PA14_64260,0,0,0,0,0,0,0,0,0,0,0,0,0
PA14_64270,8,7,7,8,13,5,7,5,7,2,8,6,9
PA14_64280,0,1,2,2,1,0,0,2,1,0,2,1,1
PA14_64290,0,2,1,3,1,1,2,1,2,2,0,0,1
PA14_64300,0,0,2,1,1,1,0,1,1,1,1,2,1
PA14_64310,1,2,1,1,0,0,0,0,0,2,1,1,0
PA14_64320,2,4,3,7,11,10,6,3,2,2,2,2,3
ureD,1,4,1,0,1,1,2,3,1,1,0,2,0
ureA,0,0,2,1,1,0,2,1,0,1,0,1,0
PA14_64360,0,0,5,0,3,2,3,2,0,1,1,0,0
ureB,1,0,1,0,0,2,4,1,3,0,2,0,0
ureC,16,8,18,20,22,11,11,9,14,20,4,13,9
PA14_64400,14,11,14,12,20,19,21,19,22,17,17,10,10
PA14_64410,10,7,11,19,15,10,20,22,20,8,15,18,13
PA14_64420,0,1,1,2,1,1,4,2,0,3,0,0,0
PA14_64430,11,16,19,11,17,16,12,19,12,11,8,4,5
PA14_64440,24,18,41,28,20,22,30,27,22,17,16,13,14
PA14_64450,12,15,21,15,19,28,19,21,24,16,10,5,11
PA14_64460,40,72,76,81,98,77,47,64,73,71,79,80,75
PA14_64470,2,3,4,8,4,2,8,6,5,4,3,1,7
