,WT_count,ClpV3-KO_count
PA5098,56,38.5
PA5099,7,7.5
PA5100,133.5,128.5
PA5101,65.5,24.5
PA5102,4.5,0
PA5103,339,284.5
PA5104,10.5,18
PA5105,48,48
PA5106,19,77.5
PA5107,267,136.5
PA5108,29,42.5
PA5109,23,22.5
PA5110,193.5,236.5
PA5111,42.5,31
PA5112,509,614
PA5113,20.5,56
PA5114,61.5,63
PA5115,3.5,3.5
PA5116,23.5,17.5
PA5117,99.5,119.5
PA5118,22,39
PA5119,1791,1999.5
PA5120,0,1
PA5121,46,25.5
PA5122,22,25
PA5123,9,11
PA5124,21,12
PA5125,50,41
PA5126,38,34
PA5127,7.5,19
PA5128,87.5,123
PA5129,0.5,1
PA5130,7.5,7
PA5131,72.5,58
PA5132,0,2.5
PA5133,90,58.5
PA5134,166,129
PA5135,0.5,3
PA5136,14,41
PA5137,10.5,38.5
PA5138,8.5,27.5
PA5139,8,14.5
PA5140,50.5,65
PA5141,16,20
PA5142,58.5,50
PA5143,79.5,91
PA5144,1,0
PA5145,14.5,19.5
PA5146,55,72
PA5147,10,28.5
PA5148,30.5,41.5
PA5149,11,18.5
PA5150,15.5,24
PA5151,0,0
PA5152,43.5,38
PA5153,82.5,262
PA5154,4,23
PA5155,3.5,13
PA5156,0,0
PA5157,1.5,1.5
PA5158,11,8.5
PA5159,5.5,8.5
PA5160,9,7.5
PA5161,219,99
PA5162,77,54.5
PA5163,119,145
PA5164,88,128.5
PA5165,28.5,23.5
PA5166,28.5,37.5
PA5167,163.5,151.5
PA5168,5.5,12.5
PA5169,11.5,49
PA5170,12983.5,20485
PA5171,11996.5,13356
PA5172,7428.5,8901
PA5173,2469,3119
PA5174,166,124.5
PA5175,26,41.5
PA5176,107,131.5
PA5177,5,6.5
PA5178,42971.5,22259
PA5179,4.5,8
PA5180,2.5,4.5
PA5181,38,18
PA5182,76.5,93.5
PA5183,1,1.5
PA5183.1,24.5,22
PA5184,8.5,6.5
PA5185,0,4
PA5186,12,10.5
PA5187,18,29
PA5188,9,10.5
PA5189,12.5,9
PA5190,9,10.5
PA5191,52,27.5
PA5192,174,290.5
PA5193,25,16
PA5194,9.5,20
PA5195,68.5,94
PA5196,10,7
PA5197,91,58
PA5198,42.5,49
PA5199,25.5,36
PA5200,73.5,86
PA5201,18,56.5
PA5202,0,1
PA5203,27,32
PA5204,23.5,18
PA5205,2.5,4.5
PA5206,104.5,116.5
PA5207,81.5,71.5
PA5208,273,356
PA5209,56.5,51
PA5210,528,330
PA5211,2.5,2
PA5212,319,224.5
PA5213,618.5,307.5
PA5214,72,53
PA5215,52,47
PA5216,0,0
PA5217,19.5,19.5
PA5218,10,4.5
PA5219,6.5,3.5
PA5220,156,108.5
PA5221,36,47
PA5222,6.5,7
PA5223,90,142
PA5224,246,531
PA5225,26,22.5
PA5226,6.5,16
PA5227,127.5,75
PA5228,5,11.5
PA5229,30,52.5
PA5230,208,375.5
PA5231,406.5,600.5
PA5232,593,845.5
PA5233,27.5,31.5
PA5234,44.5,32
PA5235,16,31
PA5236,4,26
PA5237,57.5,89
PA5238,22.5,9
PA5239,579.5,467
PA5240,399,632
PA5241,39,56.5
PA5242,1075.5,1608
PA5243,621,876.5
PA5244,0,2
PA5245,200,122
PA5246,4,4
PA5247,74.5,57
PA5248,6,2
PA5249,6,6
PA5250,34,25
PA5251,23.5,15
PA5252,42.5,38.5
PA5253,1146,920.5
PA5254,7.5,10
PA5255,1168.5,984
PA5256,4,4
PA5257,166,106
PA5258,348.5,389.5
PA5259,52,49
PA5260,142,143.5
PA5261,913,553.5
PA5262,511,369.5
PA5263,62.5,100.5
PA5264,47.5,30.5
PA5265,66.5,43
PA5266,15.5,38
PA5267,303.745,165.05
PA5268,10,24.5
PA5269,41,66.5
PA5270,26,39
PA5271,136.5,108.5
PA5272,95,114.5
PA5273,6,8
PA5274,13.5,6
PA5275,7,16.5
PA5276,0,0
PA5277,62,75.5
PA5278,20.5,22
PA5279,27,31.5
PA5280,8,3.5
PA5281,7.5,6
PA5282,0,0
PA5283,47.5,39.5
PA5284,0,2
PA5285,2312.5,1066
PA5286,6.5,0.5
PA5287,8.5,4
PA5288,1304.5,1190
PA5289,1,3.5
PA5290,6,8.5
PA5291,83.5,81
PA5292,17.5,11.5
PA5293,12.5,24.5
PA5294,0,0.5
PA5295,40.5,24.5
PA5296,22,37
PA5297,47.5,30
PA5298,10,10.5
PA5299,86,51
PA5300,41,50
PA5301,119.5,54
PA5302,52.5,47.5
PA5303,64,62
PA5304,949,1013
PA5305,49,24
PA5306,2,1.5
PA5307,45.5,39.5
PA5308,2,0.5
PA5309,7.5,5.5
PA5310,44.5,68.5
PA5311,4,3.5
PA5312,260,118.5
PA5313,62,9.5
PA5314,6.5,3.5
PA5315,29,22
PA5316,17.5,21.5
PA5317,58.5,72
PA5318,4,2.5
PA5319,140.5,108
PA5320,34,53
PA5321,30.5,33
PA5322,250.5,287
PA5323,163.5,203
PA5324,6.5,7.5
PA5325,4.5,1.5
PA5326,0.5,4
PA5327,10,3
PA5328,0,1
PA5329,18.5,4.5
PA5330,161,104.5
PA5331,30,51.5
PA5332,193.5,414.5
PA5333,13.5,16.5
PA5334,29.5,26.5
PA5335,19,10
PA5336,10.5,5
PA5337,26,29.5
PA5338,325,338
PA5339,119,238
PA5340,71,49
PA5341,0,1.5
PA5342,5,10
PA5343,6.5,5
PA5344,75.5,77.5
PA5345,51.5,88
PA5346,243.5,347
PA5347,7,10.5
PA5348,722.5,189.5
PA5349,104,82.5
PA5350,0,1.5
PA5351,3,3.5
PA5352,4.5,12
PA5353,10.5,63.5
PA5354,21,51.5
PA5355,168.5,273.5
PA5356,48.5,47.5
PA5357,1,0
PA5358,0,13.5
PA5359,260,127
PA5360,30.5,42
PA5361,15.5,8
PA5362,25.5,49.5
PA5363,72,50
PA5364,119,118.5
PA5365,23.5,33.5
PA5366,54,57
PA5367,9,3.5
PA5368,8,13
PA5369,24,23.5
PA5370,2.5,6
PA5371,273,141.5
PA5372,345.5,581.5
PA5373,850,1145
PA5374,107,161
PA5375,11.5,5.5
PA5376,57.5,62.5
PA5377,74.5,68.5
PA5378,177,212
PA5379,8,9
PA5380,53,83
PA5381,7,10
PA5382,4.5,2
PA5383,0,0
PA5384,0,0
PA5385,0,0
PA5386,2.5,0
PA5387,0,1
PA5388,12.5,1
PA5389,1.5,7
PA5390,0,4.5
PA5391,2.5,0
PA5392,0,1.5
PA5393,7.5,7.5
PA5394,22.5,14
PA5395,13.5,19.5
PA5396,24,16
PA5397,8,2
PA5398,61,52.5
PA5399,11,9.5
PA5400,0,1.5
PA5401,1.5,1.5
PA5402,2.5,1
PA5403,0,0
PA5404,0.5,0
PA5405,0,1.5
PA5406,5,4
PA5407,0,0
PA5408,1,1.5
PA5409,45.5,67
PA5410,41,28.5
PA5411,4,1.5
PA5412,75,73.5
PA5413,54,63.5
PA5414,35.5,18
PA5415,35.96,21.52
PA5416,9.5,18
PA5417,1.5,3
PA5418,83,58
PA5419,5,1
PA5420,10.5,16
PA5421,148.5,49.5
PA5422,194,114
PA5423,256,328
PA5424,157.5,158.5
PA5425,23.5,20.5
PA5426,6.5,5.5
PA5427,1582.5,2027.5
PA5428,18,13
PA5429,132,145.5
PA5430,10.5,11
PA5431,9.5,2
PA5432,0,3
PA5433,0.5,2.5
PA5434,2.5,13
PA5435,876,1496
PA5436,444.5,690
PA5437,2.5,9.5
PA5438,147,156.5
PA5439,243.5,254.5
PA5440,36.5,74.5
PA5441,40.5,85.5
PA5442,6.5,13
PA5443,99,147
PA5444,3,2.5
PA5445,31.5,43
PA5446,120,291.5
PA5447,153,139
PA5448,39,30
PA5449,23.5,35
PA5450,190.5,202
PA5451,20.5,33
PA5452,113,136
PA5453,68,98.5
PA5454,71,65.5
PA5455,41.5,41
PA5456,18,59
PA5457,2.5,8
PA5458,6,6.5
PA5459,7,25
PA5460,0.5,13
PA5461,197.5,142.5
PA5462,0,1
PA5463,2.5,1.5
PA5464,14.5,6
PA5465,4.5,5
PA5466,2,7
PA5467,2,0.5
PA5468,0,1
PA5469,1,3.5
PA5470,8.5,17
PA5471,7.5,6
PA5471.1,0,0
PA5472,28.5,31
PA5473,130.5,82.5
PA5474,57,48
PA5475,1957,2645
PA5476,5.5,11
PA5477,40,42.5
PA5478,19.5,25.5
PA5479,21,31.5
PA5480,0,0
PA5481,399.5,251
PA5482,2,3
PA5483,50,56.5
PA5484,47.5,43.5
PA5485,11,8
PA5486,3.5,6
PA5487,292.5,258
PA5488,167.5,143.5
PA5489,405,511.5
PA5490,913.5,1057.5
PA5491,6.5,9.5
PA5492,275.5,295
PA5493,110,127
PA5494,28,61.5
PA5495,120,220.5
PA5496,135.5,152.5
PA5497,623.5,540
PA5498,34,35.5
PA5499,25.5,57.5
PA5500,24,22
PA5501,15.5,14.5
PA5502,10,8
PA5503,19,13.5
PA5504,9,7.5
PA5505,377.5,499.5
PA5506,6,0
PA5507,6,0
PA5508,1.5,2
PA5509,0,1
PA5510,5.5,3.5
PA5511,16,22.5
PA5512,1,9
PA5513,32.5,30
PA5514,0.5,3.5
PA5515,13.5,20
PA5516,5,7
PA5517,2.5,0.5
PA5518,31.5,30.5
PA5519,6.5,13
PA5520,38,37.5
PA5521,89,52.5
PA5522,21,13
PA5523,20,7
PA5524,16.5,16.5
PA5525,16,5.5
PA5526,176,119.5
PA5527,851.5,346
PA5528,72.5,68
PA5529,35,25.5
PA5530,2,2
PA5531,25.5,16.5
PA5532,4.5,6.5
PA5533,2,4
PA5534,5,3
PA5535,13.5,10.5
PA5536,0,0
PA5537,5.5,0
PA5538,0,0
PA5539,0,0
PA5540,2,1
PA5541,0,2
PA5542,22,53.5
PA5543,7.5,5.5
PA5544,20.5,43
PA5545,85,94.5
PA5546,2055,868
PA5547,0.5,9.5
PA5548,3,0
PA5549,40,148
PA5550,14.5,18.5
PA5551,10.5,17.5
PA5552,180,190
PA5553,53,89.5
PA5554,2043.5,2882.5
PA5555,518,721
PA5556,1225.5,1443.5
PA5557,293,366.5
PA5558,526,617
PA5559,1128.5,1032.5
PA5560,468.5,444.5
PA5561,67,25.5
PA5562,172,221.5
PA5563,114,99
PA5564,29.5,20.5
PA5565,272.5,223.5
PA5566,0,0
PA5567,27.5,44.5
PA5568,246.5,386
PA5569,114.5,213
PA5570,2.5,14.5
