,WT1_S1,WT-plus-HOCl1_S2,WT-plus-OSCN1_S3,mutant1_S4,mutant-plus-HOCl1_S5,mutant-plus-OSCN1_S6,WT2_S7,WT-plus-HOCl2_S8,WT-plus-OSCN2_S9,mutant2_S10,mutant-plus-HOCl2_S11,mutant-plus-OSCN2_S12
PA14_RS01665,452,507,447,572,446,532,441,317,450,489,379,357
PA14_RS01670,144,194,136,218,196,211,132,168,172,147,156,163
PA14_RS01675,423,556,554,571,561,668,345,484,564,426,438,502
PA14_RS01680,"3,754","5,452","4,959","3,920","4,915","6,864","3,439","5,186","4,517","3,456","5,067","5,373"
PA14_RS01685,"2,789","3,239","2,267","3,988","2,949","6,680","2,235","2,566","2,733","2,361","1,983","2,198"
PA14_RS01690,"1,940","2,223","1,460","2,561","2,131","3,149","1,876","1,775","1,988","2,012","1,663","1,776"
PA14_RS01695,"2,462","2,362","2,096","2,450","2,329","2,863","2,938","2,427","3,133","3,555","2,767","2,882"
PA14_RS01700,"1,112","1,228","1,104","1,428","1,305","1,500","1,005","1,089","1,303","1,262","1,056","1,017"
PA14_RS01705,115,196,145,137,183,127,152,303,158,137,144,134
PA14_RS01710,151,159,133,183,154,61,133,114,87,106,69,63
PA14_RS01715,149,165,125,184,145,76,157,117,108,138,71,80
PA14_RS01720,157,127,111,172,143,68,118,115,120,121,109,82
PA14_RS01725,32,29,31,45,46,18,21,14,11,15,16,15
PA14_RS01730,40,56,42,72,64,16,31,37,38,45,22,15
PA14_RS01735,64,78,81,100,104,56,67,54,30,56,50,35
PA14_RS30010,115,106,128,204,245,130,230,108,73,184,106,96
PA14_RS01740,131,204,171,219,213,181,153,192,138,132,137,121
PA14_RS01745,528,703,699,844,653,417,354,383,313,337,260,273
PA14_RS01750,"1,516","1,984","1,394","1,138","1,552","1,573","1,075","1,272","1,039","1,001","1,096","1,049"
PA14_RS01755,722,788,576,"1,035",778,890,543,633,499,592,483,480
PA14_RS01760,"1,423","1,642","1,175","1,971","1,466","1,615",993,973,897,931,749,783
PA14_RS01765,336,337,254,315,288,238,263,276,255,310,260,267
PA14_RS01770,278,327,301,295,311,271,253,270,288,287,255,232
PA14_RS01775,197,242,193,231,234,148,177,158,145,168,174,128
PA14_RS01780,170,192,131,199,165,303,110,107,105,134,94,124
PA14_RS01785,342,367,268,461,321,664,238,198,263,258,202,189
PA14_RS01790,"6,373","6,650","6,201","7,081","6,175","6,124","6,995","6,679","7,098","8,502","7,370","8,247"
PA14_RS01795,"8,209","8,976","8,879","10,273","9,325","7,411","9,105","8,504","9,845","10,362","8,408","8,424"
PA14_RS01800,507,598,635,733,759,479,468,487,481,527,517,423
PA14_RS01805,450,438,311,508,408,334,396,321,363,443,350,334
PA14_RS01810,224,323,219,312,251,356,171,176,163,193,140,135
PA14_RS01815,443,500,415,538,439,672,328,334,350,328,260,338
PA14_RS01820,910,952,776,"1,259","1,032","1,294",605,630,632,630,565,647
PA14_RS01825,564,599,588,720,625,426,488,364,518,524,368,394
PA14_RS01830,751,698,729,836,755,511,772,537,785,833,555,651
PA14_RS01835,423,393,357,399,346,374,494,359,626,572,363,438
PA14_RS01840,152,200,131,167,134,190,138,121,156,165,108,142
PA14_RS01845,32,31,35,52,28,24,29,35,22,40,17,29
PA14_RS01850,103,115,83,132,113,131,92,122,130,115,93,91
PA14_RS01855,50,67,42,59,48,41,51,40,36,52,44,42
PA14_RS01860,84,105,72,114,85,162,67,61,48,53,61,49
PA14_RS01865,436,464,521,591,532,391,502,443,563,562,468,503
PA14_RS01870,191,294,163,265,291,465,210,280,190,181,175,193
PA14_RS01875,"3,302","3,450","2,942","4,672","3,896","4,548","3,848","3,488","3,569","3,666","3,414","4,049"
PA14_RS01880,730,527,678,866,524,"1,695",963,626,"1,193","1,196",477,937
PA14_RS01885,"2,471","1,068","2,270","2,092",955,"1,197","4,813","1,509","4,367","5,746","1,487","3,977"
PA14_RS01890,330,462,451,534,470,464,260,380,373,287,313,307
PA14_RS01895,983,"1,102",930,"1,255",921,"1,325",535,565,527,487,429,546
PA14_RS01900,213,273,231,352,311,270,124,215,112,128,126,124
PA14_RS01905,"1,842","2,081","1,945","2,492","2,633","1,914","2,174","1,883","2,050","2,190","1,917","2,184"
PA14_RS01910,"1,767","1,755","1,666","2,054","1,652","1,346","1,283","1,156","1,578","1,565","1,082","1,093"
PA14_RS01915,290,408,266,497,497,579,433,495,211,352,360,210
PA14_RS01920,424,546,384,554,511,560,405,408,416,439,346,398
PA14_RS01925,433,545,468,625,605,694,380,394,303,387,318,329
PA14_RS01930,731,975,603,"1,059",854,"1,388",468,492,350,431,313,360
PA14_RS01935,575,564,422,710,540,258,"1,106",795,724,904,521,525
PA14_RS01940,326,312,263,386,302,160,958,545,653,829,338,384
PA14_RS01945,600,625,457,722,485,418,"2,349","1,142","1,527","1,891",702,800
PA14_RS01950,414,510,431,606,486,548,472,446,447,483,301,294
PA14_RS01955,411,422,424,543,558,349,581,441,414,587,480,477
PA14_RS01960,435,463,470,531,513,438,395,395,438,456,450,396
PA14_RS01965,299,326,281,349,315,200,206,207,288,268,206,229
PA14_RS01970,590,693,512,707,615,359,521,387,473,490,401,450
PA14_RS01975,897,"1,035",802,"1,164","1,023",761,873,600,712,802,729,860
PA14_RS01980,"1,056","1,272",928,"1,534","1,155","1,112",842,772,885,794,739,926
PA14_RS01985,"1,984","2,313","2,126","2,639","2,321","2,941","1,985","1,909","2,285","2,202","1,785","2,005"
PA14_RS01990,"1,459","1,783","1,243","2,013","1,764","1,701","1,466","1,245","1,301","1,574","1,303","1,462"
PA14_RS01995,"1,123","1,265","1,279","1,502","1,482","1,191","1,176","1,072","1,089","1,304","1,135","1,284"
PA14_RS02000,"11,406","12,754","11,284","12,949","11,780","27,153","11,359","13,740","13,399","12,225","12,453","15,331"
PA14_RS02005,633,722,661,762,668,620,274,263,280,256,240,280
PA14_RS02010,109,142,106,149,156,207,76,139,97,78,94,83
PA14_RS02015,373,370,237,484,348,624,213,210,173,223,170,216
PA14_RS02020,102,144,93,140,130,196,89,99,76,94,62,50
PA14_RS02025,523,624,442,747,651,"1,094",413,589,438,413,447,478
PA14_RS02030,368,514,368,540,512,618,307,458,270,287,332,378
PA14_RS02035,59,85,60,69,91,73,69,76,62,72,77,73
PA14_RS02040,72,95,82,98,83,84,63,88,63,75,61,51
PA14_RS02045,137,209,157,234,192,155,79,90,93,95,101,82
PA14_RS02050,105,108,71,144,121,95,63,93,94,59,89,72
PA14_RS02055,921,772,961,"1,081",868,545,942,771,"1,480","1,231","1,057",989
PA14_RS02060,"1,864","1,789","1,960","2,477","2,108","1,249","2,305","1,790","2,326","2,610","2,382","2,172"
PA14_RS02065,256,291,204,355,319,259,236,228,153,235,211,219
PA14_RS02070,266,346,232,408,370,445,163,269,118,150,192,120
PA14_RS02075,555,718,730,837,742,565,506,448,523,544,432,523
PA14_RS02080,710,828,865,"1,090",919,"1,137",724,616,"1,014",893,756,"1,039"
PA14_RS02085,"1,672","2,093","1,768","2,311","2,136","2,563","1,468","1,448","1,837","1,728","1,656","2,497"
PA14_RS02090,"1,008","1,207",918,"1,213","1,121","1,717",908,896,"1,078","1,082","1,031","1,457"
PA14_RS02095,"1,041","1,225","1,109","1,424","1,244","1,856",849,931,"1,087","1,019",923,"1,223"
PA14_RS02100,"1,036","1,202","1,087","1,349","1,226","1,819",744,870,719,801,672,878
PA14_RS02105,855,"1,018","1,037","1,219","1,131","1,084",887,845,730,790,769,884
PA14_RS02110,359,429,432,444,370,387,398,352,519,460,413,368
PA14_RS02115,546,697,350,575,450,395,361,328,372,383,313,379
PA14_RS02120,"1,231","1,954","1,375","1,682","1,656","3,768","1,107","1,247","1,245","1,045","1,028","1,144"
PA14_RS02125,806,"1,330",856,"1,035","1,124","1,214",574,658,602,553,517,619
PA14_RS02130,"2,028","2,198","1,857","2,895","2,280","1,472","2,095","1,503","2,121","2,211","1,971","1,964"
PA14_RS02135,"1,209","1,430","1,063","1,697","1,354",934,946,751,"1,076",955,886,"1,011"
PA14_RS02140,607,619,587,697,614,394,562,394,622,562,550,478
PA14_RS02145,525,557,568,662,632,656,490,465,597,545,475,556
PA14_RS02150,878,895,896,"1,134","1,012","1,080",852,717,765,830,828,823
PA14_RS02155,279,374,331,445,335,372,171,185,177,194,183,181
PA14_RS02160,"1,542","1,739","1,362","1,799","1,576","1,723","1,276","1,282","1,392","1,380","1,127","1,358"
PA14_RS02165,"1,706","1,971","2,246","2,836","2,652","1,906","1,938","1,395","1,616","2,103","1,719","1,599"
PA14_RS02170,"1,588","1,737","1,865","2,171","1,801","1,109","1,139","1,038","1,271","1,171","1,246","1,342"
PA14_RS02175,"1,451","1,805","1,539","2,029","1,671",860,848,879,"1,332","1,000","1,025","1,029"
PA14_RS02180,"5,842","6,324","5,612","8,759","7,520","2,673","5,333","4,531","6,179","6,759","6,323","4,485"
PA14_RS02185,"1,538","1,865","1,687","2,508","2,183",613,"1,486","1,220","2,071","2,700","2,051","1,366"
PA14_RS02190,"7,225","7,473","6,490","9,408","8,495","2,389","7,701","6,575","8,798","10,148","7,794","4,880"
PA14_RS02195,788,875,836,"1,066",977,272,853,679,948,996,780,505
PA14_RS02200,302,303,302,348,357,122,346,240,300,359,245,191
PA14_RS02205,230,263,219,299,277,86,222,153,235,251,205,156
PA14_RS02210,27,33,41,32,27,28,30,23,29,30,24,20
PA14_RS02215,605,694,559,718,613,544,608,503,534,544,435,479
PA14_RS02220,191,215,218,275,250,372,160,196,172,163,146,146
PA14_RS02225,952,"1,049",891,"1,151",941,"1,224",908,854,899,922,690,754
PA14_RS30015,73,107,79,114,98,131,41,52,28,33,34,45
PA14_RS02230,"1,108","1,578","1,128","1,429","1,297","1,701",845,"1,050","1,016",812,743,867
PA14_RS02235,"2,268","4,217","2,948","3,274","4,429","2,585","2,397","3,777","2,116","1,964","3,030","2,075"
PA14_RS02240,"15,692","29,427","22,088","19,461","28,381","16,011","17,023","33,402","21,606","14,443","26,700","18,663"
PA14_RS02245,141,271,196,305,411,334,226,254,171,302,253,241
PA14_RS02250,"1,371","2,070","1,340","1,988","1,962","3,582","1,385","1,937","1,477","1,479","1,767","1,455"
PA14_RS02255,"3,695","5,533","3,794","5,326","5,893","5,898","3,913","5,244","5,000","4,796","6,043","5,280"
PA14_RS02260,"2,435","3,244","2,545","3,341","3,608","2,976","2,746","3,357","3,379","3,233","3,698","3,403"
PA14_RS02265,"3,980","4,036","2,736","5,706","4,505","3,366","3,250","2,990","2,933","3,268","3,358","3,110"
PA14_RS02270,"1,997","2,344","2,050","3,622","2,971","1,741","1,995","1,699","1,629","1,977","1,700","1,671"
PA14_RS02275,901,"1,154",769,"1,399","1,211",748,868,969,960,921,"1,058",976
PA14_RS02280,613,877,701,"1,229",965,752,658,746,712,651,715,799
PA14_RS02285,"3,842","4,427","3,291","6,144","4,813","8,122","4,001","4,044","3,299","3,820","3,698","4,519"
PA14_RS02290,113,119,107,154,110,180,62,67,75,96,62,88
PA14_RS02295,72,247,103,94,221,188,61,109,87,49,76,73
PA14_RS02300,129,209,143,157,205,126,142,130,214,186,131,163
PA14_RS02305,"1,721","1,952","1,837","2,417","2,036","1,429","1,636","1,442","1,699","1,775","1,337","1,474"
PA14_RS02310,87,131,97,128,130,173,100,91,70,80,105,110
PA14_RS02315,41,59,25,48,55,109,38,43,21,22,25,33
PA14_RS30020,0,3,1,3,1,3,0,1,3,2,1,4
PA14_RS02320,327,150,132,215,155,52,227,108,138,212,95,56
PA14_RS02325,212,137,121,218,120,27,223,86,132,194,68,65
PA14_RS02330,"1,206",697,829,"1,423",754,415,"1,147",513,795,"1,143",423,435
PA14_RS30025,8,4,4,5,4,8,2,6,1,0,7,6
PA14_RS02335,35,22,31,72,61,36,44,18,21,44,32,35
PA14_RS02340,138,108,130,151,124,102,110,94,90,130,54,61
PA14_RS02345,226,181,162,263,165,172,215,143,186,218,113,107
PA14_RS02350,"3,166","2,848","1,552","3,616","2,644","1,793","4,337","3,550","1,359","4,105","3,107","1,364"
PA14_RS02355,"15,618","12,145","7,966","14,770","10,312","8,802","19,357","14,087","7,040","18,504","10,673","6,507"
PA14_RS02360,431,548,313,488,481,"1,165",403,592,485,542,542,416
PA14_RS02365,"2,781","3,086","2,447","3,386","3,181","8,133","2,638","3,150","2,431","2,978","3,448","5,284"
PA14_RS02370,61,61,45,57,70,61,68,57,49,63,73,43
PA14_RS02375,149,137,178,152,147,157,141,200,268,268,272,228
PA14_RS02380,180,164,213,208,166,198,150,167,188,222,184,167
PA14_RS02385,175,198,184,259,188,214,163,158,172,220,161,133
PA14_RS02390,586,660,562,810,788,618,478,547,416,524,449,468
PA14_RS02395,"1,294","1,344","1,067","1,524","1,330","1,378","1,332","1,232","1,611","1,643","1,422","1,481"
PA14_RS02400,"26,741","24,174","21,273","37,026","27,254","30,212","20,013","15,427","14,718","20,448","12,393","17,037"
PA14_RS02405,392,366,359,552,420,511,210,216,166,186,158,165
PA14_RS02410,617,664,484,707,559,442,517,403,616,588,415,470
PA14_RS30030,8,9,3,1,7,3,3,4,4,5,6,2
PA14_RS02415,"5,418","6,145","5,580","7,086","5,661","1,285","4,700","3,610","4,856","4,650","4,254","2,863"
PA14_RS02420,"3,523","4,183","4,974","4,356","3,604","3,485","2,670","3,140","4,491","3,215","3,412","3,773"
PA14_RS02425,"1,018","1,135","1,004","1,102",956,"1,183",902,923,889,834,720,844
PA14_RS02430,"1,601","1,613","1,962","1,941","1,502","1,954","1,435","1,432","1,772","1,547","1,430","1,813"
PA14_RS02435,388,479,451,530,423,511,306,362,408,287,320,339
PA14_RS02440,377,493,454,504,467,448,340,398,401,357,359,370
PA14_RS02445,131,151,148,186,192,125,161,129,140,190,162,159
PA14_RS02450,28,20,31,28,21,20,22,12,28,19,28,19
PA14_RS02455,5,6,1,4,4,3,2,10,6,2,3,7
PA14_RS02460,211,231,205,239,210,171,208,165,280,221,170,184
PA14_RS02465,386,354,403,452,434,410,469,377,517,577,445,465
PA14_RS02470,"1,318","1,419","1,394","1,325","1,441","1,510","1,823","1,843","2,237","2,197","1,926","2,063"
PA14_RS30035,551,566,440,592,573,456,628,654,996,878,662,693
PA14_RS02475,217,209,176,332,223,180,180,129,148,192,142,170
PA14_RS02480,504,420,318,658,446,391,346,212,302,332,174,350
PA14_RS02485,376,319,257,506,466,440,313,183,242,399,165,369
PA14_RS02490,350,367,242,414,351,254,317,214,201,332,204,191
PA14_RS02495,54,79,54,59,86,390,99,136,114,121,190,233
PA14_RS02500,152,185,138,165,153,300,167,155,178,165,154,248
PA14_RS02505,135,181,97,154,137,111,192,140,134,183,93,106
PA14_RS02510,167,184,171,258,202,240,177,150,166,213,171,223
PA14_RS02515,191,182,169,199,193,145,151,165,157,156,128,168
PA14_RS02520,499,568,394,548,478,587,577,583,582,630,488,661
PA14_RS02525,111,108,90,103,106,56,135,141,87,108,110,101
PA14_RS02530,170,215,190,218,165,218,137,175,164,162,157,96
PA14_RS02535,"9,808","10,677","6,939","12,029","10,239","10,126","12,017","10,486","8,345","10,939","6,489","7,485"
PA14_RS02540,196,246,183,238,230,130,205,204,172,217,196,184
PA14_RS02545,642,774,700,742,723,399,650,811,862,745,634,584
PA14_RS02550,439,563,405,623,565,776,257,368,328,280,303,355
PA14_RS02555,771,788,666,851,799,954,822,757,945,"1,088",771,887
PA14_RS02560,565,571,563,631,641,592,589,515,618,605,537,584
PA14_RS02565,150,151,110,110,135,117,125,115,101,160,114,136
PA14_RS02570,55,48,62,55,54,33,42,54,72,58,62,51
PA14_RS02575,342,378,495,458,376,383,325,297,352,391,301,436
PA14_RS02580,151,192,143,205,199,325,173,135,138,151,108,189
PA14_RS02585,96,122,112,169,187,193,134,109,79,100,109,143
PA14_RS02590,135,143,158,204,205,135,149,161,148,134,159,171
PA14_RS02595,524,557,506,758,706,384,477,529,491,447,504,592
PA14_RS02600,415,430,380,660,559,276,424,422,427,409,425,456
PA14_RS02605,"1,090",965,"1,005","1,158",965,531,861,"1,057",964,804,948,804
PA14_RS30040,19,27,17,33,29,26,22,24,27,37,27,15
PA14_RS02615,"7,556","10,503","5,967","7,551","9,694","3,470","9,740","10,162","8,635","10,120","10,028","5,128"
PA14_RS02620,998,"1,509",786,"1,135","1,596",535,"1,126","1,457",952,"1,154","1,471",644
PA14_RS02625,422,766,428,458,749,258,470,592,397,455,660,284
PA14_RS02630,282,557,269,343,561,157,335,463,294,315,434,176
PA14_RS02635,208,388,173,225,351,110,188,281,140,151,230,125
PA14_RS02640,751,937,893,934,"1,054",905,982,913,775,986,914,826
PA14_RS02645,"12,226","14,968","8,535","12,940","12,390","17,988","14,987","17,255","18,906","16,253","18,173","20,539"
PA14_RS02650,558,580,322,605,527,430,828,711,651,729,492,546
PA14_RS30045,6,0,7,15,10,10,16,8,5,18,16,10
PA14_RS02655,"3,320","5,205","1,774","3,210","4,040","7,524","5,063","6,477","4,468","4,398","5,573","6,729"
PA14_RS02660,"1,241","1,192",948,"2,121","1,291",120,747,328,461,819,338,91
PA14_RS02665,493,400,312,716,482,35,293,135,227,346,163,38
PA14_RS02670,"1,377","1,173",962,"2,258","1,426",122,"1,050",426,633,"1,193",557,114
PA14_RS02675,468,373,328,708,459,44,317,141,308,443,198,48
PA14_RS02680,418,374,288,654,394,42,230,110,224,296,149,34
PA14_RS02685,648,500,389,901,520,38,392,150,340,501,251,48
PA14_RS02690,751,566,402,"1,032",606,51,470,163,428,598,300,69
PA14_RS02695,"2,448","2,026","1,355","3,690","2,072",155,"1,353",572,"1,059","1,616",914,215
PA14_RS02700,"2,112","1,370","1,194","2,737","1,417",93,"1,053",438,"1,183","1,546",646,174
PA14_RS02705,"3,491","2,362","1,930","4,063","2,477",191,"1,539",655,"1,452","1,972","1,032",316
PA14_RS02710,"27,769","19,719","17,706","41,351","21,209","1,706","14,307","5,417","13,831","15,310","9,013","3,891"
PA14_RS02715,"1,139",895,775,"1,217",896,339,611,516,685,723,596,406
PA14_RS02720,425,331,212,486,350,90,139,107,165,215,135,71
PA14_RS02725,62,48,37,93,55,15,22,7,32,36,17,11
PA14_RS02730,"5,340","4,069","2,758","7,406","4,907","1,099","3,015","1,639","3,247","3,996","3,093","1,294"
PA14_RS02735,"4,923","3,569","2,405","6,497","3,905",740,"2,103","1,200","2,721","2,641","2,015",769
PA14_RS02740,"1,387","1,019",581,"1,714","1,040",172,678,397,567,818,542,157
PA14_RS02745,"2,437","1,783","1,671","2,894","1,968",460,"1,648",684,"1,606","2,083","1,296","1,047"
PA14_RS02750,"1,656","1,542","1,405","2,710","1,681",853,"1,184",565,"1,229","1,257",853,928
PA14_RS02755,145,152,124,141,138,242,113,100,108,137,98,130
PA14_RS02760,"1,266","1,366","1,890","2,032","2,074","1,093","1,187","1,041","1,626","1,507","1,980","1,974"
PA14_RS02765,391,462,515,534,463,164,238,260,479,327,383,361
PA14_RS02770,"1,333","1,221","1,142","1,439","1,234",483,714,805,"1,171","1,035","1,127",886
PA14_RS02775,719,704,752,964,799,362,644,667,746,901,945,602
PA14_RS30050,89,101,88,57,87,55,100,126,52,93,37,72
PA14_RS02785,491,604,456,579,517,535,420,396,492,468,370,426
PA14_RS30055,35,38,22,46,35,23,31,20,33,32,21,24
PA14_RS02790,445,248,184,462,288,464,629,198,289,715,186,363
PA14_RS02795,261,238,242,314,233,281,268,177,243,289,133,198
PA14_RS02800,841,942,935,"1,024",916,919,900,865,"1,109",936,797,820
PA14_RS02805,"1,486","1,584","1,471","1,798","1,484","1,839","1,410","1,420","1,591","1,416","1,341","1,536"
PA14_RS02810,440,452,437,510,424,611,304,293,378,298,263,330
PA14_RS02815,65,82,106,103,115,175,102,82,112,114,108,97
PA14_RS02820,177,268,194,244,205,195,146,175,148,146,179,161
PA14_RS02825,184,230,236,274,218,316,115,155,172,121,123,138
PA14_RS02830,"2,646","2,163","2,290","3,066","2,070","1,729","2,020","1,225","2,167","2,132","1,340","1,442"
PA14_RS02835,206,163,215,206,170,150,255,214,371,354,240,292
PA14_RS02840,338,347,244,488,280,321,208,127,178,239,142,142
PA14_RS02845,"1,899","1,783","2,297","2,338","2,053",449,"2,150","1,270","2,993","3,082","2,328","1,700"
PA14_RS02850,959,"1,595",925,"1,273","1,676","6,139","1,532","2,226","1,242","1,309","1,628","1,704"
PA14_RS02855,191,436,236,283,475,"3,112",249,457,167,200,304,288
PA14_RS02860,"1,920","2,420","1,840","2,725","2,316","6,529","1,951","2,075","2,056","2,050","1,753","2,418"
PA14_RS02865,516,647,608,682,665,"1,086",589,605,786,679,643,862
PA14_RS02870,107,117,73,121,111,120,92,77,62,70,62,61
PA14_RS02875,609,745,535,825,661,"1,260",493,484,395,497,446,571
PA14_RS02880,"1,390","1,679","1,504","1,913","1,619","2,126","1,344","1,300","1,687","1,527","1,405","1,463"
PA14_RS02885,643,555,719,647,461,439,964,484,898,"1,070",548,825
PA14_RS02890,652,724,708,905,655,724,988,662,863,"1,091",639,809
PA14_RS02895,"4,675","4,716","4,246","5,855","4,496","5,648","4,270","3,735","4,276","3,982","3,187","4,028"
PA14_RS02900,325,303,251,419,299,256,217,157,234,227,185,194
PA14_RS30060,25,58,66,36,43,70,55,69,31,74,61,63
PA14_RS02910,283,317,245,358,264,430,294,238,254,265,225,228
PA14_RS02915,82,142,127,149,142,278,103,138,96,115,93,94
PA14_RS02920,286,376,284,479,323,511,280,246,278,397,280,279
PA14_RS02925,659,754,637,"1,024",722,638,468,434,538,646,455,489
PA14_RS02930,171,193,138,232,165,243,116,97,129,127,88,99
PA14_RS02935,"2,190","2,577","1,971","2,840","2,224","1,129","2,051","1,109","1,500","1,900",937,924
PA14_RS02940,117,145,92,0,0,0,85,79,69,0,0,0
PA14_RS02945,109,"5,543","56,611",185,181,135,130,"12,552","68,594",210,131,149
PA14_RS02950,274,321,234,310,283,290,306,245,319,360,276,273
PA14_RS02955,"1,033","1,096","4,728","1,182",570,672,"1,942","1,480","6,919","2,245",667,"1,420"
PA14_RS02960,240,269,249,332,263,196,300,210,275,323,233,239
PA14_RS02965,165,186,153,197,177,148,199,140,143,187,124,123
PA14_RS02970,105,113,99,119,109,88,107,73,87,116,74,73
PA14_RS02975,223,221,170,273,210,179,206,203,219,275,193,191
PA14_RS02980,"1,598","2,013","1,545","2,291","1,737",926,"1,449","1,269","1,666","1,324","1,022","1,232"
PA14_RS30065,16,12,17,30,16,10,14,13,11,9,9,6
PA14_RS02985,102,96,80,113,122,86,100,103,84,98,82,84
PA14_RS02990,730,824,678,992,825,624,716,767,809,780,675,711
PA14_RS30070,139,212,150,193,208,153,152,193,82,135,113,92
PA14_RS02995,98,138,86,154,165,205,63,161,79,92,100,75
PA14_RS03000,"4,776","5,788","4,025","6,265","5,120","5,016","4,088","4,068","4,080","4,579","3,973","3,744"
PA14_RS03005,348,427,411,504,466,246,368,484,335,348,381,376
PA14_RS03010,"13,426","16,408","11,806","19,919","16,725","48,201","11,789","13,842","16,466","17,281","13,741","31,927"
PA14_RS03015,"1,931","2,723","1,828","2,786","2,923","4,859","2,044","2,855","1,721","2,220","1,936","3,009"
PA14_RS03020,333,488,316,451,570,"1,063",187,807,219,188,295,196
PA14_RS03025,"1,973","2,486","2,142","2,960","2,851","6,829","1,207","3,339","1,006","1,185","1,571","1,122"
PA14_RS03030,304,475,335,390,449,704,276,467,288,333,375,231
PA14_RS03035,561,563,547,690,699,486,720,587,608,789,654,632
PA14_RS03040,98,147,82,118,126,253,65,114,61,100,93,84
PA14_RS03045,252,363,239,316,304,406,132,219,184,158,208,209
PA14_RS03050,"1,020","1,103",971,"1,294","1,052","1,279","1,436","1,242","1,382","1,709","1,291","1,479"
