,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS02480,23621,18918,17975,19440
CHF17_RS02485,2484,2541,1879,2207
CHF17_RS02490,3327,2825,2622,2263
CHF17_RS02495,80502,47698,44974,68319
CHF17_RS02500,11011,7211,6342,12534
CHF17_RS02505,2766,3429,2420,2909
CHF17_RS02510,3190,4769,3275,3866
CHF17_RS02515,12421,13333,11460,10576
CHF17_RS02520,11191,10621,8782,10072
CHF17_RS02525,637,588,514,531
CHF17_RS02530,3414,2885,3103,4592
CHF17_RS02535,10798,9808,11114,18644
CHF17_RS02540,1413,1558,1815,3635
CHF17_RS02545,1381,1422,1747,3876
CHF17_RS02550,20075,19868,24698,45001
CHF17_RS02555,3916,4693,4454,6842
CHF17_RS02560,11826,10125,8382,7657
CHF17_RS02565,186,160,185,132
CHF17_RS02570,2769,2572,2628,2500
CHF17_RS02575,174,152,135,148
CHF17_RS02580,3473,2111,2470,1707
CHF17_RS02585,6026,5179,4414,5077
CHF17_RS02590,19538,24831,21051,21702
CHF17_RS02595,4807,5652,5016,4907
CHF17_RS02600,16014,11169,12769,14906
CHF17_RS02605,261,209,224,236
CHF17_RS02610,3587,2977,2495,2924
CHF17_RS02615,5300,5178,3470,5175
CHF17_RS02620,3383,3108,2343,4333
CHF17_RS02625,14400,6884,9689,9174
CHF17_RS02630,993,426,707,855
CHF17_RS02635,2848,1313,2074,2845
CHF17_RS02640,5950,6253,5214,5249
CHF17_RS02645,3600,3013,2894,2175
CHF17_RS02650,372,192,252,150
CHF17_RS02655,115847,78495,78662,92750
CHF17_RS02660,903,2110,711,910
CHF17_RS02665,1218,2221,1253,1343
CHF17_RS02670,13209,11191,11153,10566
CHF17_RS02675,9669,10063,10783,13477
CHF17_RS02680,7779,8800,10569,11671
CHF17_RS02685,2780,1695,1881,2087
CHF17_RS02690,19874,13181,14575,14250
CHF17_RS02695,34689,23028,22624,22868
CHF17_RS02700,4658,2553,4306,4046
CHF17_RS02705,9,7,8,16
CHF17_RS02710,2030,498,1359,1121
CHF17_RS02715,12,5,6,7
CHF17_RS02720,382,87,244,254
CHF17_RS02725,720,172,463,564
CHF17_RS02730,908,231,613,776
CHF17_RS02735,1012,293,708,962
CHF17_RS02740,502,160,390,515
CHF17_RS02745,300,134,225,313
CHF17_RS02750,148,88,116,164
CHF17_RS02755,10754,6065,7820,7005
CHF17_RS02760,2957,2403,1831,2356
CHF17_RS02765,6026,6058,4558,4697
CHF17_RS02770,935,847,532,901
CHF17_RS02775,3078,2521,2081,2494
CHF17_RS02780,23019,30789,27758,39403
CHF17_RS02785,6365,6731,4950,7205
CHF17_RS02790,262,1725,253,319
CHF17_RS02795,78,555,99,116
CHF17_RS02800,381,3388,524,713
CHF17_RS02805,857,6409,1143,1458
CHF17_RS02810,232,1162,250,256
CHF17_RS02815,961,1172,892,1017
CHF17_RS02820,333,1261,275,379
CHF17_RS02825,198,806,183,228
CHF17_RS02830,267,1049,283,351
CHF17_RS02835,310,1178,334,379
CHF17_RS02840,669,1596,660,600
CHF17_RS02845,2760,5486,2281,2204
CHF17_RS02850,363,2616,360,388
CHF17_RS02855,4202,34805,2481,3785
CHF17_RS02860,2214,2445,1416,1767
CHF17_RS02865,4578,3922,2759,3768
CHF17_RS02870,420073,471173,364874,269381
CHF17_RS02875,29,39,20,46
CHF17_RS02880,661,438,539,822
CHF17_RS02885,1011,702,657,1131
CHF17_RS02890,1880,1375,1093,1762
CHF17_RS02895,81,119,49,112
CHF17_RS02900,421,532,270,480
CHF17_RS02905,1992,1853,1151,2116
CHF17_RS02910,111954,89117,74091,85823
CHF17_RS02915,616,327,416,382
