Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS05865,8842,12831,10706,9278,11181,9597,8363,10017,8488,7860,13179,7626
GALLO_RS05870,5205,5976,6535,6509,5496,5877,6145,4941,6727,6198,7698,5741
GALLO_RS05875,21,36,52,37,33,33,31,38,45,27,32,32
GALLO_RS05880,35,41,51,38,46,49,43,28,36,35,54,49
GALLO_RS05885,8,10,4,8,7,11,5,6,7,7,9,5
GALLO_RS05890,10,13,23,24,32,32,20,10,22,15,30,16
GALLO_RS05895,1589,2437,1419,1231,1814,1130,1247,1852,967,1118,2319,1000
GALLO_RS05900,1624,2652,1475,1157,1907,1205,1274,1989,1082,1196,2553,1092
GALLO_RS05905,1606,2295,1192,1354,1684,1036,1463,1837,929,1312,2339,980
GALLO_RS05910,18881,24217,39890,26415,20561,28806,31183,19455,41004,28718,33781,31377
GALLO_RS05915,587,891,1092,762,791,806,622,694,961,659,1210,861
GALLO_RS05920,15977,27137,13800,13843,21503,13274,12795,20117,9220,12556,26572,7885
GALLO_RS05925,652,698,703,906,634,680,858,557,695,802,866,598
GALLO_RS05930,3240,3581,3977,4383,3322,3551,4548,3263,4110,4080,4927,3519
GALLO_RS05935,15403,17651,19217,22274,15569,17652,20662,14833,20131,20438,22450,16607
GALLO_RS05940,46947,47397,53194,51236,36656,41709,64906,38425,64164,58455,56436,48964
GALLO_RS05945,12005,16456,22212,14748,13023,16196,13614,13463,17807,13527,22265,17369
GALLO_RS05960,4746,3173,5015,8258,3216,4346,9420,2799,7118,8324,5530,5188
GALLO_RS05965,4331,2924,4529,7730,2987,3800,8704,2549,6575,7838,4963,4832
GALLO_RS05970,7001,4533,6632,11296,4598,5652,13268,4067,9401,11343,7891,6818
GALLO_RS05975,20483,20687,23622,25007,18850,18214,29079,17235,27468,26944,29805,21603
GALLO_RS05980,4349,3173,3426,5901,2776,2716,6665,2636,3777,5614,4396,3213
GALLO_RS05985,1457,1500,1532,1915,1438,1514,2048,1387,1623,1940,2141,1340
GALLO_RS05990,2204,2914,3400,2936,3144,2849,2793,2484,2410,2667,4379,2600
GALLO_RS05995,14377,17855,15750,14826,14195,14265,16246,12297,15516,13440,15955,10395
