geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS09915,1483,1698,1515,1660,1421,1877
SSUSC84_RS09885,10,3,8,6,6,3
SSUSC84_RS10100,1195,1412,1845,1061,1738,1972
SSUSC84_RS08260,1841,1811,2568,2220,2002,2673
SSUSC84_RS00975,124,112,111,168,157,191
SSUSC84_RS02230,3,3,4,2,7,17
SSUSC84_RS05765,26,18,46,21,45,47
SSUSC84_RS01600,666,753,959,708,763,742
SSUSC84_RS00725,1317,1297,1470,843,885,987
SSUSC84_RS03295,63,61,69,74,80,83
SSUSC84_RS04890,12161,11670,11334,11965,11497,10408
SSUSC84_RS06135,3129,3194,4307,3549,2779,4204
SSUSC84_RS06200,868,879,1471,1074,684,894
SSUSC84_RS08660,1105,1203,1288,916,1282,1139
SSUSC84_RS07550,388,463,509,494,519,668
SSUSC84_RS02665,5186,5721,6481,6867,5816,8291
SSUSC84_RS07015,1177,1372,1558,1165,1144,1372
SSUSC84_RS07250,557,644,468,540,384,427
SSUSC84_RS04960,14,17,9,12,24,16
SSUSC84_RS05140,4203,4986,5041,4361,5119,5793
SSUSC84_RS00840,392,612,304,181,379,358
SSUSC84_RS08505,837,872,763,522,917,779
SSUSC84_RS01595,211,236,277,287,235,247
SSUSC84_RS07050,26,35,52,53,45,65
SSUSC84_RS08410,51,41,42,63,32,55
SSUSC84_RS04130,25,19,16,25,9,15
SSUSC84_RS06125,1972,1811,2271,2048,1503,2056
SSUSC84_RS00920,475,550,581,447,451,493
SSUSC84_RS06880,122,149,132,84,202,206
SSUSC84_RS05945,783,772,1223,655,928,968
SSUSC84_RS01075,4848,5471,7497,6557,9640,11447
SSUSC84_RS05870,2004,2161,3400,2295,2139,2967
SSUSC84_RS03305,1031,891,1388,1387,781,1364
SSUSC84_RS03485,97,130,157,151,161,185
SSUSC84_RS05975,1129,1101,2488,936,912,967
SSUSC84_RS03810,1603,2472,1820,1359,1675,1617
SSUSC84_RS10040,360,417,587,441,635,711
SSUSC84_RS04460,0,1,2,0,1,3
SSUSC84_RS01860,1195,1003,1395,1580,938,1697
SSUSC84_RS03850,3186,2819,2782,4287,2787,3592
SSUSC84_RS07565,1114,1129,1560,1324,1049,1422
SSUSC84_RS07220,47,78,35,8,58,28
SSUSC84_RS07185,218,296,210,169,152,167
SSUSC84_RS04325,80,107,95,105,79,94
SSUSC84_RS07180,0,1,1,2,4,1
SSUSC84_RS09040,629,621,807,640,545,658
SSUSC84_RS08945,685,803,1069,507,1275,1100
SSUSC84_RS10215,1151,846,979,1077,679,778
SSUSC84_RS10180,350,419,489,415,428,461
SSUSC84_RS03510,2274,2203,2028,2344,1776,1901
SSUSC84_RS02040,3721,4139,3323,3066,3024,3137
SSUSC84_RS00500,1492,1271,1031,1011,1302,1136
SSUSC84_RS09340,2876,3507,3022,2889,3971,3985
SSUSC84_RS05350,63,91,122,90,118,118
SSUSC84_RS08715,414,629,626,376,529,754
SSUSC84_RS06085,1346,1322,820,1302,812,903
SSUSC84_RS05465,1611,1456,1586,1684,1229,1373
SSUSC84_RS04870,138,169,138,121,149,158
SSUSC84_RS07675,214,273,442,176,266,306
SSUSC84_RS02085,672,579,524,510,399,438
