,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS02850,3294,3142,4079,3618
CHF17_RS02855,8040,7115,8246,8322
CHF17_RS02860,918,918,914,924
CHF17_RS02865,8501,7000,8780,8555
CHF17_RS02870,360909,442299,473320,307129
CHF17_RS02875,43,57,40,41
CHF17_RS02880,511,559,476,585
CHF17_RS02885,1107,1351,1034,1156
CHF17_RS02890,2620,3483,2322,2511
CHF17_RS02895,103,119,98,91
CHF17_RS02900,1782,1431,1575,1401
CHF17_RS02905,664,827,615,684
CHF17_RS02910,17946,28981,17991,21631
CHF17_RS02915,614,505,631,496
CHF17_RS02920,2734,2107,2650,2570
CHF17_RS02925,1817,1722,2233,2529
CHF17_RS02930,2846,3193,4500,4742
CHF17_RS02935,11502,13475,17869,18348
CHF17_RS02940,6972,5135,6819,6930
CHF17_RS02945,68,83,79,80
CHF17_RS02950,349,381,465,401
CHF17_RS02955,3526,3731,4430,3388
CHF17_RS02960,6214,5631,6866,5757
CHF17_RS02965,2455,2681,2508,2044
CHF17_RS02970,13701,11053,13455,14923
CHF17_RS02975,2904,3024,3060,2974
CHF17_RS02980,5198,5480,6404,5488
CHF17_RS02985,3891,4025,4360,3701
CHF17_RS02990,4746,5875,4722,4062
CHF17_RS02995,12721,14651,13692,10655
CHF17_RS03000,1325,1661,1783,1468
CHF17_RS03005,3508,3489,3707,2975
CHF17_RS03010,10326,10909,10920,8846
CHF17_RS03015,3564,3809,3563,3116
CHF17_RS03020,3351,3428,3685,3085
CHF17_RS03025,3929,3657,4328,3529
CHF17_RS03030,2107,1839,2259,2349
CHF17_RS03035,447,433,456,491
CHF17_RS03040,213,285,293,373
CHF17_RS03045,42,61,73,75
CHF17_RS03050,193,202,268,288
CHF17_RS03055,363,398,398,414
CHF17_RS03060,2044,2168,2329,1883
CHF17_RS03065,643,875,757,622
CHF17_RS03070,239,290,296,306
CHF17_RS03075,5981,7306,7318,7139
CHF17_RS03080,4177,5005,4937,4972
CHF17_RS03085,90354,95266,94962,88063
CHF17_RS03090,18076,19105,17702,16292
CHF17_RS03095,8341,8728,9486,7877
CHF17_RS03100,7988,7825,9395,7894
CHF17_RS03105,11698,10902,13005,11454
CHF17_RS03110,22688,24246,28930,26858
CHF17_RS03115,25387,32797,39634,34941
CHF17_RS03120,23419,26728,34594,30024
CHF17_RS03125,16694,20218,22190,19912
CHF17_RS03130,7033,8794,8169,8147
CHF17_RS03135,41803,44420,47405,47315
CHF17_RS03140,47896,48660,49806,53003
CHF17_RS03145,60709,58075,66726,58191
CHF17_RS03150,8233,8018,9017,8619
CHF17_RS03155,2053,1948,2300,2286
CHF17_RS03160,26259,35690,33567,23357
CHF17_RS03165,1403,943,1105,1642
CHF17_RS03170,797,1472,930,894
CHF17_RS03175,970,1785,1068,1097
CHF17_RS03180,206512,216859,214933,183417
CHF17_RS03185,8071,7205,8076,7498
CHF17_RS03190,8058,7811,8292,7927
CHF17_RS03195,8902,12921,11727,10637
CHF17_RS03200,1261,2190,1685,1400
CHF17_RS03205,3682,5786,5409,4723
CHF17_RS03210,3703,5358,5734,5375
CHF17_RS03215,3039,3825,4839,5065
CHF17_RS03220,10977,13500,16973,17576
CHF17_RS03225,12405,13629,14794,15198
CHF17_RS03230,12509,14510,14551,13931
CHF17_RS03235,8679,10219,9804,9356
CHF17_RS03240,21367,18959,20284,23807
CHF17_RS03245,507,812,499,527
CHF17_RS03250,11554,9762,10581,13599
CHF17_RS03255,27456,24695,30250,27488
CHF17_RS03260,21155,19913,25633,20569
CHF17_RS03265,20371,19218,24183,20129
CHF17_RS03270,11967,11312,13734,12250
CHF17_RS03275,5254,5899,6185,5694
CHF17_RS03280,1013,1182,949,1072
CHF17_RS03285,117800,144690,140002,101885
CHF17_RS03290,6304,7294,6764,5976
CHF17_RS03295,1489,1428,1983,1832
CHF17_RS03300,1792,1827,2623,2292
CHF17_RS03305,11334,14352,17559,13185
CHF17_RS03310,10063,12258,13642,10802
CHF17_RS03315,23825,27375,27838,25323
CHF17_RS03320,4483,4630,5638,5270
CHF17_RS03325,9726,8776,10536,9328
CHF17_RS03330,7205,6362,7914,7051
CHF17_RS03335,9048,11227,9743,9366
CHF17_RS03340,12144,13971,15017,13595
CHF17_RS03345,16751,17432,20977,17966
