GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_1454,2743,6950,971,2800,5209,6757,1274,1331
FE90_1455,204,447,87,180,298,522,120,136
FE90_1456,1656,2633,797,1691,2449,2506,1070,1192
FE90_1457,2559,4222,1924,2997,4165,4429,2506,2284
FE90_1458,1348,2242,930,1075,1796,2106,1128,898
FE90_1459,372,613,436,548,566,703,541,477
FE90_1460,163,276,173,210,337,292,217,116
FE90_1461,129,155,121,52,194,114,141,69
FE90_1462,17,5,9,10,23,3,10,5
FE90_1463,109,106,198,368,234,101,288,169
FE90_1464,148,111,276,348,217,114,336,200
FE90_1465,137,164,359,266,280,162,449,226
FE90_1466,4577,6600,950,2052,6739,6001,1513,1093
FE90_1467,2699,3125,722,1613,4442,3187,1042,900
FE90_1468,2330,2789,749,1284,3585,2962,1080,784
FE90_1469,2070,4102,1168,2134,3509,3832,1656,1593
FE90_1470,2471,4287,3507,3907,3372,4121,4399,4140
FE90_1471,1505,2855,2696,2760,2185,2735,3513,3456
FE90_1472,552,1177,962,952,948,1080,1299,1215
FE90_1473,326,537,156,87,487,449,190,78
FE90_1474,412,715,86,176,715,647,112,58
FE90_1475,954,1533,218,406,1492,1342,295,228
FE90_1476,746,1269,230,476,1351,1174,367,274
FE90_1477,1877,1670,926,973,2548,1235,1079,540
FE90_1478,1733,1636,831,912,2576,1528,1162,577
FE90_1479,4278,4671,2317,2153,6521,3716,3372,1801
FE90_1480,806,1163,653,466,1095,1010,834,463
FE90_1481,713,799,538,457,905,668,661,477
FE90_1482,3091,3328,2428,2098,3836,3251,2800,2119
FE90_1483,2930,2703,3125,3767,4227,2797,4089,3243
FE90_1484,657,797,453,876,980,704,590,707
FE90_1485,605,638,286,514,739,644,392,515
FE90_1486,179,151,108,150,219,118,97,95
FE90_1487,12,16,22,12,30,30,18,15
FE90_1488,14,23,20,20,27,16,23,18
FE90_1489,565,835,476,692,832,704,614,539
FE90_1490,596,982,478,868,1024,894,666,607
FE90_1491,405,643,220,236,524,586,237,213
FE90_1492,473,823,211,151,508,634,205,203
FE90_1493,545,1052,217,204,755,969,256,225
FE90_1494,135,137,75,52,175,156,109,46
FE90_1495,229,211,93,97,243,197,110,89
FE90_1496,107,117,52,66,156,86,54,38
FE90_1497,9,4,9,7,17,17,16,7
FE90_1498,995,1459,224,582,1588,1398,247,277
FE90_1499,1500,2520,421,900,2496,2348,608,613
FE90_1500,482,1022,214,357,851,964,270,261
FE90_1501,1023,1561,429,743,1588,1577,572,508
FE90_1502,284,530,141,211,470,564,134,179
FE90_1503,765,1394,432,572,1150,1364,545,518
FE90_1504,2668,4630,7967,13459,4142,4940,10608,13005
FE90_1505,4453,2151,2512,1003,6289,2077,3220,653
FE90_1506,188,259,71,79,237,155,96,71
FE90_1507,353,342,131,223,448,292,210,170
FE90_1508,1521,1718,281,394,1879,1578,405,313
FE90_1509,2439,3738,1595,1813,3563,3304,2349,1179
FE90_1510,2260,2982,587,1162,3338,2830,839,855
FE90_1511,6181,7112,799,2367,9606,6126,1326,1005
FE90_1512,8129,8949,1242,1932,9877,8092,1578,1371
FE90_1513,4,0,8,0,11,2,7,1
FE90_1514,103,163,123,102,184,157,146,135
FE90_1515,2047,2625,1151,1531,2632,2412,1760,1167
FE90_1516,923,1655,515,1143,1344,1440,691,911
FE90_1517,2498,3844,555,946,3598,3461,739,509
FE90_1518,1673,2816,390,645,2757,2397,553,475
FE90_1519,8816,19352,2158,5545,13007,16990,3287,3738
FE90_1520,0,0,1,0,0,0,0,0
FE90_1521,1563,1987,1336,1701,2427,1689,1740,1633
FE90_1522,1977,3119,1830,2733,2700,2720,2555,1767
FE90_1523,2233,3261,1611,2641,3022,3121,2079,1809
FE90_1524,1052,1599,384,1082,1523,1462,596,641
FE90_1525,1754,2617,640,1842,2771,2575,979,1071
FE90_1526,3079,5362,942,2813,4756,4403,1345,1759
FE90_1527,1042,1396,475,1245,1857,1449,538,661
FE90_1528,1822,2896,836,2287,2583,2593,1168,1590
FE90_1529,1577,2362,527,1345,2063,2040,629,1104
FE90_1530,947,1655,348,483,1082,1341,421,525
FE90_1531,28,24,26,25,61,19,32,11
FE90_1532,1269,169,562,85,1688,137,724,62
FE90_1533,576,708,474,468,671,645,575,506
FE90_1534,239,253,188,129,266,213,229,179
FE90_1535,598,34,419,21,1070,38,506,17
FE90_1536,3284,870,2332,582,4181,888,3070,484
