,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0184,72,114,88,23,22,16,76,118,201,49,54,74,,
M5005_Spy0185,19580,34126,16977,6238,5464,6039,12164,23353,63156,11992,12021,12634,,
M5005_Spy0186,1414,1979,1406,272,216,214,1053,1505,3312,829,691,784,,
M5005_Spy0187,132,160,119,361,356,323,105,145,231,350,361,379,,
M5005_Spy0188,109,135,108,343,345,317,99,121,267,436,340,494,,
M5005_Spy0189,16,24,16,42,54,43,14,18,42,68,44,76,,
M5005_Spy0190,57,42,85,15,19,22,44,39,48,47,33,59,,
M5005_Spy0191,705,1194,834,281,310,347,649,837,1464,592,507,816,,
M5005_Spy0192,6528,9591,6058,3954,4231,3562,6981,11227,23983,10044,8635,13954,,
M5005_Spy0194,11941,17049,10428,5416,5082,4066,12302,19356,35137,16214,14544,20680,,
M5005_Spy0195,1474,1998,1427,343,318,292,921,1174,2295,3040,2905,9252,,
M5005_Spy0196,3484,5612,2970,1493,1417,1488,1960,3436,6856,6139,5812,15019,,
M5005_Spy0197,3420,6534,3022,1891,2101,2159,1930,3682,8643,6191,5360,13447,,
M5005_Spy0198,1355,1867,1145,284,364,298,1118,1931,4107,1224,944,1307,,
M5005_Spy0199,1778,2269,1813,76,91,104,1435,1796,3638,976,977,1048,,
M5005_Spy0200,3465,6237,3110,403,466,441,2696,4906,11114,2249,2375,2406,,
M5005_Spy0201,1384,3210,1026,167,143,112,942,2453,6405,1031,1013,894,,
M5005_Spy0202,3152,4535,3256,19312,21865,22540,5255,5641,12791,39258,31264,52588,,
M5005_Spy0203,15368,24840,13214,6442,7120,6367,9558,16964,34024,15091,12697,17065,,
M5005_Spy0204,1336,1655,1436,416,552,471,833,1456,2377,1035,857,1175,,
M5005_Spy0205,1764,2007,1713,515,639,529,1072,1640,2803,1019,805,1262,,
M5005_Spy0206,1785,2393,1586,564,558,553,955,1715,3249,1114,723,1354,,
M5005_Spy0207,1700,2246,1580,317,310,356,1396,2071,3721,1324,1461,1672,,
M5005_Spy0208,9299,12355,8313,2371,2235,2409,6199,9659,20725,6862,6310,8267,,
M5005_Spy0209,12502,25832,10039,3070,3098,2774,8251,19079,38860,8746,7416,11406,,
M5005_Spy0210,103,112,107,10,12,8,61,82,153,39,30,44,,
M5005_Spy0211,2519,3410,2463,160,286,269,1359,2589,5659,732,444,1029,,
M5005_Spy0212,108,199,120,325,335,394,63,138,248,170,134,181,,
M5005_Spy0213,287,458,259,721,739,777,194,289,583,365,285,374,,
M5005_Spy0214,151,309,122,235,286,325,153,281,511,160,105,184,,
M5005_Spy0215,79,150,78,70,65,95,112,150,300,98,72,116,,
M5005_Spy0216,170,281,144,131,145,138,176,250,593,182,106,206,,
M5005_Spy0217,366,634,298,267,244,244,351,759,1922,306,266,347,,
M5005_Spy0218,449,734,357,270,234,243,414,794,1679,323,243,325,,
M5005_Spy0219,1039,1662,974,376,387,314,1089,1933,3659,570,472,715,,
M5005_Spy0220,1239,1728,1287,215,241,239,899,1212,1751,957,731,1061,,
M5005_Spy0221,4244,7789,4118,755,646,701,2855,5375,8766,2271,2270,2865,,
M5005_Spy0222,4107,8119,4017,843,912,810,2872,5411,10844,2760,2217,3262,,
M5005_Spy0223,6026,10913,5122,3520,3738,3561,3592,6387,12750,7165,6254,13223,,
M5005_Spy0224,3889,5555,3500,2739,2956,3196,2693,4240,7934,4969,4451,8445,,
M5005_Spy0225,4231,10544,3303,2048,2003,2141,2659,6455,19842,3997,3674,7186,,
M5005_Spy0226,16644,32273,13495,7366,6579,6223,10044,21113,53992,12970,12269,23719,,
M5005_Spy0227,7942,10159,7440,4224,4236,3975,5869,8872,16316,8032,7232,14019,,
M5005_Spy0228,6500,10697,6801,2026,1837,2006,4711,5784,10701,4721,4565,5760,,
M5005_Spy0229,81280,132398,76739,41949,40975,34966,54970,93723,202219,56437,47836,63232,,
M5005_Spy0230,69692,148790,56609,5255,4383,4019,44526,98985,257741,16583,17675,15453,,
M5005_Spy0231,26226,53374,24066,2327,2510,2255,18798,37778,88929,10703,8311,10204,,
M5005_Spy0232,91707,176065,82905,40704,45736,41221,68445,133511,276373,79801,65927,85934,,
M5005_Spy0233,94501,116095,94760,47775,54483,52150,80184,120848,158455,110922,93643,137644,,
M5005_Spy0234,5,28,4,7,6,5,2,21,65,3,3,4,,
M5005_Spy0235,5625,7985,4780,1214,1129,1067,4451,7905,14942,2241,2169,1674,,
M5005_Spy0236,9439,16538,7468,1919,1915,1585,6708,16812,37560,4035,3610,2803,,
M5005_Spy0237,3763,6775,3281,3621,3598,3675,2980,5139,12890,5470,5043,5437,,
M5005_Spy0238,507,1294,430,327,402,427,305,975,2340,652,541,729,,
M5005_Spy0239,4894,6886,4916,787,756,705,4882,6750,14450,3070,2973,2505,,
M5005_Spy0240,2455,5504,1982,463,622,517,1640,3430,9207,1434,1250,1417,,
M5005_Spy0241,350,934,215,41,53,43,222,450,1511,228,154,207,,
M5005_Spy0242,2008,3751,1880,907,954,897,1806,3157,7140,2544,2596,2733,,
M5005_Spy0243,3014,5374,2913,2182,2277,2163,2512,4692,8862,4639,3840,5003,,
M5005_Spy0244,5167,8688,4496,4343,4670,4249,3908,7637,16198,6856,5725,7080,,
M5005_Spy0245,3569,4678,3082,2539,2722,2361,2604,4311,7908,3808,3313,3869,,
M5005_Spy0246,5186,12372,3741,1996,2229,1762,2898,9582,21885,3793,3146,3689,,
M5005_Spy0247,4417,8676,3850,636,646,646,2738,6617,15983,2009,1679,2032,,
M5005_Spy0248,739,1169,687,270,337,330,564,1010,2323,537,399,506,,
M5005_Spy0249,24701,36213,22641,8018,7192,5790,21127,34590,68381,21840,18424,17090,,
M5005_Spy0250,4204,11144,3741,1611,1841,1458,2721,7413,19801,3479,2384,3100,,
M5005_Spy0251,5351,10212,4735,2590,2693,2346,3157,6813,11305,5106,3237,5135,,
M5005_Spy0252,8163,16153,7082,3188,3131,2642,5494,10561,22065,5912,4637,5063,,
M5005_Spy0253,12953,19389,11391,4753,4816,4038,8599,14453,33179,9807,7146,8939,,
M5005_Spy0254,6,27,8,0,0,1,9,16,36,4,3,2,,
M5005_Spy0255,157,212,134,13,14,24,83,106,1258,28,27,34,,
M5005_SpyR0010,535,1096,549,278,221,269,245,452,14498,232,344,299,,
M5005_SpyT0042,3,6,4,1,0,1,2,5,121,1,1,1,,
M5005_SpyR0011,469,877,637,564,390,572,385,682,45538,474,894,956,,
M5005_SpyR0012,3,12,5,1,1,2,2,6,146,2,2,4,,
M5005_SpyT0043,4,9,4,0,1,1,3,6,100,1,1,2,,
M5005_SpyT0044,6,14,9,0,1,1,7,14,84,2,2,4,,
M5005_Spy0256,94,107,76,56,59,48,65,128,353,85,64,97,,
M5005_Spy0257,127,147,124,374,378,342,107,144,215,382,387,422,,
M5005_Spy0258,110,136,109,346,349,320,100,123,269,441,343,499,,
M5005_Spy0259,12,18,13,35,42,34,11,16,33,57,37,62,,
M5005_Spy0260,4339,4400,5040,341,372,331,3707,3848,7542,3091,3531,2864,,
M5005_Spy0261,16877,26324,13982,1104,1047,996,10158,18336,36745,8553,7738,7834,,
M5005_Spy0262,3166,3607,3043,196,207,185,2055,3113,4144,1403,1431,1312,,
