,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS03390,523,780,715,430,515,472,731,630,544
SSUSC84_RS06065,1635,2305,2528,2516,2498,2283,1711,1268,1225
SSUSC84_RS04385,45,52,49,115,68,98,37,33,17
SSUSC84_RS05370,70,108,115,76,89,58,198,163,129
SSUSC84_RS05180,329,464,442,421,514,406,582,607,556
SSUSC84_RS07595,60,86,71,55,73,51,129,87,98
SSUSC84_RS02620,856,1092,904,863,928,798,1555,1351,1152
SSUSC84_RS09010,28,26,37,33,46,38,48,39,37
SSUSC84_RS09005,0,0,2,2,2,4,1,1,4
SSUSC84_RS06730,1052,1402,1339,1431,1464,1423,944,1034,925
SSUSC84_RS07735,982,1328,1341,1219,1293,1298,1076,946,802
SSUSC84_RS00475,198,239,426,913,1011,1075,134,110,111
SSUSC84_RS10415,4,11,12,7,15,2,10,13,5
