,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_1471,18397,23636,22472,19997,24720,27566,15405,28721,22962
SpyM3_1472,7717,10349,10233,8605,11142,11336,6344,12431,10076
SpyM3_1473,4987,8826,7260,6943,6823,8297,3892,5736,4650
SpyM3_1474,3913,5341,5027,3150,3473,3493,3847,6254,4794
SpyM3_1475,5890,7383,5828,3514,4719,4314,5912,11446,7205
SpyM3_1476,11533,15811,14527,11083,12521,13520,12602,22583,17723
SpyM3_1477,3719,4491,4989,3582,3900,4535,4078,6598,5832
SpyM3_1478,11014,16193,16703,22397,23932,27266,8111,13438,13214
SpyM3_1479,1297,1576,1364,1272,1496,1598,807,1509,1001
SpyM3_1480,2937,4344,3903,3104,3800,4425,3032,6004,4710
SpyM3_1481,4396,5695,6204,4667,5314,6012,4637,7476,7009
SpyM3_1482,932,1287,1377,989,1308,1479,741,1252,968
SpyM3_1483,150,178,179,157,231,220,114,196,152
SpyM3_1484,302,363,447,375,421,516,257,361,279
SpyM3_1485,112,168,178,154,174,210,106,159,187
SpyM3_1486,820,1216,1314,901,1166,1307,676,1212,958
SpyM3_1487,102,158,149,113,113,175,95,124,110
SpyM3_1488,117,157,161,137,178,160,100,200,146
SpyM3_1489,1359,1857,1835,1204,1695,1842,1436,2624,1994
SpyM3_1490,205,361,259,228,375,316,160,394,323
SpyM3_1491,4236,5755,5125,4044,5292,5696,4040,6850,5705
SpyM3_1492,831,1221,1095,832,1047,1199,959,1567,1393
SpyM3_1493,3760,6273,5379,9121,9944,11804,1213,1610,1387
SpyM3_1497,4170,4694,5275,3687,4127,4173,3491,6074,4816
SpyM3_1498,20007,26702,24803,18226,21834,22568,16685,31834,23424
SpyM3_1499,8874,12206,12006,8058,9501,10210,8012,13862,10849
SpyM3_1501,14720,21729,18748,14035,17727,20248,14594,27009,19904
SpyM3_1502,6297,8754,8010,7746,8558,10523,5004,9612,6292
SpyM3_1503,3259,4436,3720,4037,4561,5308,2288,4593,3567
SpyM3_1504,2355,3241,2871,3072,3620,4530,1864,3023,2106
SpyM3_1505,4077,6107,5670,5956,7532,9184,2936,4741,3916
SpyM3_1506,19233,25768,29048,17214,20786,23261,19725,30227,33490
SpyM3_1507,5067,7017,7587,4225,5170,5348,5198,7999,8178
SpyM3_1508,6462,8246,8385,5314,5104,6299,6497,10230,10127
SpyM3_1509,6035,7867,9369,2508,3515,3510,6828,10647,12468
SpyM3_1510,13235,16939,17851,14852,19927,21545,11066,19193,16967
SpyM3_1511,20047,28217,25736,23060,26400,27402,23827,41168,34169
SpyM3_1512,14161,18731,18439,16461,17152,18620,16820,25965,24097
SpyM3_1513,10739,13111,12934,12803,15472,14153,11495,21546,17118
SpyM3_1514,2042,3149,3157,2335,2742,3248,2519,3826,4044
SpyM3_1515,456,462,652,378,475,655,435,649,459
SpyM3_1516,12241,15430,15581,12602,15879,16904,10740,18007,15423
