,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS02940,5221,5752,5468,3100
CHF17_RS02945,35,51,54,11
CHF17_RS02950,376,313,368,363
CHF17_RS02955,3356,2185,2794,2959
CHF17_RS02960,4445,3119,2970,3016
CHF17_RS02965,1840,1269,1467,891
CHF17_RS02970,11701,9709,8988,13802
CHF17_RS02975,1949,1620,1573,1822
CHF17_RS02980,4482,3081,2896,3629
CHF17_RS02985,2704,2215,1978,2006
CHF17_RS02990,3925,2483,2484,2993
CHF17_RS02995,9950,6603,6957,6747
CHF17_RS03000,1477,942,868,885
CHF17_RS03005,4198,2950,3422,2201
CHF17_RS03010,12303,9482,9984,6917
CHF17_RS03015,4339,3195,3100,3693
CHF17_RS03020,2404,2760,1741,1418
CHF17_RS03025,2348,3051,1767,1565
CHF17_RS03030,1817,1584,1321,1569
CHF17_RS03035,348,390,317,455
CHF17_RS03040,182,227,170,128
CHF17_RS03045,21,18,25,31
CHF17_RS03050,111,130,114,101
CHF17_RS03055,274,297,199,211
CHF17_RS03060,2838,1277,1247,1323
CHF17_RS03065,814,462,438,632
CHF17_RS03070,659,216,256,131
CHF17_RS03075,10097,6973,8417,7777
CHF17_RS03080,6331,4712,5508,4096
CHF17_RS03085,116297,117358,100820,87517
CHF17_RS03090,19967,21001,15337,11314
CHF17_RS03095,9415,8506,8538,6917
CHF17_RS03100,8339,7947,7498,6359
CHF17_RS03105,10938,11017,10064,5725
CHF17_RS03110,28659,27245,26678,29590
CHF17_RS03115,36603,36392,38436,37570
CHF17_RS03120,27894,30734,30394,17062
CHF17_RS03125,20331,21715,20335,22246
CHF17_RS03130,8581,9583,8157,9123
CHF17_RS03135,45133,45474,40019,29911
CHF17_RS03140,47120,45593,36864,34428
CHF17_RS03145,78642,80842,60953,61680
CHF17_RS03150,11819,7706,7150,6062
CHF17_RS03155,2607,2313,2350,2192
CHF17_RS03160,36626,21877,26287,19277
CHF17_RS03165,2041,1360,863,1967
CHF17_RS03170,1472,1120,1196,1037
CHF17_RS03175,1998,1653,1584,1744
CHF17_RS03180,12431,11559,9006,10159
CHF17_RS03185,7096,5786,6328,6926
CHF17_RS03190,8155,6258,6804,7943
CHF17_RS03195,13479,9607,8501,9351
CHF17_RS03200,1768,1306,1192,1081
CHF17_RS03205,4530,3551,3499,4579
CHF17_RS03210,3898,3814,3610,4050
CHF17_RS03215,2882,3307,3073,2038
CHF17_RS03220,9016,11446,10138,7506
CHF17_RS03225,12650,12036,10421,10328
CHF17_RS03230,9048,10589,7107,5315
CHF17_RS03235,5504,6429,3888,2362
CHF17_RS03240,31013,22468,17279,21674
CHF17_RS03245,978,485,964,1765
CHF17_RS03250,41347,29562,52629,98510
CHF17_RS03255,19360,21844,17057,12519
CHF17_RS03260,19251,18287,15623,12322
CHF17_RS03265,24275,19963,19897,16471
CHF17_RS03270,15983,13330,13491,10022
CHF17_RS03275,6307,5273,4828,2748
CHF17_RS03280,1577,872,704,894
CHF17_RS03285,110471,83694,69365,50086
CHF17_RS03290,4357,3486,3167,2394
CHF17_RS03295,723,728,763,513
CHF17_RS03300,1429,1087,1239,1347
CHF17_RS03305,13440,11419,12150,11548
CHF17_RS03310,10532,8673,8351,7896
CHF17_RS03315,22030,19475,17935,15763
CHF17_RS03320,2357,2360,1976,2318
CHF17_RS03325,8313,6360,6293,5235
CHF17_RS03330,6680,5216,5693,4547
CHF17_RS03335,12677,8055,9484,11552
CHF17_RS03340,9523,7906,7626,6078
CHF17_RS03345,15636,14959,13859,12127
CHF17_RS03350,25889,27338,24002,16953
