,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS02985,1598,1917,1793,1527
CHF17_RS02990,2884,2854,2932,1351
CHF17_RS02995,7055,6964,7083,4420
CHF17_RS03000,1081,1269,1122,758
CHF17_RS03005,4595,3888,4168,3065
CHF17_RS03010,12181,11211,11774,9703
CHF17_RS03015,4334,4063,4294,3716
CHF17_RS03020,3891,3828,3767,3110
CHF17_RS03025,4251,3860,3963,3368
CHF17_RS03030,1522,1679,1606,1498
CHF17_RS03035,265,313,318,306
CHF17_RS03040,221,174,203,192
CHF17_RS03045,31,35,30,30
CHF17_RS03050,143,143,148,130
CHF17_RS03055,236,242,271,262
CHF17_RS03060,1111,1775,1353,1092
CHF17_RS03065,314,610,449,316
CHF17_RS03070,420,343,314,214
CHF17_RS03075,7389,6391,6647,5606
CHF17_RS03080,4025,3814,4042,3451
CHF17_RS03085,85148,91681,92505,76500
CHF17_RS03090,12372,14113,13894,12251
CHF17_RS03095,5996,5772,6049,4745
CHF17_RS03100,5419,4979,5403,4414
CHF17_RS03105,6507,5861,6444,5405
CHF17_RS03110,21407,19364,20416,18572
CHF17_RS03115,25157,23322,25211,21678
CHF17_RS03120,18596,17543,18071,17048
CHF17_RS03125,13342,12590,14144,10779
CHF17_RS03130,5679,5322,5966,4167
CHF17_RS03135,26964,30552,28662,26146
CHF17_RS03140,27984,34766,30681,30788
CHF17_RS03145,48463,52838,50842,44344
CHF17_RS03150,4348,5048,4666,3839
CHF17_RS03155,2335,2002,2411,2027
CHF17_RS03160,11321,17116,12248,9597
CHF17_RS03165,1297,1364,1314,1168
CHF17_RS03170,512,1048,695,477
CHF17_RS03175,645,1187,738,558
CHF17_RS03180,139562,117832,137246,93313
CHF17_RS03185,4750,4602,4919,4123
CHF17_RS03190,4494,4867,4844,4320
CHF17_RS03195,7602,11604,8939,6384
CHF17_RS03200,1196,1477,1263,746
CHF17_RS03205,3707,4426,3777,3011
CHF17_RS03210,3089,3726,3524,3002
CHF17_RS03215,2244,2784,2409,2655
CHF17_RS03220,7701,8745,8306,9113
CHF17_RS03225,10156,10757,10291,9317
CHF17_RS03230,7062,8278,7760,6828
CHF17_RS03235,4663,5559,5152,4202
CHF17_RS03240,19157,19878,17064,15289
CHF17_RS03245,346,386,411,220
CHF17_RS03250,12569,12025,9378,12957
CHF17_RS03255,13492,14272,14036,12734
CHF17_RS03260,12412,12587,12526,10636
CHF17_RS03265,12809,13195,13079,10736
CHF17_RS03270,8529,8624,8459,6842
CHF17_RS03275,3843,4518,4326,3082
CHF17_RS03280,942,1013,1037,580
CHF17_RS03285,49967,71591,54366,43830
CHF17_RS03290,2225,3120,2632,2338
CHF17_RS03295,597,555,589,573
CHF17_RS03300,1913,2048,1872,1966
CHF17_RS03305,11437,9596,10528,8792
CHF17_RS03310,8746,8170,8321,7435
CHF17_RS03315,17626,17648,17471,16385
CHF17_RS03320,1917,2144,2145,1963
CHF17_RS03325,4771,4740,4920,4184
CHF17_RS03330,4135,3746,4252,3513
CHF17_RS03335,4340,7315,5475,4750
CHF17_RS03340,7746,8987,8385,7108
CHF17_RS03345,14497,13682,14667,13319
CHF17_RS03350,25864,23687,26142,23636
