,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0791,25,21,8,12
SPD_0792,103,85,67,140
SPD_0793,15,17,23,38
SPD_0794,42,21,32,55
SPD_0795,25,23,28,64
SPD_0796,81,45,105,148
SPD_0797,979,728,378,469
SPD_0798,1191,1568,603,890
SPD_0799,35,49,24,46
SPD_0800,119,72,37,101
SPD_0801,225,173,97,130
SPD_0802,1983,1899,942,1313
SPD_0803,471,467,158,237
SPD_0804,46,62,54,65
SPD_0805,173,203,251,428
SPD_0806,37,40,43,49
SPD_0807,21,32,32,30
SPD_0808,4,1,1,0
SPD_0809,202,144,77,96
SPD_0810,92,70,22,30
SPD_0811,90,120,26,32
SPD_0812,166,138,22,46
SPD_0813,333,280,56,84
SPD_0814,427,476,74,119
SPD_0815,341,196,41,71
SPD_0816,226,181,154,204
SPD_0817,205,180,60,121
SPD_0818,209,159,115,174
SPD_0819,44,58,24,40
SPD_0820,213,159,57,142
SPD_0821,697,495,172,315
SPD_0822,226,198,164,244
SPD_0823,718,570,403,681
SPD_0824,485,323,250,451
SPD_0825,91,82,46,65
SPD_0826,159,141,75,102
SPD_0827,32,30,11,20
SPD_0828,196,117,69,95
SPD_0829,88,38,19,32
SPD_0830,37,47,22,35
SPD_0831,19,36,13,26
SPD_0832,6,13,12,13
SPD_0833,607,522,403,781
SPD_0834,1213,1219,890,1463
SPD_0835,611,361,310,604
SPD_0836,263,303,80,142
SPD_0837,59,69,13,30
SPD_0838,1123,881,339,563
SPD_0839,402,348,113,192
SPD_0840,138,116,39,66
SPD_0841,423,417,133,243
SPD_0842,139,75,66,99
SPD_0843,443,9,15,13
SPD_0844,2735,41,32,37
SPD_0845,666,92,70,103
SPD_0846,1379,226,227,390
SPD_0847,864,578,108,144
SPD_0848,182,115,21,42
SPD_0849,443,269,37,85
SPD_0850,138,90,12,39
SPD_0851,145,91,65,120
SPD_0852,132,124,78,91
SPD_0853,695,490,519,1020
SPD_0854,468,551,215,350
SPD_0855,425,381,237,190
SPD_0856,124,173,73,138
SPD_0857,733,670,298,404
SPD_0858,487,546,161,293
SPD_0859,245,260,64,113
SPD_0860,779,743,134,234
SPD_0861,63,57,15,17
SPD_0862,1241,1086,388,624
SPD_0863,115,88,60,72
SPD_0864,522,545,280,448
SPD_0865,196,7,1,3
SPD_0866,1354,759,111,163
SPD_0867,440,215,26,51
SPD_0868,2637,3103,199,447
SPD_0869,2,0,1,2
SPD_0870,199,164,113,192
SPD_0871,143,183,123,146
SPD_0872,172,241,116,162
SPD_0873,230,319,176,242
SPD_0874,1089,834,427,662
SPD_0875,308,229,86,159
SPD_0876,86,74,30,47
SPD_0877,611,416,163,304
SPD_0878,368,233,118,173
SPD_0879,88,92,19,29
SPD_0880,363,339,67,107
SPD_0881,12,24,13,14
SPD_0882,25,25,14,21
SPD_0883,10,7,7,10
