,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1362,15,11,23,17,47,41,33
fig|6666666.230262.peg.1363,5,5,12,5,10,18,14
fig|6666666.230262.peg.1364,22,16,19,19,37,51,37
fig|6666666.230262.peg.1365,60,48,98,50,92,172,115
fig|6666666.230262.peg.1366,1,2,1,1,2,4,3
fig|6666666.230262.peg.1367,9,5,7,4,8,22,10
fig|6666666.230262.peg.1368,15,10,28,18,25,38,30
fig|6666666.230262.peg.1369,4,5,8,11,25,46,28
fig|6666666.230262.peg.137,13,11,10,3,19,18,10
fig|6666666.230262.peg.1370,11,11,10,9,9,24,27
fig|6666666.230262.peg.1371,3,3,3,0,2,8,1
fig|6666666.230262.peg.1372,24,18,16,24,38,56,36
fig|6666666.230262.peg.1373,21,14,22,16,21,36,30
fig|6666666.230262.peg.1374,6,3,2,0,7,10,6
fig|6666666.230262.peg.1375,9,6,14,7,17,12,12
fig|6666666.230262.peg.1376,3,3,5,4,7,6,11
fig|6666666.230262.peg.1377,2,1,2,2,5,5,7
fig|6666666.230262.peg.1378,4,2,5,3,5,15,8
fig|6666666.230262.peg.1379,3,2,1,3,4,8,3
fig|6666666.230262.peg.138,2,2,3,3,2,5,1
fig|6666666.230262.peg.1380,7,5,5,3,4,14,7
fig|6666666.230262.peg.1381,9,16,19,9,13,36,27
fig|6666666.230262.peg.1382,25,21,33,25,40,53,49
fig|6666666.230262.peg.1383,14,12,17,9,24,33,16
fig|6666666.230262.peg.1384,33,19,18,20,27,42,40
fig|6666666.230262.peg.1385,11,9,12,10,11,32,15
fig|6666666.230262.peg.1386,6,4,18,9,20,24,22
fig|6666666.230262.peg.1387,36,26,73,37,79,102,88
fig|6666666.230262.peg.1388,113,88,220,121,236,367,248
fig|6666666.230262.peg.1389,278,197,564,405,777,1133,739
fig|6666666.230262.peg.139,3,0,0,2,1,3,2
fig|6666666.230262.peg.1390,44,20,98,58,124,180,134
fig|6666666.230262.peg.1391,193,160,455,278,529,767,525
fig|6666666.230262.peg.1392,170,134,320,186,365,470,360
fig|6666666.230262.peg.1393,226,190,337,192,377,562,474
fig|6666666.230262.peg.1394,542,371,806,506,860,1305,1004
fig|6666666.230262.peg.1395,4898,3394,7193,4315,7348,10751,8753
fig|6666666.230262.peg.1396,175,136,235,174,277,387,347
fig|6666666.230262.peg.1397,110,87,181,110,207,282,264
fig|6666666.230262.peg.1398,71,58,129,88,162,224,167
fig|6666666.230262.peg.1399,203,93,373,241,478,752,558
fig|6666666.230262.peg.14,379,243,343,233,323,512,419
fig|6666666.230262.peg.140,2,5,2,3,5,9,6
fig|6666666.230262.peg.1400,46,20,61,45,76,103,68
fig|6666666.230262.peg.1401,54,38,60,40,68,103,64
fig|6666666.230262.peg.1402,25,14,30,18,34,54,35
fig|6666666.230262.peg.1403,32,23,58,32,38,69,58
fig|6666666.230262.peg.1404,29,16,37,23,36,59,37
fig|6666666.230262.peg.1405,32,16,34,15,34,64,41
fig|6666666.230262.peg.1406,234,151,255,197,274,545,468
