,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0519,26,22,57,18,102,124,16,42
Bcen_0520,19,15,60,7,70,89,23,23
Bcen_0521,108,52,35,12,53,26,38,40
Bcen_0522,39,57,232,50,288,354,56,129
Bcen_0523,14,13,24,4,32,84,2,21
Bcen_0524,108,124,132,71,204,216,115,50
Bcen_0525,2,26,5,0,18,23,5,10
Bcen_0527,169,46,103,32,47,31,62,34
Bcen_0528,9,11,36,10,162,144,7,47
Bcen_0529,1,9,15,2,77,58,3,23
Bcen_0530,51,146,11,12,14,26,5,38
Bcen_0531,0,2,9,3,47,44,0,13
Bcen_0532,2,20,54,8,276,263,2,83
Bcen_0533,2,38,7,11,27,48,5,38
Bcen_0534,0,1,22,2,39,63,3,13
Bcen_0535,46,35,60,19,81,153,14,38
Bcen_0536,12,47,82,31,311,344,23,100
Bcen_0537,10,8,22,1,70,73,4,26
Bcen_0538,4,2,31,3,67,78,0,17
Bcen_0539,5,10,41,4,133,142,5,40
Bcen_0540,1,6,8,1,30,25,2,18
Bcen_0541,11,39,76,7,256,282,12,66
Bcen_0542,6,4,26,5,45,69,3,18
Bcen_0543,2,8,20,0,174,157,13,21
Bcen_0544,1,4,12,0,91,74,3,20
Bcen_0545,11,41,51,12,119,183,15,48
Bcen_0546,3,4,27,2,76,97,3,19
Bcen_0547,0,6,9,1,88,101,2,13
Bcen_0548,3,13,45,16,145,211,5,49
Bcen_0549,5,7,38,1,266,196,18,61
Bcen_0550,2,22,32,6,213,208,19,57
Bcen_0551,0,2,7,0,31,20,1,6
Bcen_0552,4,12,67,3,347,391,4,91
Bcen_0553,2,6,31,1,175,204,4,40
Bcen_0554,5,5,4,0,58,54,2,12
Bcen_0555,3,7,34,6,95,117,10,45
Bcen_0556,0,7,4,3,18,21,5,18
Bcen_0557,1,1,11,0,51,38,0,10
Bcen_0558,7,16,28,7,92,95,7,22
Bcen_0559,16,27,49,12,69,72,11,32
Bcen_0560,1154,660,1443,548,789,525,433,499
Bcen_0561,121,47,336,67,299,437,98,149
Bcen_0562,211,40,272,43,227,114,121,70
Bcen_0563,20,10,63,12,115,124,19,26
Bcen_0564,5,8,35,7,141,125,11,37
Bcen_0565,4,2,9,0,127,95,8,21
Bcen_0566,16,11,63,3,143,174,10,41
Bcen_0567,20,15,70,18,61,54,3,46
Bcen_0568,472,133,1279,302,393,366,176,199
Bcen_0569,18,7,39,12,38,34,14,8
Bcen_0570,8,6,7,3,42,44,3,10
Bcen_0571,8,5,57,4,89,117,3,24
Bcen_0572,13,9,65,8,145,158,21,40
