,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0343,614,568,668,559,203,433,209,250,224,319,274,270
BPSL0344,36,51,40,41,20,33,25,12,20,26,22,30
BPSL0345,145,173,151,98,61,102,59,54,55,77,69,72
BPSL0346,1538,1203,2331,959,593,1142,436,534,578,912,653,747
BPSL0347,674,848,385,98,46,106,56,29,41,47,216,143
BPSL0348,5422,6368,2403,656,409,817,656,125,467,185,1880,1122
BPSL0349,8600,11680,3200,1378,1064,1316,1114,149,760,269,2482,1520
BPSL0350,502,556,360,132,77,114,87,38,58,52,178,137
BPSL0353,458,443,434,361,212,349,201,169,196,190,241,194
BPSL0354,163,136,185,158,64,111,54,56,57,86,78,77
BPSL0355,283,249,301,253,155,263,144,123,129,172,121,139
BPSL0356,1377,1657,1227,1783,765,940,471,933,462,561,846,531
BPSL0357,347,270,459,387,200,329,164,210,241,415,167,212
BPSL0358,177,206,156,138,62,112,71,46,48,55,103,74
BPSL0359,65,65,32,30,16,30,16,16,12,14,22,29
BPSL0360,77,69,55,45,28,36,16,12,14,24,34,55
BPSL0361,77,114,88,63,32,52,25,19,24,27,57,53
BPSL0362,130,83,154,87,51,99,45,49,48,68,66,66
BPSL0363,678,557,690,514,242,443,247,343,269,312,272,284
BPSL0368,638,543,744,460,346,498,242,328,258,398,350,328
BPSL0369,789,641,1066,758,472,779,323,481,341,515,370,443
BPSL0370,2601,2124,3577,2445,1624,2313,906,1790,1152,1723,1352,1469
BPSL0371,15428,13525,18489,16379,9656,12620,6435,9695,6485,8337,7792,8462
BPSL0372,4366,3580,5797,5034,2454,3800,2098,3219,2214,3248,2049,2430
BPSL0374,1046,883,1084,998,629,980,528,573,549,585,521,479
BPSL0375,248,246,438,471,255,542,248,356,341,588,251,240
BPSL0376,2729,2247,3121,4889,1798,3012,1793,3229,1915,1835,1138,1460
BPSL0377,72,62,91,69,45,71,30,51,39,40,29,37
BPSL0378,213,192,260,275,136,213,115,176,122,136,83,108
BPSL0379,1766,1502,2536,4682,1944,3175,1508,3972,1745,1500,959,968
BPSL0380,3018,2501,3735,4118,2395,4549,1915,2202,2541,1876,1412,1468
BPSL0382,1792,1322,2585,2180,1331,2346,891,1331,1206,1549,833,1061
BPSL0384,1674,1443,2066,2089,994,1621,887,1352,1043,1359,750,866
BPSL0387,4136,5339,3946,3172,3410,4142,2424,2119,2244,2244,2385,2013
BPSL0388,266,218,380,288,182,312,124,164,121,238,150,117
BPSL0389,1087,948,1108,822,405,663,319,418,394,594,473,450
BPSL0390,2115,1827,2518,1896,882,1630,729,975,918,1184,914,1015
BPSL0391,2344,2197,2302,1958,960,1720,802,864,976,972,1111,1032
BPSL0392,3270,2977,3266,2693,1624,2786,1269,1350,1306,1418,1879,1513
BPSL0393,2258,2072,2547,1920,1057,1785,882,871,946,1052,1187,985
BPSL0394,6107,5329,7746,7775,3087,6077,3082,2957,3917,5083,2679,3528
BPSL0395,383,299,571,434,221,380,173,251,259,377,151,263
BPSL0396,94,67,149,135,58,119,44,69,57,87,46,53
BPSL0397,417,327,452,478,229,483,173,240,243,273,228,202
BPSL0398,371,330,440,435,214,437,135,222,220,265,221,189
BPSL0399,77,64,99,98,41,107,33,57,33,63,64,44
BPSL0401,1166,983,1518,3274,918,2295,850,1737,1300,832,565,560
BPSL0402,682,588,813,2000,591,1344,500,1000,715,479,325,293
BPSL0403,1955,1663,2354,4767,1872,3779,1621,2279,2140,1085,930,874
BPSL0404,609,525,777,1791,665,1494,450,1209,775,500,391,340
BPSL0405,291,217,331,740,208,564,181,475,315,250,171,145
BPSL0406,271,240,286,470,215,403,162,200,202,149,150,163
BPSL0407,1236,998,1284,2071,860,1769,686,989,888,710,616,644
BPSL0408,2934,2352,4190,3575,2095,4686,1816,2026,2683,2276,1453,1796
BPSL0409,2615,2218,3624,3345,1619,3685,1362,1873,2045,2134,1326,1495
BPSL0410,770,674,832,1169,544,987,545,617,712,507,353,439
BPSL0411,587,469,720,597,318,649,249,369,374,408,275,337
BPSL0412,41,41,43,42,18,45,14,18,30,29,25,15
BPSL0416,290,251,328,276,186,304,122,152,124,163,153,167
BPSL0417,67,57,42,45,14,35,11,20,17,19,26,24
BPSL0418,178,171,249,132,82,138,67,110,82,105,92,99
BPSL0419,2629,3470,2854,2472,2475,1795,1398,1294,1059,1116,2044,1248
BPSL0420,1370,1680,1426,1520,1318,925,649,603,524,465,918,647
BPSL0421,2931,3048,2648,1426,1211,1470,817,537,767,615,1725,1082
BPSL0422,2853,3136,2352,1361,1275,1244,876,448,601,484,1697,1000
BPSL0423,88,99,71,39,29,30,21,11,22,11,36,25
BPSL0428,823,779,931,1073,608,1046,495,530,593,610,392,495
BPSL0429,81,78,89,87,39,105,36,49,41,54,68,52
BPSL0430,1704,1609,1743,3415,1320,2062,869,1505,1147,778,800,718
BPSL0431,151,159,144,196,81,117,63,61,58,53,84,63
BPSL0432,547,389,776,556,291,647,254,333,309,552,271,342
BPSL0433,602,453,551,744,384,722,400,405,344,487,286,351
BPSL0435,156,129,185,150,79,120,60,93,85,111,77,86
BPSL0438,1277,1279,1663,1162,773,1325,476,695,569,903,774,808
BPSL0440,9238,8398,10318,10371,6295,11124,5343,5155,6139,4291,4587,4574
BPSL0441,648,594,748,736,411,645,288,351,413,528,300,372
BPSL0442,8241,7116,10360,8271,5304,9819,4184,4949,5352,5632,3647,4592
BPSL0444,771,562,822,538,280,668,207,247,327,507,313,353
BPSL0448,272,243,311,292,111,254,111,110,145,183,170,143
BPSL0449,151,132,141,128,48,148,68,57,59,70,75,58
BPSL0450,139,99,195,126,88,178,52,78,98,159,90,84
BPSL0451,2446,2304,2674,1485,796,2259,758,735,1138,1028,1295,1031
BPSL0452,1942,1642,2025,1550,820,1797,696,592,934,1070,938,971
BPSL0453,9237,8336,10369,9284,4834,9175,3781,3600,5287,6486,4946,5324
BPSL0455,5,6,2,2,3,4,3,0,1,3,3,3
BPSL0456,2171,2353,2327,1947,1454,2199,742,688,998,1183,1588,1356
BPSL0457,267,275,204,301,116,233,90,73,126,63,121,99
BPSL0458,7714,7018,8400,8832,4005,6532,3113,2950,3562,4182,3930,3771
BPSL0458a,197,144,198,183,91,146,89,60,81,77,76,98
BPSL0459,1037,951,1343,1161,568,1051,396,451,539,716,536,552
BPSL0460,919,802,1129,1008,513,923,356,367,445,505,497,454
BPSL0461,850,783,900,796,465,773,308,374,430,584,437,433
BPSL0462,2256,1984,2480,2444,987,2204,980,978,1339,1237,968,1052
BPSL0463,871,637,1219,1265,521,1016,455,544,563,853,386,528
BPSL0464,175,184,199,270,129,202,108,110,113,122,97,95
BPSL0465,5097,6587,8433,16092,9390,10787,6234,2473,5204,5296,3542,3376
BPSL0466,3115,3046,4606,6320,3114,4339,2537,1819,2477,3050,1559,1842
BPSL0467,763,816,940,1038,560,751,277,479,365,544,480,445
BPSL0468,93,79,82,77,46,64,22,64,37,80,40,53
BPSL0469,128,142,132,161,78,128,44,72,57,92,87,78
BPSL0471,107,81,127,95,37,84,51,54,49,82,71,50
BPSL0473,430,464,274,843,418,1014,348,417,620,112,263,182
BPSL0474,395,453,265,727,283,883,319,351,583,103,227,149
BPSL0475,310,322,201,430,216,694,240,123,500,49,184,98
BPSL0476,488,505,263,732,331,1277,407,221,801,65,309,144
BPSL0477,25,30,29,34,30,158,32,25,60,4,33,15
BPSL0478,131,154,82,194,108,394,114,65,217,25,86,30
BPSL0479,288,383,185,470,209,814,251,148,506,33,224,80
BPSL0480,623,789,340,1003,513,1667,568,293,1102,73,390,177
BPSL0481,326,430,175,592,244,1013,306,184,652,38,221,83
BPSL0482,463,540,220,762,333,1279,328,220,740,47,374,108
BPSL0483,1360,1779,659,2457,906,3389,1151,711,2504,108,840,361
BPSL0484,373,462,215,629,247,1041,257,187,633,41,275,106
BPSL0485,746,935,347,1268,471,1924,613,403,1225,79,480,182
BPSL0486,592,652,269,991,357,1370,451,273,887,39,314,129
BPSL0487,436,529,199,820,353,1217,399,223,744,38,265,115
BPSL0488,655,925,241,1067,484,1649,610,291,1137,54,365,165
BPSL0489,262,215,82,258,115,461,132,74,300,29,107,57
BPSL0490,484,484,262,626,271,1098,292,207,571,73,260,120
BPSL0491,247,282,113,444,182,704,256,111,427,21,151,73
BPSL0492,448,484,192,673,276,1163,343,214,693,70,300,137
BPSL0493,1228,1232,582,1709,729,2720,1038,519,1692,122,675,329
BPSL0494,2235,3034,1615,3704,1874,4229,2001,1757,2740,457,1390,742
BPSL0495,76,66,63,65,29,64,30,39,31,38,30,46
BPSL0496,181,136,222,190,61,141,67,100,77,77,76,80
BPSL0497,252,199,302,235,94,170,82,126,104,146,144,94
BPSL0498,476,437,681,502,203,388,187,280,256,311,284,212
BPSL0499,547,652,613,683,263,432,249,288,256,239,336,207
BPSL0500,528,582,538,470,294,433,175,209,203,223,333,254
BPSL0500A,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0503,56,41,65,116,72,74,25,131,33,100,41,45
BPSL0505,1239,1152,1436,2147,1164,1894,817,834,813,812,698,814
BPSL0506,907,918,1032,1344,739,1271,526,591,577,562,560,553
BPSL0507,699,554,913,626,353,735,374,351,461,709,324,399
BPSL0508,854,704,1000,1230,352,754,315,717,510,637,374,391
BPSL0509,1295,1135,1149,1043,530,997,452,489,480,546,537,510
BPSL0510,105,109,139,105,70,123,58,76,79,75,99,70
BPSL0511,9,6,7,9,3,3,1,4,4,7,5,1
BPSL0512,91,98,101,74,40,72,43,25,43,68,48,41
BPSL0513,895,604,963,1135,410,798,355,671,487,630,398,417
BPSL0514,1114,756,1738,1213,455,963,373,536,571,1023,473,635
BPSL0515,288,217,371,274,104,322,134,155,161,238,157,157
BPSL0518,1447,1090,1751,1528,647,1232,521,843,670,939,640,687
BPSL0520,5479,4086,8484,7474,3097,6099,2715,5436,4329,8156,2255,3755
BPSL0525,12501,11365,14694,13665,8126,13544,6565,7067,7910,7025,6130,6198
BPSL0528,2073,1916,1390,1578,916,1569,747,630,818,635,929,851
BPSL0529,2938,2727,2512,2152,1426,2572,1017,1101,1170,1158,1257,1334
BPSL0530,2344,1904,2106,1798,951,1690,787,924,865,1050,894,1016
BPSL0531,1984,1660,1500,1481,738,1408,658,548,761,739,662,707
BPSL0532,11882,11658,9804,11587,8854,10834,7986,6528,6206,8055,5305,7086
BPSL0534,2921,2337,3954,3163,1716,3411,1588,2075,2120,2298,1441,1614
BPSL0535,1944,1494,2766,2147,1269,2306,969,1395,1273,1915,973,1290
BPSL0536,983,726,1270,992,611,1121,471,586,592,674,428,529
BPSL0537,1838,1504,2084,1824,1167,2259,939,1052,1210,1156,876,912
BPSL0538,2980,2650,3905,2660,1504,2780,1127,1428,1527,2192,1511,1599
BPSL0539,1516,1274,2080,1896,905,1615,707,1044,1056,1226,786,838
BPSL0540,488,442,695,657,302,469,250,341,336,487,264,314
BPSL0541,374,282,526,554,206,433,190,316,275,403,192,229
BPSL0542,898,706,1191,1146,488,1004,413,620,533,737,503,463
BPSL0544,1092,956,1067,1111,511,1057,446,536,510,609,481,520
BPSL0546,1228,902,1786,1208,578,1202,475,588,706,1159,575,726
BPSL0548,5378,5228,4791,6248,3299,5181,2870,2123,2646,2561,2125,2660
BPSL0549A,972,902,1285,757,479,796,378,277,390,695,424,570
BPSL0550,149,155,138,124,86,158,88,36,78,75,57,80
BPSL0551,93,85,78,64,38,76,48,30,31,47,42,57
BPSL0552,285,320,277,199,250,374,180,84,164,112,135,162
BPSL0553,575,563,494,399,311,450,246,129,220,291,192,240
BPSL0554,684,530,717,540,306,672,293,251,310,690,224,350
BPSL0555,893,765,1044,692,478,930,439,322,418,961,341,553
BPSL0556,812,854,898,544,330,652,323,210,297,601,345,417
BPSL0557,99,76,94,57,27,54,26,26,23,96,42,45
BPSL0557A,21,11,12,9,5,5,6,7,6,12,7,5
BPSL0558,309,301,235,302,132,226,132,105,138,127,150,149
BPSL0559,880,945,733,766,352,593,331,267,312,352,335,381
BPSL0560,53,59,60,38,18,32,24,12,19,37,21,35
BPSL0561,60,43,63,26,13,28,26,17,11,46,23,23
BPSL0562,743,764,602,522,406,522,352,303,264,318,301,442
BPSL0563,1194,1021,927,708,368,549,423,198,242,789,350,578
BPSL0564,781,668,560,473,229,445,253,125,167,435,229,380
BPSL0565,5713,4767,3771,3252,1711,2894,1923,1121,1336,3261,1588,2592
BPSL0566,2337,1987,1624,1374,710,1239,760,420,540,1250,624,1050
BPSL0567,297,265,232,182,87,138,99,58,53,172,102,151
BPSL0568,661,569,497,441,194,328,173,148,136,411,216,314
BPSL0569,4177,4029,3174,3005,1756,3221,1853,889,1367,1554,1500,1869
BPSL0570,1245,1107,866,800,479,944,464,261,365,434,354,513
BPSL0571,1685,1623,1116,1078,573,1234,609,319,488,720,512,682
BPSL0572,2820,2906,1631,1796,828,1527,955,545,766,707,970,938
BPSL0573,3069,2922,1492,1440,735,1268,657,304,453,533,932,976
BPSL0574,7903,8584,2786,2791,2395,4237,1130,321,869,845,4479,3660
BPSL0574A,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0574B,336,341,263,119,100,164,84,24,80,93,163,167
BPSL0575,2904,3040,2041,1106,780,1409,913,295,834,741,1104,1140
BPSL0576,2571,2649,1830,877,539,1160,667,180,507,496,1036,941
BPSL0577,728,802,420,379,231,363,234,80,192,202,230,259
BPSL0578,250,236,214,191,102,178,93,70,83,85,101,97
BPSL0579,1607,1215,1493,1069,584,1044,458,327,443,603,694,716
BPSL0580,290,228,203,249,94,159,109,60,73,93,90,115
BPSL0581,1091,1078,752,862,531,749,619,268,440,354,434,502
BPSL0582,1061,1187,704,730,321,587,470,156,299,329,443,407
BPSL0583,721,761,367,490,186,305,258,81,191,161,253,240
BPSL0584,765,739,319,408,124,231,141,68,106,137,296,266
BPSL0585,86,84,39,27,11,24,8,7,10,17,26,36
BPSL0586,39,36,17,9,8,10,6,1,2,7,17,23
BPSL0586a,1035,1062,620,604,392,708,377,87,293,251,363,431
BPSL0587,433,369,346,181,147,231,103,121,68,191,192,272
BPSL0588,1171,915,677,589,516,378,394,331,222,394,393,651
BPSL0589,81,71,49,64,83,69,40,55,25,57,40,61
BPSL0590,111,125,129,112,49,99,34,51,54,61,64,67
BPSL0591,134,145,151,97,59,92,45,25,42,56,75,66
BPSL0592,106,101,75,83,24,65,16,7,40,15,67,40
BPSL0593,138,136,76,101,36,74,21,11,33,21,84,56
BPSL0594,123,156,77,132,34,101,36,14,48,18,74,46
BPSL0595,130,130,78,82,41,63,29,7,44,19,67,51
BPSL0596,2717,2446,2098,2167,1096,2601,908,443,1253,677,1520,1115
BPSL0597,3127,2762,2433,2811,1171,3402,1065,551,1614,766,2117,1346
BPSL0598,4379,4782,2653,2313,1316,2627,1103,185,1130,377,2089,1502
BPSL0599,6212,6963,3481,3057,1679,3265,1443,223,1510,496,2459,1951
BPSL0600,2828,2880,2125,2064,874,2432,758,230,1064,458,1739,1105
BPSL0601,256,253,125,136,68,128,56,9,61,23,122,89
BPSL0602,62,62,34,30,16,36,12,5,22,18,41,27
BPSL0603,7,10,10,8,2,10,7,7,7,7,9,5
BPSL0604,29,24,37,27,16,24,9,12,9,17,5,9
BPSL0606,13,15,19,27,5,15,7,11,9,14,7,11
BPSL0607,45,37,81,70,27,47,32,63,21,45,34,36
BPSL0608,3,3,13,5,7,12,4,12,6,7,5,8
BPSL0609,226,201,239,211,113,208,122,120,148,116,114,114
BPSL0610,112,101,124,140,47,101,60,93,78,79,63,58
BPSL0611,89,93,97,126,46,80,35,62,43,68,53,46
BPSL0612,70,66,77,72,32,67,40,66,27,36,34,29
BPSL0613,130,99,172,133,58,124,47,105,83,122,67,86
BPSL0614,77,74,73,75,34,59,38,78,56,54,45,42
BPSL0615,24,15,15,25,11,14,11,13,9,12,12,10
BPSL0616,117,111,66,191,75,118,86,107,92,53,47,35
BPSL0617,20,28,18,33,26,23,23,23,8,15,15,12
BPSL0618,33,29,37,41,18,26,26,29,15,19,12,17
BPSL0619,41,51,53,68,43,52,25,44,20,32,30,33
BPSL0620,23,20,30,16,11,23,4,8,19,16,14,13
BPSL0621,177,181,159,203,136,149,74,137,78,88,59,73
BPSL0622,1282,1256,1001,1335,624,989,483,436,537,383,597,486
BPSL0623,1554,1353,1588,1252,751,1430,514,583,584,612,874,691
BPSL0624,1402,1249,1303,1327,729,1194,564,561,710,515,651,557
BPSL0625,498,401,699,381,222,404,174,174,220,338,214,213
BPSL0626,569,531,681,549,279,530,210,173,281,276,256,266
BPSL0627,4465,4467,3677,4032,2327,3727,2000,1084,1972,1002,1980,1905
BPSL0628,1253,1004,1537,1223,710,1317,536,648,638,699,632,648
BPSL0629,1307,993,1520,940,481,956,426,511,460,769,570,582
BPSL0631,1488,1303,1731,1519,941,1602,792,697,893,861,803,785
BPSL0634,6478,5662,8909,6507,3208,6366,2415,3353,3695,5542,3375,3822
BPSL0635,1020,901,1320,1187,531,1042,462,576,550,714,511,557
BPSL0636,623,440,780,755,309,563,230,342,271,453,297,320
BPSL0638,26063,24916,26906,27987,16346,31480,12556,15171,16052,16662,15951,13822
BPSL0639,1714,1462,1949,1503,911,1759,713,813,883,1046,771,843
BPSL0641,541,405,709,508,256,605,195,248,234,329,352,279
BPSL0642,317,275,519,425,177,314,138,163,192,336,193,212
BPSL0643,674,528,1048,751,336,639,281,348,339,678,307,415
BPSL0646,990,872,981,797,478,838,344,369,380,467,520,484
BPSL0647,7249,6243,7360,4348,2627,4238,1751,807,1930,2646,3316,3131
BPSL0648,22316,20118,21695,11452,8842,14816,5638,2969,6743,6992,9449,9765
BPSL0649,18531,15392,20788,7883,6082,12858,4236,2352,5858,6159,6952,7139
BPSL0650,7139,5632,10457,3889,2938,6219,1966,1489,2706,3648,3032,3581
BPSL0651,1005,836,1397,618,491,1049,306,262,451,501,489,480
BPSL0652,1335,1180,1180,1669,733,1555,544,728,747,503,586,561
BPSL0653,844,764,736,759,475,878,342,364,416,333,419,432
BPSL0654,614,590,610,800,435,602,270,415,353,346,322,279
BPSL0655,552,524,693,735,332,622,257,347,345,431,300,312
BPSL0656,600,466,897,717,323,660,253,538,301,584,297,329
BPSL0657,1526,1258,1625,1294,644,1323,654,947,769,1141,629,752
BPSL0658,4601,3616,7001,4305,2109,4339,1731,2097,2466,4191,2261,2779
BPSL0659,3739,2791,4896,4088,1707,3294,1494,2428,2098,3242,1692,2050
BPSL0662,283,227,355,300,139,274,126,136,167,183,116,139
BPSL0664,1019,837,1155,1064,575,990,485,599,605,666,373,456
BPSL0665,296,182,570,274,118,272,94,175,160,372,134,176
BPSL0666,420,260,532,290,116,283,129,178,169,341,135,214
BPSL0670,3078,2479,3606,2109,1087,1970,1024,1278,1209,1852,989,1369
BPSL0671,389,309,519,639,238,577,202,453,327,361,225,218
BPSL0672,1525,1185,1551,1875,837,1567,666,1121,891,939,593,724
BPSL0673,1203,922,2144,1002,492,1135,392,503,608,1291,550,693
BPSL0675,324,300,360,304,161,237,126,179,144,195,146,148
BPSL0676,81,109,92,67,42,89,32,34,45,59,48,51
BPSL0677,1147,1182,1172,775,478,641,313,343,311,499,603,509
BPSL0679,600,486,723,589,296,635,229,328,359,430,285,307
BPSL0680,469,366,503,480,156,319,168,211,198,285,224,196
BPSL0681,147,119,199,186,68,148,43,64,65,84,96,64
BPSL0682,228,303,289,412,104,227,56,51,104,81,130,60
BPSL0683,229,263,260,273,100,229,62,69,96,81,114,63
BPSL0684,190,187,225,302,67,188,44,29,91,77,112,66
BPSL0685,64,78,102,131,28,77,30,16,35,18,46,22
BPSL0689,491,436,525,389,255,453,202,159,233,195,207,201
BPSL0690,1197,1284,782,1136,599,1164,496,219,593,220,479,510
BPSL0692,10318,9408,10573,10802,5557,9350,4936,4502,5280,3769,4933,4440
BPSL0693,10944,11405,9355,9837,6343,10303,5867,3620,5686,3219,4982,4618
BPSL0694,1443,1508,1614,1177,756,1552,603,451,782,542,719,572
BPSL0696,4914,3572,5735,5486,2263,5474,2287,2367,3414,4273,2203,2601
BPSL0697,2698,2041,3053,2735,1098,2547,908,834,1509,1863,1071,1263
BPSL0698,602,445,744,595,303,752,269,329,388,421,344,320
BPSL0699,710,620,479,472,337,637,263,240,321,294,308,304
BPSL0700,278,291,236,238,157,216,167,114,142,96,124,133
BPSL0701,340,322,323,407,280,458,220,180,273,137,200,143
BPSL0702,251,383,274,391,248,413,251,78,189,134,176,119
BPSL0703,769,1053,685,1531,991,1174,802,205,511,297,446,301
BPSL0704,2602,4176,1874,5537,3339,3624,2853,544,1578,671,1330,939
BPSL0705,335,389,216,273,154,289,330,149,330,54,138,134
BPSL0706,522,546,407,359,250,379,256,72,205,135,274,225
BPSL0707,3254,3132,1414,1202,606,1773,515,146,706,260,1421,957
BPSL0709,92,86,154,75,94,71,53,134,41,123,74,79
BPSL0710,1331,1187,1688,1072,666,1067,549,844,559,890,671,748
BPSL0711,449,399,523,401,411,287,220,894,157,435,312,309
BPSL0712,1437,1250,1269,895,1122,926,709,1204,453,750,777,788
BPSL0713,1239,1061,1494,1088,991,1376,671,1255,667,779,760,759
BPSL0716,573,503,562,628,377,627,309,444,283,279,317,277
BPSL0717,1417,1242,1300,1210,1074,1453,612,980,731,611,823,697
BPSL0718,604,666,575,477,558,619,309,377,323,292,447,365
BPSL0719,5000,5518,4916,4281,3393,5162,2229,1737,2278,1986,3296,2543
BPSL0720,83,58,89,42,36,67,34,24,33,73,48,37
BPSL0721,13,26,26,27,12,15,10,10,16,15,17,4
BPSL0722,49,49,44,32,28,36,31,18,14,31,26,27
BPSL0723,26,19,32,21,13,18,15,9,13,14,7,8
BPSL0724,39,47,58,43,29,35,16,17,21,25,20,17
BPSL0725,39,43,49,47,33,50,22,31,28,37,36,26
BPSL0726,10,13,22,12,8,9,2,15,6,17,8,7
BPSL0727,24,28,35,27,12,21,15,12,12,13,19,8
BPSL0728,80,83,89,79,41,49,30,26,29,45,55,41
BPSL0729,688,509,567,469,247,560,223,183,241,291,336,309
BPSL0730,1060,967,933,743,371,757,345,298,411,378,588,496
BPSL0731,1725,1479,1637,913,526,877,558,400,526,775,777,752
BPSL0732,1122,889,1239,744,447,797,336,295,420,601,430,554
BPSL0733,601,465,555,354,239,409,200,151,221,283,214,275
BPSL0734,1110,795,931,475,408,608,337,209,350,557,382,546
BPSL0735,647,395,965,319,304,563,156,87,186,736,345,555
BPSL0736,920,1051,893,674,505,829,383,251,327,414,477,528
BPSL0737,74,71,53,52,28,65,27,20,22,32,40,36
BPSL0738,346,365,236,230,120,228,181,67,102,150,149,145
BPSL0739,47,51,29,24,15,16,7,11,10,12,13,25
BPSL0740,34,12,33,20,20,24,13,10,11,15,12,11
BPSL0741,2422,2501,1343,1217,778,982,594,207,406,490,885,862
BPSL0742,1145,1211,895,695,416,600,306,159,238,448,492,487
BPSL0743,1816,2114,1220,1677,957,1336,659,446,536,575,804,861
BPSL0744,2786,2886,1748,2196,1289,2308,1124,766,1097,651,1221,1082
BPSL0745,440,544,279,322,251,376,167,115,169,129,236,230
BPSL0746,813,858,661,550,423,576,348,141,295,294,364,356
BPSL0747,5678,6299,4575,3459,3016,4383,2181,921,1776,1744,2608,2594
BPSL0747a,408,543,346,256,204,246,140,48,122,118,186,179
BPSL0748,8600,11928,6497,5948,5691,6122,3887,982,2148,2720,4642,3719
BPSL0749,2768,3473,2372,2212,1937,2084,1268,424,852,1209,1489,1279
BPSL0750,14041,17030,12020,9495,8710,10217,6538,2033,4145,5840,6537,5789
BPSL0751,7184,9163,5369,3703,3742,4606,2584,698,1817,2117,3320,2914
BPSL0752,2608,3185,1902,995,2793,3351,1012,293,903,1089,2044,1630
BPSL0753,4468,5542,3846,2262,1980,2474,1605,428,1069,1419,1949,1974
BPSL0756,229,269,254,180,137,167,102,60,91,102,105,122
BPSL0757,250,335,349,218,121,179,170,157,146,176,161,232
BPSL0758,378,436,390,257,139,226,201,154,188,204,165,246
BPSL0759,211,283,142,81,56,91,61,42,64,76,111,107
BPSL0760,41,54,36,15,19,19,18,13,21,26,21,29
BPSL0761,147,161,120,73,28,58,51,29,39,93,79,95
BPSL0762,549,711,309,508,226,355,164,143,144,145,209,214
BPSL0763,8077,8866,6646,7797,4196,5873,3941,1671,2942,3504,2940,3243
BPSL0764,11786,14438,10344,9904,7533,10569,5819,2414,4235,5804,5858,6320
BPSL0765,24319,29673,15979,17057,10196,15902,10073,3385,7588,7255,9015,9166
BPSL0766,11604,14571,8977,7776,5650,8364,4908,1325,3660,3685,4878,4734
BPSL0767,3245,3989,2478,2000,1448,2172,1276,392,936,1160,1383,1307
BPSL0768,4459,5781,3740,3161,2347,3341,1882,589,1370,1789,2154,2128
BPSL0769,1362,1676,1164,1053,794,1082,520,208,382,577,664,674
BPSL0770,7139,8705,6015,4848,3554,5277,3274,1045,2242,2842,3227,3385
BPSL0771,268,264,185,129,114,133,57,23,58,91,107,106
BPSL0772,684,749,676,764,460,738,330,415,375,449,320,334
BPSL0773,40,51,40,40,38,43,27,13,17,23,28,15
BPSL0774,177,136,149,124,96,160,91,78,77,74,91,74
BPSL0775,255,264,202,199,104,165,94,97,70,118,138,122
BPSL0778,1430,1133,1854,891,534,1240,459,457,765,1295,570,796
BPSL0781,661,562,816,723,348,793,402,370,463,432,290,349
BPSL0782,99,65,88,36,21,38,21,19,27,30,55,48
BPSL0783,579,433,714,576,266,592,325,340,400,488,253,314
BPSL0784,352,319,384,414,279,462,161,204,228,182,198,194
BPSL0785,128,126,157,140,70,155,46,70,71,117,83,90
BPSL0787,651,573,748,630,341,618,311,330,363,392,416,355
BPSL0788,368,298,344,419,178,404,168,268,197,246,186,160
BPSL0789,816,627,950,870,485,883,310,579,435,578,337,430
BPSL0790,681,565,659,749,357,589,299,377,347,462,229,344
BPSL0792,85,79,109,92,67,110,38,63,62,88,48,54
BPSL0794,412,425,588,422,242,397,179,215,213,380,224,224
BPSL0795,89,50,119,103,44,77,34,64,54,104,46,49
BPSL0802,572,404,753,565,248,547,199,345,308,456,281,290
BPSL0803,3136,3055,3398,2351,1334,1926,873,1068,876,1495,1686,1473
BPSL0804,205,255,172,164,84,118,59,47,49,73,120,106
