,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0258,2640,2246,2641,2625,1218,2109,971,1289,1093,1262,1267,1129
BPSL0259,2145,1730,2423,2058,941,1769,674,1020,743,1071,1046,938
BPSL0260,900,903,965,951,573,794,410,353,413,494,382,454
BPSL0261,984,1029,1050,962,535,989,371,477,432,434,595,445
BPSL0262,4303,3558,5414,4182,2361,4504,1899,2752,2379,2853,2171,2228
BPSL0263,1420,1296,1773,1490,665,1359,524,793,722,887,760,655
BPSL0264,1422,1386,1459,1679,651,1343,577,693,749,689,711,620
BPSL0266,45,81,41,90,30,56,39,9,26,18,24,21
BPSL0267,2848,3948,2986,6031,3196,3806,2011,879,1477,1426,1789,1265
BPSL0268,4599,6994,4849,9614,5205,6016,3472,1295,2595,2323,2893,2183
BPSL0279,4730,5122,4697,6566,3008,4346,2094,975,1731,2089,2287,1955
BPSL0282,699,689,943,980,440,725,386,276,460,539,368,385
BPSL0283,522,534,530,456,268,430,248,295,218,269,286,244
BPSL0284,141,139,132,118,55,98,50,46,40,90,89,85
BPSL0285,132,135,91,104,46,65,41,47,43,61,65,83
BPSL0286,52,52,38,55,24,30,16,28,23,39,17,23
BPSL0287,412,342,472,313,194,344,166,232,176,356,199,208
BPSL0288,527,505,755,455,182,330,195,348,230,515,221,328
BPSL0289,2186,2376,1885,2419,1306,1841,1039,973,992,947,1186,1072
BPSL0290,149,149,152,197,81,127,68,92,55,51,76,72
BPSL0291,39,32,42,58,26,42,17,49,29,44,17,14
BPSL0292,79,59,75,67,30,55,30,46,26,34,31,37
BPSL0293,181,151,183,152,78,155,74,80,58,87,95,76
BPSL0294,150,154,143,99,79,137,143,229,97,180,95,91
BPSL0295,55,58,75,51,20,43,25,26,23,57,44,39
BPSL0296,41,51,62,77,46,52,48,47,37,33,31,35
BPSL0299,560,452,972,536,237,554,208,320,274,480,321,374
BPSL0300,432,345,619,448,243,456,135,228,194,336,278,305
BPSL0301,31,31,35,38,11,17,10,17,22,11,12,14
BPSL0303,2182,1819,2153,2372,2153,1491,1317,4770,895,1700,1032,1355
BPSL0304,2059,1558,2559,1886,1687,1567,1129,3977,869,2005,1219,1334
BPSL0305,1136,837,1233,1087,950,707,567,1604,472,869,547,619
BPSL0306,721,606,1265,724,489,602,323,700,382,771,413,548
BPSL0307,84,87,148,83,73,121,72,100,79,109,55,74
BPSL0308,229,200,303,222,207,325,187,182,197,174,113,141
BPSL0310,51,50,50,36,12,51,21,21,22,30,24,29
