gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
BCAL1867,164,21,32,35,39,4
BCAM0911,638,72,241,148,154,22
BCAL3172,209,31,46,37,57,7
BCAL2162,1855,219,610,481,410,56
BCAL3347,391,54,162,110,83,17
BCAL0465,162,13,37,25,16,7
BCAL3455,397,35,151,95,95,10
BCAL3348,1005,161,443,278,229,50
BCAL2238,337,34,41,48,67,8
BCAL2829,164,19,50,31,42,5
BCAL0317,588,55,225,144,152,13
BCAL0261,229,16,67,39,46,6
BCAL1990,219,11,64,51,45,2
BCAL0265,175,11,49,18,33,6
BCAL2313,196,15,39,21,36,6
BCAL0387,296,25,75,49,65,7
BCAL2950,4486,617,1516,1054,1014,167
BCAM1780,115,6,55,15,17,6
BCAL0228,126,14,28,17,29,4
"BCAM0054,BCAM0055",161,11,49,14,32,6
BCAL0889,112,9,29,19,21,3
BCAL3049,150,11,36,17,26,5
BCAM0971,276,39,158,88,63,13
BCAL0220,373,59,147,105,109,11
BCAL2098,297,25,103,70,65,6
BCAL0126,764,82,233,181,110,27
BCAM1250,1189,64,228,196,165,23
BCAL3016,97,8,30,19,22,2
BCAL3393,241,7,70,46,28,5
BCAL0027,127,9,40,17,25,4
BCAL1119,82,10,38,20,14,4
BCAL3331,118,6,33,24,19,2
BCAL2153,514,88,281,119,166,25
BCAL0472,122,11,31,26,26,2
BCAL0114,17784,1690,5619,3256,3741,506
BCAL3231,699,110,278,158,185,28
BCAL2348,361,47,127,73,78,14
BCAM2680,239,26,68,51,50,6
BCAL1496,6365,647,2913,1310,1352,254
BCAM2484,72,4,67,33,17,2
BCAM2064,315,19,64,68,31,6
BCAL0788,275,28,77,62,60,5
BCAL1869,437,30,78,58,86,7
BCAM0275,105,12,34,22,16,4
BCAL1413,1242,113,345,180,161,50
BCAL0742,370,37,136,71,86,10
BCAL0422,1074,110,294,190,205,30
BCAL0207,457,42,83,60,97,9
BCAL3227,935,134,360,155,262,35
BCAL1518,80,9,49,14,15,5
BCAL3203,1024,80,293,155,139,35
