,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_09020W_B,69.6952,68.5441,83.9083,77.3351,68.7325,54.9564,76.3442,86.387
C1_09030C_A,525.856,500.684,503.947,475.702,492.129,462.795,647.457,610.519
C1_09030C_B,525.856,500.684,503.947,475.702,492.129,462.795,647.457,610.519
C1_09040C_A,8.97734,10.8235,4.15856,4.6513,7.74275,6.55651,8.56128,9.57455
C1_09040C_B,17.0393,14.4524,11.9933,10.5245,7.76274,8.62562,13.5526,12.6951
C1_09050W_A,13.0176,12.1842,8.43376,7.84089,10.637,10.9167,13.9397,12.9156
C1_09050W_B,8.53093,8.3168,7.10518,7.77775,3.72257,3.78351,3.78776,4.40878
C1_09060C_A,14.2,12.7862,15.0404,14.699,25.7325,25.1945,26.8142,26.208
C1_09060C_B,14.2,12.7862,15.0404,14.699,25.7325,25.1945,26.8142,26.208
C1_09070W_A,9.52251,9.60739,9.28938,9.09193,11.1071,9.80952,10.1742,9.5871
C1_09070W_B,10.4931,10.0849,13.8546,13.2985,11.9435,12.7592,11.5074,11.6044
C1_09080C_A,123.25,131.364,551.632,555.652,112.674,111.695,103.859,108.466
C1_09080C_B,68.8634,69.254,487.035,507.987,72.0396,69.1563,46.34,50.9744
C1_09090C_A,5.99436,6.13599,8.55238,8.51834,4.83385,4.0977,8.03152,5.92229
C1_09090C_B,5.91225,5.26926,4.79989,4.77887,7.70402,8.17681,5.26915,7.074
C1_09100W_A,1.62176,1.47206,1.31861,5.03379,0,0,4.67704,4.61412
C1_09100W_B,5.27405,5.28466,16.8599,12.732,3.72884,3.65088,13.3526,11.4732
C1_09110W_A,1.70402,1.929,5.60264,5.41998,3.69811,2.58409,5.46648,5.21617
C1_09110W_B,3.28704,2.96139,6.35222,6.26347,4.75726,5.6945,3.77374,4.40964
C1_09120W_A,10.0854,9.49689,13.5019,14.2243,10.1017,7.96692,10.1438,9.40759
C1_09120W_B,10.0854,10.0656,9.38598,8.14404,4.61414,4.75507,5.69553,6.69069
