,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.420,0,0,0,0,0,0,0,0,0
orf19.418,316,188,206,389,347,242,528,358,393
orf19.417,29,30,32,100,123,115,108,123,148
orf19.416,0,0,8,8,2,2,2,2,2
orf19.415,50,32,26,160,176,110,306,226,248
orf19.414,106,44,68,238,370,298,258,234,368
orf19.413.1,64,26,41,16,24,25,33,15,45
orf19.413,6,2,2,36,32,18,76,60,56
orf19.412,61,46,52,501,644,322,808,523,658
orf19.411,256,165,180,19,31,14,149,48,60
snR60,0,0,0,0,0,0,0,0,0
orf19.410.3,76,36,44,54,76,28,104,62,104
tN(GUU)2,0,0,0,6,0,0,0,0,0
tN(GUU)1,0,0,0,0,0,0,0,0,0
tT(AGU)1,0,0,0,0,0,0,0,0,0
orf19.2495,53,28,36,50,58,24,46,40,44
orf19.2494,22,14,25,97,70,64,115,84,106
orf19.2492,4,6,3,24,24,6,31,24,33
orf19.2489,312,198,174,2145,2562,1998,2036,1901,2217
orf19.2488,46,32,30,114,206,200,126,110,174
orf19.2487,26,8,6,44,70,54,46,50,68
orf19.2485,136,108,68,452,554,398,648,536,758
orf19.2484,74,40,44,80,91,40,285,162,188
orf19.2483,40,13,18,38,55,26,210,144,236
orf19.2481,3,0,4,0,0,0,0,0,0
orf19.2480.1,263,133,192,27,34,2,164,51,121
orf19.2479,4,2,0,58,16,10,68,24,34
orf19.2478.1,1053,567,562,4394,5479,4140,6908,6067,7959
snR39b,0,0,0,2,4,4,1,2,3
orf19.2478,4,0,0,6,16,10,60,42,40
orf19.2476,54,40,14,248,232,150,300,198,262
orf19.2475,0,0,0,0,0,0,10,19,6
orf19.2474,136,60,78,74,126,54,200,28,124
orf19.2473,67,50,52,204,202,146,372,236,354
orf19.2472.1,22,6,6,76,98,95,124,100,128
orf19.2472,18,0,8,22,30,10,8,22,23
orf19.2471,9,6,18,67,50,52,74,61,108
orf19.2469,0,0,2,24,24,6,30,22,26
orf19.2468,2,0,0,17,12,21,42,24,47
orf19.2467,18,16,3,6,16,0,8,18,24
orf19.2465,54,26,26,124,138,88,178,140,244
orf19.2463,16,8,15,24,18,12,22,14,30
orf19.2462,19,8,12,53,80,56,64,64,104
orf19.2461,52,36,25,56,53,28,99,50,86
orf19.2460,69,54,44,1764,1675,528,3214,2359,2934
orf19.2459,159,64,87,103,184,107,262,265,253
orf19.2458,742,286,378,266,218,94,607,367,443
orf19.2457,2,2,0,12,24,22,18,26,64
orf19.2455,18,4,16,86,129,76,232,202,214
orf19.2454,6,10,6,370,393,196,1018,634,590
orf19.2452,69,38,36,658,611,186,853,569,730
orf19.2451,194,114,140,1574,1674,575,2403,1684,2132
orf19.2449,0,0,0,0,0,2,0,2,4
orf19.2447,22,4,22,84,70,52,146,90,84
orf19.2446,10,0,2,44,56,30,136,71,94
orf19.2445,4,6,0,6,2,2,14,10,6
orf19.2444,30,22,28,142,230,100,148,134,198
orf19.2443,32,16,26,94,82,54,212,90,144
orf19.2442,4,0,2,6,10,10,18,8,10
orf19.2440,35,20,22,36,60,51,75,62,60
orf19.2439.1,131,62,86,407,510,300,805,545,831
orf19.2439,95,38,34,237,291,206,348,249,372
orf19.2438,42,14,18,132,182,170,208,155,260
orf19.2437,62,30,32,86,80,38,190,90,106
orf19.2436,80,44,46,60,142,100,140,122,220
orf19.2435,346,160,210,1900,2452,1775,2412,2154,2918
orf19.2434,22,14,12,58,52,32,54,44,58
orf19.2433,4,0,0,0,6,0,2,0,4
orf19.2432,167,64,76,144,168,94,195,115,173
orf19.2431,0,0,0,14,10,2,2,0,2
orf19.2430,0,0,0,0,0,0,0,0,0
orf19.2429,0,0,2,0,0,0,0,0,1
orf19.2661,3,7,1,4,0,6,4,7,4
orf19.2662,0,0,0,0,0,0,0,0,0
orf19.2663,44,24,18,45,51,37,147,91,130
orf19.1828,10,2,0,50,72,52,65,54,69
orf19.1827,2,0,0,0,2,0,5,4,2
orf19.1826,1088,441,726,280,316,153,1144,371,565
orf19.1825,0,0,0,41,48,35,162,86,152
orf19.1824,0,0,0,0,0,0,0,0,0
orf19.1823,2,0,12,24,18,4,136,66,88
orf19.1822,0,0,2,0,2,2,12,8,11
orf19.1821,0,0,0,0,0,0,0,0,0
snR5b,0,0,0,0,0,0,0,0,2
snR44a,0,0,0,0,0,0,0,1,0
orf19.177,4,6,6,94,142,80,226,196,170
orf19.6280,0,0,0,0,0,0,0,1,0
orf19.6277,0,0,0,0,2,0,4,4,2
orf19.6276,92,48,62,110,80,44,98,108,114
orf19.6275,24,4,8,44,60,38,94,47,82
orf19.6274,0,0,0,0,0,0,0,0,0
orf19.6273,27,12,16,16,27,34,14,14,9
orf19.6272,7,11,5,23,22,4,11,13,20
orf19.6271,108,50,71,281,328,231,292,237,327
orf19.6269,22,6,8,30,54,22,76,32,48
orf19.6268,32,22,18,134,82,62,150,122,108
orf19.6267,12,4,0,0,0,0,2,0,0
orf19.6266,38,26,24,92,210,122,126,96,148
orf19.6265.1,456,242,256,2611,3190,2292,4618,3712,4725
orf19.6265,280,204,144,1308,1844,1312,2354,2132,2820
orf19.6264.4,277,117,137,1098,1388,1021,2083,2007,2293
orf19.6264.3,50,32,34,133,204,124,262,198,331
snR189a,1,0,0,4,2,0,0,4,5
orf19.6264,23,26,6,22,45,22,71,60,89
orf19.6263,54,42,32,72,102,80,96,102,146
orf19.6261,88,48,52,40,46,12,194,88,184
orf19.6260,62,34,40,220,384,240,400,324,434
orf19.6259,76,50,28,75,138,82,68,89,176
orf19.6257,358,152,182,5501,5333,3514,9775,5230,7527
orf19.6255,16,12,12,38,42,22,51,42,50
orf19.6254,14,6,12,645,651,370,673,404,425
orf19.6253,550,347,313,3156,4035,2989,5752,5216,6254
orf19.6252,148,52,50,206,200,194,336,248,342
orf19.6250,671,261,380,717,812,629,1048,781,1097
orf19.6249,0,2,2,20,14,10,10,8,14
orf19.6248,0,2,0,0,0,0,1,0,2
orf19.6247,34,14,24,228,238,158,428,382,520
orf19.6247.1,53,32,32,78,97,71,118,100,127
orf19.6246,85,50,46,54,60,38,106,72,88
orf19.6245,777,406,456,98,70,48,304,122,132
orf19.6244,28,16,28,62,50,62,84,62,82
orf19.6243,28,14,32,32,30,10,98,34,62
orf19.6242,6,10,2,20,30,16,72,56,58
orf19.6240,20,14,10,58,100,37,228,132,149
orf19.6239,62,38,36,65,94,40,130,82,80
orf19.6238,8,6,14,26,30,22,65,42,60
orf19.6237,85,31,41,229,231,141,349,194,262
orf19.6236,104,50,80,106,200,196,108,168,232
orf19.6235,18,6,10,6,12,4,16,16,12
orf19.6234,144,56,74,260,396,340,254,272,358
orf19.6233,102,62,50,236,284,262,210,208,300
orf19.6232,142,68,76,809,390,194,1398,604,551
orf19.6231,40,60,46,250,328,186,385,333,429
orf19.6230,92,44,50,92,132,100,72,76,124
orf19.6229,4685,2754,2849,5346,4935,2437,4626,2815,4566
orf19.6227,135,40,92,136,226,194,152,158,255
snR44b,4,4,2,4,8,4,9,2,2
orf19.6225.1,28,17,16,46,39,51,89,64,84
orf19.6225,79,28,58,187,178,64,335,200,204
orf19.6224,52,20,16,62,52,12,268,124,86
orf19.6222.1,0,0,0,0,0,0,0,2,2
orf19.6222,0,0,0,4,0,2,4,0,12
orf19.6220.4,432,264,301,2686,2982,2676,4628,4598,4875
orf19.6220.3,134,28,90,86,102,40,398,246,276
orf19.6220,36,16,48,134,150,114,116,142,228
orf19.6219,10,6,2,142,134,97,288,158,282
orf19.6217,162,88,92,1574,1665,1255,1421,1150,1395
orf19.6214,220,82,130,198,194,100,282,141,196
tP(AGG)1,0,0,0,0,2,0,0,0,3
orf19.6213,196,128,130,758,1026,868,996,918,1181
orf19.6211,167,82,108,145,143,74,338,168,246
orf19.6209,138,60,73,144,184,162,166,208,254
tL(UAA)4,0,2,0,0,2,0,0,0,0
orf19.6208,56,45,35,482,594,483,584,527,623
orf19.6205,42,10,22,42,42,46,130,86,110
orf19.6203,76,24,30,114,126,94,216,132,154
orf19.6202,17,17,10,47,28,41,330,241,274
orf19.6200,0,0,0,0,0,0,4,0,0
orf19.6199,12,14,2,44,68,36,92,48,59
orf19.6198.1,20,12,22,72,86,53,88,56,91
orf19.6197,54,30,20,144,99,56,137,92,87
orf19.6196,18,8,22,25,17,5,41,10,31
orf19.6195,82,44,56,254,338,254,274,322,384
orf19.6194,12,4,6,10,10,10,24,14,21
orf19.6193,138,64,74,238,242,160,508,384,424
orf19.4456,1043,530,552,827,1237,838,817,652,1076
orf19.4455,60,32,58,122,188,142,126,138,202
orf19.4451,105,50,62,132,278,224,318,243,300
orf19.4450.2,5,12,7,10,20,16,16,11,22
orf19.4450.1,345,192,216,2,3,0,6,1,3
orf19.4450,20,8,14,69,64,37,144,91,114
orf19.4449,54,28,40,56,93,32,130,74,132
orf19.4448,107,58,64,182,224,158,276,195,320
orf19.4447,12,6,4,322,428,324,508,452,536
orf19.4446,54,14,38,148,198,140,243,156,194
orf19.4445,237,114,146,64,146,60,202,152,142
orf19.4444,14,2,10,6,4,2,48,28,20
orf19.4443,50,20,28,86,94,58,154,128,156
orf19.4442,24,12,22,71,78,58,142,114,142
orf19.4441,22,12,4,82,48,42,108,42,74
orf19.4440,24,28,18,70,64,62,178,143,162
orf19.4439.1,2,2,4,6,4,5,8,5,9
orf19.4439,0,4,2,8,3,4,2,5,6
tL(AAG)2,0,0,0,2,2,0,0,0,0
snR43a,0,2,0,6,8,8,6,1,7
orf19.4438,18,10,14,74,81,46,83,91,131
orf19.4437,59,18,32,330,380,258,581,414,689
orf19.4436,26,10,10,2,20,10,22,7,11
orf19.4435,40,26,28,122,171,110,380,304,449
orf19.4433,2,4,0,51,48,27,148,70,102
orf19.4432,88,51,46,84,97,87,194,103,126
orf19.4430,60,22,18,194,186,90,283,174,168
orf19.4428,31,21,31,45,62,33,64,46,62
orf19.4427,170,104,92,200,240,141,287,168,347
orf19.4426,15,8,14,295,227,192,464,250,326
orf19.4424,4,0,0,1,2,0,0,0,0
orf19.4423,194,88,97,185,188,102,294,224,176
snR42a,1,4,2,12,8,2,8,6,9
orf19.2799,6,4,6,58,76,48,108,66,102
orf19.2798,4,2,0,14,30,24,58,54,62
orf19.2797,4,0,2,0,0,2,0,2,0
orf19.2796,2,0,4,58,82,60,170,126,203
orf19.2795,109,56,42,479,709,524,717,653,761
orf19.2794,8,4,10,100,128,74,112,104,104
orf19.2792,80,26,38,28,31,16,92,66,61
orf19.2800,6,4,2,9,5,4,11,14,14
orf19.2791,604,280,330,216,166,62,657,302,492
orf19.2790,10,2,8,72,82,55,144,119,104
orf19.2789,26,16,28,41,56,26,59,32,46
orf19.2788,22,14,12,46,44,18,32,24,32
orf19.2787,84,32,44,1101,783,244,2203,1199,1274
orf19.2786,24,20,18,126,110,66,306,144,182
orf19.2785,236,102,128,667,839,474,1176,850,1180
orf19.2784,0,0,0,0,8,0,10,4,8
orf19.2783,0,0,0,2,0,0,2,0,2
orf19.2782,54,34,34,170,155,142,168,183,177
orf19.2781,8,2,4,38,22,10,62,38,32
orf19.2779,20,0,10,15,28,14,33,34,29
orf19.2778,14,0,8,16,28,26,14,18,26
orf19.1227,2,0,4,10,4,4,54,11,31
orf19.1228,50,20,34,23,38,30,101,53,43
orf19.1229,75,4,32,49,115,86,88,78,157
orf19.1232,49,32,24,308,522,276,620,487,700
orf19.1233,220,84,102,632,811,661,697,734,970
orf19.4712,0,0,0,2,6,0,10,4,4
orf19.4713,28,10,19,90,78,52,249,164,179
orf19.5049,42,18,10,36,126,99,38,68,118
orf19.5050,18,12,6,148,178,142,118,122,166
orf19.5051,10,4,6,34,60,22,90,76,94
orf19.5052,18,13,26,31,33,17,62,46,58
orf19.5053,10,3,4,13,6,16,30,35,26
orf19.5054,73,32,48,281,245,135,474,316,382
orf19.5056,2,4,2,20,16,6,48,22,42
orf19.5057,0,0,0,6,13,8,52,24,44
orf19.5058,1122,602,770,664,572,403,1300,886,981
orf19.5059,214,144,104,124,252,176,276,202,334
orf19.5061,230,174,146,1394,1519,1314,2041,1617,2057
orf19.5063,62,24,28,716,766,601,930,721,1085
orf19.5064,75,54,63,278,392,307,340,329,466
orf19.5064.1,35,23,24,112,112,78,152,141,194
orf19.5065,4,4,4,16,4,16,12,18,16
snR67,2,2,0,4,1,2,6,10,0
orf19.5066,48,14,12,42,88,90,60,46,82
orf19.5067,48,10,18,20,80,64,40,48,106
orf19.5068,222,124,116,290,353,195,417,312,357
orf19.5069,43,20,26,6,15,3,20,10,10
orf19.5070,46,8,30,4,0,0,12,2,6
orf19.5071,4,12,12,88,91,52,109,91,137
orf19.5073,24,12,16,338,410,324,274,151,284
orf19.5074,31,12,10,102,144,136,144,136,175
orf19.5076,170,82,88,328,423,214,345,202,372
orf19.5076.1,115,42,89,36,31,16,49,22,45
orf19.5077,179,60,81,411,459,289,670,552,712
orf19.5078,88,22,49,64,66,18,188,65,156
orf19.5079,3594,1740,1940,6,10,6,34,24,56
orf19.5079.1,79,75,50,241,321,241,373,301,461
orf19.5081,494,268,328,3320,3721,3274,3403,3373,4031
orf19.5083,141,92,62,402,491,445,390,441,510
orf19.5085,108,118,80,1445,1686,1153,1269,1124,1376
orf19.5087,50,38,34,110,105,40,186,143,182
orf19.5089,10,0,2,62,78,44,118,100,122
orf19.5090,0,0,0,30,24,32,56,47,68
orf19.5092,0,0,0,2,4,0,6,5,7
orf19.5093,52,34,34,116,125,74,162,159,173
orf19.5094,26,12,12,72,40,48,399,200,266
orf19.5095,353,223,216,358,408,232,812,530,628
orf19.5097,4,6,2,54,48,36,342,108,196
orf19.5098,44,28,38,86,80,48,156,96,148
orf19.5100,70,52,48,878,800,598,934,766,930
orf19.5101,282,129,162,337,303,173,462,296,387
orf19.5102,180,134,126,104,122,22,356,158,254
orf19.5103,38,26,26,26,26,18,26,16,29
orf19.5104,78,36,20,152,112,82,122,96,142
orf19.5105,74,57,47,378,413,301,634,428,515
orf19.5106,190,114,118,460,778,632,404,424,642
orf19.5107,222,110,146,242,308,208,422,287,378
orf19.5110,66,38,39,263,264,152,350,300,314
orf19.5112,450,258,306,74,204,36,726,370,692
orf19.5113,1951,1080,1115,3209,3536,930,23162,10406,23239
orf19.5114,26,8,14,62,46,28,154,104,115
orf19.5114.1,2170,1053,1205,28,50,40,313,35,101
orf19.5117,12199,6306,7118,3215,3678,2507,5582,3418,4799
orf19.5118,1790,844,1018,569,498,268,1350,732,869
orf19.382,2358,1302,1284,10891,11605,8345,17060,13500,16308
orf19.384,96,22,32,162,154,112,306,228,278
orf19.385,842,634,698,122,142,128,551,144,250
orf19.386,24,14,14,300,390,376,373,277,354
orf19.387,76,38,48,312,430,292,586,478,540
orf19.388,120,30,66,134,104,76,252,116,188
orf19.389,0,0,2,8,20,6,38,42,52
orf19.390,53,38,33,338,291,253,493,364,443
orf19.391,48,40,26,77,94,61,185,146,160
orf19.392,16,10,10,78,80,64,118,103,159
orf19.393,40,16,20,88,90,66,190,98,94
orf19.394,16,8,14,154,142,102,356,232,266
orf19.395,6856,4090,3944,56,140,44,345,116,268
orf19.396,8,10,2,18,20,16,52,42,39
orf19.397,16,0,10,100,100,108,100,100,124
orf19.398,14,4,4,10,10,2,16,10,10
orf19.399,393,168,158,202,180,126,412,244,248
orf19.400,58,22,31,116,112,83,440,327,364
orf19.401,112,64,60,620,635,479,745,571,774
orf19.403,4,0,6,135,80,30,302,116,68
orf19.405,66,56,46,221,245,130,570,385,493
orf19.406,26,22,22,418,437,425,602,490,623
orf19.407,132,100,82,278,370,320,424,406,452
orf19.409,903,394,507,222,275,218,379,223,500
orf19.4720,71,40,35,60,78,58,90,55,63
orf19.4721,59,36,40,160,196,156,202,167,270
orf19.4722,103,46,62,26,30,16,63,54,65
orf19.4723,6,6,12,125,101,67,131,84,119
orf19.12187,14,6,14,62,76,64,66,84,104
orf19.4725,4,2,6,327,324,196,514,357,575
orf19.4726,86,38,48,68,64,52,124,68,100
orf19.4727,50,18,22,134,144,106,218,144,192
orf19.4728,280,136,156,454,500,389,692,473,520
orf19.4730,14,10,10,52,86,70,84,76,116
orf19.4731,16,10,2,80,92,50,245,159,167
orf19.4732,390,219,256,2249,2208,1678,1738,1064,1586
orf19.4733,10,0,0,9,18,16,92,62,45
orf19.4734,14,2,4,28,63,30,70,54,70
orf19.4735,14,10,12,48,40,26,162,76,192
orf19.4736,71,62,74,334,313,232,685,321,532
orf19.4737,100,38,38,0,6,2,31,18,16
orf19.4738,48,20,36,28,42,18,48,57,74
orf19.4739,305,184,168,1242,1685,1291,1329,1183,1510
orf19.4740,18,22,8,18,36,28,30,30,30
orf19.4741,4,2,2,0,10,2,8,5,16
orf19.4742,21,12,10,9,8,8,16,16,8
orf19.4743,42,18,24,28,48,24,90,62,66
orf19.4744,46,36,26,90,136,80,200,146,170
orf19.4746,164,78,102,280,478,448,254,343,562
orf19.4747,54,12,14,28,40,36,84,60,89
orf19.4748,0,0,2,4,6,6,12,5,13
orf19.4749,8,8,10,26,30,12,32,24,34
orf19.4750,20,6,12,68,62,44,67,34,80
orf19.4751,48,22,16,168,206,156,184,200,292
orf19.4751.1,30,26,34,88,103,74,165,114,142
orf19.4752,84,46,56,40,35,10,114,38,34
orf19.4753,704,318,344,228,180,110,330,220,244
snR190,13,0,10,9,14,18,8,10,16
snR128,45,36,44,176,162,120,115,98,155
orf19.4754,136,58,78,104,114,36,475,181,284
orf19.4755,68,28,56,363,448,242,390,273,383
orf19.4756,22,8,24,26,22,10,38,6,21
orf19.4757,94,46,48,94,140,108,156,160,218
orf19.4758,198,122,106,361,420,280,513,430,614
orf19.4759,344,154,184,832,890,573,1396,948,1299
orf19.4760,83,44,42,54,151,122,74,72,158
orf19.4761,8,4,6,51,42,27,90,102,156
orf19.4763,13,3,10,2,4,2,14,15,4
orf19.4764,90,32,72,58,46,22,136,70,96
orf19.4765,4,4,0,213,275,195,1049,1064,1418
orf19.4766,54,20,12,109,124,74,160,106,120
orf19.4767,24,0,6,46,56,23,62,30,30
orf19.4768,10,6,12,40,57,42,64,42,48
orf19.4769,91,38,33,167,278,173,307,331,438
orf19.4771,48,32,26,4,18,10,55,44,69
orf19.4772,67,39,38,76,78,84,114,98,132
orf19.4773,1188,506,764,6,4,12,30,8,34
orf19.4774,107,48,44,17,16,4,46,20,38
orf19.4775,495,196,269,212,480,376,250,332,630
orf19.4776,30,14,12,68,76,40,152,110,152
orf19.4777,311,178,212,12,22,6,84,38,56
orf19.4778,18,10,24,42,30,36,161,80,98
orf19.4779,220,100,125,150,194,126,426,258,398
orf19.4780,106,52,56,58,68,26,202,95,158
orf19.4781,14,10,2,90,58,54,188,94,156
orf19.4783,4,0,2,46,26,18,20,32,44
orf19.4784,118,68,58,7654,6302,5524,5096,3646,5452
orf19.4785,120,46,60,174,130,76,220,160,158
orf19.4786,10,2,8,2,6,6,18,8,6
orf19.4787,38,16,26,104,112,98,194,144,224
orf19.4788,36,34,20,656,1392,638,4212,3919,5086
orf19.4789,0,0,0,0,6,4,12,6,14
orf19.4791,51,26,32,12,10,6,28,10,26
orf19.4792,750,255,415,22,168,234,86,153,646
orf19.4793,59,30,37,90,177,125,92,125,199
orf19.4795,109,36,44,6,4,2,98,46,70
orf19.4796,58,24,32,246,320,256,287,294,422
orf19.4798,197,106,138,629,551,383,825,611,774
orf19.4799,310,146,156,66,172,176,194,184,266
orf19.4800,150,66,78,46,18,6,147,58,60
orf19.4801,6,8,6,20,42,37,38,49,87
orf19.4802,28,18,20,56,46,43,78,24,76
orf19.4803,0,0,0,0,0,0,0,2,0
orf19.4804,0,0,0,2,0,0,2,2,0
orf19.4805,50,24,10,120,167,120,166,90,226
orf19.4807,14,8,12,175,156,96,252,135,229
orf19.4808,80,46,62,290,350,216,490,400,532
orf19.4809,62,44,48,246,274,247,356,314,406
orf19.4811,32,8,12,216,216,226,256,182,310
orf19.4812,12,8,4,22,34,30,46,32,36
orf19.4813,482,350,294,3223,3651,2822,3348,3276,3696
orf19.4814,0,0,0,0,2,0,0,0,2
orf19.4815,202,134,92,608,946,832,546,514,776
orf19.4816,60,38,30,48,82,72,99,85,136
orf19.4817,14,2,6,27,32,14,58,30,52
orf19.4818,64,22,39,144,182,167,177,202,242
orf19.4819,0,0,0,4,0,0,2,2,6
snR31a,0,2,0,0,6,5,0,3,4
orf19.4820,88,46,36,84,119,92,148,136,222
orf19.4821,35,16,22,62,30,14,256,66,161
orf19.4822,0,0,0,0,0,0,0,0,0
orf19.4823,32,14,10,2,6,10,28,12,18
orf19.4824,67,12,20,42,46,18,88,41,101
orf19.4825,16,10,8,30,26,8,50,36,46
orf19.4826,556,294,312,2144,2528,1895,3150,2595,3433
orf19.4827,540,350,318,1662,1822,1298,2486,1894,2504
orf19.4828,293,151,180,212,175,78,377,211,242
orf19.4829,32,14,10,158,142,110,220,128,174
orf19.4830,0,0,0,30,40,24,82,72,118
orf19.4831,54,58,40,1346,1550,1164,1523,1295,1968
orf19.4833,973,704,740,1421,1424,670,8231,2550,4357
orf19.4834,0,0,0,0,0,0,0,0,0
orf19.4835,190,76,71,237,419,367,218,273,409
orf19.4836,108,69,64,200,227,159,376,272,383
orf19.4837,32,16,14,12,16,8,60,62,60
orf19.4837.1,6,2,6,4,2,2,2,6,3
orf19.4839,60,34,28,170,163,134,196,176,224
orf19.4841,44,16,28,64,74,26,104,56,86
orf19.4842,28,10,14,30,6,14,28,10,22
orf19.4843,84,22,52,106,62,39,139,50,80
orf19.4844,56,34,44,132,142,166,148,135,228
orf19.4845,53,8,20,112,109,59,162,117,139
orf19.4846,10,6,12,34,39,41,25,31,79
orf19.4847,0,0,0,0,0,0,0,0,0
orf19.4848,72,42,38,296,238,210,310,247,291
orf19.4849,201,52,108,159,252,154,139,156,371
orf19.4850,247,121,162,78,66,53,147,85,189
orf19.4851,24,14,26,124,98,77,143,108,206
orf19.4853,0,2,0,38,46,38,135,78,153
orf19.4855,4,0,2,36,36,34,38,22,40
tS(CGA)1,0,0,0,0,0,0,0,0,2
orf19.4856,2,0,0,2,12,2,2,0,2
orf19.4857,20,10,14,78,122,51,106,80,126
orf19.4858,70,22,40,82,66,41,124,104,119
orf19.4861,5,0,2,8,2,2,12,15,17
orf19.4861.1,4,4,4,6,4,8,22,8,12
orf19.4862,54,13,32,77,75,26,102,53,94
orf19.4862.2,49,26,30,159,230,152,154,152,184
orf19.4863,24,15,10,58,77,52,76,90,72
orf19.4864,85,34,58,48,74,22,161,70,138
orf19.4865,16,14,10,156,146,92,288,197,309
orf19.4866,116,50,83,94,123,113,144,106,202
orf19.4867,412,164,258,80,112,52,502,360,556
orf19.4869,57,32,31,182,216,129,127,135,213
orf19.4870,372,200,208,606,1146,904,546,502,798
orf19.4871,429,216,234,138,329,229,175,146,399
orf19.4872,2,0,2,0,0,0,0,0,0
orf19.4873,7,2,3,3,2,0,65,3,8
orf19.4874,61,35,36,56,143,78,178,175,323
orf19.4875,12,8,16,60,79,60,72,59,72
orf19.4878,134,52,118,226,164,104,538,280,397
orf19.4879.2,92,26,56,148,222,170,404,294,370
orf19.4880,6,0,0,38,44,26,44,43,26
orf19.4882,182,76,112,234,234,180,304,211,259
snR10a,12,8,2,8,29,25,15,19,23
orf19.4883,130,84,84,332,232,86,1264,914,698
orf19.4884,2,0,0,0,0,0,0,2,0
orf19.4885,420,261,281,2876,3210,2431,5297,4072,5405
orf19.4886,193,82,100,0,0,0,0,0,0
orf19.4887,377,162,217,89,52,12,192,89,56
orf19.4888,74,22,31,85,90,72,161,74,159
orf19.4889,102,70,80,303,506,401,311,316,457
orf19.4890,22,6,26,132,191,158,309,186,355
orf19.4892,140,65,106,103,185,173,109,136,307
orf19.4893,200,70,97,112,89,40,253,144,163
orf19.4894,8,6,4,32,28,4,170,40,80
orf19.4895,6,6,16,38,78,64,36,44,90
orf19.4896,50,36,24,164,299,290,204,221,272
orf19.4897,12,8,12,55,62,60,84,65,74
orf19.4898,74,62,54,10,12,0,36,20,34
orf19.4899,32,18,20,26,18,6,92,32,48
orf19.4900,4,4,4,2,4,2,4,6,6
orf19.4901,48,22,24,12,25,0,32,22,28
orf19.4903,24,6,12,32,16,6,48,44,11
orf19.4904,24,4,6,29,32,24,38,12,37
orf19.4905,16,14,14,4,11,11,40,13,24
orf19.4906,42,18,36,312,526,298,440,298,630
orf19.4907,100,62,42,4,10,10,12,15,15
orf19.4908,0,0,2,0,0,0,0,0,0
orf19.4909,86,46,49,541,480,380,703,550,641
orf19.4909.1,483,232,228,2281,2691,2255,4118,3706,4425
orf19.4910,5,5,10,2,6,6,12,6,9
orf19.4911,18,12,14,12,6,0,8,0,18
orf19.4912,54,42,56,146,108,68,203,112,134
orf19.984,0,0,0,0,0,0,4,0,6
orf19.985,110,42,54,158,261,202,247,240,353
orf19.986,856,492,499,173,533,392,186,218,457
orf19.988,81,44,54,52,42,33,149,112,128
orf19.989,214,152,156,730,874,642,1082,808,1252
orf19.991,181,139,136,165,218,203,300,244,270
orf19.992,258,138,154,166,206,162,372,258,302
orf19.993,20,6,24,22,14,4,32,23,30
orf19.994,6,2,0,39,26,16,90,46,30
orf19.996,4,2,4,18,8,20,49,18,45
orf19.997,48,38,36,91,106,50,116,84,128
orf19.998,18,14,10,56,78,46,126,96,64
orf19.999,87,38,36,99,76,36,223,101,191
orf19.1002,6,6,8,45,44,22,42,40,38
orf19.1005,2,2,2,4,2,0,0,4,2
orf19.1830,26,6,11,74,121,48,157,134,142
snR62,4,1,0,0,1,0,2,2,7
orf19.1831,0,0,0,0,2,0,7,6,3
orf19.1832,40,18,16,240,258,160,404,226,330
orf19.1833,254,140,137,1310,1748,1553,1675,1611,1879
orf19.1834,0,0,4,26,34,34,50,44,64
orf19.1835,32,14,22,162,184,180,293,260,386
orf19.1836,4,2,4,60,81,64,72,62,111
orf19.1837,134,78,66,183,250,194,282,216,343
orf19.1839,92,74,92,1768,2548,1764,1882,1776,2298
orf19.1840,442,234,254,283,344,158,895,542,798
orf19.2352,10,2,4,76,54,34,92,56,104
orf19.2351,48,16,12,40,46,8,154,86,102
orf19.2350,6,0,1,8,6,14,12,8,22
orf19.2347,22,14,16,385,446,351,652,621,763
orf19.2346,100,58,58,144,112,74,276,124,167
orf19.2344,898,344,530,12,14,2,22,2,20
orf19.2343.1,10,4,8,64,82,39,128,97,127
orf19.2343,12,2,12,50,16,18,78,48,50
orf19.2342,42,28,18,56,32,20,66,20,48
orf19.2341,83,40,44,60,70,26,116,52,156
orf19.2340,1050,620,647,2427,2470,1450,2708,1443,2194
orf19.2337,12,8,4,32,60,36,134,132,224
orf19.2336,0,0,0,0,0,0,0,0,1
orf19.2335,46,12,12,26,36,24,58,62,95
orf19.2334,34,26,26,26,26,4,28,27,40
orf19.2333,254,138,179,148,158,136,236,122,188
orf19.2332,0,0,0,0,0,2,0,6,2
orf19.2331,97,51,56,138,107,87,237,205,260
orf19.2329.1,673,334,326,3885,4526,3719,7140,6548,7521
orf19.2330,226,150,146,300,628,503,233,293,574
orf19.2328,77,31,28,108,126,67,173,119,160
tI(UAU)1,0,0,0,4,6,0,4,2,2
orf19.2326,104,34,56,76,96,102,196,160,182
orf19.2325,30,14,24,38,64,30,124,105,105
orf19.2324,49,14,16,98,172,132,94,125,141
orf19.2322.3,20,10,12,468,498,345,682,564,769
orf19.2320,96,54,68,166,222,274,132,132,244
orf19.2318.1,50,10,14,72,100,80,104,107,126
orf19.2319,142,122,106,644,906,830,632,575,830
orf19.2317,0,0,0,0,2,2,1,8,4
orf19.2315,189,81,119,110,106,110,178,122,224
orf19.2314,71,51,36,69,163,176,74,128,209
orf19.2313,48,22,34,70,48,46,152,86,136
orf19.2312,57,26,36,18,18,14,48,22,32
