Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
ENP1,130,367,307,78,77,312
ENP2,126,577,416,189,188,538
ENT3,4404,3727,4842,1144,1186,1812
EPL1,1006,1156,831,303,344,570
ERB1,379,619,464,124,146,499
ERD1,47,97,54,51,53,35
ERF1,2368,2437,3088,988,1008,1963
ERG1,13991,20085,22611,16778,17801,16886
ERG10,22777,19207,28729,32198,37706,32835
ERG11,6456,10412,11465,11158,10958,16505
ERG12,2017,1758,1655,1086,1116,1479
ERG13,7479,6780,8464,5758,6702,8619
ERG2,557,806,905,1680,1770,1150
ERG20,558,587,796,280,242,489
ERG24,3328,3223,4390,3175,3500,3231
ERG25,489,929,1031,1306,1424,1183
ERG251,4785,9660,12636,10711,10031,10140
ERG26,2352,1871,2687,1169,1151,1867
ERG27,1358,1305,1952,1504,1552,2105
ERG28,76,102,93,194,94,100
ERG3,1527,1857,2544,2296,2408,4047
ERG4,2522,2796,4506,3371,3624,3470
ERG5,5327,7784,7981,14300,15748,19626
ERG6,1560,2969,3901,3674,3773,5528
ERG7,3920,3270,3798,3039,3304,3115
ERG8,1923,1790,1650,659,702,1007
ERG9,734,893,1000,686,565,673
ERO1,7012,7503,9955,1431,1616,2528
ERP5,5412,4589,5488,1586,1637,2121
ERV1,146,121,141,39,36,77
ERV25,6270,4701,6835,2141,2309,2508
ERV29,3820,3553,6802,1451,1544,1845
ERV46,5063,5425,7041,2526,2925,2338
ESA 1.00,822,645,965,148,153,405
ESC4,146,124,75,27,26,78
ESP 1,203,244,163,177,167,168
ESS1,930,564,614,152,137,294
EST1,1846,2113,2046,2650,2568,2104
EST3,28,37,29,27,26,29
ETR1,1583,2338,1707,759,652,1084
EXG2,475,437,449,210,224,376
EXM2,251,120,126,18,30,99
EXO1,346,364,271,82,89,252
EXO70,703,370,562,131,124,244
EXO84,418,256,330,23,31,88
FAA2,157,134,150,81,89,171
FAA21,158,248,331,66,86,168
FAA2-1,217,508,457,169,150,205
FAA2-3,153,290,156,144,158,131
FAA4,13328,7839,13844,6979,7841,10996
FAB1,431,413,340,104,80,174
FAD1,646,432,857,43,56,173
FAD2,8509,8889,12868,10245,11068,12828
