,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C5_00790C,68.2946,73.2194,81.103,95.4789,63.9827,87.4305,64.0177,78.6858,81.2399,72.8692,87.0328,84.6345
C5_00800C,182.3092,152.6637,161.1332,210.775,189.1898,203.9382,172.5755,135.7541,166.6205,228.308,207.446,190.8974
C5_00810C,2.13163,1.529025,1.294466,2.0898,2.69503,2.297816,0.829607,1.134717,1.140879,1.119184,1.032522,1.002769
C5_00820W,45.1649,55.5859,70.2767,81.0807,129.2357,105.8012,35.7447,61.8001,60.5148,71.1132,91.1989,71.3448
C5_00830C,101.9527,88.9718,101.6487,91.1666,70.88,93.4482,89.1438,77.5381,90.1001,80.5633,69.5678,75.9202
C5_00840W,16.91845,19.61662,20.9893,15.6049,16.37,18.22293,20.2876,22.77,20.0418,13.82341,19.06713,19.96392
C5_00850C,47.545,38.9049,49.4617,80.2715,132.5155,120.5027,17.68491,23.27623,27.5325,27.009,24.0277,34.7868
C5_00860W,43.4949,43.6526,46.1055,96.1393,107.1442,114.6568,43.4478,33.1906,42.2835,62.9671,60.2266,51.08
C5_00870C,0.743253,0.764935,0.930912,1.569664,2.09963,1.610099,0.795478,0.952033,1.355543,0.972537,1.237559,1.842906
C5_00880C,147.0781,141.3619,137.7358,195.3096,123.562,155.4266,62.5173,80.0505,104.7681,74.1366,95.7676,82.0388
C5_00890C,65.5874,36.1464,32.21,32.023,19.49082,24.8914,17.02923,17.5504,21.0981,18.19837,18.90597,18.11049
C5_00900C,57.705,82.1122,81.1612,87.1106,117.3247,95.1755,64.1494,78.2271,63.3635,64.6909,89.6215,64.0597
C5_00910C,27.1121,37.204,32.6186,31.1243,39.8342,33.2386,21.71609,25.6058,22.8346,37.883,36.281,41.8625
C5_00920W,41.9464,47.2815,34.5699,37.794,46.972,39.5852,36.537,43.8606,43.6456,54.0752,40.2214,50.7408
C5_00930C,847,885.302,755.132,1278.466,1408.878,1332.748,870.746,740.168,675.867,1114.425,1191.294,1009.611
C5_00940C,37.6733,38.0847,39.9969,29.7637,35.8641,31.6905,34.8967,38.6874,41.9543,24.1548,32.5096,29.3882
C5_00950C,51.1086,48.2162,52.4252,83.3628,73.6696,84.7526,43.3951,43.7992,44.8615,69.7575,66.4174,62.6736
C5_00980W,38.4615,41.2154,42.8762,51.8101,46.6274,43.2672,38.1309,46.791,52.0751,45.1933,50.6547,59.4456
C5_01000C,153.3192,135.3396,151.7513,193.085,168.7131,187.4122,130.1576,128.787,136.4244,154.3564,151.6329,144.2599
C5_01010W,22.2205,22.9417,23.059,17.53185,18.512,17.1596,15.0745,41.341,33.0366,14.45272,26.5861,23.5109
C5_01020C,48.5372,41.5273,41.0164,34.6851,28.0581,29.8701,37.5527,80.1273,70.9524,24.0638,60.759,58.2517
C5_01040W,49.707,54.593,40.5756,37.6031,45.2692,50.414,32.0787,45.94,35.0373,51.4169,63.9532,54.7065
C5_01050C,68.4844,82.8499,97.4281,152.4463,226.428,181.623,59.9649,77.2898,79.4807,120.1966,132.632,109.491
C5_01060C,9.6549,9.49817,9.66223,37.3604,37.3202,47.3346,6.50392,5.42484,8.06833,14.22209,15.2384,15.42906
C5_01070C,34.1999,31.0889,29.6399,27.7329,35.2558,35.5035,31.5898,33.7792,48.2589,31.1264,29.6657,36.3672
C5_01080C,192.4916,192.4132,186.423,105.9811,88.233,97.6117,147.7439,147.5639,143.4682,113.334,108.7303,112.101
C5_01090C,70.001,61.4608,63.8755,63.3289,42.879,43.7021,61.5874,55.3682,61.7248,70.6216,67.7205,72.6728
C5_01100C,48.0857,71.8105,53.3634,41.5863,54.3858,31.4418,40.9856,75.0566,57.8912,52.1106,82.1051,88.1106
C5_01110W,54.9313,47.7022,52.7023,56.4986,61.3591,65.3463,50.5616,60.3471,56.2723,44.9954,44.7986,46.3039
C5_01120W,0.576633,1.926002,0.241143,0.154683,0.900678,0.65679,0.861332,0.883583,0.33044,0.624428,0.163769,0.372362
C5_01130W,25.5922,38.8271,40.6507,111.03,119.5091,127.2474,20.9049,33.3302,37.2723,56.7012,54.9975,48.8053
C5_01140C,23.7083,26.1042,35.4264,66.0768,79.0623,70.2853,21.0352,23.7696,27.655,38.6348,46.3595,36.5822
C5_01170W,30.0305,30.6094,31.1832,42.765,28.9138,38.7168,23.7346,24.6015,29.4913,26.3701,34.0677,34.7403
C5_01180W,47.0435,47.252,58.0148,87.5129,68.7904,99.723,36.9098,43.5051,52.9723,62.1599,64.4028,62.7895
C5_01190W,48.7823,40.5958,49.7225,56.2035,50.0376,58.4436,43.7667,39.5415,48.8013,53.7543,63.2579,60.2113
C5_01200W,103.3797,103.8502,93.6176,114.5084,108.8619,106.6268,112.938,95.5809,93.9475,141.2301,116.1516,117.5278
C5_01210W,115.1195,99.6773,128.3181,264.745,279.432,315.826,94.9075,82.9491,112.5405,121.5011,107.669,116.9409
C5_01220W,15.12681,21.48721,24.3076,26.8907,37.1851,27.1638,14.19974,22.836,20.20719,16.72188,25.232,24.2065
C5_01230C,334.745,311.593,297.886,313.523,389.215,353.382,351.206,294.566,285.017,289.439,235.482,287.623
C5_01240W,23.791,34.4699,34.7269,49.0818,51.7881,63.6693,17.40778,32.9894,47.906,26.1879,36.8152,42.4979
C5_01250W,31.5665,35.8145,40.6639,59.2858,71.7417,51.046,18.67516,30.5152,33.1773,35.8922,55.0822,39.4096
C5_01260W,3.3608,2.18992,3.22136,7.93489,7.50878,5.36908,2.3327,1.816554,1.969963,4.43615,3.65556,3.26724
C5_01270W,15.70023,19.30526,21.43436,40.9288,46.9306,53.6257,10.97861,16.67893,19.87047,18.44852,23.148,18.54899
C5_01280C,16.95563,22.0987,21.7605,44.8817,62.8529,49.3067,17.46414,21.8825,24.7471,28.9584,34.1752,29.3083
C5_01290C,136.0352,143.8393,140.5811,154.8273,165.8919,159.1837,126.5341,141.5449,149.1358,180.3876,181.2206,177.6607
C5_01300C,23.7693,29.3153,26.3816,30.7702,32.7526,30.7252,19.60248,18.78537,19.14867,25.0026,28.1377,28.0455
C5_01310W,15.94633,19.81768,22.35922,37.5299,55.7565,51.4106,18.03289,21.6699,19.94698,22.9155,27.1384,21.6671
C5_01320W,150.2068,145.7156,151.375,182.9048,164.9614,186.4129,150.6378,132.9177,149.5331,130.8127,131.71,127.9332
C5_01330W,0.181586,0.186883,0.151622,0.97912,0.378806,0.496885,0.310952,0.478479,0.55777,0.196637,0.62198,0.704733
C5_01340W,36.5762,38.562,41.3229,36.9975,34.0691,37.4651,25.7606,33.0343,32.2535,33.9526,36.1135,41.6712
C5_01350W,36.095,38.9554,40.8637,65.7232,67.5874,73.2338,37.5259,31.7264,33.978,40.6479,42.289,43.4393
C5_01360W,1.946058,2.87763,4.57598,22.98867,20.15834,24.9526,0.823545,1.159171,1.305459,3.19737,3.39672,2.2571
C5_01380W,0.469738,0.552504,1.251388,7.40557,4.50296,3.30525,0.0574566,0.1768229,0.1202397,0.3148926,0.204314,0.1157492
C5_01390C,16.71438,16.64706,15.30693,42.5621,54.5513,46.13,10.80255,14.01778,12.42118,18.91718,22.1618,12.27616
C5_01400W,7.19336,8.0513,7.56358,6.4253,12.05032,4.86016,7.00929,5.78633,4.33356,6.18971,6.96865,6.48586
C5_01410C,46.0555,51.7215,51.0023,48.339,43.034,49.3398,47.5401,44.952,43.9025,46.6773,51.4884,52.2967
C5_01420W,1123.312,1123.901,973.2,1518.241,1603.808,1626.377,1200.068,856.188,964.656,1577.874,1435.166,1356.106
C5_01430C,16.28246,16.0781,16.90274,30.3726,31.5952,37.6976,13.34468,13.20627,14.84093,19.14113,19.38608,18.50223
C5_01440C,42.3772,35.7516,45.5402,54.9043,38.9489,40.7162,28.3914,27.7004,35.1966,42.3312,28.7967,34.3395
C5_01450W,59.7947,56.7921,50.7372,118.4773,122.1577,107.952,58.4945,40.0723,50.2806,105.2518,89.4886,89.2881
C5_01460W,5.65584,8.60149,8.58284,12.84611,12.12428,13.72397,7.43356,8.59593,9.74685,11.44305,11.50299,11.8373
C5_01470C,3.70885,2.69238,4.28582,5.07099,4.6284,6.13155,2.353318,3.31578,4.32298,3.58595,6.12503,4.2411
C5_01480W,11.00485,8.89892,11.15799,25.2189,30.3364,39.2549,3.02866,5.00557,6.94173,8.93776,9.42363,9.15209
C5_01490C,24.864,36.864,37.4866,49.2836,58.6463,55.5708,25.2661,38.3476,35.6713,37.0435,52.0559,39.078
C5_01500C,9.73731,10.7185,13.64517,11.49,12.58521,14.03035,7.62432,11.18035,11.32451,6.3572,9.98973,9.56626
C5_01510W,152.4301,187.0003,149.4954,187.748,204.5884,204.5643,134.0929,141.8973,135.4434,150.6574,151.9031,143.592
C5_01520C,209.369,189.463,197.6149,155.0096,120.9185,162.5897,192.8055,140.3663,160.655,175.3834,159.4635,143.9546
C5_01530C,49.4987,55.0224,56.8583,38.4221,29.0049,32.879,48.0968,49.5209,47.2451,49.1601,60.4749,63.3146
C5_01540W,2717.89,2970.12,2994.82,1016.626,871.031,881.054,2632.43,3368.85,2645.24,1725.053,1682.745,1860.98
C5_01550C,1777.978,1920.732,2019.635,648.226,598.215,592.829,1562.87,2196.14,1802.217,1189.103,1019.453,1294.876
C5_01560C,80.5796,89.1109,89.8854,119.9557,131.3549,133.0982,62.9305,78.6484,77.0897,98.809,105.8177,114.5628
C5_01570C,6.97138,5.42489,6.06994,10.10879,9.79908,10.44991,3.71253,3.32338,3.90131,7.80291,6.89251,6.8748
C5_01580C,560.696,538.756,667.769,565.934,361.94,540.698,525.814,531.722,579.581,513.015,536.331,548.49
C5_01590W,11.52649,11.22667,11.71453,16.09603,15.08477,15.58711,11.69479,11.96977,13.66859,10.20636,15.80661,16.75033
C5_01600C,2.55131,1.759241,2.44986,16.81075,16.3926,18.89605,0.808251,2.061626,2.35102,5.16639,7.3698,5.64391
C5_01610W,3.55054,4.46224,4.78907,23.0104,30.3749,25.3788,1.490779,3.95817,3.38193,8.90966,12.3954,7.59646
