,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.1249,336,257,304,280,288,294,154,190
orf19.125,121,115,87,130,36,29,16,32
orf19.1250,259,268,298,230,259,266,165,227
orf19.1251,272,300,553,480,546,577,362,391
orf19.1252,9182,7462,17522,13368,5030,5587,12162,15423
orf19.1253,1566,1604,1536,1263,1743,1812,926,1305
orf19.1254,4281,4013,3575,3379,6323,6652,2737,2466
orf19.1255,64,62,296,182,68,61,165,229
orf19.1257,3,1,0,2,5,10,1,3
orf19.1258,11,17,33,32,5,14,15,10
orf19.1259,1595,1816,1594,1482,1802,1843,1134,1272
orf19.1260,196,282,275,226,351,359,166,203
orf19.1261,314,400,503,456,445,485,362,415
orf19.1263,587,554,570,445,501,481,264,336
orf19.1264,9,1,101,58,76,74,181,355
orf19.1265,220,259,507,442,497,461,361,347
orf19.1266,1268,1248,778,677,915,880,413,473
orf19.1267,1511,1426,2151,1896,1079,1132,814,1152
orf19.1267.1,602,485,1008,1161,508,510,751,764
orf19.1268,20,11,25,27,4,10,25,42
orf19.1270,75,76,274,187,33,30,215,337
orf19.1272,184,323,406,411,195,268,223,258
orf19.1273,767,737,1052,1156,791,742,864,773
orf19.1274,28,31,173,146,20,29,82,91
orf19.1275,516,1343,513,580,455,481,294,404
orf19.1276,255,114,186,245,163,162,206,167
orf19.1277,4516,3731,9347,8531,1299,1268,5137,6527
orf19.1279,1610,1446,1567,1461,1709,1896,1848,1839
orf19.1280,2487,2051,3544,4026,2510,2551,4110,4607
orf19.1281,354,316,864,934,367,338,607,928
orf19.1282,454,413,687,684,405,446,837,804
orf19.1283,941,1100,998,960,1179,1192,567,656
orf19.1285,3412,3638,1561,1526,2694,2816,558,552
orf19.1286,6,6,5,8,2,2,6,5
orf19.1287,3302,4205,1352,1383,2575,3525,663,896
orf19.1288,2156,1362,11918,10384,2026,1711,7208,8486
orf19.1289,3137,3232,2772,2328,2111,2368,1356,1611
orf19.1290,6521,4957,6255,5395,3192,3513,2606,2758
orf19.1291,970,893,1716,1411,742,788,746,793
orf19.1295,1263,2194,3346,3202,2869,3148,1048,1644
orf19.1296,212,225,282,256,172,164,100,121
orf19.1297,381,404,397,417,322,361,322,299
orf19.1298,508,591,755,650,833,951,528,571
orf19.1299,1690,1575,1735,1721,1347,1247,1223,1203
orf19.130,965,1152,699,598,899,951,328,385
orf19.1300,533,425,1907,1572,470,493,903,862
orf19.1301,161,124,249,227,176,215,430,311
orf19.1302,1,2,4,7,3,6,8,5
orf19.1303,90,86,260,274,157,183,151,181
orf19.1304,736,401,1113,1411,410,744,583,402
orf19.1305,85,76,267,244,121,134,102,106
orf19.1306,194,174,561,384,117,122,111,171
orf19.1307,140,113,295,264,80,92,105,117
orf19.1308,712,620,1043,858,591,756,330,508
orf19.1309,136,102,331,366,96,69,292,281
orf19.131,80,98,30,17,106,96,21,17
orf19.131.2,1952,1640,1084,1162,1228,1185,674,592
orf19.1310,159,150,187,137,196,218,181,194
orf19.1311,491,503,637,600,519,515,563,630
orf19.1313,316,273,1789,1212,245,306,577,1005
orf19.1314,1105,1132,1345,1211,956,982,893,1132
orf19.1317,998,1020,1609,1426,1026,1053,1096,1143
orf19.1318,207,250,318,296,409,400,371,376
orf19.132,1107,933,1412,1217,805,935,1143,1202
orf19.1321,665,188,79366,85212,461,351,160871,137297
orf19.1323,651,918,1915,1583,993,980,1589,1457
orf19.1324,715,860,596,584,683,766,331,432
orf19.1325,168,174,1880,1542,190,208,776,984
orf19.1326,24,42,76,66,70,93,55,67
orf19.1327,159,139,16267,15590,62,87,6757,8378
orf19.133,178,271,451,390,278,329,203,215
orf19.1330,198,193,150,114,245,260,101,130
orf19.1331,6562,5344,3777,3997,4164,4658,2226,2736
orf19.1332,1153,1043,1114,1042,1159,1292,1260,1226
orf19.1333,1569,1844,1725,1600,1727,1842,2109,2463
orf19.1334,287,338,1491,1489,360,390,2717,3188
orf19.1335,576,736,631,520,668,768,341,386
orf19.1336,2801,2518,2827,2954,2174,2190,1878,2187
orf19.1336.2,346,267,1614,1712,305,268,1280,1047
orf19.1338,2130,2143,1640,1560,2168,2391,1047,1013
orf19.1339,11453,12176,9834,9839,9576,9160,5945,5939
orf19.134,235,291,314,304,367,443,167,179
orf19.1340,46,34,1363,1372,19,26,191,260
orf19.1341,57,48,535,407,56,49,436,581
orf19.1342,1379,1416,5240,4958,1825,1820,2087,3190
orf19.1343,935,1155,1006,824,1186,1179,461,554
orf19.1344,151,278,46,71,346,498,47,65
orf19.1345,508,855,43,22,801,808,37,57
orf19.1348,27,7,52,30,0,2,118,80
orf19.1349,15,13,102,115,29,28,413,486
orf19.135,1046,1078,1172,1035,955,969,710,838
orf19.1350,2279,2049,5261,5018,2466,2580,5100,5856
orf19.1351,36,25,53,92,46,60,101,90
orf19.1352,4802,1600,11325,14375,1124,1602,11270,5540
orf19.1353,9023,8948,4037,4010,6381,8047,3730,4008
orf19.1354,232298,190341,126921,117926,142432,147132,109323,107731
orf19.1355,35046,11238,18057,29451,12802,17270,30493,15601
orf19.1356,191,153,286,331,193,247,181,212
orf19.1357,2253,2919,3685,3233,1614,1825,710,975
orf19.1358,19921,29123,22247,22770,20648,19509,13139,15806
orf19.1359,249,248,838,689,295,306,542,566
orf19.136,195,209,2131,1869,157,169,771,1126
orf19.1360,41,49,69,65,35,34,47,43
orf19.1360.1,330,309,123,127,371,345,111,95
orf19.1361,150,171,270,287,188,270,211,215
orf19.1362,19,9,402,520,8,15,777,841
orf19.1363,133,41,9535,8435,17,9,9615,11774
orf19.1364,489,437,663,702,326,382,412,461
orf19.1365,328,396,167,155,260,302,76,78
orf19.1366,59,54,85,99,28,32,65,59
orf19.1367,218,205,157,166,169,237,113,127
orf19.1367.1,1337,1160,1786,1921,1320,1407,1816,1703
orf19.1368,16437,19414,1860,1685,14863,15796,602,688
orf19.1369,461,412,850,640,341,353,368,415
orf19.137,933,913,1058,1119,251,260,387,441
orf19.1370,3,1,540,342,4,5,29,168
orf19.1371,321,267,884,855,260,273,570,680
orf19.1372,1543,1165,487,574,1691,1560,395,348
orf19.1373,530,548,810,788,576,572,562,635
orf19.1374,434,447,917,876,402,409,589,567
orf19.1375,10655,8864,19407,17533,5823,6622,7142,11457
orf19.1376,804,926,1260,1313,1258,1281,1253,1320
orf19.1377,211,156,495,503,188,230,447,603
orf19.1378,2907,2903,4037,3782,3612,3610,2178,3136
orf19.138,19,13,39,29,13,12,32,49
orf19.1381,4527,3854,4610,4406,2891,3287,4054,5484
orf19.1382,97,91,186,177,118,119,142,149
orf19.1383,626,620,685,743,861,867,483,507
orf19.1386,387,340,1049,984,267,330,605,735
orf19.1387,1610,1391,2765,2539,925,1019,1625,2069
orf19.1388,69,63,312,320,75,86,252,297
orf19.1389,3017,3179,3267,3140,3925,3863,2512,2812
orf19.139,2405,2181,6068,4391,3936,4259,3066,3322
orf19.1390,715,773,476,418,1842,1986,339,278
orf19.1391,80,55,41,63,100,89,55,36
orf19.1392,725,917,407,430,977,984,249,315
orf19.1393,70,56,280,251,80,104,138,183
orf19.1394,522,659,1119,1252,925,765,581,753
orf19.1395,2688,2301,418,418,1910,2021,70,110
orf19.1396,385,358,544,443,353,280,258,317
orf19.1397,52,57,238,216,38,58,150,202
orf19.1400,893,1000,591,528,914,942,500,551
orf19.1401,483,647,3612,3039,605,579,514,967
orf19.1402,1289,1393,2673,2552,2137,2148,2098,2719
orf19.1403,472,567,1295,1171,912,951,747,911
orf19.1404,136,171,387,336,164,183,198,291
orf19.1405,34,35,823,826,21,32,370,395
orf19.1406,234,228,198,181,224,225,129,151
orf19.1409,428,449,609,480,436,476,239,286
orf19.1409.1,2631,3284,1811,2035,3342,3484,940,1438
orf19.1409.2,101,79,1690,1887,158,163,2378,1926
orf19.1409.3,1,1,20,20,2,2,22,34
orf19.1411,27,18,122,98,23,16,82,63
orf19.1412,465,422,852,966,454,456,761,640
orf19.1413,729,580,2303,2355,482,527,1651,1369
orf19.1414,920,1233,1435,1323,3376,3137,1494,1674
orf19.1415,3060,5971,7910,6480,2970,3490,451,770
orf19.1416,883,616,6893,6025,691,723,3647,3009
orf19.1417,227,177,1199,1100,164,134,810,612
orf19.1418,894,870,1280,1123,1291,1357,1095,925
orf19.1420,155,186,245,214,184,205,138,165
orf19.1421,63,82,75,124,56,39,60,52
orf19.1422,2410,2084,7342,6508,2135,2271,4759,5619
orf19.1424,388,403,771,767,420,422,503,597
orf19.1426,967,1011,2628,2703,1431,1490,1854,2208
orf19.1427,211,261,263,255,290,281,242,274
orf19.1428,80,69,37,39,153,193,42,30
orf19.1429,60,94,127,92,195,176,77,91
orf19.1430,1444,805,1491,1428,240,256,167,213
orf19.1433,2988,2599,3392,3281,3247,3200,7857,7016
orf19.1433.1,4,1,21,17,0,0,75,57
orf19.1434,348,487,429,379,378,414,288,304
orf19.1435,93388,85872,69138,69518,101250,98548,30420,34875
orf19.1438,2,6,31,34,1,7,24,23
orf19.1439,352,444,1127,1012,482,528,1388,1904
orf19.144,969,915,550,502,764,812,291,320
orf19.1440,703,663,853,760,835,852,611,637
orf19.1440.1,9,2,15,22,1,1,7,12
orf19.1440.2,66,59,69,46,73,91,24,49
orf19.1441,599,646,705,713,768,792,517,588
orf19.1442,3281,4496,834,590,1757,1891,329,378
orf19.1444,1442,1551,1008,1021,1719,1620,508,768
orf19.1445,115,202,153,139,402,392,131,119
orf19.1446,1361,1810,1290,1123,2020,2080,1585,1963
orf19.1447,159,193,188,195,329,301,178,205
orf19.1448,736,871,709,822,587,639,347,401
orf19.1448.1,286,280,407,459,339,351,442,344
orf19.1449,123,58,822,765,22,23,116,157
orf19.145,258,260,358,319,217,262,249,292
orf19.1450,1,1,8,0,0,1,6,7
orf19.1451,1182,1365,1304,1137,1206,1108,727,848
orf19.1453,3472,4334,4897,3864,4030,4073,2280,3296
orf19.1456,57,87,98,75,87,105,29,61
orf19.1457,687,727,696,763,759,682,442,525
orf19.1458,86,106,198,176,154,114,118,202
orf19.1459,371,403,557,605,449,478,400,503
orf19.1460,1196,1509,1442,1540,1708,1666,1228,1424
orf19.1461,299,308,1428,1352,198,216,660,755
orf19.1462,1267,1447,1284,1294,1854,1765,898,1070
orf19.1464,1914,1897,5113,4447,1316,1349,1566,2161
orf19.1465,56,60,69,85,57,45,67,71
orf19.1466,389,256,772,723,330,335,555,541
orf19.1467,16090,12788,19572,21915,13054,12334,24121,18811
orf19.1468,3369,3241,2822,2523,3722,4186,2023,2495
orf19.147,5727,4509,5953,5832,3301,4658,4986,5364
orf19.1470,9343,9351,3583,4263,8961,8769,1843,2367
orf19.1471,9899,7654,14247,15173,8463,7982,12071,10375
orf19.1473,14,13,80,83,3,4,78,90
orf19.1474,2511,2637,2292,1987,2413,2485,1187,1371
orf19.1476,326,249,608,624,80,85,271,257
orf19.1477,4522,3425,5276,5374,1340,1302,2308,2144
orf19.1478,2079,1717,1240,1217,2781,2877,712,766
orf19.1479,2281,2754,1218,1110,1544,1700,721,951
orf19.1480,3352,2848,7129,7636,3937,3675,5625,5388
orf19.1481,636,398,1823,1936,375,368,815,1158
orf19.1482,994,667,1205,1368,473,532,390,382
orf19.1483,757,501,919,1012,515,517,585,497
orf19.1484,55,83,70,75,78,105,58,40
orf19.1485,300,289,386,420,418,440,182,170
orf19.1486,290,236,2542,2658,180,203,3445,3722
orf19.1488,406,150,556,788,102,255,329,251
orf19.149,114,57,89,98,48,56,87,98
orf19.1490,2039,2285,5816,5661,2369,2293,4802,6157
orf19.1490.1,42,35,18,23,11,19,12,20
orf19.1491,200,260,192,194,254,264,152,197
orf19.1492,93,134,115,112,166,197,73,91
orf19.1493,952,1053,761,728,1250,1168,614,680
orf19.1494,1122,1306,1385,1255,1412,1392,549,788
orf19.1495,146,140,137,194,191,190,98,131
orf19.1496,715,624,845,829,446,445,312,423
orf19.1497,285,364,285,260,398,410,134,212
orf19.1499,199,227,788,735,196,257,506,586
orf19.150,678,484,1965,2560,668,931,1057,970
orf19.1500,497,532,289,295,471,564,210,271
orf19.1502,97,104,251,217,72,101,163,245
orf19.1504,2423,2761,1069,846,2154,2103,487,646
orf19.1505,1094,1304,1102,1245,1344,1574,919,910
orf19.1506,0,0,1,1,0,0,3,1
orf19.1507,223,265,486,517,171,191,387,394
orf19.1508,30,48,51,37,74,75,29,43
orf19.1509,1093,1407,155,144,1282,1467,81,89
orf19.151,172,168,140,115,79,108,42,41
orf19.1510,474,693,1406,1441,902,1307,988,1164
orf19.1513,3958,4149,6672,5329,3348,3666,4576,5257
orf19.1514,2529,2549,1958,1821,3028,3066,1322,1483
orf19.1515,127,170,162,166,154,157,97,128
orf19.1516,790,964,684,630,1369,1301,458,523
orf19.1517,2140,4433,6874,7372,4608,4906,2456,4265
orf19.1519,570,719,507,540,762,727,360,443
orf19.1522,555,823,709,697,835,812,722,852
orf19.1523,58,68,1757,1234,35,46,104,256
orf19.1524,0,0,4,4,0,0,9,0
orf19.1525,3129,1192,1434,2194,1644,2068,998,607
orf19.1526,2348,2537,1728,1553,2625,2843,1491,1421
orf19.1527,220,192,455,413,152,162,354,333
orf19.1528,454,339,1379,1279,477,462,769,694
orf19.1529,5,5,24,27,7,2,21,10
orf19.1530,7,1,15,14,0,1,12,4
orf19.1531,925,928,1037,1022,759,752,815,942
orf19.1532,2822,1114,859,1464,746,1429,446,249
orf19.1533,328,352,908,1055,719,769,507,617
orf19.1534,1090,1170,985,918,828,1057,382,514
orf19.1535,177,232,156,133,295,291,78,125
orf19.1536,677,1030,1189,1106,1027,1046,734,808
orf19.1538,434,419,407,397,392,426,311,341
orf19.1539,339,163,258,484,175,214,226,159
orf19.154,62,75,174,214,40,52,88,91
orf19.1541,268,88,2540,1270,89,85,166,987
orf19.1542,1424,1451,2594,2369,1556,1638,1855,2350
orf19.1543,527,510,1155,1248,696,732,918,1023
orf19.1544,875,969,753,835,1101,942,595,575
orf19.1545,340,306,1214,1207,423,377,951,1028
orf19.1546,531,403,2196,2069,577,630,1493,1278
orf19.1547,106,133,189,222,95,91,132,176
orf19.1548,132,127,321,331,106,98,219,248
orf19.1549,1474,1308,2585,2708,1654,1734,2356,2254
orf19.155,744,802,894,907,621,700,489,597
orf19.1551,331,368,284,274,418,351,187,197
orf19.1552,3863,3234,3081,3316,3532,3274,1961,1716
orf19.1553,4539,4810,5184,4721,5027,5158,2953,3254
orf19.1555,785,852,720,703,1071,1069,472,616
orf19.1557,182,173,36,40,199,204,29,33
orf19.1559,1793,2449,6501,6631,3383,3645,1812,3074
orf19.156,2720,2869,2045,1917,2445,2667,1213,1518
orf19.1560,2245,2047,2893,2662,2653,2852,1851,2257
orf19.1562,3379,1491,23819,26630,837,904,32117,34662
orf19.1563,488,486,612,634,488,636,319,374
orf19.1564,6243,5413,2110,2092,6341,6078,1031,1087
orf19.1565,729,1003,562,549,673,744,294,329
orf19.1566,132,157,534,460,194,248,338,589
orf19.1567,1384,1338,1554,1282,1348,1374,1199,1503
orf19.1569,278,235,939,851,160,219,433,629
orf19.1570,1771,1774,2531,2078,1907,1900,1566,1631
orf19.1571,0,0,6,0,0,0,1,4
orf19.1573,1229,1480,1016,809,1617,1629,594,702
orf19.1574,840,932,990,827,882,869,507,614
orf19.1575,941,816,1831,1536,980,1020,737,951
orf19.1576,387,428,499,414,455,414,242,321
orf19.1577,2,5,5,5,2,0,11,9
orf19.1578,172,263,816,651,315,357,403,568
orf19.158,99,88,312,401,106,112,224,333
orf19.1580,49,47,652,468,29,25,255,361
orf19.1581,0,1,7,2,0,0,5,9
orf19.1582,13,12,299,268,5,5,189,326
orf19.1584,142,249,1903,1673,130,170,861,1347
orf19.1585,3041,4337,4362,4689,1334,1574,1317,1792
orf19.1586,106,72,107,120,81,110,60,98
orf19.1587,14,15,104,129,28,22,57,117
orf19.1588,1314,1246,1555,1607,1338,1197,940,963
orf19.1589,187,226,133,127,193,194,96,100
orf19.1589.1,1711,2515,2311,2038,1241,1391,385,730
orf19.1590,274,266,118,103,278,284,108,120
orf19.1591,2344,2738,7187,6354,2933,3101,4664,4924
orf19.1592,190,206,382,431,355,384,323,247
orf19.1595,408,395,416,335,289,324,217,222
orf19.1596,530,538,530,676,345,401,299,302
orf19.1597,1790,1710,1353,1483,1942,1855,955,936
orf19.1598,242,365,312,310,491,480,191,177
orf19.1599,12,6,24,24,15,11,6,15
orf19.1600,1276,1763,1684,1492,1468,1660,919,1069
orf19.1601,14540,15518,9397,9720,19063,20113,4993,6661
orf19.1604,578,669,520,430,626,652,240,315
orf19.1605,180,237,366,301,428,481,288,210
orf19.1606,72,105,102,81,95,118,38,42
orf19.1607,3517,3526,5934,4909,2416,2531,3519,4765
orf19.1608,248,283,151,107,295,329,85,85
orf19.1609,65,129,422,425,116,159,182,273
orf19.1610,368,245,126,97,283,231,105,85
orf19.1611,98,106,324,385,43,84,307,358
orf19.1613,6216,9243,10336,10560,8528,9134,5365,7008
orf19.1614,1349,3812,2422,2253,495,470,662,977
orf19.1616,175,225,506,441,103,111,118,181
orf19.1617,654,458,1829,1526,340,385,1194,1220
orf19.1618,6751,5860,6562,6587,4775,5485,5176,6529
orf19.1618.1,232,131,521,539,244,280,383,400
orf19.1619,1429,1418,1340,1192,1131,1151,777,1077
orf19.1620,2,7,64,114,2,5,175,100
orf19.1621,2490,2788,2774,2924,2131,2112,3071,2896
orf19.1622,345,290,699,605,371,440,558,562
orf19.1623,4089,3952,6269,5817,4018,4325,3682,5358
orf19.1624,748,779,836,656,902,1087,466,549
orf19.1624.1,16,22,22,11,40,23,15,21
orf19.1625,1355,971,2943,3083,1009,1149,2838,2573
orf19.1626,92,163,194,211,336,387,242,312
orf19.1628,2722,3093,2530,2266,3906,4198,2104,2179
orf19.163,309,271,1811,1656,153,231,773,680
orf19.1630,1181,1413,1457,1352,1240,1233,1432,1826
orf19.1631,194,230,1159,1075,418,504,698,786
orf19.1632,806,884,264,273,998,1038,185,269
orf19.1633,63,123,339,376,154,153,196,296
orf19.1634,942,1005,633,656,929,903,297,394
orf19.1635,9257,9978,4342,5002,10924,10770,2235,2778
orf19.1636,554,530,414,343,493,539,218,267
orf19.1637,1035,899,1449,1250,894,923,977,986
orf19.1638,353,456,385,316,347,369,247,337
orf19.1639,6,5,23,14,8,6,36,28
orf19.164,4653,4952,1751,1949,608,1224,591,691
orf19.1641,19,15,81,86,16,19,21,28
orf19.1642,7,29,96,143,20,26,98,123
orf19.1643,1058,828,2478,2369,1087,1095,1932,2536
orf19.1646,283,390,805,733,362,361,375,551
orf19.1647,7,17,47,31,11,5,47,42
orf19.1648,644,779,767,758,1028,809,527,568
orf19.1649,1223,1157,1496,1477,1045,1025,784,919
orf19.1650,913,750,813,969,887,820,503,529
orf19.1651,4,4,14,32,4,10,32,36
orf19.1652,1700,1276,7899,7679,2121,1928,9946,9058
orf19.1653,1515,1080,2501,2457,708,820,810,1163
orf19.1654,1261,1066,853,959,692,724,390,366
orf19.1655,472,223,3005,2004,687,536,3142,2242
orf19.1655.3,3260,2283,2540,2683,1308,1175,1853,1703
orf19.1656,2203,3601,504,471,2168,2414,311,393
orf19.1658,3072,2927,3918,3464,2376,2509,3086,3972
orf19.1659,302,299,261,273,414,414,174,151
orf19.166,635,700,1670,1567,396,469,923,1248
orf19.1661,1392,1745,1360,1295,2397,2308,822,911
orf19.1662,249,261,620,641,470,505,262,287
orf19.1663,469,590,331,310,924,883,181,242
orf19.1664,1080,944,838,804,1203,1342,527,477
orf19.1665,5514,6035,4839,4795,8558,8647,3948,3864
orf19.1666,502,605,1962,1944,686,754,1746,2193
orf19.1667,584,668,517,519,484,494,278,378
orf19.1667.1,202,194,201,175,181,150,117,130
orf19.1668,635,576,878,817,462,448,414,500
orf19.1669,1906,1720,3917,3497,1948,2061,2215,2736
orf19.1670,1971,2172,1094,962,1711,1606,461,531
orf19.1671,4245,4677,8206,8785,3719,3773,5436,5692
orf19.1671.1,8,9,18,33,2,3,6,10
orf19.1672,4300,4387,2593,2449,4844,4860,2226,2215
orf19.1673,65,81,596,438,136,196,388,533
orf19.1674,2124,2266,1899,1654,2269,2243,1133,1248
orf19.1675,378,515,491,512,636,699,397,520
orf19.1676,330,386,148,148,301,351,107,122
orf19.1677,1611,1632,953,893,1101,1079,445,582
orf19.1678,706,714,561,411,368,369,208,254
orf19.1679,6,9,74,72,5,6,114,164
orf19.168,228,239,407,429,127,176,264,274
orf19.1680,3605,3922,3942,3863,4778,4944,3097,3384
orf19.1681,249,225,478,487,192,195,579,510
orf19.1682,4938,4631,8304,7498,5839,6346,6184,6326
orf19.1683,1775,1693,1631,1520,2302,2366,1093,1237
orf19.1684,251,317,444,332,309,314,183,267
orf19.1685,54,100,98,94,122,131,43,79
orf19.1686,285,312,177,183,253,268,94,137
orf19.1687,135,144,334,303,168,238,153,202
orf19.169,324,337,916,970,397,440,610,632
orf19.1690,7549,9211,27350,27132,9877,9579,29569,31150
orf19.1691,865,2753,23,20,657,791,15,7
orf19.1693,1869,1898,3424,2950,2058,2114,2624,3008
orf19.1697,254,305,915,962,1168,1213,912,1090
orf19.1698,749,909,667,585,968,917,316,449
orf19.1699,1333,1661,896,821,1824,1793,518,563
orf19.17,38,27,55,63,25,38,55,63
orf19.1700,4033,5200,1950,2141,6271,6147,1058,1266
orf19.1701,174,146,1572,1679,143,136,1038,1465
orf19.1702,984,1019,2510,2768,1024,1056,1730,1680
orf19.1704,626,491,3902,3608,726,630,3032,3588
orf19.1706,35,72,99,81,89,160,62,91
orf19.1707,14,24,40,44,23,21,23,18
orf19.1708,29,14,55,79,16,27,52,98
orf19.1709,1469,883,7426,7838,720,665,5331,5506
orf19.171,641,755,1878,1513,591,806,778,1066
orf19.1710,1215,1097,2793,2849,1281,1343,2212,2090
orf19.1711,1112,1043,735,805,1070,1059,552,579
orf19.1712,1590,1732,661,635,1780,1938,369,480
orf19.1714,14,9,113,139,8,14,271,297
orf19.1715,1331,1692,8376,7370,1627,1661,6429,7289
orf19.1716,75,94,196,168,125,108,90,96
orf19.1717,118,137,282,218,114,120,470,588
orf19.1718,607,751,535,485,578,681,514,602
orf19.1719,573,484,1897,1968,476,585,4269,5237
orf19.172,103,91,445,501,32,38,305,292
orf19.1720,100,90,110,160,198,201,130,128
orf19.1721,609,461,828,747,832,922,531,750
orf19.1722,31,17,49,55,16,32,29,37
orf19.1723,272,327,189,201,349,390,121,130
orf19.1724,7,11,40,38,11,11,37,56
orf19.1725,698,1033,254,206,1203,1353,165,211
orf19.1727,1450,1451,4348,3287,1500,1761,6495,8786
orf19.1728,67,67,43,50,90,63,45,67
orf19.1729,524,478,489,457,287,411,264,274
orf19.173,2798,2733,3452,3107,2325,2502,2424,3080
orf19.1730,1174,1223,992,946,1005,1109,599,639
orf19.1734,1081,1418,956,1004,1730,1688,595,667
orf19.1735,62,40,92,114,27,40,33,42
orf19.1736,34,27,66,59,21,13,51,79
orf19.1737,9,3,22,39,1,1,46,37
orf19.1738,16373,17074,13271,12650,14743,15638,11664,12550
orf19.1738.1,182,128,737,841,290,219,473,446
orf19.1741,205,210,168,179,202,278,107,135
orf19.1742,336,391,1183,1113,214,272,967,1076
orf19.1743,4538,5405,7068,4942,8241,7958,44833,52287
orf19.1744,749,591,1054,1090,312,284,653,722
orf19.1745,167,145,298,354,95,72,187,257
orf19.1746,53,63,116,103,44,48,111,120
orf19.1747,174,366,783,701,420,452,763,790
orf19.1748,86,100,178,166,48,72,127,142
orf19.175,277,310,745,651,407,429,378,441
orf19.1750,6855,6101,13379,9231,3911,4565,4541,6438
orf19.1751,5132,5916,5891,5061,4953,5555,6303,7540
orf19.1753,191,228,211,125,223,250,75,139
orf19.1754,1485,1404,713,687,1687,1658,738,802
orf19.1755,464,478,720,688,547,543,449,477
orf19.1756,1119,1209,1184,1364,866,966,360,649
orf19.1757,341,364,549,751,649,798,269,301
orf19.1759,447,438,1496,1286,399,455,1935,2283
orf19.176,333,855,1989,1601,598,567,21810,21155
orf19.1760,5269,5449,12000,12100,5238,5640,13572,14712
orf19.1761,525,388,144,182,429,517,159,122
orf19.1762,289,312,268,338,397,426,211,264
orf19.1763,195,195,370,347,108,141,222,275
orf19.1764,2344,1700,3587,3530,1293,1492,3039,3765
orf19.1765,53,82,139,141,98,117,149,194
orf19.1766,113,108,156,137,191,257,81,82
orf19.1767,102,120,191,213,99,119,153,170
orf19.1768,29,34,166,177,31,27,126,132
orf19.1769,370,384,491,527,472,577,401,451
orf19.177,210,216,284,297,280,297,408,553
orf19.1770,3394,2183,10830,11665,2089,1784,9683,9444
orf19.1771,196,147,915,844,208,170,1344,1196
orf19.1772,120,95,240,188,104,102,137,128
orf19.1773,502,517,479,465,355,386,486,647
orf19.1774,143,111,444,404,137,143,66,81
orf19.1776,120,113,159,196,82,117,163,162
orf19.1777,6660,6761,3936,3449,6562,7276,2939,3587
orf19.1778,1,4,12,6,2,5,32,38
orf19.1779,23262,28091,30576,32013,35582,36854,36333,34114
orf19.178,393,397,457,512,287,320,388,389
orf19.1780,2,2,12,8,5,6,11,9
orf19.1782,947,884,564,570,1474,1489,289,272
orf19.1782.1,12,2,32,28,7,7,35,36
orf19.1783,342,447,3308,3428,734,785,1652,2815
orf19.1785,12269,9030,8804,8703,8789,8719,10021,11703
orf19.1789,159,171,407,474,165,194,336,318
orf19.1789.1,1795,2571,5762,5540,3547,3893,3681,5057
orf19.1791,71,104,265,192,100,141,151,170
orf19.1792,348,271,414,432,382,384,209,169
orf19.1793,420,430,757,777,313,302,477,574
orf19.1794,30,34,94,77,53,67,51,56
orf19.1795,551,447,1590,1306,483,651,1051,1242
orf19.1795.1,506,389,209,206,305,401,171,143
orf19.1796,1221,1239,1082,973,1562,1945,859,1008
orf19.1797,115,97,523,529,111,125,416,524
orf19.1798,6902,2744,3517,5129,2603,3431,2575,1459
orf19.1799,668,723,949,778,946,1102,198,290
orf19.18,850,973,2761,2288,1239,1460,1312,2136
orf19.1800,2685,2336,4172,2998,1567,1861,1901,3103
orf19.1801,1464,1400,1943,1880,1537,1600,1120,1131
orf19.1802,1505,2133,1329,1123,1446,1700,667,827
orf19.1803,607,394,638,901,465,710,586,311
orf19.1804,301,267,407,401,267,326,149,166
orf19.1805,809,762,2080,2222,793,831,1177,1531
orf19.1806,79,93,220,251,76,61,131,220
orf19.1808,699,768,492,475,633,734,332,305
orf19.1813,2360,2577,1773,1599,2311,2558,1031,1259
orf19.1814,3176,2877,3380,3006,2482,2553,2462,2759
orf19.1815,879,1060,26575,29745,1275,1458,11234,17273
orf19.1816,2434,2095,88244,96504,2121,2120,130035,121143
