,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
FPG1,917.977,903.085,718.834,765.944,1081.2,974.575,1070.16,1006.03
orf19.3404,19.8214,21.7457,18.7522,29.8955,26.7069,28.3485,45.7105,29.1322
ZCF18,458.369,509.104,474.014,537.089,451.434,444.382,484.89,487.479
orf19.3406,376.606,337.697,400.047,397.92,278.269,301.107,233.93,257.334
RAD18,491.818,436.192,416.715,442.248,357.528,298.042,282.33,329.194
SEC12,2885.25,2449.59,2560.72,2626.68,1864.32,1805.87,1622.27,1689.67
orf19.341,164.765,161.174,192.731,217.516,130.95,95.0057,121.895,129.153
orf19.3411,305.992,291.648,290.659,291.739,276.546,261.266,284.122,253.45
ATG15,1796.31,1643.72,1208.47,1309.22,989.88,991.431,901.662,921.549
FGR37,1.23884,1.27916,0,1.03088,0,0,0,0.971074
SUR7,2690.75,2549.36,2789.91,2552.46,2166.71,2457.89,2389.49,2489.83
PTK2,2005.67,1900.83,1858.55,1937.03,1197.51,1288.77,1253.01,1160.43
RPL32,15684.9,18126.9,21027.5,20681.5,18440.7,20178.7,20386.9,20617.8
ACF2,971.247,1041.23,982.406,964.904,635.798,697.986,615.747,679.751
orf19.3418,75.569,66.5162,90.6356,109.273,103.382,101.135,84.2507,94.1941
MAE1,1562.17,1366.14,1205.35,1217.47,1557.62,1385.24,1199.23,1211.9
BMT7,87.9573,85.7035,55.2148,35.0499,41.3527,51.3337,48.3993,32.0454
orf19.3420,1.23884,1.27916,1.04179,2.06176,1.72303,0.766175,0,2.91322
MED19,258.91,262.861,288.888,308.232,228.444,298.295,284.906,338.604
FMP27,2270.79,2191.2,2060.66,2068.98,1760.07,1734.62,2011.26,1837.27
TIF3,5551.21,4940.11,5693.94,5747.16,4532.39,4310.19,3915.9,3923.84
orf19.3425,616.94,651.091,482.348,519.564,580.661,540.92,618.436,547.685
ANB1,20878.1,20393.6,21579.6,21573.2,28668.6,24056.4,25338.9,23138.7
orf19.3427,17.3437,15.3499,15.6268,9.27793,9.47666,11.4926,17.0294,11.6529
orf19.3428,1632.79,1483.82,1900.22,1845.28,1864.32,1808.94,1811.39,1760.56
FGR47,583.455,436.372,518.733,516.511,564.299,619.937,776.907,606.084
orf19.3430,521.55,405.493,567.775,469.051,667.674,602.214,565.555,625.371
orf19.3431,1236.36,1089.84,1317.86,1321.59,687.392,822.872,792.315,845.805
orf19.3432,111.495,66.5162,110.43,106.181,103.382,101.135,100.384,82.5412
OYE23,84.2408,75.4703,172.937,161.848,104.243,122.588,142.509,146.632
TRY5,113.973,131.753,145.85,151.539,167.995,184.648,220.486,138.864
orf19.3435,144.944,149.661,176.062,150.509,105.966,163.195,125.48,117.5
orf19.3436,81.7631,86.9827,103.137,84.5322,116.304,132.548,147.887,101.963
orf19.3437,152.377,159.895,138.558,140.2,111.997,154.767,172.087,201.012
orf19.3438,932.843,932.505,896.98,986.553,1086.37,766.941,888.218,875.908
orf19.3439,42.1204,48.608,34.379,36.0808,71.5057,100.369,126.376,103.905
orf19.344,509.161,506.546,499.017,483.483,571.184,620.602,492.06,436.983
FRP5,30.9709,21.7457,20.8358,24.7411,21.5379,36.7764,25.096,7.76859
FRP6,670.21,729.119,672.995,639.146,606.506,626.731,630.984,654.504
orf19.3442,1413.72,1427.63,1328.52,1337.68,2066.87,1802.22,1884.79,1947.55
OYE2,491.605,496.221,440.434,505.535,658.964,673.287,622.117,664.635
orf19.3444,55.7476,61.3995,36.4626,24.7411,70.6442,70.4881,69.0139,72.8305
HOC1,463.324,451.542,495.891,461.835,733.149,800.653,976.95,967.189
orf19.3446,557.476,658.766,526.103,432.97,996.772,994.495,941.098,901.156
orf19.3447,429.876,509.104,466.721,460.804,749.518,770.006,839.818,991.466
orf19.3448,100.346,131.753,259.405,223.701,255.008,491.884,662.354,873.966
orf19.3449,687.554,717.607,956.362,942.225,760.717,1001.39,899.869,938.057
orf19.3449.2,165.938,235.92,269.415,270.177,131.279,109,194.308,162.911
orf19.345,107.779,85.7035,88.552,99.9954,120.612,134.847,108.45,115.558
orf19.3450.1,1.59278e-315,5.80E-172,1.78972e-315,2.03314e-315,1.27409e-315,1.15961e-315,1.25649e-315,1.41956e-315
orf19.3453,695.047,669.643,889.326,886.582,582.049,719.994,717.213,689.052
orf19.3455,282.454,299.323,282.325,232.979,348.052,358.57,372.854,320.454
orf19.3456,149.899,149.661,170.853,160.817,275.913,294.977,371.062,342.789
SWD3,467.041,493.755,542.772,501.008,617.478,596.084,691.931,704.999
orf19.3458,297.321,298.044,264.614,241.226,528.108,515.636,482.201,610.805
orf19.3459,976.202,946.576,1200.14,1145.31,996.772,1053.49,1170.55,1090.52
ALT1,986.113,876.222,1040.75,1040.16,1139.78,1206.73,1361.46,1299.3
orf19.3460,21.0602,21.7457,28.1283,23.7103,80.1208,71.2543,72.599,88.3677
orf19.3461,9.91068,7.67494,3.12536,10.3088,39.6529,34.4779,45.7105,19.4215
SAR1,2093.63,2168.17,2173.17,2025.68,2824.04,2860.9,3050.95,3091.9
orf19.3463,2034.17,1977.58,1878.34,1823.63,1810.04,1776.76,1755.82,1568.28
RPL10A,25264,27987.1,30432.7,29816.1,24379.2,25825.1,26437.7,25960.1
orf19.3466,111.495,101.053,233.361,209.269,216.24,250.539,227.656,274.814
SEC27,4492.02,4341.46,4265.08,4418.36,4853.77,4588.62,5212.79,5104.93
ALG11,334.486,423.401,467.763,438.124,631.49,629.03,699.102,792.396
orf19.3469,298.638,280.347,334.939,334.011,304.578,440.131,365.448,340.174
RSN1,416.249,365.839,439.635,453.588,424.653,515.636,528.808,555.454
orf19.3470,1040.62,1011.81,1183.47,1163.86,936.466,990.664,945.58,895.33
orf19.3471,11.9568,12.1794,20.109,5.64184,0.000100307,21.2713,27.4258,31.289
orf19.3473,569.822,594.767,687.457,667.167,600.828,518.027,549.639,499.916
IPL1,214.319,262.227,305.244,321.635,286.023,359.336,295.774,306.859
orf19.3475,1816.13,1638.6,2242.97,2289.59,1598.11,1622.76,1456.46,1606.16
HRR25,2613.94,2626.11,3153.49,3588.5,3439.17,3947.33,3808.31,3457.99
